t,p,o,c,h,l,v
1355439600,,59.5,60.9,61.8,59.5,3035630
1355698800,,60.05,61.25,61.5,60.05,206878
1355785200,,61.8,62.25,62.4,61.5,390101
1355871600,,62.4,62.45,62.55,62.25,157317
1355958000,,62,62.25,62.6,61.9,75807
1356044400,,62.3,62.25,62.4,62,124552
1356562800,,62.2,63.25,63.55,62.05,88000
1356649200,,63.2,62.65,63.5,62.25,24568
1357081200,,62.65,64,64,62.65,48299
1357167600,,63.5,64.9,65,63.3,92190
1357254000,,64.9,65.55,65.6,64.9,31413
1357513200,,65.55,65.9,66,65.55,76905
1357599600,,65.9,64,66.05,61,80096
1357686000,,64,64.5,64.5,62.65,36619
1357772400,,64.6,64.45,65,63.3,62472
1357858800,,64,64.1,64.1,63.05,22522
1358118000,,64.35,63.1,64.35,63.05,161045
1358204400,,63,62.5,63,62,150706
1358290800,,62,63,63.5,61.2,155670
1358377200,,62.6,64.2,64.45,62.6,105254
1358463600,,64.2,65.4,65.75,64.2,71475
1358722800,,66.6,69.5,69.5,66.6,219650
1358809200,,70.5,72.8,77.5,70.4,407757
1358895600,,75,74.85,76,73.5,744541
1358982000,,74.8,74,74.8,73.2,131633
1359068400,,74,74.5,75.5,73.5,83268
1359327600,,74.5,75.5,75.9,74.5,233551
1359414000,,75.7,75.4,75.8,75.1,98357
1359500400,,75.05,73.65,75.6,73.5,138349
1359586800,,73.5,71.7,73.85,70.5,274154
1359673200,,71.9,72.25,72.8,71.2,194468
1359932400,,74.25,73.1,74.25,72.55,110558
1360018800,,74,73.5,74.25,73.35,196439
1360105200,,73.8,72.75,73.95,72.5,183396
1360191600,,72.75,72.4,72.95,71.45,84926
1360278000,,72,72.95,73,72,28963
1360537200,,72.9,73,73.3,72.6,26499
1360623600,,73.5,72.8,73.5,72.6,34485
1360710000,,72.85,72.7,73.4,72.5,48852
1360796400,,72.5,73.5,73.5,72.4,7413
1360882800,,73,73,73.15,70.1,15209
1361142000,,72.8,70.8,72.8,70.7,124622
1361228400,,70.5,70,71.3,68.7,257720
1361314800,,70.1,71.15,71.4,70.1,25460
1361401200,,70.8,70,70.8,69.55,13622
1361487600,,70,70,70.5,69.1,15625
1361746800,,70.1,71,71.5,70,24918
1361833200,,70,70.5,70.95,69.65,51883
1361919600,,70.6,70,71.5,70,75653
1362006000,,71.35,70.7,71.35,70.1,32869
1362092400,,70.5,70,70.7,69.85,70199
1362351600,,71,70.2,71.05,69.55,44323
1362438000,,70.2,71,71,70.2,15278
1362524400,,70.5,70.85,70.85,69.7,29398
1362610800,,69,68,69,66.5,244362
1362697200,,68.1,69.95,70.6,68.05,251160
1362956400,,70.5,69.8,70.6,69.5,109368
1363042800,,69.85,69.3,69.9,68.5,18913
1363129200,,69.3,68.95,69.6,68.75,104785
1363215600,,68.8,69.65,70,68.55,243837
1363302000,,69,70.2,70.25,69,87866
1363561200,,69.95,69.9,69.95,68.4,21769
1363647600,,69.2,66.85,69.8,66.85,177349
1363734000,,66.4,68.4,68.8,66.4,192884
1363820400,,68.5,67.9,68.6,67,60871
1363906800,,67,67,68.9,66.6,86142
1364166000,,67.8,66.6,69,66.55,26139
1364252400,,66.6,66.5,67.9,66.1,18698
1364338800,,66.5,69,69.5,66.5,13252
1364425200,,68.5,69.5,69.5,67.2,10115
1364853600,,69.5,68.75,69.5,68.5,48359
