t,p,o,c,h,l,v
1256248800,,15.5,15.4,15.75,15.1,114354
1256511600,,15.49,15.3,15.49,15.26,17090
1256598000,,15.3,15.58,15.58,15.1,68975
1256684400,,15.49,15.11,15.49,15.09,14462
1256770800,,15.12,14.81,15.12,14.6,25026
1256857200,,14.64,14.7,14.8,14.6,18800
1257116400,,14.8,14.7,14.8,14.65,26792
1257202800,,14.7,14.85,14.99,14.5,5130
1257289200,,14.95,14.7,14.95,14.7,5585
1257375600,,14.55,14.57,14.99,14.55,5900
1257462000,,14.6,14.86,14.87,14.45,4820
1257721200,,14.56,15.12,15.5,14.56,11637
1257807600,,15.35,15.2,15.35,15.02,9868
1257980400,,15.15,14.98,15.2,14.98,11801
1258066800,,15.05,15.1,15.1,15.05,1015
1258326000,,15.3,15.13,15.44,15.01,10925
1258412400,,15.02,15,15.1,15,2632
1258498800,,15,14.8,15,14.7,7731
1258585200,,14.75,14.65,14.84,14.63,5372
1258671600,,14.75,14.86,14.86,14.61,1421
1258930800,,14.6,14.66,14.7,14.6,183
1259017200,,14.66,14.65,14.74,14.61,3102
1259103600,,14.65,14.51,14.69,14.51,2531
1259190000,,14.59,14.4,14.59,14.3,1474
1259276400,,14,14.36,14.38,13.9,24955
1259535600,,14.06,14.35,14.5,13.95,11143
1259622000,,14.2,14.19,14.24,14.02,10724
1259708400,,14.19,14.19,14.2,14,37846
1259794800,,14.01,14.85,14.85,14,38499
1259881200,,14.83,14.97,15,14.51,8415
1260140400,,14.97,14.89,14.97,14.7,8730
1260226800,,14.98,15.82,16.24,14.98,369764
1260313200,,16.02,16.5,16.65,15.95,207387
1260399600,,16.69,16.2,16.72,16.12,42394
1260486000,,16.3,16.23,16.39,16.05,37196
1260745200,,16.11,16.1,16.25,15.9,34844
1260831600,,16.04,16.16,16.2,16.04,29593
1260918000,,16.04,16.28,16.28,16.01,64668
1261004400,,16.25,16.19,16.39,16.05,67632
1261090800,,16.25,16.2,16.25,15.88,63488
1261350000,,16.2,16.15,16.25,16.15,19433
1261436400,,16.15,16.15,16.16,15.95,37647
1261522800,,16.18,16.17,16.18,15.96,8975
1261954800,,16.15,16.15,16.19,16.1,5673
1262041200,,16.12,16.15,16.28,16.06,9283
1262127600,,16.1,16.19,16.27,16.1,1971
1262214000,,16.16,16.15,16.2,16.05,1650
1262559600,,16.15,16.2,16.25,15.91,31671
1262646000,,16.26,16.3,16.39,16.1,39503
1262732400,,16.27,16.2,16.3,16.17,47831
1262818800,,16.3,16,16.3,15.95,12559
1262905200,,16.09,15.47,16.09,15.47,23600
1263164400,,15.49,15.13,15.7,15.1,121892
1263250800,,15.13,15.08,15.25,14.9,60408
1263337200,,15.1,15.81,15.9,15.07,441019
1263423600,,16,15.5,16,15.5,54399
1263510000,,15.5,15.6,15.8,15.21,3613
1263769200,,15.74,16.06,16.2,15.7,103490
1263855600,,16.06,16,16.09,15.82,11024
1263942000,,16.04,15.75,16.04,15.74,16696
1264028400,,15.8,15.6,15.8,15.6,26472
1264114800,,15.55,15.53,15.7,15.52,13288
1264374000,,15.59,15.76,15.87,15.28,9202
1264460400,,15.51,15.65,15.76,15.26,9180
1264546800,,15.65,15.87,15.89,15.5,2931
1264633200,,15.86,16,16.2,15.65,679373
1264719600,,16,16.07,16.09,15.9,13606
1264978800,,16.08,16.05,16.08,15.9,13315
1265065200,,16.05,16.45,16.66,16.05,256854
1265151600,,16.44,17.1,17.18,16.28,83480
1265238000,,17.2,16.83,17.5,16.82,68915
1265324400,,16.7,16.76,16.76,16.26,48439
1265583600,,16.5,16.76,17.17,16.31,23782
1265670000,,16.95,16.9,17,16.6,11919
1265756400,,16.99,16.6,17,16.6,27957
1265842800,,16.8,16.85,16.94,16.68,6231
1265929200,,16.95,17,17.25,16.95,211470
1266188400,,17.05,17.5,17.75,17.05,49825
1266274800,,17.65,17.4,17.75,17.38,43568
1266361200,,17.55,17.9,17.9,17.44,29524
1266447600,,18,18.15,18.25,17.71,41075
