t,p,o,c,h,l,v
1303336800,,111,122,128,111,34865
1303768800,,121.7,122,123.2,120,1351
1303855200,,122.2,122.1,122.5,121.7,1291
1303941600,,123,127.5,129,123,1679
1304028000,,130,129,130,128.1,1695
1304287200,,129,129,129.1,128.9,388
1304460000,,129,130,130,125,14452
1304546400,,130,133.9,134.7,130,959
1304632800,,130,132.5,132.5,129,508
1304892000,,134.8,134.9,134.9,130,3603
1304978400,,134,134.9,134.9,132.5,256
1305064800,,134.9,134.1,134.9,134,1036
1305151200,,134.8,138,138,134.5,3402
1305237600,,149.9,150,158,145,5281
1305496800,,148,157,158,148,1517
1305583200,,159,155,164.4,155,1470
1305669600,,157,149,157,141.3,498
1305756000,,143,142.2,143,140,530
1305842400,,135.1,145,145,135.1,1053
1306101600,,143,144,144.9,143,225
1306188000,,0,144,144,144,0
1306274400,,140,140,140,140,10
1306360800,,140,142,142,140,724
1306447200,,0,142,142,142,0
1306706400,,144.7,150.5,154,144.7,110
1306792800,,0,150.5,150.5,150.5,0
1306879200,,145.5,152,152,145.5,83
1306965600,,152,154,154,148,122
1307052000,,145,156.5,156.5,145,237
1307311200,,156.5,157,157,156.5,37
1307397600,,155,155,155,155,70
1307484000,,151,149,155,149,186
1307570400,,0,149,149,149,0
1307656800,,150,150,150,150,40
1307916000,,0,150,150,150,0
1308002400,,145,145,145,145,2
1308088800,,0,145,145,145,0
1308175200,,145,150,150,140.1,200
1308261600,,0,150,150,150,0
1308520800,,141.2,149,149,141.2,100
1308607200,,140,148,148,140,50
1308693600,,146,146,146,146,2806
1308866400,,149,150,150,149,95
1309125600,,151.1,150,154.9,150,7317
1309212000,,150,151,151,150,42
1309298400,,154.9,159,159,151.2,854
1309384800,,160,159,160,155.1,5071
1309471200,,159,159,159,155.5,3073
1309730400,,159,159,159,159,1
1309816800,,155.5,155.5,155.5,155.5,37
1309903200,,155.5,155.5,155.5,155.5,112
1309989600,,160.5,160.5,160.5,160.5,126
1310076000,,160.5,163,163,160.5,251
1310335200,,162,160,162,160,20043
1310421600,,160,160,160,160,11810
1310508000,,159.9,155.4,160,155.4,240
1310594400,,0,155.4,155.4,155.4,0
1310680800,,0,155.4,155.4,155.4,0
1310940000,,155.4,155.4,155.4,155.4,15
1311026400,,155.5,155,155.5,155,496
1311112800,,155,155,155,155,25
1311199200,,150.1,159,159,150,181
1311285600,,0,159,159,159,0
1311544800,,150.6,150.6,150.6,150.6,14
1311631200,,150.6,158,158,150.6,54
1311717600,,158,160,160,158,32
1311804000,,0,160,160,160,0
1311890400,,160,160,160,160,50
1312149600,,0,160,160,160,0
1312236000,,158,158,158,158,8024
1312322400,,155,155,155,155,20062
