t,p,o,c,h,l,v
1248213600,,60.05,61.1,61.4,60.05,87012
1248300000,,61,62.75,63.2,60.5,34634
1248386400,,63.2,66.9,68.5,62.8,46946
1248645600,,68.2,67.5,69.95,66.05,63885
1248732000,,68,66.9,68,66.6,60248
1248818400,,66.3,68,68,66,48761
1248904800,,68.05,68.35,68.45,68,32260
1248991200,,68.95,69,69,68.45,63836
1249250400,,69.2,68.5,69.8,68,39822
1249336800,,69.1,67.55,69.1,66.55,26834
1249423200,,67.1,67,67.55,67,25343
1249509600,,67.1,67.2,67.2,66.6,38833
1249596000,,66.6,69.5,69.6,66.6,9112
1249855200,,69.5,70,70,68.3,16903
1249941600,,69.5,70,71.5,69.5,19669
1250028000,,69.5,69.5,69.5,67.9,20775
1250114400,,69.5,72.5,72.95,69.5,37631
1250200800,,73,72.1,73,72.1,13628
1250460000,,70.9,70,70.9,69.6,12317
1250546400,,70,69.7,70,69,24986
1250632800,,71.3,71,71.3,69.4,2000
1250719200,,71,72,72,71,3789
1250805600,,72.5,73,73,71.3,37939
1251064800,,73,72,73,71.8,20230
1251151200,,72.9,70.3,72.9,69.85,38077
1251237600,,70.3,69.9,71.5,69.8,9614
1251324000,,69.8,70,70,68.75,88085
1251410400,,70,70.8,71.5,70,14852
1251669600,,70.8,71.3,71.3,69.8,4670
1251756000,,71,69.8,71.8,68.1,7222
1251842400,,68.1,67.5,68.1,66,19861
1251928800,,66.6,68.9,69,66.6,4212
1252015200,,68.9,69,70,67.2,31523
1252274400,,67.8,68.1,69,67.8,12954
1252360800,,69.9,66.95,69.9,66.5,51369
1252447200,,66.95,66,66.95,65.5,37971
1252533600,,66.05,64.2,67.5,63.1,35311
1252620000,,65,66,66,64.5,14582
1252879200,,65.7,63.7,65.7,63.4,31930
1252965600,,64.1,64.5,65.5,64.1,22177
1253052000,,65.5,66.2,66.2,65,10258
1253138400,,66.55,68.7,68.9,66.55,17140
1253224800,,68.05,69.8,69.8,68,9484
1253484000,,69,71.1,71.5,69,16677
1253570400,,70.1,73.5,73.5,70.1,110947
1253656800,,73,73.5,73.9,71.5,10183
1253743200,,72.25,73.9,74,72.25,15787
1253829600,,73,73.5,73.5,72.15,6775
1254088800,,72.3,73.55,73.55,72.3,11205
1254175200,,73.55,73.5,73.55,73,49666
1254261600,,72.35,73.7,73.8,72.3,9892
1254348000,,73.7,73.05,73.8,72.55,5758
1254434400,,72.5,73.7,73.7,72,8669
1254693600,,73,73.9,74.95,72.9,27114
1254780000,,74.5,74.95,75,73.9,8126
1254866400,,75,74.5,75,72.3,3367
1254952800,,74,74.3,74.35,72.6,4568
1255039200,,74.4,75,76.2,73.5,18021
1255298400,,75.4,77.5,77.5,74,20535
1255384800,,77.8,76.05,77.8,75.1,9491
1255471200,,76.5,76.5,76.5,75.9,116648
1255557600,,76.9,76.15,76.9,75.05,36496
1255644000,,75.7,75.5,76,75.05,3574
1255903200,,75.9,74.5,75.9,73,4330
1255989600,,73.9,73.7,74.5,71.7,16456
1256076000,,73.5,74,74,71.8,6853
1256162400,,72,74.5,74.5,72,46051
1256248800,,74,74,74,73.5,14865
1256511600,,73.05,75,75,73,2106
1256598000,,74,73.9,74,73.3,2881
1256684400,,75.5,74,76.5,73.6,11760
1256770800,,74,75.3,75.3,73.5,9017
1256857200,,75.5,75.5,75.5,74.5,11476
1257116400,,75.45,76,76,75.2,2038
1257202800,,76,75.45,76,75,1934
1257289200,,75.45,74.5,75.45,74.45,3496
1257375600,,74,74,74.45,73.75,5744
1257462000,,74,73,75,73,8890
1257721200,,73.5,74.5,74.5,72.9,7548
1257807600,,75,75,75.95,74.75,42495
1257980400,,75,75.3,75.5,74.9,5480
1258066800,,75.4,74.5,75.5,74,7593
1258326000,,75,75,75.1,74.6,1031
1258412400,,74.55,74,74.55,73.45,5201
1258498800,,74,73.5,74,73,6151
1258585200,,73.35,73.15,73.35,72.6,2820
1258671600,,73,73.85,73.85,72.8,1557
1258930800,,73.85,72.9,73.85,72.6,9182
1259017200,,72.5,71,72.8,70.4,38593
1259103600,,70.95,71,71.1,69.7,2807
1259190000,,71.4,69.5,71.4,69.5,8103
1259276400,,67.3,69.9,69.9,67.1,2306
1259535600,,69.9,70.9,71.4,69.7,11191
1259622000,,71.8,70.5,71.8,70.5,4095
1259708400,,71,70.8,71.7,70.75,302847
