t,p,o,c,h,l,v
925855200,,0,151,151,151,4312
925941600,,0,156.5,156.5,156.5,2961
926028000,,0,155,155,155,2211
926287200,,0,154,154,154,681
926373600,,0,152.5,152.5,152.5,1272
926460000,,0,152,152,152,1136
926546400,,0,154,154,154,2137
926632800,,0,153,153,153,1222
926892000,,0,150,150,150,4963
926978400,,0,151,151,151,1598
927064800,,0,152.5,152.5,152.5,1651
927151200,,0,154,154,154,2013
927237600,,0,154,154,154,2150
927496800,,0,152,152,152,2530
927583200,,0,150,150,150,3118
927669600,,0,148,148,148,2967
927756000,,0,148,148,148,5142
927842400,,0,145.5,145.5,145.5,1982
928101600,,0,145,145,145,804
928188000,,0,145,145,145,2485
928274400,,0,149,149,149,4479
928706400,,0,153,153,153,1996
928792800,,0,153,153,153,2161
928879200,,0,148,148,148,3693
928965600,,0,150,150,150,1306
929052000,,0,151.5,151.5,151.5,4586
929311200,,0,152,152,152,2034
929397600,,0,153,153,153,1686
929484000,,0,151.5,151.5,151.5,658
929570400,,0,153,153,153,1870
929656800,,0,154,154,154,1306
929916000,,0,156,156,156,1323
930002400,,0,160,160,160,3425
930088800,,0,157,157,157,4063
930175200,,0,157,157,157,1359
930261600,,0,157,157,157,571
930520800,,0,157,157,157,1479
930607200,,0,159,159,159,4748
930693600,,0,160,160,160,5530
930780000,,0,160,160,160,2966
930866400,,0,163,163,163,2829
931125600,,0,175,175,175,4967
931212000,,0,180,180,180,4010
931298400,,0,180,180,180,2922
931384800,,0,185,185,185,2495
931471200,,0,185,185,185,1600
931730400,,0,184.5,184.5,184.5,572
931816800,,0,183,183,183,699
931903200,,0,181,181,181,1152
931989600,,0,182,182,182,2766
932076000,,0,181,181,181,2409
932335200,,0,179,179,179,1481
932421600,,0,185,185,185,1016
932508000,,0,199,199,199,5429
932594400,,0,199,199,199,7790
932680800,,0,198.5,198.5,198.5,1257
932940000,,0,194,194,194,2033
933026400,,0,196,196,196,3961
933112800,,0,199,199,199,776
933199200,,0,197,197,197,2484
933285600,,0,196,196,196,892
933544800,,0,197.5,197.5,197.5,980
933631200,,0,199,199,199,1062
933717600,,0,201,201,201,2171
933804000,,0,203,203,203,2289
933890400,,0,206,206,206,2843
934149600,,0,207,207,207,2087
934236000,,0,209,209,209,2476
934322400,,0,209,209,209,3127
934408800,,0,211,211,211,2502
934495200,,0,224.5,224.5,224.5,3039
934754400,,0,229,229,229,3501
934840800,,0,225,225,225,3256
934927200,,0,221,221,221,1910
935013600,,0,219,219,219,1451
935100000,,0,216,216,216,1485
935359200,,0,210,210,210,2906
935445600,,0,200,200,200,5074
935532000,,0,202.5,202.5,202.5,2683
935618400,,0,210,210,210,1925
935704800,,0,218,218,218,3476
935964000,,0,223,223,223,4386
936050400,,0,228,228,228,4446
936136800,,0,226,226,226,4737
936223200,,0,229,229,229,3193
936309600,,0,233,233,233,3008
936568800,,0,248.5,248.5,248.5,3239
936655200,,0,248,248,248,4684
936741600,,0,239,239,239,2738
936828000,,0,228,228,228,4540
936914400,,0,116.5,116.5,116.5,6350
937173600,,0,115,115,115,6542
937260000,,0,109,109,109,5610
937346400,,0,98.5,98.5,98.5,7780
937432800,,0,98.5,98.5,98.5,8203
937519200,,0,99.5,99.5,99.5,7150
937778400,,0,100,100,100,6658
937864800,,0,99.5,99.5,99.5,4642
937951200,,0,97.5,97.5,97.5,8531
938037600,,0,92.5,92.5,92.5,12970
938124000,,0,92.5,92.5,92.5,7507
938383200,,0,90.5,90.5,90.5,8382
938469600,,0,89,89,89,6160
938556000,,0,85,85,85,11803
938642400,,0,78,78,78,11129
