t,p,o,c,h,l,v
1492552800,,36.15,37.5,37.88,36.15,10267297
1492639200,,37.45,38,38.2,37.2,1361524
1492725600,,38.14,39.19,39.5,38.08,1513875
1492984800,,39.5,39.36,39.5,38.6,664260
1493071200,,38.86,39.15,39.94,38.72,920443
1493157600,,39.2,38.69,39.46,37.51,472193
1493244000,,38.69,38.55,38.69,38.18,66596
1493330400,,38.69,38.76,38.76,37.77,181393
1493676000,,38.55,38.7,38.7,38.08,45397
1493848800,,39,38.8,39.48,38.7,168665
1493935200,,38.99,38.84,39.3,38.81,127879
1494194400,,39,39.01,39.35,37.95,146641
1494280800,,39.03,38.6,39.33,38.21,85999
1494367200,,38.5,38.4,38.5,38.05,71885
1494453600,,38.4,38,38.4,37.6,246320
1494540000,,38,38.79,38.79,37.79,98143
1494799200,,38.5,39,39.15,38.5,481057
1494885600,,39,38.98,39.28,38.87,190881
1494972000,,38.75,38.71,39,38.3,24182
1495058400,,38.31,38.23,38.59,37.76,39541
1495144800,,38.05,39.8,39.95,38.05,233673
1495404000,,39.79,40.5,40.56,39.3,250581
1495490400,,40.65,40.35,40.65,40,134415
1495576800,,41,41.48,42.03,40.35,581839
1495663200,,41.53,40.83,41.53,40.36,267990
1495749600,,40.75,41.45,41.5,40.75,126791
1496008800,,41.38,41.48,41.5,41.24,5600
1496095200,,41.69,40.65,41.69,40.65,143936
1496181600,,40.7,41.13,41.13,40.7,239122
1496268000,,41.29,43.01,43.18,41.29,182903
1496354400,,43.7,45,46.22,43.7,457453
1496613600,,45,45,45.8,43.92,89875
1496700000,,44.6,44.49,44.7,44.23,46305
1496786400,,44.71,44.39,45,43.95,76436
1496872800,,44.68,43.76,44.68,43.5,193194
1496959200,,43.99,43.85,44,43.7,8917
1497218400,,44,43.88,44.14,43.21,13507
1497304800,,43.88,43.85,43.9,43.6,8015
1497391200,,44.05,43.35,44.05,43.35,271799
1497564000,,43.35,43.75,44,43.1,203057
1497823200,,44.99,44.9,45.3,44.56,543931
1497909600,,45.17,45.31,45.6,45.17,84724
1497996000,,45.95,45.19,45.95,45.19,28979
1498082400,,45.19,45.1,45.19,45,655945
1498168800,,45.5,45.48,45.79,45.12,56530
1498428000,,45.79,45.8,45.93,45.51,99575
1498514400,,45.8,45.4,45.8,45.4,13291
1498600800,,45.4,45.6,45.6,45,21496
1498687200,,45.9,46,46,45.8,68021
1498773600,,45.85,46.89,46.89,45.83,121770
1499032800,,47.13,47.1,47.32,46.52,13975
1499119200,,47.1,46.97,47.75,46.83,139571
1499205600,,47.3,46.5,47.3,45.25,41905
1499292000,,46.12,47,47,46,7936
1499378400,,47.2,46.2,47.78,46.03,242915
1499637600,,46.2,47.2,47.2,46.2,462388
1499724000,,47.2,47.15,47.2,47,90492
1499810400,,47.16,48.24,48.46,47.15,268872
1499896800,,48.25,48.3,48.3,47.53,308413
1499983200,,48.3,48.2,48.49,47.7,88014
1500242400,,46.11,48.41,50.2,46.11,225916
1500328800,,48.45,48.5,49.2,48.1,66410
1500415200,,49.8,48.9,49.9,47.15,500600
1500501600,,48.94,50,50.29,48.89,117036
1500588000,,50,50.04,51.44,49.9,285341
1500847200,,50.98,50,50.98,49.88,347122
1500933600,,50.39,50.15,50.39,50,22890
1501020000,,50.2,50.05,50.2,50,90477
1501106400,,50.2,50.8,51.1,50.06,49673
1501192800,,50.8,52.38,52.77,50.8,322844
1501452000,,53,53.4,53.6,52.47,409806
1501538400,,53,52.75,53.5,52.57,131873
1501624800,,53,53,53.5,52.76,71126
1501711200,,53.11,52.37,53.38,52.37,133448
1501797600,,52,51.5,52.76,51.5,98528
1502056800,,51.45,50.4,51.5,49.15,169069
1502143200,,50.99,50.99,51.39,50.5,146353
1502229600,,50.9,50.77,51.28,50.5,15599
1502316000,,51,51,51.19,50.75,73641
1502402400,,50.81,50.8,50.99,50.6,26404
1502661600,,50.92,50.39,50.92,49.37,49237
1502834400,,50.41,50.65,50.89,49.6,179528
1502920800,,50.05,50.1,50.5,50,88187
1503007200,,50.1,50.15,50.39,49.99,46944
1503266400,,50.1,50.48,50.5,50.1,11615
1503352800,,50.5,52.48,52.85,50.1,48993
1503439200,,52.39,52.17,52.5,52.01,398607
1503525600,,52.18,53,53,52.18,46324
1503612000,,52.75,53.45,53.78,52.64,21767
1503871200,,53.11,53.6,53.7,53.01,14339
1503957600,,53.61,54.28,54.3,53,77876
1504044000,,55.05,57.45,57.68,55.05,453641
1504130400,,58.2,58.98,59.47,58.2,430478
1504216800,,59.45,58.6,59.45,58.04,153220
1504476000,,58,58.95,59,58,45244
1504562400,,59.05,59,59.2,58.1,80663
1504648800,,58.88,59.5,59.5,58.65,114321
1504735200,,59.75,61.5,64.3,59.26,330047
1504821600,,62,62.35,63.99,61.99,231994
1505080800,,62.5,62.5,63.29,62.35,46027
1505167200,,62.75,63.26,63.88,62.52,53186
1505253600,,64.29,64.98,65.59,63.35,137440
1505340000,,65.49,65.25,65.49,65.09,38124
1505426400,,65.4,65.57,65.6,65,95150
1505685600,,65.6,61.9,67,60.35,207125
1505772000,,62,62.24,62.89,58.72,267529
1505858400,,62.8,63.8,63.83,62.5,331478
1505944800,,64.47,63.43,64.47,63,252594
1506031200,,63.62,63.65,63.9,63.31,74697
1506290400,,64,63.37,64.48,63.37,23308
1506376800,,63.6,63.7,64,62.42,254413
1506463200,,63.99,65.39,65.39,61.68,451228
1506549600,,65.5,65.93,66.5,65.2,352856
1506636000,,65,66.35,66.4,65,213594
1506895200,,66.5,67.07,67.89,66.47,123048
1506981600,,68.4,68.72,69.3,68.2,161174
1507068000,,69.5,67.9,69.5,67.55,184008
1507154400,,68,68.75,69,66.8,269074
1507240800,,68.75,68.75,68.95,68.24,410203
1507500000,,68.75,68.6,68.75,68.3,81444
1507586400,,68.5,68.8,69.49,68.5,129874
1507672800,,69.01,68.65,69.36,66.91,78791
1507759200,,69.47,69.5,69.97,68.95,89458
1507845600,,69.95,69.75,69.95,69.49,33305
1508104800,,69.97,68.8,69.99,68.62,95085
1508191200,,69.4,69,69.4,67.77,82907
1508277600,,69.2,68.8,69.2,68.62,25459
1508364000,,69.5,67,69.5,66.62,73837
1508450400,,67,66.85,67.29,66,134543
1508709600,,67.5,67.25,68.34,67,101765
1508796000,,67.32,67,67.8,66.42,450341
1508882400,,67.2,66.98,67.2,66.33,176804
1508968800,,67.48,68.19,68.98,67.11,235624
1509055200,,68.5,68,69.57,67.52,520459
1509318000,,68,68.6,69.84,68,119380
1509404400,,68.3,68.52,69.4,68.28,337378
1509577200,,68.52,68,69.5,68,210333
1509663600,,68.04,67.71,69.3,67.52,178704
1509922800,,67.74,67.8,69,67.74,147893
1510009200,,68.33,67.4,68.33,67.11,194443
1510095600,,67.4,66.99,68.2,63.27,415033
1510182000,,66.99,64.5,67.03,64,485805
1510268400,,64.5,64,65,64,262646
1510527600,,63.51,64.4,64.92,61.22,458077
1510614000,,67.5,66,67.77,64.5,832757
1510700400,,68.5,66.77,68.5,65.21,552346
1510786800,,67,66.5,67.22,65.42,457339
1510873200,,66.8,67.2,67.9,65.54,517538
1511132400,,67.21,67.3,68.6,66.99,379299
1511218800,,67.5,67.99,68.44,67.5,704289
1511305200,,68,71.1,71.1,67.9,678454
1511391600,,71.33,72.6,73.12,71.3,601065
1511478000,,73.2,74.7,75.15,73.19,945580
1511737200,,74.99,74.3,77.46,74.06,946051
1511823600,,73,77,77.2,73,641594
1511910000,,77.01,75.42,77.5,74.45,682378
1511996400,,75.25,72.84,75.25,71.05,5586540
1512082800,,72.85,72.35,73.34,71.15,563578
1512342000,,72.4,72.5,74.27,71.51,526512
