t,p,o,c,h,l,v
1567634400,,52.61,52.4,52.99,52.4,23930
1567720800,,52.82,52.6,53.01,52.6,10568
1567980000,,52.98,53.18,53.56,52.97,18615
1568066400,,53.63,53,53.77,53,3237
1568152800,,53.42,53.27,53.57,53.27,1310
1568239200,,53.56,52.58,53.66,52.58,7944
1568325600,,52.99,52.59,53.09,52.59,9335
1568584800,,52.84,52.89,53,52.65,6892
1568671200,,52.89,52.6,52.89,52.54,5467
1568757600,,52.93,52.94,53.07,52.79,6794
1568844000,,53.08,52.99,53.12,52.9,1330
1568930400,,53.1,51.99,53.1,51.7,8298
1569189600,,52.3,51.51,52.35,51.51,1702
1569276000,,51.88,51.78,52.06,51.73,6416
1569362400,,51.82,51.47,51.82,51.47,1533
1569448800,,51.57,51.69,51.99,51.57,1486
1569535200,,51.85,51.71,52.09,51.7,7003
1569794400,,51.98,51.34,51.98,51.34,3343
1569880800,,51.53,51.54,52.12,51.5,3201
1569967200,,51.17,50.17,51.19,50.17,3012
1570053600,,50.33,50,51.17,50,3601
1570140000,,50.29,50.1,50.3,50.07,3493
1570399200,,50.34,49.87,50.34,49.87,3153
1570485600,,50.22,50.06,50.22,50,1575
1570572000,,50.2,50,50.3,50,2156
1570658400,,50.06,49.98,50.14,49.95,1844
1570744800,,50.15,50.33,50.73,50.05,2574
1571004000,,50.88,50.19,50.88,50.12,8688
1571090400,,50.66,50.29,50.66,50.25,2833
1571176800,,50.63,50.62,50.85,50.62,3610
1571263200,,50.92,50.98,51.13,50.85,5522
1571349600,,51.24,50.5,51.24,50.5,3979
1571608800,,50.81,50.65,50.87,50.61,5725
1571695200,,50.96,50.67,51.04,50.67,2709
1571781600,,51.07,50.9,51.19,50.84,2120
1571868000,,51.41,51.24,51.41,51.1,2361
1571954400,,51.49,50.99,51.49,50.9,967
1572217200,,51.3,51.34,51.44,51.15,4304
1572303600,,51.68,51.36,51.68,51.36,2355
1572390000,,51.83,51.51,51.83,51.51,3211
1572476400,,51.92,51.46,51.92,51.28,13360
1572822000,,52.9,52.28,52.9,51.8,1883
1572908400,,52.45,52.38,52.8,52.38,2280
1572994800,,52.82,52.22,52.82,52.22,2636
1573081200,,52.75,52.15,52.82,52.15,14642
1573167600,,52.55,52.32,52.74,52.32,4114
1573513200,,52.43,52.59,52.76,52.43,3509
1573599600,,52.6,52.21,52.62,52.04,8806
1573686000,,52.42,52.07,52.51,51.67,20237
1573772400,,52.34,52.03,52.34,51.8,1087
1574031600,,52.52,52.74,52.74,52.21,1379
1574118000,,52.79,52.92,53.2,52.79,6656
1574204400,,53.13,52.2,53.13,51.98,6215
1574290800,,51.65,51.61,51.88,51.6,4249
1574377200,,52.01,51.9,52.22,51.9,1120
1574636400,,52.07,52.46,52.74,52.07,3467
1574722800,,52.79,52.75,52.9,52.58,2046
1574809200,,52.78,52.62,52.94,52.62,2691
