t,p,o,c,h,l,v
1615762800,,67.91,67.72,68.03,67.65,630
1615849200,,68.32,68.29,68.4,68.26,913
1615935600,,68.16,67.87,68.16,67.56,23935
1616022000,,68.19,67.91,68.19,67.57,21632
1616108400,,67.59,67.25,67.68,67.06,339
1616367600,,67.11,67.72,67.72,67.11,58
1616454000,,67.57,67.73,67.8,67.55,176
1616540400,,67.24,67.46,67.5,67.23,163
1616626800,,67.01,66.51,67.01,66.51,435
1616713200,,67.58,67.58,67.58,67.58,30
1616968800,,67.97,67.85,68,67.85,50
1617055200,,68.33,68.07,68.33,68.07,101
1617141600,,68.17,68.17,68.17,68.17,20
1617228000,,68.59,68.88,68.88,68.59,791
1617660000,,70.02,70.09,70.14,69.95,559
1617746400,,70.18,70.19,70.19,70,1271
1617832800,,70.47,70.3,70.47,70.3,876
1617919200,,70.5,70.35,70.5,70.35,40
1618178400,,70.88,70.84,70.88,70.82,811
1618264800,,70.98,71.01,71.01,70.7,248
1618351200,,71.23,71.29,71.31,71.01,252
1618437600,,71.16,71.3,71.31,71.16,31
1618524000,,71.56,71.78,71.82,71.56,661
1618783200,,71.78,71.71,71.82,71.61,644
1618869600,,71.63,71.18,71.68,71,646
1618956000,,70.99,71.05,71.06,70.86,68
1619042400,,71.42,71.63,71.65,71.42,575
1619128800,,71.12,71.15,71.2,71.08,293
1619388000,,71.79,71.66,71.8,71.62,222
1619474400,,71.92,71.66,71.92,71.5,202
1619560800,,71.81,71.77,71.88,71.62,197
1619647200,,72.18,71.96,72.27,71.96,519
1619733600,,72,71.97,72.07,71.66,423
1620079200,,72,71.05,72,71.05,953
1620165600,,71.35,71.58,71.71,71.35,323
1620252000,,71.63,71.3,71.7,71.3,658
1620338400,,72.06,72.63,72.63,72.06,218
1620597600,,72.62,72.45,72.64,72.45,287
1620684000,,71.6,70.5,71.6,70.5,476
1620770400,,71.08,70.32,71.16,70.32,379
1620856800,,69.67,70.6,70.6,69.21,449
1620943200,,70.74,71.33,71.33,70.72,311
1621202400,,71.36,71.3,71.56,71.12,156
1621288800,,71.63,71.3,71.63,71.3,228
1621375200,,70.47,69.7,70.47,69.67,321
1621461600,,70.36,71.03,71.03,70.11,206
1621548000,,71.49,71.78,71.78,71.49,200
1621807200,,71.6,71.84,71.84,71.42,134
1621893600,,72.27,72,72.27,72,208
1621980000,,72.05,71.76,72.05,71.76,38
1622066400,,71.63,72.05,72.23,71.59,277
1622152800,,72.24,72.16,72.34,72.12,376
1622412000,,72.21,72,72.21,71.94,229
1622498400,,72.2,72.33,72.51,72.2,250
1622584800,,72.06,72.01,72.06,72,157
1622757600,,71.96,71.96,71.96,71.96,6
1623016800,,72.5,72.55,72.7,72.39,493
1623103200,,72.49,72.51,72.52,72.29,151
1623189600,,72.37,72.59,72.62,72.33,236
1623276000,,72.35,72.5,72.5,72.21,54
1623362400,,72.55,72.56,72.58,72.5,150
1623621600,,72.83,72.57,72.83,72.57,780
1623708000,,72.98,72.77,72.98,72.77,145
1623794400,,72.54,72.65,72.66,72.54,226
1623880800,,72.11,72.12,72.25,71.98,185
1623967200,,72.44,71.76,72.46,71.67,240
1624226400,,71.34,71.51,71.65,71.34,574
1624312800,,72.26,72.37,72.37,72.26,56
1624399200,,73.03,72.95,73.03,72.62,530
1624485600,,73,73.09,73.15,73,252
1624572000,,73.25,73.25,73.25,73.24,240
1624831200,,73.29,73.44,73.57,73.24,573
1624917600,,73.59,73.59,73.59,73.59,34
1625004000,,73.69,73.89,73.89,73.4,261
1625090400,,73.9,73.76,74.02,73.71,238
1625176800,,74.18,74.37,74.37,74.01,443
1625436000,,74.59,74.69,74.73,74.55,335
1625522400,,74.65,74.13,74.66,74.12,306
1625608800,,74.62,74.27,74.66,74.27,117
1625695200,,74.27,73.84,74.27,73.6,228
1625781600,,74.28,74.38,74.49,74.28,114
1626040800,,74.95,75.14,75.14,74.8,210
1626127200,,75.17,75,75.29,75,187
1626213600,,74.92,75.22,75.38,74.9,265
1626300000,,75.08,75.05,75.1,74.92,736
1626386400,,74.89,74.67,75.14,74.5,262
1626645600,,74.05,72.91,74.05,72.87,468
1626732000,,73.55,73.8,73.8,73.29,640
1626818400,,74.37,74.62,74.63,74.22,648
1626904800,,74.83,74.92,74.93,74.75,37
1626991200,,75.05,75.15,75.37,75.05,191
1627250400,,75.5,75.58,75.58,75.3,28
1627336800,,75.62,75.58,75.8,75.34,272
1627423200,,75.49,75.66,75.7,75.4,337
1627509600,,75.5,75.69,75.7,75.5,98
1627596000,,75.2,75.5,75.5,75.2,403
