t,p,o,c,h,l,v
1582585200,,46.95,44.5,46.95,44.45,2907
1582671600,,44.29,43.72,44.6,42.67,8836
1582758000,,42.79,40.2,43.41,39.44,19322
1582844400,,37.695,36.21,38.4,35.19,42081
1583103600,,39.03,37.64,39.09,36.21,7713
1583190000,,39,41.16,42.02,38.69,23608
1583276400,,39.97,40.18,41.3,39.97,8100
1583362800,,41.2,38.59,41.29,38.5,10064
1583449200,,37.5,36.5,37.55,35.4,13582
1583708400,,31.4,30.69,33.08,29.62,45893
1583794800,,31.06,29.5,31.34,29.11,16171
1583881200,,29.43,25.89,29.43,25.5,26395
1583967600,,25,19.99,25,19.72,31978
1584054000,,20.8,20.79,22.63,19.2,35767
1584313200,,19.05,19.78,20.2,17.18,40698
1584399600,,21.56,22.77,23,20.37,40091
1584486000,,21.65,21.86,23.68,21,32983
1584572400,,22.58,23.98,24.13,21.54,27002
1584658800,,26.31,24.45,26.36,24,45132
1584918000,,24,21.3,24,21.3,29704
1585004400,,23.1,23.1,23.3,22.05,41009
1585090800,,24.26,22.7,24.75,21.9,43517
1585177200,,22.06,24.18,24.26,21.8,47022
1585263600,,24.09,23.69,24.44,23.5,24631
1585519200,,23.58,23.87,23.87,22.79,21041
1585605600,,24.5,25.09,25.35,24.26,21219
1585692000,,24.3,24.56,24.56,23.86,22737
1585778400,,24.53,24.04,24.6,23.45,18367
1585864800,,24.04,24.8,24.91,23.77,19187
1586124000,,26.1,27,27.38,25.96,17141
1586210400,,29,28.1,31.3,28.1,30801
1586296800,,27.85,27.3,28.48,26.79,37129
1586383200,,28.65,28.45,28.65,27.21,38018
1586815200,,29.48,30,30.19,28.82,20468
1586901600,,29.91,27.89,29.91,27.89,31027
1586988000,,28.3,27.62,28.42,27.4,9619
1587074400,,28.93,28.73,28.93,28.24,7800
1587333600,,28.76,29.28,29.28,27.9,4556
1587420000,,28.68,26.9,28.7,26.72,14248
1587506400,,26.74,28.12,28.12,26.6,15929
1587592800,,28.2,28.7,28.7,27.32,14555
1587679200,,28.21,27.75,28.75,27.75,25732
1587938400,,28.55,27.65,28.57,26.84,18336
1588024800,,27.03,27.7,28.55,27.03,43098
1588111200,,28.04,29.47,29.7,28.04,20496
1588197600,,30.21,29.43,30.78,29.2,38885
1588543200,,27.8,27.61,28.28,27.61,31128
1588629600,,28.18,27.72,28.3,27.4,23390
1588716000,,27.6,26.7,27.6,26.65,15319
1588802400,,26.9,27.25,27.84,26.41,12886
1588888800,,28.07,27.96,28.08,27.7,7080
1589148000,,28.25,27.23,28.43,27.04,7196
1589234400,,27.25,28.4,28.4,27.18,8340
1589320800,,28.27,28.03,28.72,27.79,19320
1589407200,,27.32,26.66,27.62,26.26,15464
1589493600,,27.47,26.67,27.47,26.61,19401
1589752800,,27.4,28.83,28.83,27.22,9260
1589839200,,29.55,29.07,29.64,28.53,18666
1589925600,,28.75,29.5,29.66,28.75,7512
1590012000,,29.16,28.81,29.43,28.8,3767
1590098400,,28.485,28.73,28.73,28.12,3382
1590357600,,28.8,29.24,29.295,28.8,6656
1590444000,,29.8,31.5,31.5,29.66,19815
1590530400,,32.05,31,33.42,31,48251
1590616800,,32.24,31.72,33.15,30.95,24241
1590703200,,31.61,31.55,31.7,31.15,7599
1590962400,,33,32.29,33,31.9,7714
1591048800,,32.37,32.4,32.55,31.95,5155
1591135200,,33.32,33.41,34.1,33,13290
1591221600,,33.48,34.05,34.13,33.09,11062
1591308000,,34.61,36.46,36.68,34.61,26324
1591567200,,36.29,36.24,36.8,35.27,22096
1591653600,,36.32,36.06,36.32,35.23,13716
1591740000,,36.2,36.02,36.48,35.55,22072
1591912800,,33.97,34.25,35.26,33.6,25146
1592172000,,32.93,32.39,33,32.22,34293
1592258400,,34.32,34.83,34.93,33.7,27227
1592344800,,34.97,33.86,34.97,33.85,14896
1592431200,,33.73,34.2,34.6,33.72,15652
1592517600,,34.16,34.65,34.65,34.16,2443
1592776800,,34.1,34.465,34.525,33.95,14539
1592863200,,34.81,35.49,36.16,34.78,12307
1592949600,,35.62,33.92,35.7,33.92,13595
1593036000,,33.55,34.33,34.33,33,13465
1593122400,,34.39,33.04,34.39,32.89,12269
1593381600,,33.26,33.19,33.26,32.61,8158
1593468000,,33.48,32.88,33.48,32.78,741
1593554400,,32.78,32.21,33.38,32.21,3567
1593640800,,33.63,34.53,34.79,33.63,13749
1593727200,,34.9,34.36,34.9,34.34,17956
1593986400,,35.31,35,35.51,35,4286
1594072800,,34.5,34.42,34.63,34.35,652
1594159200,,33.93,34.06,34.2,33.6,3673
1594245600,,34.17,34.24,34.45,34.08,499
1594332000,,33.5,34.19,34.19,33.35,1303
1594591200,,35,34.57,35,34.56,3380
1594677600,,34.1,33.33,34.1,33.05,5299
1594764000,,33.9,34.23,34.24,33.63,2650
1594850400,,33.76,34.11,34.23,33.76,5943
1594936800,,34.45,34.18,34.45,34,7971
1595196000,,34.18,35.69,35.69,34,17338
1595282400,,36.71,36.07,37.65,36.07,11022
1595368800,,35.95,35.61,36.22,35.61,1256
1595455200,,35.82,35.15,35.92,35.15,1585
