t,p,o,c,h,l,v
1574809200,,372.7,375.35,375.85,372.7,48
1574895600,,377.75,375.85,379.15,375.85,58
1574982000,,378.05,377.6,378.05,375.8,44
1575241200,,378.8,385,385.85,378.8,47
1575327600,,386.3,391.75,391.75,386.3,83
1575414000,,390.5,393.05,393.05,389.2,75
1575500400,,393.15,392.05,393.15,391.5,100
1575586800,,396.6,393.85,398.85,393.85,14
1575846000,,398.15,395.7,398.15,395.7,25
1575932400,,399,397.15,400.05,397.15,16
1576018800,,400,401.3,401.6,400,28
1576105200,,398.15,391.75,398.15,391.75,65
1576191600,,386.95,387.75,387.75,386.95,67
1576450800,,387.6,386.6,387.6,386.6,27
1576537200,,385.3,381.1,385.3,381.1,49
1576623600,,385.05,385.05,385.05,385.05,10
1576710000,,383.3,383.3,383.3,383.3,1
1576796400,,383.15,382.35,384.1,382.35,19
1577055600,,381.4,381.7,381.7,381.4,30
1577401200,,378.3,378.2,378.3,378.2,35
1577660400,,379.35,379.7,379.7,379.35,20
1577919600,,374.75,372.05,374.75,372.05,58
1578006000,,377.3,378.35,379.15,377.3,19
1578351600,,377.35,382.3,382.3,377.35,31
1578438000,,383.55,387.4,387.45,383.55,79
1578524400,,382.55,379.7,382.55,379.2,26
1578610800,,378.1,376.8,378.1,376.8,38
1578870000,,375.5,371.55,375.6,371.55,55
1578956400,,369,369,369,369,10
1579042800,,0,369,369,369,0
1579129200,,375.25,377.25,377.25,373.9,25
1579215600,,378.9,378.9,378.9,378.9,7
1579474800,,375.8,375.8,375.8,375.8,1
1579561200,,378.55,379.35,380.3,378.55,13
1579647600,,377.5,380.65,380.65,377.5,34
1579734000,,378.3,379.1,379.1,378.3,11
1579820400,,380.85,379.35,380.85,379.35,13
1580079600,,383.4,391.25,391.25,383.4,299
1580166000,,391.95,388.65,392.95,388.65,284
1580252400,,386.55,388.65,388.65,386,14
1580338800,,392.45,392.75,392.85,389.55,127
1580425200,,392.05,396.55,396.85,392.05,169
1580684400,,398.25,394.85,400,393.55,90
1580770800,,390.35,388.5,390.35,385.45,120
1580857200,,388.95,385.15,388.95,383.85,60
1580943600,,386.8,387.5,387.5,386.8,8
1581030000,,390.1,387.5,390.1,387.5,8
1581289200,,389.75,390.9,390.9,389.7,49
1581375600,,389.3,386.2,389.3,386.2,185
1581462000,,384.1,382.6,384.75,382.6,415
1581548400,,386.5,383.3,389.85,383.3,247
1581634800,,385.45,385.45,385.45,385.45,3
1581894000,,384,384.4,384.4,382.8,56
1581980400,,388,388,388,388,5
1582066800,,387.5,385,388.9,385,27
1582153200,,388.15,388.15,388.15,388.15,13
1582239600,,390.75,388.8,391.25,388.8,39
1582498800,,396.3,407.2,407.4,396,378
1582585200,,406.4,413.95,416.9,406.2,483
1582671600,,417.8,419.1,426,416,1284
1582758000,,424.1,437.8,441.6,422.8,2021
1582844400,,452.5,462.6,466,446.6,4846
1583103600,,441.6,448.8,458.1,438,2995
1583190000,,439.6,428,440.6,422.8,3149
1583276400,,433.7,433.3,434,426.8,1551
1583362800,,428,441.8,443.2,427,1511
1583449200,,448.9,457,460.3,448.1,2355
1583708400,,491.7,492.5,497,475.8,5023
1583794800,,487.5,498,503.6,483.8,2672
1583881200,,500.5,530,533.9,497.2,3447
1583967600,,572.6,628,628,566.8,5983
1584054000,,600,582,604.4,540,7798
1584313200,,611.2,593.4,631.7,584,5980
1584399600,,569.9,545.2,586.4,539.6,7984
1584486000,,563.4,548.6,568.8,530,5944
1584572400,,540,530,543.9,520.2,2342
1584658800,,502.6,517.5,520.2,493.9,5212
1584918000,,547,552.5,552.8,528.4,4110
1585004400,,524,532.7,544.1,523.5,4067
1585090800,,522,534,548,511,6170
1585177200,,547.1,520.5,547.1,513,2439
1585263600,,520,522.5,529,512.9,2606
1585519200,,522,520,534.5,519.5,4174
1585605600,,516.8,503.3,516.8,501.7,3673
1585692000,,517.6,520.5,522.7,510,2483
1585778400,,517.7,516.7,526.4,513,2262
1585864800,,520,508,520.8,508,1457
1586124000,,494.8,481.6,495.4,480,3015
1586210400,,470,479.2,479.2,460,4648
1586296800,,480,481,486.9,471.3,6991
1586383200,,473,470,482,469,3074
1586815200,,465,461,469,455.7,1930
1586901600,,460,475,476,460,3532
1586988000,,475.1,474.2,478.8,472.05,2377
1587074400,,467,467.8,471.4,464.7,2166
1587333600,,466.2,460,475.5,460,812
1587420000,,470,482,483.2,470,2515
1587506400,,487.4,471.6,489.8,470.8,2798
1587592800,,472.4,466,476.4,465.5,1811
1587679200,,473.8,473.5,473.8,466.4,2605
1587938400,,465.2,474,480,465,1914
1588024800,,481,474.2,481,466.6,3335
1588111200,,474.4,457.3,474.4,457.2,4133
1588197600,,450.7,460,462,448,5573
1588543200,,470,472.8,473.2,469,4365
1588629600,,470,473.9,476,468.1,1364
1588716000,,473,481.8,484,473,2004
1588802400,,482,477.4,485.3,472.8,2900
1588888800,,474.3,471.6,474.3,469,946
1589148000,,470,475.6,478,465.4,2317
1589234400,,471,465.3,476.7,465.1,3096
1589320800,,465.7,468.7,472.9,463,2067
1589407200,,478.3,480,485,473,2976
1589493600,,477.5,479.1,482.4,471.5,2064
1589752800,,475,461.4,475,461.4,5120
1589839200,,459,459.1,463.4,457,2507
1589925600,,463.2,455,463.2,453.2,1884
1590012000,,460,461.5,461.5,456,559
1590098400,,463,462,466.7,460.5,1068
1590357600,,459.8,459.5,460.3,456.2,775
1590444000,,451.5,439.5,456,439.5,6542
1590530400,,434.7,450,452,426,4616
1590616800,,438.7,440,443,427.7,2700
1590703200,,440,440,442.5,438,818
1590962400,,431,435.7,437,430,1000
1591048800,,433.4,434.1,437.7,433.4,497
1591135200,,432.7,428.2,432.7,423.2,1524
1591221600,,427.8,423,430.2,423,1936
1591308000,,420.7,408.6,420.7,408,3533
1591567200,,409.65,409.05,414.35,406.3,1984
1591653600,,407.3,412.2,416.1,407.3,1877
1591740000,,410,411,414.65,408.9,1367
1591912800,,427.5,418.9,427.5,416,3828
1592172000,,431.7,432.5,433.4,428,2481
1592258400,,420.8,415,424.25,415,2712
1592344800,,415,420.3,422.65,415,1550
1592431200,,422,420,424.5,417.2,1735
1592517600,,419.5,418.4,419.5,416,583
1592776800,,419.3,418.75,422.4,417.7,704
1592863200,,415.8,411,417.4,406.5,2367
1592949600,,410,419.85,420.65,408.9,2348
1593036000,,422,418.4,426,416.9,1679
1593122400,,417.4,425.75,426,417.4,1154
1593381600,,427.9,423.3,428.65,423.2,639
1593468000,,422.6,423,427,422.6,532
1593554400,,425.5,424.5,431,424.5,227
1593640800,,419.2,416.3,419.2,413.9,2273
1593727200,,417.5,416.8,417.5,415.05,1083
1593986400,,410,415.4,415.4,408,480
1594072800,,416.6,417.1,418,415,168
1594159200,,415.5,418.7,421.5,414.5,408
1594245600,,418.5,418.9,419.2,417.5,159
1594332000,,422.4,419.9,423,419.5,316
1594591200,,413.3,416,416.5,413.3,238
1594677600,,421.3,425.55,426.1,420.8,476
1594764000,,422.45,420.5,422.45,417.9,821
1594850400,,420.7,419.3,420.7,417.8,90
1594936800,,418.6,419.3,419.8,418.6,31
1595196000,,414.3,409,414.3,409,755
1595282400,,403.9,408.1,408.1,397.5,3140
1595368800,,407.2,408,409.4,405.2,1034
1595455200,,408.6,411.9,412.7,408.3,128
1595541600,,416.6,414.2,418.7,414.2,428
1595800800,,413.8,408.8,414.1,408.8,249
1595887200,,408.2,412,412.1,406.7,382
1595973600,,413,410.8,413,410.8,24
1596060000,,412,425.1,425.1,412,2107
1596146400,,423.2,424.7,424.7,418,2121
1596405600,,423.3,415.7,424.5,412.1,1298
1596492000,,411.5,414.8,415.5,411.5,127
1596578400,,409,407.7,410.5,406.8,891
1596664800,,410.1,412.2,413,407,235
1596751200,,411.4,412,414.1,411.4,120
1597010400,,411.1,409.5,411.1,409.5,30
1597096800,,406.05,405.5,406.4,403.2,629
1597183200,,405.3,403.8,406.4,403,239
1597269600,,403,403.1,403.1,397.2,1643
1597356000,,405.1,403.5,407,403.5,561
1597615200,,402.1,404.7,406,402.1,73
1597701600,,405.4,406,406,403.4,397
1597788000,,405.7,408,408,404.6,825
1597874400,,410.4,411.8,412.5,409.5,430
1597960800,,411.9,411.4,413.5,410.4,1042
1598220000,,408,406,408,406,787
1598306400,,402.6,411.5,411.7,402.6,864
1598392800,,412.7,407,412.7,407,113
1598479200,,404,406.3,407.2,402.9,853
1598565600,,406.1,408,409.4,405.1,585
1598824800,,407.7,413.7,416,406.1,791
1598911200,,414.3,418.7,421.8,412.2,1475
1598997600,,416.3,419,419.3,415.4,2093
1599084000,,418,423,423,416,787
1599170400,,427,424.6,427.9,420.4,2312
1599429600,,423,421,423,420.4,1731
1599516000,,420,432,434.6,419.2,2196
1599602400,,429.2,421,429.2,419.5,3407
1599688800,,421,422.7,426.6,419.15,326
1599775200,,422.2,422,422.2,420.3,117
1600034400,,416.2,421.4,421.5,416.2,102
1600120800,,422.1,426,428,422.1,501
1600207200,,426,426.9,428.25,426,364
1600293600,,430.8,426.5,432.8,426.5,1095
1600380000,,426.5,429.3,431.1,426.5,128
1600639200,,430,441.5,442,428.9,2316
1600725600,,440.7,440.1,442,436.9,2140
1600812000,,438.3,439.8,441.5,434,1648
1600898400,,446.5,446.5,449,443.8,1482
1600984800,,447.7,444.7,447.9,443.6,992
1601244000,,439.9,428,439.9,427.6,3264
1601330400,,428.5,431.8,432,428.5,263
1601416800,,432.8,433.6,437,432.3,1697
1601503200,,432.45,439.2,440,432.45,585
1601589600,,441.5,436.8,443.4,435,2230
1601848800,,431.9,428.3,432,426.2,375
1601935200,,425,426.6,427.4,423.1,1445
1602021600,,427.4,426.6,431.5,426.6,170
1602108000,,426.2,431.7,432.9,425,1496
1602194400,,434.5,435.8,440.5,434.5,792
1602453600,,436,439.4,440,433.7,526
1602540000,,441.8,446,447,441.8,381
1602626400,,447,440.2,447,437.1,1488
1602712800,,446.1,454.9,456,446.1,3165
1602799200,,451.7,445.9,451.7,444.1,1839
1603058400,,442.9,447.8,450.2,440.1,1305
1603144800,,448.9,445.5,451.8,443.4,1298
1603231200,,447,450.8,451.8,447,622
1603317600,,455,450,455,445,925
1603404000,,449,445.5,449,445.4,144
1603666800,,451.7,453,454.4,449.6,1605
1603753200,,452.1,455.5,457.6,446.6,745
1603839600,,459,476,479,459,2276
1603926000,,472.9,476.9,482.5,472.5,3244
1604012400,,484,488.3,492,480.9,2592
1604271600,,483.1,475.9,483.1,472,2244
1604358000,,471.2,451,471.4,450.7,4238
1604444400,,456,447.6,461.8,447.4,5514
1604530800,,439.8,438.9,445,436.7,3321
1604617200,,438,434.3,444.7,430.2,2947
1604876400,,428,415,433.1,408,7887
1604962800,,417,410.1,420.8,408,2855
1605135600,,410.1,415,415.7,410.1,413
1605222000,,415.5,420.3,420.7,415.5,1441
1605481200,,414.4,407.6,414.4,407.5,2991
1605567600,,408.2,409.3,412.9,407.2,4649
1605654000,,410,405.9,410,404.2,3417
1605740400,,407.3,411,411.2,406.6,1183
1605826800,,410.1,403.2,410.8,402.4,2124
1606086000,,399.9,401,402,393.5,3002
1606172400,,398.8,393.9,400.2,393.9,1272
1606258800,,392.6,394.5,398,392.3,1448
1606345200,,393,399.45,399.45,391,2800
1606431600,,398.1,396.6,399.8,396.1,462
1606690800,,399.6,402,402.6,396.1,686
1606777200,,396.6,396.6,396.7,393.1,1023
1606863600,,395.1,381,396.6,381,4343
1606950000,,385.1,388.3,389.05,385.1,1220
1607036400,,383.6,375.7,384.5,374.7,4055
1607295600,,375.9,373,377,372,4123
1607382000,,375.8,371.6,377.2,371.6,4316
1607468400,,368.8,366.3,368.8,361.6,5625
1607554800,,367,368,370.4,366.5,2617
1607641200,,369.1,375,378.7,367.8,5058
1607900400,,377.3,376.9,379.4,373.4,2338
1607986800,,376.9,372.2,378,370.6,3147
1608073200,,371.65,368,371.9,365.8,2648
1608159600,,364.6,368.4,374.5,362.3,3174
1608246000,,371.9,374,374.8,370.2,2116
1608505200,,377.2,386.4,392,377.2,5703
1608591600,,382.3,376.15,382.3,376.15,2906
1608678000,,376.2,373,377.4,372,3857
1609110000,,367.7,362,367.7,362,3112
1609196400,,358.1,361.8,363.4,358.1,834
1609282800,,360.4,364.5,366.8,360.4,509
1609714800,,362,363.3,365.4,360.4,620
1609801200,,363.8,362.9,363.8,357.1,1679
1609974000,,356.3,356,359,352,2249
1610060400,,347,351.4,352.7,333,2759
1610319600,,351.6,351,355.7,346.5,1359
1610406000,,348.7,356,358.7,348.7,352
1610492400,,355,357.7,361.3,355,1541
1610578800,,356.8,357.7,359,356.15,171
1610665200,,357,366,369,357,1409
1610924400,,367.7,359.2,368,359.1,1804
1611010800,,356.15,365.8,367,356,1867
1611097200,,365.7,364.2,370.6,363.1,1787
1611183600,,361.2,370,372.2,360.8,2114
1611270000,,375.9,371.5,375.9,369,2333
1611529200,,368.9,374.2,377,368.7,2607
1611615600,,374,365,374.9,365,1124
1611702000,,365,375,378.7,365,1777
1611788400,,381.5,366.6,384.3,365,2457
1611874800,,370,371.9,373.9,365,2054
1612134000,,370.8,368,370.8,366.3,1100
1612220400,,366,368.5,372.2,366,134
1612306800,,366.95,372.9,373,366.95,678
1612393200,,372.1,376.4,376.6,370,1888
1612479600,,375.3,369.7,375.3,367.6,687
1612738800,,366.2,370,370.05,366.2,802
1612825200,,372.6,372.8,374,370.9,796
1612911600,,374.1,379.3,379.3,373.1,1184
1612998000,,376.8,369,376.8,369,529
1613084400,,372.4,374,377,370.85,613
1613343600,,370,366.4,370,366,2040
1613430000,,364.8,361.2,366,358.3,3892
1613516400,,361.8,363.4,364.9,360,1898
1613602800,,362,364.8,365.1,358.5,2711
1613689200,,363.5,363.6,367.7,362.6,554
1613948400,,369,369,370.6,366.8,2932
1614034800,,368.4,374.9,381.6,366,8038
1614121200,,375.7,372.1,375.7,369.4,1176
1614207600,,368.95,373.7,373.7,366.8,1198
1614294000,,379.5,377.2,381.5,373.9,1528
1614553200,,374,370.3,375.7,370.3,1790
1614639600,,370.1,369.1,372,367,1219
1614726000,,365.6,371.4,372.4,362.8,3273
1614812400,,372,370.5,376,368.7,2291
1614898800,,374.7,372.3,374.7,369.05,2685
1615158000,,371.3,366,371.3,366,1623
1615244400,,366.5,361.3,366.9,358.4,3110
1615330800,,360.3,359.3,360.3,357,2834
1615417200,,358.7,360.5,362.5,358.5,545
1615503600,,361,359.1,362.5,357.5,413
1615762800,,358.1,360,360,355.3,1299
1615849200,,359.95,364,364,359.1,218
1615935600,,365.9,370.8,375.8,365.9,7707
1616022000,,367.8,366,371,365.8,158
1616108400,,368.6,373.7,373.7,368.2,483
1616367600,,374,369.8,374,369.3,1318
1616454000,,374.3,372.8,377,372.3,1992
1616540400,,379.2,379.5,381.1,376.4,1029
1616626800,,377,382.4,384.4,375.8,3442
