t,p,o,c,h,l,v
1546815600,,38.36,38.8,39,38.36,12250
1546902000,,38.82,38.7,38.83,38.4,7150
1546988400,,38.9,38.9,39,38.68,3382
1547074800,,38.61,38.86,38.89,38.49,16079
1547161200,,39.12,38.86,39.44,38.8,15381
1547420400,,38.78,38.73,38.87,38.54,8813
1547506800,,39.05,39.01,39.16,38.75,1873
1547593200,,39.26,39.34,39.34,39.05,2216
1547679600,,39.24,39.25,39.48,39.17,14121
1547766000,,39.6,39.57,39.69,39.36,45588
1548025200,,39.51,39.24,39.51,39.16,13308
1548111600,,39.23,39.26,39.45,39.1,41305
1548198000,,39.22,40.05,40.19,39.21,27821
1548284400,,40.27,40.04,40.27,39.84,3545
1548370800,,40.18,39.91,40.18,39.91,1189
1548630000,,39.92,39.44,39.92,39.25,24746
1548716400,,39.37,39.49,39.8,39.37,8416
1548802800,,39.63,39.23,39.63,39.23,9688
1548889200,,39.68,39.6,39.89,39.48,7829
1548975600,,39.6,39.82,39.82,39.55,2014
1549234800,,39.87,39.77,40.17,39.63,2094
1549321200,,39.95,40.08,40.08,39.78,1992
1549407600,,40.16,40.17,40.28,40.09,3197
1549494000,,40.09,39.45,40.11,39.45,3103
1549580400,,39.43,39.16,39.43,39.16,3751
1549839600,,39.41,39.16,39.61,39.16,10242
1549926000,,39.49,39.44,39.61,39.3,2057
1550012400,,39.64,39.03,39.64,38.8,31408
1550098800,,39.13,38.59,39.14,38.59,4662
1550185200,,38.67,38.89,39.06,38.67,3005
1550444400,,39.05,38.69,39.05,38.69,2388
1550530800,,38.72,38.63,38.93,38.6,18346
1550617200,,39,39.42,39.42,38.97,2260
1550703600,,39.41,38.92,39.52,38.89,1562
1550790000,,39.23,39.18,39.53,39.14,2306
1551049200,,39.58,39.45,39.58,39.15,991
1551135600,,39.36,39.35,39.38,39.29,818
1551222000,,39.45,38.82,39.45,38.82,17021
1551308400,,38.95,38.79,39.04,38.79,3825
1551394800,,39.07,38.8,39.07,38.8,615
1551654000,,39.145,38.72,39.145,38.7,1790
1551740400,,38.73,38.61,38.85,38.61,971
1551826800,,38.74,38.7,38.74,38.6,515
1551913200,,39.33,38.39,39.33,38.39,1682
1551999600,,38.225,38.23,38.385,38.15,2632
1552258800,,38.445,38.25,38.5,38.25,19721
1552345200,,38.535,38.42,38.535,38.35,889
1552431600,,38.41,38.49,38.49,38.4,957
1552518000,,38.545,38.57,38.68,38.495,1255
1552604400,,38.7,39.02,39.3,38.7,3040
1552863600,,39.21,39.01,39.21,39.01,23447
1552950000,,39.215,39.12,39.355,39.04,1061
1553036400,,39.17,39.11,39.17,39.01,457
1553122800,,39.18,39.23,39.24,39.16,447
1553209200,,39.315,38.57,39.315,38.57,1622
1553468400,,39.715,38.46,39.755,38.46,14105
1553554800,,38.645,38.66,38.66,38.53,988
1553641200,,38.785,38.49,38.785,38.49,1382
1553727600,,38.655,38.47,38.665,38.47,377
1553814000,,38.69,38.44,38.69,38.435,2043
1554069600,,38.915,38.92,39.055,38.905,4769
1554156000,,39.105,39.42,39.645,39.105,7045
1554242400,,39.875,40.03,40.03,39.8,5790
1554328800,,39.955,39.71,40.15,39.71,1552
1554415200,,39.71,39.09,39.71,39.09,2116
1554674400,,39.325,39.23,39.33,39.185,636
1554760800,,39.35,39.37,39.575,39.3,1977
1554847200,,40.17,39.7,40.17,39.37,579
1554933600,,39.845,39.48,39.845,39.48,1246
1555020000,,39.665,39.34,39.665,39.34,697
1555279200,,39.45,39.2,39.51,39.2,979
1555365600,,39.325,39.43,39.45,39.28,962
1555452000,,39.505,39.53,39.76,39.505,1249
1555538400,,39.485,39.32,39.485,39.2,653
1555970400,,39.6,39.41,39.6,39.33,685
1556056800,,39.545,39.43,39.545,39.315,835
1556143200,,39.42,39.21,39.42,39.095,524
1556229600,,39.235,39.43,39.43,39.195,1835
1556488800,,39.49,39.37,39.49,39.245,12516
1556575200,,39.28,38.81,39.28,38.67,3648
1556748000,,38.8,38.58,38.85,38.58,780
1557093600,,38.26,38.1,38.35,38,2567
1557180000,,38.125,37.15,38.155,37.15,3092
1557266400,,37.28,36.95,37.5,36.915,13964
1557352800,,36.975,36.24,37.08,36.24,3477
1557439200,,36.705,36.45,36.79,36.4,3184
1557698400,,36.515,36.14,36.575,35.95,15332
1557784800,,36.405,36,36.405,36,8270
1557871200,,36.325,36.07,36.325,35.94,11940
1557957600,,36.3,36.39,36.555,36.1,1165
1558044000,,36.325,36.305,36.34,36.14,3297
1558303200,,36.475,36.18,36.475,36.085,1437
1558389600,,36.33,36.43,36.43,36.27,232
1558476000,,36.37,36.82,37.03,36.37,1007
1558562400,,36.71,36.13,36.745,36.13,4298
1558648800,,36.395,36.38,36.465,36.38,452
1558908000,,36.475,36.41,36.52,36.32,2032
1558994400,,36.485,36.46,36.845,36.4,3049
1559080800,,36.18,36.5,36.5,36.105,2962
1559167200,,36.8,37.07,37.115,36.8,432
1559253600,,36.785,37.36,37.36,36.765,8424
1559512800,,37.33,37.33,37.505,37.23,1550
1559599200,,37.24,37.27,37.46,37.11,2491
1559685600,,37.425,37.09,37.425,37.09,2612
1559772000,,37.2,37.72,37.85,37.2,1485
1559858400,,37.855,38.05,38.195,37.855,2052
1560117600,,38.375,38.08,38.375,38,871
1560204000,,38.135,38.3,38.4,38.035,1687
1560290400,,38.2,38.08,38.2,37.85,4527
1560376800,,38.095,38.37,38.52,38.095,691
1560463200,,38.55,38.14,38.55,38.14,470
1560722400,,38.81,37.98,38.81,37.98,10389
1560808800,,38,38.8,38.8,37.98,870
1560895200,,38.81,38.71,38.84,38.71,338
1561068000,,38.85,38.52,39.12,38.52,2289
1561327200,,38.83,38.89,38.89,38.725,173
1561413600,,38.805,38.42,38.905,38.42,1977
1561500000,,38.56,38.66,38.66,38.56,289
1561586400,,38.89,38.96,39.19,38.855,2887
1561672800,,39.015,38.83,39.015,38.83,2728
1561932000,,39.2,38.92,39.365,38.92,15488
1562018400,,39.1,39.1,39.1,38.635,8721
1562104800,,39.11,39.17,39.305,39,2490
1562191200,,39.21,39.35,39.355,39.185,529
1562277600,,39.455,39.1,39.455,39.015,2623
1562536800,,38.935,39.07,39.255,38.935,202
1562623200,,39.055,38.81,39.055,38.725,314
1562709600,,38.855,38.81,39.25,38.81,502
1562796000,,39.08,38.88,39.255,38.87,1305
1562882400,,39.005,38.86,39.075,38.86,434
1563141600,,39.13,39,39.175,39,313
1563228000,,39.11,38.96,39.11,38.96,572
1563314400,,38.915,38.71,38.985,38.7,922
1563400800,,38.665,38.95,39.005,38.62,13665
1563487200,,39.485,39.52,39.615,39.375,4988
1563746400,,39.495,39.49,39.505,39.49,247
1563832800,,39.55,39.39,39.575,39.39,869
