t,p,o,c,h,l,v
1623016800,,153.58,154.46,155.84,153.58,2455
1623103200,,154.64,153.78,154.86,153.68,4998
1623189600,,154.98,153.5,154.98,153.44,893
1623276000,,157,154,157,153,642
1623362400,,154.62,155.02,155.32,153.88,454
1623621600,,154.96,155.1,155.36,154.68,812
1623708000,,156.86,155.76,156.86,155.76,1628
1623794400,,156,153.9,156,153.9,537
1623880800,,153.82,151.7,153.82,151.7,1912
1623967200,,152.86,152.84,153.36,152.84,188
1624226400,,153.66,152.44,153.66,152.44,1942
1624312800,,153,152.9,153.16,152.52,156
1624399200,,153.22,153.5,153.5,152.9,87
1624485600,,153.86,155.84,155.84,153.86,272
1624572000,,156.54,157.5,157.62,156.08,4202
1624831200,,157.46,159.86,159.86,156.86,273
1624917600,,160,160.08,160.56,160,332
1625004000,,160.42,159.44,160.48,159.44,132
1625090400,,160,159.46,160,159.4,169
1625176800,,160,161.82,161.94,160,254
1625436000,,161.98,161.9,162.2,161.9,42
1625522400,,161.78,161.32,161.96,161.32,192
1625608800,,160.78,162.3,162.38,160.78,64
1625695200,,163,162,163,161.4,164
1625781600,,162.2,161.4,162.2,161.4,103
1626040800,,161.74,164,164,161.74,250
1626127200,,164.78,165.18,165.3,164.78,494
1626213600,,164.5,164,164.92,164,771
1626300000,,164.58,164,164.8,164,645
1626386400,,163.7,164,164.4,163.32,481
1626645600,,164.34,160.9,164.34,160.7,996
1626732000,,161.84,160,161.88,159.84,528
1626818400,,160.96,161.5,162.14,160.96,223
1626904800,,162.02,162.4,162.4,161.2,292
1626991200,,163.3,163.62,164.3,163.3,187
1627250400,,163.8,163.64,163.8,162.44,221
1627336800,,163.66,162.9,163.66,162.52,91
1627423200,,163,162.34,163,162.34,76
1627509600,,163.74,162.48,163.98,162.48,134
1627596000,,163.26,164.5,164.5,162.54,104
1627855200,,165,163.3,165,162.72,208
1627941600,,163.8,161.5,163.8,161.5,281
1628028000,,162.82,162.4,162.82,161.58,673
1628114400,,166,162.7,166,161.76,116
1628200800,,163.58,162.8,163.58,162.8,42
1628460000,,162.96,162.76,162.96,162,74
1628546400,,162.9,161.5,162.9,161.44,330
1628632800,,161.88,161.6,162,161.52,189
1628719200,,161.64,162.38,162.56,161.64,1129
1628805600,,162.4,161.64,162.68,161.64,281
1629064800,,161.96,160.2,162.14,160.2,373
1629151200,,161.5,162,162.08,161,188
1629237600,,162,161.5,162.2,161.1,236
1629324000,,161.4,160.5,161.4,159.98,116
1629410400,,161.2,161.56,161.56,161,88
1629669600,,161.98,160.84,161.98,160.42,78
1629756000,,161.2,160.7,161.2,160.2,1245
1629842400,,161.78,162.5,162.5,161.16,82
1629928800,,162.54,162.9,163.64,162.54,74
1630015200,,162.92,162.92,163.16,162.26,469
1630274400,,163.76,163.1,164,163.08,175
1630360800,,164.06,162.1,164.88,162.1,3343
1630447200,,162.86,164.42,164.42,162.86,32
1630533600,,165.04,166.18,166.26,165,221
1630620000,,165.22,163.52,165.22,163.52,485
1630879200,,165.66,165.48,165.66,165,272
1630965600,,166.02,165.4,166.2,164.7,184
1631052000,,164.84,162.5,164.84,162.5,2020
1631138400,,162.54,162.6,163.08,162.38,121
1631224800,,163.42,162,163.42,162,3234
1631484000,,163.24,163.94,163.98,163.16,58
1631570400,,163.96,163.74,164.58,163.5,126
1631656800,,164.34,165.5,165.78,164.34,111
1631743200,,165.36,166,166,165.36,189
1631829600,,165.96,165,166.28,164.8,507
1632088800,,163.62,161,163.62,160.76,452
1632175200,,161,161.78,162.08,161,124
1632261600,,162,162.92,162.98,161.32,76
1632348000,,163.2,163.5,164.84,163.2,172
1632434400,,163.82,162.66,163.82,162.66,156
1632693600,,162.14,160.5,162.14,160.4,355
1632780000,,162,162.46,162.76,162,132
1632866400,,163,162.24,163,162.24,377
1632952800,,163.42,163,163.42,163,12
1633039200,,160.4,162.5,163,160.4,281
1633298400,,162.68,162.6,162.68,161.98,1734
1633384800,,162.3,163.38,163.38,161.38,122
1633471200,,163.66,162,163.66,161.62,160
1633557600,,163.28,164,164,163.06,33
1633644000,,164.2,165,165.04,164.16,283
1633903200,,165,165.8,165.8,164.68,131
1633989600,,164.14,164.04,164.18,162.96,279
1634076000,,165,165.56,166.1,165,65
1634162400,,165.58,166,166.64,165.18,227
1634248800,,165.14,163.2,165.26,163.2,176
1634508000,,163.84,164.28,164.3,163.36,78
1634594400,,164,165.4,165.42,164,129
1634680800,,165.12,165.5,166.02,164.88,83
1634767200,,163.8,164.1,164.1,163.68,262
1634853600,,164.24,163.9,164.24,163.9,125
1635112800,,165.04,164,165.04,164,361
1635199200,,163.72,163.94,164.48,163.72,61
1635285600,,163.52,161.58,163.52,161.58,132
1635372000,,162,161.8,162,161.6,80
1635458400,,161.9,161.46,161.9,160.7,305
1635807600,,161.72,159.4,161.72,159.4,653
1635894000,,159.1,160,160.38,159.1,1597
1635980400,,160,161.58,161.58,159.64,446
1636066800,,161.98,161.26,162.5,161.08,418
1636326000,,162.38,160.5,162.38,160.16,653
1636412400,,160.1,161.34,161.34,160,90
1636498800,,161.2,159.9,161.2,159.9,145
1636671600,,160,161.74,161.74,160,17
1636930800,,161.28,160.92,162.78,160.9,938
1637017200,,162,161.9,162.22,161.9,202
1637103600,,162.6,161.44,163.34,161.44,190
1637190000,,161.86,161.38,162.38,160.86,442
1637276400,,161.8,161.6,162,161.3,211
1637535600,,162.92,163.48,163.54,161.7,427
1637622000,,163.44,164,164,161.58,1831
1637708400,,163.38,161.14,163.38,160.06,654
