t,p,o,c,h,l,v
1306792800,,40,37.38,40,37.38,318
1306879200,,40.97,37.12,40.97,37.12,3526
1306965600,,39.68,36.7,39.68,36.7,2636
1307052000,,36.36,35.99,36.36,35.99,28
1307311200,,36,35.77,36,35.74,105
1307397600,,35.44,35.37,35.47,35.35,1559
1307484000,,35.13,35.25,35.37,35.1,286
1307570400,,35.3,36.01,36.01,35.14,686
1307656800,,35.56,35.53,35.61,35.36,400
1307916000,,35.01,35.36,35.48,35.01,802
1308002400,,35,35,35,35,10
1308088800,,35.75,35.68,35.9,35.68,904
1308175200,,36,36.29,36.29,36,304
1308261600,,36.25,36.24,36.3,36.24,85
1308520800,,36.09,36.2,36.2,36.04,188
1308607200,,37,36.43,37,36.26,573
1308693600,,36.42,36.42,36.42,36.42,40
1308866400,,36.73,36.35,36.73,36.35,160
1309125600,,36.5,36.5,36.5,36.5,50
1309212000,,36.5,36.57,36.57,36.5,247
1309298400,,36.68,36.89,37.08,36.68,100
1309384800,,38.55,38.55,38.55,38.55,10
1309471200,,36.87,36.99,36.99,36.61,808
1309730400,,36.97,37,37,36.97,40
1309816800,,37.02,37.05,37.05,37.02,2001
1309903200,,37.3,37.44,37.44,37.3,88
1309989600,,37.71,37.74,37.95,37.68,1081
1310076000,,37.66,37.59,37.66,37.59,84
1310335200,,38.15,38.2,38.2,38.15,65
1310421600,,39.68,38.36,39.68,38.36,93
1310508000,,38.58,38.58,38.58,38.58,5
1310594400,,39,38.18,39,38.1,152
1310680800,,37.96,38,38,37.96,37
1310940000,,38.27,38.05,38.27,38.05,85
1311026400,,38,38,38,38,140
1311112800,,38.22,38.1,38.22,38.1,151
1311199200,,38.25,38.05,38.25,38.05,162
1311285600,,38.01,38.01,38.01,38.01,5
1311544800,,37.98,37.98,37.98,37.98,15
1311631200,,0,37.98,37.98,37.98,0
1311717600,,37.33,37.33,37.33,37.33,144
1311804000,,0,37.33,37.33,37.33,0
1311890400,,37.11,36.96,37.11,36.96,105
1312149600,,39.68,36.62,39.68,36.62,2189
1312236000,,36.72,36.8,36.8,36.72,895
1312322400,,36.05,35.76,36.1,35.76,860
1312408800,,36.02,36.02,36.02,36.02,30
1312495200,,34.55,34.7,35,34.55,2791
1312754400,,33.7,33.86,34.1,33.7,343
1312840800,,32.92,33.69,33.69,32.72,885
1312927200,,34.17,33.6,34.17,33.4,678
1313013600,,34.06,33.87,34.18,33.74,451
1313100000,,34.8,34.81,35.14,34.68,1401
1313445600,,35,35,35,35,10
1313532000,,35.15,34.98,35.15,34.98,50
1313618400,,34.71,34.1,34.74,34.1,326
1313704800,,33.83,33.65,33.83,33.65,150
1313964000,,33.57,33.64,33.64,33.57,103
1314050400,,33.54,33.37,33.54,33.37,83
1314136800,,34.06,34.06,34.06,34.06,30
1314223200,,34.4,34.88,34.88,34.4,130
1314309600,,0,34.88,34.88,34.88,0
1314568800,,0,34.3,34.3,34.3,0
1314655200,,35.33,35.33,35.33,35.33,27
1314741600,,35.72,36,36.14,35.71,2330
1314828000,,35.95,35.95,35.95,35.95,25
1314914400,,35.37,35.41,35.42,35.37,1486
1315173600,,35.01,35.01,35.01,35.01,170
1315260000,,35.01,35.01,35.01,35.01,100
1315346400,,0,35.01,35.01,35.01,0
1315432800,,0,36.33,36.33,36.33,0
1315519200,,37.38,37.5,37.6,37.38,410
1315778400,,36.94,36.94,36.94,36.94,28
1315864800,,37.24,37.24,37.24,37.24,1000
1315951200,,38.05,38.08,38.08,38.04,114
1316037600,,38.34,38.34,38.34,38.34,270
1316124000,,38.64,38.58,38.64,38.58,277
1316383200,,39.39,39.39,39.39,39.39,2
1316469600,,39.2,39.54,39.54,39.2,16
1316556000,,39.8,39.8,39.8,39.8,75
1316642400,,38.5,38.5,38.51,38.5,105
1316728800,,39,38.07,39,38.07,124
1316988000,,0,38.07,38.07,38.07,0
1317074400,,0,38.2,38.2,38.2,0
1317160800,,39.17,39.12,39.17,38.85,92
1317247200,,38.5,38.5,38.5,38.5,5
1317333600,,38.64,38.46,38.64,38.46,30
1317592800,,0,38.46,38.46,38.46,0
1317679200,,36.9,36.71,36.9,36.71,57
1317765600,,0,36.71,36.71,36.71,0
1317852000,,38.3,38.36,38.36,38.3,55
1317938400,,0,38.36,38.36,38.36,0
1318197600,,38.34,38.34,38.34,38.34,11
1318284000,,38.83,38.81,38.83,38.81,800
1318370400,,38.65,38.45,38.65,38.45,1000
1318456800,,38.45,38.45,38.45,38.45,1
1318543200,,0,38.45,38.45,38.45,0
1318802400,,0,38.45,38.45,38.45,0
1318888800,,0,38.98,38.98,38.98,0
1318975200,,39.45,39.45,39.45,39.45,6
1319061600,,0,39.45,39.45,39.45,0
1319148000,,0,39.66,39.66,39.66,0
1319407200,,40.17,40.14,40.17,40.14,9
1319493600,,0,40.14,40.14,40.14,0
1319580000,,0,39.8,39.8,39.8,0
1319666400,,39.99,39.92,39.99,39.92,268
1319752800,,39.74,40.2,40.2,39.74,303
1320015600,,40.27,40.36,40.36,40.27,25
