t,p,o,c,h,l,v
1107471600,,3.17,3.26,3.34,3.17,7113639
1107730800,,3.26,3.33,3.33,3.2,1208574
1107817200,,3.33,3.32,3.33,3.27,800726
1107903600,,3.32,3.34,3.35,3.3,999850
1107990000,,3.35,3.35,3.37,3.33,391437
1108076400,,3.34,3.34,3.38,3.32,447324
1108335600,,3.3,3.31,3.35,3.3,95195
1108422000,,3.3,3.32,3.32,3.3,58698
1108508400,,3.31,3.29,3.31,3.21,513250
1108594800,,3.24,3.3,3.3,3.19,362207
1108681200,,3.25,3.27,3.27,3.21,43073
1108940400,,3.28,3.2,3.28,3.15,146400
1109026800,,3.2,3.23,3.23,3.18,164239
1109113200,,3.22,3.21,3.23,3.2,123755
1109199600,,3.2,3.25,3.25,3.19,167495
1109286000,,3.25,3.3,3.32,3.25,483419
1109545200,,3.3,3.26,3.3,3.23,55339
1109631600,,3.26,3.24,3.26,3.18,26189
1109718000,,3.24,3.25,3.25,3.18,38869
1109804400,,3.25,3.24,3.28,3.22,33876
1109890800,,3.23,3.24,3.24,3.21,94775
1110150000,,3.24,3.25,3.25,3.24,21988
1110236400,,3.25,3.25,3.25,3.25,16263
1110322800,,3.25,3.25,3.27,3.22,46245
1110409200,,3.25,3.25,3.27,3.25,220941
1110495600,,3.25,3.25,3.25,3.2,49323
1110754800,,3.25,3.21,3.25,3.21,95579
1110841200,,3.21,3.23,3.24,3.2,30252
1110927600,,3.23,3.21,3.23,3.21,71636
1111014000,,3.06,3.2,3.2,3.06,70896
1111100400,,3.17,3.22,3.23,3.12,133341
1111359600,,3.22,3.19,3.22,3.18,70124
1111446000,,3.16,3.16,3.18,3.14,471133
1111532400,,3.16,3.11,3.16,3.11,12108
1111618800,,3.06,3.18,3.24,3.06,74472
1112047200,,3.22,3.19,3.22,3.18,7801
1112133600,,3.19,3.22,3.22,3.19,425651
1112220000,,3.22,3.28,3.29,3.22,299464
1112306400,,3.28,3.25,3.28,3.25,51700
1112565600,,3.26,3.28,3.28,3.23,252451
1112652000,,3.28,3.29,3.29,3.28,56417
1112738400,,3.27,3.45,3.55,3.27,435526
1112824800,,3.45,3.45,3.5,3.42,68393
1113170400,,3.45,3.52,3.6,3.4,831118
1113256800,,3.48,3.5,3.52,3.48,179913
1113343200,,3.5,3.47,3.5,3.47,126528
1113429600,,3.47,3.5,3.5,3.46,1374845
1113516000,,3.49,3.5,3.5,3.47,32560
1113775200,,3.42,3.43,3.47,3.36,54291
1113861600,,3.49,3.51,3.51,3.42,49254
1113948000,,3.52,3.5,3.52,3.47,287477
1114034400,,3.46,3.68,3.75,3.46,379852
1114120800,,3.72,3.65,3.75,3.65,122586
1114380000,,3.64,3.56,3.64,3.55,14522
1114466400,,3.57,3.55,3.57,3.53,83578
1114552800,,3.5,3.5,3.54,3.5,120966
1114639200,,3.5,3.53,3.54,3.5,115328
1114725600,,3.58,3.55,3.58,3.55,20900
1114984800,,3.56,3.58,3.6,3.56,9708
1115157600,,3.57,3.58,3.58,3.55,66003
1115244000,,3.57,3.5,3.6,3.49,237510
1115330400,,3.5,3.49,3.5,3.48,109285
1115589600,,3.51,3.54,3.63,3.46,104225
1115676000,,3.49,3.54,3.54,3.49,8379
1115762400,,3.51,3.55,3.65,3.51,273920
1115848800,,3.6,3.56,3.6,3.51,96719
1115935200,,3.51,3.5,3.56,3.48,162355
1116194400,,3.49,3.5,3.53,3.49,1288807
1116280800,,3.52,3.49,3.54,3.32,163205
1116367200,,3.43,3.44,3.48,3.43,155020
1116453600,,3.4,3.41,3.51,3.4,6989
1116540000,,3.45,3.4,3.45,3.36,9607
1116799200,,3.43,3.43,3.44,3.41,6667
1116885600,,3.42,3.43,3.43,3.42,49368
1116972000,,0,3.43,3.43,3.43,0
1117144800,,3.43,3.49,3.49,3.43,1977
1117404000,,3.54,3.6,3.6,3.54,259591
1117490400,,3.6,3.61,3.64,3.6,878589
1117576800,,3.65,3.7,3.7,3.65,62561
1117663200,,3.67,3.67,3.67,3.66,4572
1117749600,,3.67,3.63,3.67,3.63,923788
1118008800,,3.63,3.69,3.7,3.63,97555
1118095200,,3.7,3.68,3.7,3.64,114105
1118181600,,3.75,3.7,3.75,3.68,831
1118268000,,3.7,3.7,3.7,3.7,100
1118354400,,3.65,3.66,3.66,3.61,507200
1118613600,,3.66,3.65,3.66,3.65,101170
1118700000,,3.61,3.61,3.62,3.61,11486
1118786400,,3.61,3.61,3.61,3.61,1419
1118872800,,3.64,3.64,3.64,3.62,450253
1118959200,,3.62,3.61,3.65,3.61,13797
1119218400,,3.62,3.62,3.62,3.62,4086
1119304800,,3.62,3.63,3.64,3.62,11675
1119391200,,3.64,3.61,3.64,3.61,109628
1119477600,,3.61,3.61,3.61,3.61,3323
1119564000,,3.61,3.61,3.61,3.61,3300
1119823200,,3.55,3.6,3.6,3.55,6114
1119909600,,3.6,3.62,3.63,3.6,493064
1119996000,,3.63,3.68,3.68,3.63,6816
1120082400,,3.7,3.7,3.7,3.64,13861
1120168800,,3.7,3.62,3.7,3.62,13515
1120428000,,3.6,3.66,3.66,3.6,270358
1120514400,,3.67,3.67,3.69,3.67,24387
1120600800,,3.61,3.62,3.64,3.61,8774
1120687200,,3.65,3.6,3.65,3.58,11093
1120773600,,3.65,3.64,3.66,3.58,264194
1121032800,,3.64,3.64,3.64,3.64,24290
1121119200,,3.65,3.7,3.7,3.64,365056
1121205600,,3.69,3.67,3.69,3.66,6745
1121292000,,3.69,3.64,3.7,3.64,7355
1121378400,,3.68,3.61,3.7,3.61,9442
1121637600,,3.6,3.6,3.61,3.6,18240
1121724000,,3.6,3.57,3.6,3.55,141482
1121810400,,3.66,3.6,3.66,3.6,100352
1121896800,,3.6,3.65,3.65,3.54,270
1121983200,,3.59,3.63,3.63,3.56,4386
1122242400,,3.64,3.66,3.66,3.63,62807
1122328800,,3.6,3.66,3.7,3.6,42032
1122415200,,3.68,3.67,3.68,3.65,35980
1122501600,,3.67,3.68,3.7,3.67,23961
1122588000,,3.64,3.64,3.64,3.64,5234
1122847200,,3.7,3.75,3.78,3.69,27659
1122933600,,3.79,3.8,3.82,3.76,62654
1123020000,,3.89,3.7,3.89,3.66,42138
1123106400,,3.68,4.08,4.1,3.68,179275
1123192800,,4.08,4,4.08,3.88,34323
1123452000,,3.99,4.03,4.3,3.98,42365
1123538400,,4.05,4.08,4.08,4,253683
