t,p,o,c,h,l,v
1289257200,,50.75,54,54,50.5,11087438
1289343600,,54,52,54,52,1336754
1289516400,,51.1,53.6,53.6,50,1645338
1289775600,,53.4,52.6,53.8,52,378991
1289862000,,52.3,51.2,52.5,51.2,351484
1289948400,,51.15,50.7,52,50.7,421471
1290034800,,51.5,51.05,52.1,51.05,257552
1290121200,,51.5,51.2,51.6,50.95,361190
1290380400,,51.2,51.25,51.5,51.05,343989
1290466800,,51.2,50.15,51.2,50.15,296379
1290553200,,50.5,51,51,50.15,350759
1290639600,,51.15,50.9,51.25,50.3,81328
1290726000,,50.9,50.6,50.9,49.91,395358
1290985200,,50.2,49.85,50.25,49.74,159075
1291071600,,49.5,50.5,50.5,49.5,98242
1291158000,,50.5,52.1,52.2,50.2,217283
1291244400,,52.1,52.05,52.35,51.7,230447
1291330800,,52,51.7,52.1,51.5,57211
1291590000,,51.65,51.1,51.7,50.9,50660
1291676400,,50.7,50.75,51,50.4,81640
1291762800,,50.55,51.1,51.1,50.4,318767
1291849200,,51,51,51.2,50.6,130438
1291935600,,51,50.85,51.1,50.7,49448
1292194800,,50.9,51.5,51.5,50.9,77123
1292281200,,51.1,50.6,51.4,50.6,67486
1292367600,,50.55,50.65,50.7,50.45,98995
1292454000,,50.6,50.6,50.65,50.25,69586
1292540400,,50.4,50.25,50.5,50.2,53590
1292799600,,50.25,50.5,50.5,49.9,179205
1292886000,,50.15,50.2,50.25,50,89752
1292972400,,50,50.1,50.3,49.99,324375
1293058800,,50,49.91,50.1,49.91,111372
1293404400,,49.93,49.35,49.99,49.31,111179
1293490800,,49.3,49.2,49.5,48.8,237616
1293577200,,49,49.98,49.98,49,109351
1293663600,,50,49.65,50,49.6,50998
1293750000,,49.65,49,49.85,48.7,82855
1294009200,,49.1,49.3,49.4,48.82,112633
1294095600,,49.3,49.78,50.05,49.3,132594
1294182000,,49.74,49.5,49.78,48.83,114104
1294354800,,49.2,48.62,49.25,48.58,198656
1294614000,,48.5,47.15,48.53,46.62,150680
1294700400,,46.95,47.8,47.93,46.95,153720
1294786800,,48,49.19,49.19,47.95,158571
1294873200,,49,48.5,49.1,48.5,363778
1294959600,,48.5,49.2,49.2,48.3,100212
1295218800,,49,48.37,49,48,66408
1295305200,,48.3,48.59,48.65,47.9,81135
1295391600,,48.37,48.3,48.4,48,132563
1295478000,,48,48,48.25,47.9,105424
1295564400,,48,48.4,48.4,48,50448
1295823600,,48.05,47.94,48.25,47.56,120226
1295910000,,47.8,48.15,48.15,47.75,103993
1295996400,,48.1,48.5,48.79,47.94,89855
1296082800,,48.52,48.8,49,48.5,59079
1296169200,,48.8,48.8,49.33,48.5,66824
1296428400,,48.41,48.18,48.42,48,75218
1296514800,,48.01,48.19,48.25,48.01,77543
1296601200,,48.2,48.28,48.28,48.08,80383
1296687600,,48.21,48.97,48.97,48.2,70559
1296774000,,49,49.24,49.24,48.55,100711
1297033200,,49,48.5,49.08,48.2,189403
1297119600,,48.4,48.28,48.47,48.2,93662
1297206000,,48.2,48,48.35,48,117600
1297292400,,48.2,48.1,48.2,48,75290
1297378800,,48,48.56,48.8,48,80013
1297638000,,48.2,48.6,48.75,48.1,66259
1297724400,,48.45,48.15,48.74,48.15,77143
1297810800,,48.1,48.6,48.7,48.07,144495
1297897200,,48.5,48.25,48.55,48.2,42970
1297983600,,48.15,48.05,48.3,48,123949
1298242800,,48,47.8,48.02,47.75,80331
1298329200,,47.6,47.65,47.7,47.56,55470
1298415600,,47.55,47.52,47.6,47.5,49324
1298502000,,47.09,47.07,47.29,47,69328
1298588400,,47.03,47.28,47.3,47.03,25899
1298847600,,47.12,47.25,47.25,46.84,74446
1298934000,,47.15,47.3,47.3,47,84120
1299020400,,47.06,47,47.21,46.85,131898
1299106800,,47.01,47.1,47.2,46.85,149624
1299193200,,47.11,47.2,47.3,47.02,105210
1299452400,,47.14,47.11,47.22,47.05,179294
1299538800,,47.04,46.93,47.1,46.9,66979
1299625200,,46.93,46.07,46.93,45.7,137413
1299711600,,46,45.3,46,45.3,197060
1299798000,,45.11,44.45,45.2,44.45,157855
1300057200,,44.2,45.49,45.49,43.9,105910
1300143600,,44.85,45.27,45.83,44.6,289588
1300230000,,45.27,45.94,45.99,45.25,46012
1300316400,,45.7,46.14,46.17,45.7,45972
1300402800,,46.05,47.41,47.41,46.05,101765
1300662000,,46.7,47.55,47.75,46.61,74379
1300748400,,47.45,47.8,47.9,47.42,50342
1300834800,,47.75,47.7,47.9,47.5,29799
1300921200,,47.79,49.14,49.18,47.7,117387
1301007600,,49,48.85,49.44,48.5,48448
1301263200,,48.8,48.55,48.8,48.1,94557
1301349600,,48.5,48.51,48.7,48.24,61801
1301436000,,48.45,48.9,48.95,48.41,40745
1301522400,,48.9,48.76,49.3,48.76,48902
1301608800,,48.65,49,49.13,48.65,32369
1301868000,,48.7,48.8,49.15,48.5,118018
1301954400,,48.85,48.88,49.18,48.85,20324
1302040800,,48.82,49,49.05,48.8,30427
1302127200,,49,48.85,49.15,48.81,38225
1302213600,,48.81,48.3,48.9,48.14,47429
1302472800,,48,48.25,48.29,48,86863
1302559200,,49,49.3,49.3,48.87,218655
1302645600,,49.25,50.2,50.2,49.05,281932
1302732000,,50.05,50.95,51.45,50.05,222799
1302818400,,51,52.2,52.3,50.95,708565
1303077600,,52.2,50.1,52.2,49.8,219055
1303164000,,49.85,51,51.7,49.85,90320
1303250400,,51.05,51,51.7,50.95,155606
1303336800,,51,50.4,51,50.15,44650
1303768800,,50.15,50.1,50.4,50,49437
1303855200,,50.05,49.6,50.1,49.5,70394
1303941600,,49.5,50,50.2,49.5,94083
1304028000,,50,50.25,50.4,49.95,34561
1304287200,,50,50.35,50.5,49.95,16113
1304460000,,50.4,50.2,50.5,50.05,101356
1304546400,,50.05,50.15,50.15,49.85,33514
1304632800,,49.85,50.2,50.2,49.7,37689
1304892000,,49.63,50.55,50.55,49.61,53769
1304978400,,50.45,50.8,51,50.45,141953
1305064800,,50.6,50.45,50.7,50.4,95182
1305151200,,50.45,52,52,50.3,259673
1305237600,,51.8,52,52.6,51.65,221936
1305496800,,51.9,52.9,53.2,51.9,320631
1305583200,,52.8,52.65,52.85,52.65,154659
1305669600,,52,52.7,52.7,51.9,180545
1305756000,,52.7,53,53,52.55,172679
1305842400,,52.7,52.6,52.95,52.45,89460
1306101600,,52.6,52.45,52.75,52.1,170321
1306188000,,52.25,52.45,52.75,52,180773
1306274400,,52.3,51.55,52.4,51.55,32517
1306360800,,51.7,52,52,51.6,59914
1306447200,,51.8,52.5,52.5,51.8,50272
1306706400,,52.3,52.5,52.55,52,34726
1306792800,,52.55,54.2,54.2,52.4,363847
1306879200,,53.3,53.8,54,53.1,74372
1306965600,,53,52.9,53.45,52.85,52285
1307052000,,52.9,52.85,52.9,52.65,75323
1307311200,,52.65,52.6,52.8,52.5,11159
1307397600,,52.5,52.65,52.9,52.2,90536
1307484000,,52.6,52.55,52.8,52.35,17455
1307570400,,52.6,53.35,54,52.25,118314
1307656800,,53,52.8,53.1,52.8,37422
1307916000,,52.65,52.45,52.65,52.3,11229
1308002400,,52.35,52.5,52.7,52.3,19267
1308088800,,52.45,52.4,52.6,52.3,28352
1308175200,,52.3,52.3,52.6,52,47081
1308261600,,52,51.85,52.25,51.85,49903
1308520800,,51.6,51.4,51.75,51.1,32685
1308607200,,51.3,50.9,51.4,50.5,46199
1308693600,,51,51.2,51.3,50.7,313216
