t,p,o,c,h,l,v
867621600,,0,37.9,37.9,37.9,736613
867708000,,0,38.5,38.5,38.5,1374890
867794400,,0,40,40,40,1261268
867880800,,0,40.5,40.5,40.5,693620
867967200,,0,41.3,41.3,41.3,265941
868226400,,0,0,0,0,417167
868312800,,0,0,0,0,437186
868399200,,0,0,0,0,201735
868485600,,0,0,0,0,280625
868572000,,0,0,0,0,269764
868831200,,0,0,0,0,505609
868917600,,0,0,0,0,609394
869004000,,0,0,0,0,316171
869090400,,0,0,0,0,385098
869176800,,0,0,0,0,376674
869436000,,0,0,0,0,48068
869522400,,0,0,0,0,349644
869608800,,0,0,0,0,130868
869695200,,0,0,0,0,223150
869781600,,0,0,0,0,261217
870040800,,0,0,0,0,150395
870127200,,0,0,0,0,245589
870213600,,0,0,0,0,81883
870300000,,0,0,0,0,201243
870386400,,0,0,0,0,91286
870645600,,0,0,0,0,255131
870732000,,0,0,0,0,170034
870818400,,0,0,0,0,169760
870904800,,0,0,0,0,434759
870991200,,0,0,0,0,509951
871250400,,0,0,0,0,189138
871336800,,0,0,0,0,276064
871423200,,0,0,0,0,144057
871509600,,0,0,0,0,137968
871855200,,0,0,0,0,82657
871941600,,0,0,0,0,71895
872028000,,0,0,0,0,40855
872114400,,0,0,0,0,119413
872200800,,0,0,0,0,66632
872460000,,0,0,0,0,29314
872546400,,0,0,0,0,57930
872632800,,0,0,0,0,62113
872719200,,0,0,0,0,45589
872805600,,0,0,0,0,49802
873064800,,0,0,0,0,33636
873151200,,0,0,0,0,207180
873237600,,0,0,0,0,246258
873324000,,0,0,0,0,139685
873410400,,0,0,0,0,194176
873669600,,0,0,0,0,160706
873756000,,0,0,0,0,194572
873842400,,0,0,0,0,339374
873928800,,0,0,0,0,104700
874015200,,0,0,0,0,72689
874274400,,0,0,0,0,88577
874360800,,0,0,0,0,89783
874447200,,0,0,0,0,164487
874533600,,0,0,0,0,102759
874620000,,0,0,0,0,151683
874879200,,0,0,0,0,156452
874965600,,0,0,0,0,124654
875052000,,0,0,0,0,75626
875138400,,0,0,0,0,78164
875224800,,0,0,0,0,78130
875484000,,0,0,0,0,25511
875570400,,0,0,0,0,202879
875656800,,0,0,0,0,50540
875743200,,0,0,0,0,127221
875829600,,0,0,0,0,121307
876088800,,0,0,0,0,49827
876175200,,0,0,0,0,137053
876261600,,0,0,0,0,58998
