t,p,o,c,h,l,v
1304978400,,39.77,41.71,41.9,39.11,927676
1305064800,,41.61,41.01,41.61,41.01,55258
1305151200,,40.7,41,41.5,39.83,76529
1305237600,,40.6,40.53,40.68,40.4,12443
1305496800,,40.55,40.79,40.9,40.48,39808
1305583200,,40.7,40.41,40.78,40.4,69461
1305669600,,40.5,40.5,40.63,40.41,7886
1305756000,,40.5,40.55,40.56,39.45,23489
1305842400,,40.58,40.5,40.58,40.23,21690
1306101600,,40.51,40.3,40.51,40.22,39410
1306188000,,40,40.5,40.5,39.6,41476
1306274400,,40.4,41,41,40.4,9212
1306360800,,40.75,40.7,41.4,40.7,33342
1306447200,,40.41,40.75,40.8,40.41,9943
1306706400,,40.46,40.11,40.6,40.1,15048
1306792800,,40.04,41.46,41.68,39.99,60446
1306879200,,41.46,41.35,41.46,40.5,1527
1306965600,,41.3,41.19,41.3,40.5,6055
1307052000,,40.55,40.55,41.15,40.5,5806
1307311200,,40.41,41,41,40.2,38237
1307397600,,40.5,41,41,40.5,54230
1307484000,,40.5,41,41,40.5,118074
1307570400,,40.8,40.5,40.8,40.5,37810
1307656800,,40.4,40.5,40.5,40.1,56822
1307916000,,40.4,40.55,40.6,40.4,21872
1308002400,,40.04,40.31,40.31,40.04,57814
1308088800,,40.01,40.48,40.5,40.01,11765
1308175200,,38.2,40,40.05,38.2,16773
1308261600,,39.85,40,40,39.4,42272
1308520800,,38.5,39.7,40,38.5,96887
1308607200,,39.5,39.7,40,39.5,112899
1308693600,,39.51,40,40.49,39.51,3067
1308866400,,39.99,40,40.2,39.81,11715
1309125600,,39.92,40,40.1,39.9,52858
1309212000,,39.2,40,40,39.2,2625
1309298400,,39.9,40.2,40.2,39.9,8329
1309384800,,40.5,40.5,40.5,40,11642
1309471200,,41,42.81,42.95,41,35054
1309730400,,42.75,43.5,43.5,42.75,23526
1309816800,,43.65,43.3,43.7,43.02,12452
1309903200,,43.16,43.3,43.3,42.2,8675
1309989600,,43.3,43.5,43.8,42.64,14366
1310076000,,43.3,42.05,43.75,42.05,5135
1310335200,,42.02,42.1,42.9,41.97,4513
1310421600,,42.72,41.98,42.72,39.58,42686
1310508000,,41,42,42.5,41,6426
1310594400,,41.11,41.98,41.99,41.11,16962
1310680800,,41.98,41.8,41.98,41.5,623
1310940000,,41.12,40.9,41.12,40.5,2219
1311026400,,40.7,40.5,40.9,40.02,2480
1311112800,,40.5,40.14,40.85,40.13,1959
1311199200,,40.4,40,40.4,39.51,4036
1311285600,,40.01,40.85,40.85,40.01,51001
1311544800,,40.97,40.95,40.97,40.3,2589
1311631200,,40.96,41,41.49,40.8,3920
1311717600,,41,40.5,41.2,40.5,2555
1311804000,,40.5,40.1,40.5,39.7,6685
1311890400,,40.71,40.7,40.71,39.91,23259
1312149600,,40.01,39.5,40.25,39.39,49196
1312236000,,39.85,39.4,39.85,39.4,21034
1312322400,,39.8,38.6,39.8,37.5,33219
1312408800,,37,37.2,38.9,37,33969
1312495200,,32,36.8,37.5,32,27161
1312754400,,34.1,34.9,36.5,34,24499
1312840800,,34,33.5,34.05,30.71,141482
1312927200,,34.4,32,35,31.11,67592
1313013600,,32.5,34,34,31.7,12416
1313100000,,35.45,35.73,35.9,34.5,3287
1313445600,,36.8,35.4,36.8,34.3,8495
1313532000,,36.67,35,36.67,35,1950
1313618400,,34.98,33.2,35.83,33.2,9984
1313704800,,33.2,34.57,34.59,33.2,3650
1313964000,,35,35.5,35.6,34.5,934
1314050400,,35.7,35,35.7,35,1629
1314136800,,34.8,35,35,34.8,438
1314223200,,35.1,35.5,36,35.1,798
1314309600,,36.34,36,36.34,35.5,1183
1314568800,,36.4,36.8,36.8,35.5,52361
1314655200,,36.8,36.6,36.8,36.4,27948
1314741600,,37.82,37.7,39.3,36.8,28818
1314828000,,38.5,37.49,38.5,36,1818
1314914400,,36.75,37.37,37.51,36.75,4878
1315173600,,36.5,37,37,35.7,2423
1315260000,,36.98,37.3,37.3,36.6,71357
1315346400,,37.3,37.6,37.96,37.25,619
1315432800,,40,40,40,39.15,313916
1315519200,,39.98,39.6,40.1,38.02,14498
1315778400,,39.6,38.1,39.6,37.65,4280
1315864800,,38.1,38,39.01,37.5,3128
1315951200,,38,38,38.1,38,15113
1316037600,,38.8,38.46,38.8,38.41,1255
1316124000,,38.01,39.45,39.48,38.01,1711
1316383200,,39.5,39.1,39.5,38.3,64899
1316469600,,39.1,39.7,39.7,39.1,2529
1316556000,,39.5,40.4,40.86,39.5,2989
1316642400,,40,39.3,40,39.15,6193
1316728800,,38.32,38.8,39.84,38.32,117613
1316988000,,39.5,40.32,40.32,39.18,2473
1317074400,,40.3,41.5,42,40.3,13563
1317160800,,41.6,43.1,43.21,41.6,59905
1317247200,,43,43.87,43.87,43,9955
1317333600,,42.5,43,44.32,42.5,63009
1317592800,,43,42.19,43,41.1,7442
1317679200,,42,40.4,42,40.33,10903
1317765600,,41,42.19,42.21,40.9,5977
1317852000,,42.28,42.5,43,42.1,665
1317938400,,42.21,42,42.21,41.85,6222
1318197600,,42,42,42,41.1,9041
1318284000,,42.28,42.3,42.3,41.8,41340
1318370400,,42.4,42.7,42.7,41.56,33058
1318456800,,42.7,42.4,43.98,41.91,6264
1318543200,,42.03,42.1,42.4,42,40834
1318802400,,43.3,42,43.3,42,1398
1318888800,,41.52,42,42,40.75,1828
1318975200,,42,41.71,42,41.2,5548
1319061600,,41.5,42,42,41.01,4143
1319148000,,41.61,41.2,41.61,41.2,1241
1319407200,,41.05,41.75,41.75,40.31,18711
1319493600,,42,42.12,42.23,41.3,591
1319580000,,41.99,42.09,42.12,40.51,1098
1319666400,,42,42.7,42.7,41.5,3540
1319752800,,43,41.82,43,41.82,551
