t,p,o,c,h,l,v
713656800,,0,3,3,3,61698
714088800,,0,3,3,3,0
714261600,,0,3,3,3,63684
714693600,,0,3,3,3,0
714866400,,0,3,3,3,70864
715298400,,0,2,2,2,18419
715471200,,0,2,2,2,61829
715903200,,0,2,2,2,70378
716076000,,0,2,2,2,40380
716508000,,0,3,3,3,15646
716680800,,0,3,3,3,23890
717112800,,0,3,3,3,19633
717285600,,0,3,3,3,22280
717721200,,0,3,3,3,31288
717894000,,0,3,3,3,17496
718326000,,0,3,3,3,22033
718498800,,0,3,3,3,9820
718930800,,0,3,3,3,33945
719103600,,0,3,3,3,9176
719535600,,0,3,3,3,19915
719708400,,0,3,3,3,16068
720140400,,0,3,3,3,12037
720313200,,0,3,3,3,6864
720745200,,0,3,3,3,24257
720918000,,0,3,3,3,3490
721350000,,0,2,2,2,3243
721522800,,0,2,2,2,4116
721954800,,0,3,3,3,12412
722127600,,0,3,3,3,6632
722559600,,0,2,2,2,9445
722732400,,0,2,2,2,4223
723164400,,0,3,3,3,11033
723337200,,0,3,3,3,13370
723769200,,0,2,2,2,13610
723942000,,0,3,3,3,5669
724374000,,0,2,2,2,7152
724546800,,0,3,3,3,9172
724978800,,0,3,3,3,27025
725583600,,0,3,3,3,38309
726102000,,0,3,3,3,4217
726188400,,0,3,3,3,7553
726361200,,0,3,3,3,2520
726706800,,0,3,3,3,3207
726793200,,0,3,3,3,3640
726966000,,0,3,3,3,3955
727311600,,0,3,3,3,3891
727398000,,0,3,3,3,2656
727570800,,0,3,3,3,7162
727916400,,0,3,3,3,7783
728002800,,0,3,3,3,1840
728175600,,0,3,3,3,2662
728521200,,0,3,3,3,3374
728607600,,0,3,3,3,4009
728780400,,0,3,3,3,5062
729126000,,0,3,3,3,1929
729212400,,0,3,3,3,925
729385200,,0,2,2,2,4920
729730800,,0,2,2,2,2621
729817200,,0,2,2,2,2600
729990000,,0,2,2,2,5919
730335600,,0,2,2,2,2859
730422000,,0,2,2,2,2862
730594800,,0,2,2,2,1540
730940400,,0,3,3,3,9465
731026800,,0,3,3,3,8142
731199600,,0,3,3,3,3414
731545200,,0,3,3,3,9759
731631600,,0,3,3,3,4903
731804400,,0,3,3,3,19932
732150000,,0,3,3,3,28942
732236400,,0,3,3,3,34450
732409200,,0,3,3,3,19688
732754800,,0,3,3,3,16981
732841200,,0,3,3,3,13292
733014000,,0,3,3,3,32200
733356000,,0,3,3,3,3032
733442400,,0,3,3,3,8735
733615200,,0,3,3,3,4811
733960800,,0,3,3,3,6697
734047200,,0,3,3,3,9077
734220000,,0,3,3,3,48832
734652000,,0,3,3,3,54496
734824800,,0,3,3,3,42848
735170400,,0,3,3,3,44486
735256800,,0,4,4,4,64823
735429600,,0,4,4,4,153794
735775200,,0,4,4,4,219452
735861600,,0,4,4,4,56403
736034400,,0,4,4,4,110366
736466400,,0,4,4,4,43062
736639200,,0,4,4,4,88267
736984800,,0,4,4,4,0
737071200,,0,5,5,5,116258
737244000,,0,5,5,5,203158
737589600,,0,5,5,5,161123
737676000,,0,5,5,5,133207
737848800,,0,5,5,5,269409
738194400,,0,5,5,5,167014
738280800,,0,5,5,5,178513
738453600,,0,6,6,6,243152
738799200,,0,5,5,5,211766
738885600,,0,5,5,5,133810
739058400,,0,5,5,5,158445
739404000,,0,4,4,4,142223
739490400,,0,4,4,4,98013
739576800,,0,4,4,4,56151
740008800,,0,4,4,4,73974
740095200,,0,5,5,5,104366
740268000,,0,5,5,5,177429
740613600,,0,4,4,4,0
740700000,,0,4,4,4,73662
740872800,,0,5,5,5,98318
741218400,,0,4,4,4,78507
741304800,,0,4,4,4,105415
741477600,,0,5,5,5,222216
741823200,,0,5,5,5,191291
741909600,,0,5,5,5,121071
742082400,,0,5,5,5,151876
742428000,,0,5,5,5,85937
