t,p,o,c,h,l,v
943570800,,21.8,22.2,22.4,21.4,10902704
943830000,,21.9,22,22.1,21.6,3781050
943916400,,22.2,21.9,22.3,21.9,2260083
944002800,,22.2,22.3,22.8,22.1,2116148
944089200,,23.2,23,23.7,22.9,2271722
944175600,,23,23.2,23.6,23,1621217
944434800,,24,23.7,24.5,24,2066164
944521200,,24.2,24.3,24.4,24,1668198
944607600,,24.5,24,24.6,24.1,2617788
944694000,,24,24.2,24.1,23.6,1728127
944780400,,24.1,24.2,24.1,23.8,1287862
945039600,,23.9,23.8,24,23.6,1084536
945126000,,24.2,24,24.4,24.1,2173392
945212400,,24.2,24.3,24.2,24,901254
945298800,,23.9,24,23.9,23.7,1007589
945385200,,24,23.8,24,23.7,927399
945644400,,24,24,24.3,23.9,1675257
945730800,,24.2,24.1,24.8,24.2,1094205
945817200,,25.6,25,25.8,25.4,1969072
945903600,,26,25.7,26,25.5,898551
946249200,,26,25.7,26.3,25.7,1058911
946335600,,25.4,25.7,25.5,25.1,770738
946422000,,25.3,26.1,26.1,25.2,1383433
946854000,,26.9,26.7,27,26.2,1104790
946940400,,25.5,25.6,26,25.4,1356054
947026800,,25.2,25.3,25.5,25,1869432
947113200,,25.1,25.8,25.9,25.1,1129966
947199600,,26.8,27,27.3,26.6,2879179
947458800,,27.8,27.3,28.4,27.3,3034484
947545200,,26.4,26.8,27.1,26.3,1158529
947631600,,26.4,26.7,26.7,26.3,939589
947718000,,27.3,27.5,27.7,27.2,1472400
947804400,,27.3,27.3,27.9,27,2766845
948063600,,27,27.1,27.3,27,1216408
948150000,,27.3,26.5,27.3,26.3,856937
948236400,,26.3,26.6,26.7,26.1,1064637
948322800,,26.6,27,27.1,26.4,1488080
948409200,,27.1,27.2,27.3,27,1081790
948668400,,26.6,26.4,26.6,26,814494
948754800,,25.5,25.4,25.5,24.5,1329031
948841200,,25.2,25.4,25.6,25.1,956725
948927600,,25.3,25.8,25.8,25.3,685378
949014000,,26.1,25.5,26.4,25.2,718450
949273200,,25.1,25.1,25.2,25,619497
949359600,,25.9,24.8,26.1,24.7,986869
949446000,,24.7,25,25.1,24.6,1119387
949532400,,25.7,25.9,26.1,25.2,1286765
949618800,,26.5,25.6,26.5,25.4,990461
949878000,,25.2,25.3,25.7,25.1,855721
949964400,,25.2,25,25.2,24.8,1232197
950050800,,25.3,24.5,25.3,24.4,2136237
950137200,,24.2,24.3,24.5,24,980685
950223600,,23.5,23.3,23.9,23.1,2368369
950482800,,23,24,24.2,22.8,1776213
950569200,,24.3,24.2,24.6,24.1,1785337
950655600,,24,23.6,24,23.3,1235723
950742000,,23.3,24.5,24.5,23.3,1151674
950828400,,24.6,24.7,25.1,24.5,2095964
951087600,,24,24.2,24.3,23.9,755979
951174000,,24.6,23.7,24.8,23.7,799825
951260400,,23.3,23.5,24.1,23.1,1212286
951346800,,23.3,23,23.7,22.8,1391965
951433200,,22.4,22.7,23,22.4,843345
951692400,,22.4,22.3,22.7,21.7,1347570
951778800,,22.6,22.4,22.6,22.2,597271
951865200,,22.5,22.5,22.7,22.2,898877
951951600,,23.2,23.2,23.4,22.8,974747
952038000,,23.5,23.7,23.7,23.2,712182
952297200,,24.2,23.5,24.2,23.4,662262
952383600,,23.1,23.3,23.5,23,558540
952470000,,22.9,22.9,23.1,22.7,651759
952556400,,23,22.5,23.2,22.5,568505
952642800,,23,22.8,23,22.7,572120
952902000,,22.6,22.2,22.9,21.9,1098005
952988400,,22.8,23.2,23.2,22.2,2350186
953074800,,22.5,22.5,22.9,22.4,798148
953161200,,22.8,23,23.3,22.7,1060486
953247600,,23.5,23.3,23.5,23.2,1422113
953506800,,23.1,23.1,23.2,23,565533
953593200,,22.9,22.9,23.2,22.7,442960
953679600,,23.5,24,24.3,23.5,1590628
953766000,,24.3,24.2,24.4,24,1323582
953852400,,24.4,24.3,24.5,24.1,1224277
954108000,,24,23.8,24.1,23.8,520237
954194400,,23.7,24,24,23.7,830048
954280800,,23.8,23.8,24,23.6,706267
954367200,,23.7,23.3,23.7,23.1,379844
954453600,,23.3,23.3,23.3,23,409289
954712800,,23,22.6,23,22.6,416884
954799200,,22.6,22.5,22.7,22.3,699977
954885600,,22.6,22.2,22.6,21.9,845495
954972000,,22.5,22.5,22.6,22.2,457367
955058400,,22.6,22.5,22.6,22.1,569526
955317600,,22.9,23.1,23.1,22.8,523808
955404000,,22.7,22.9,22.9,22.7,372782
955490400,,22.9,23.4,23.5,22.9,530932
955576800,,23.3,23.4,23.5,23.2,399996
955663200,,23.4,23.3,23.6,23.2,542880
955922400,,21.8,22.1,22.3,21.6,1032223
956008800,,22.2,22.2,22.3,22,573787
956095200,,22.2,22,22.4,22,739872
956181600,,22,22.3,22.4,22,443273
956613600,,22,22.5,22.5,22,369720
956700000,,22.5,22.2,22.6,22.2,309132
956786400,,22.1,22.2,22.4,22,480054
956872800,,22.4,22.4,22.5,22,212760
957391200,,22.4,22,22.4,22,193634
957477600,,22.1,22,22.1,21.9,151339
957736800,,21.9,21.9,22,21.7,138011
957823200,,22,22,22.2,21.8,325570
957909600,,22.1,22.3,22.3,22.1,256477
957996000,,22.3,22.6,22.7,22.2,449688
958082400,,22.3,22.2,22.4,22.1,274289
958341600,,22,22,22,21.8,212207
958428000,,22,22.5,22.7,22,396881
958514400,,22.2,22.4,22.4,22,323594
958600800,,22.1,21.9,22.2,21.8,513844
958687200,,21.8,21.6,21.9,21.6,567759
958946400,,21.7,21.2,21.7,21.2,235457
959032800,,20.9,20.8,21,20.5,528578
959119200,,20.4,20.3,20.5,20.2,616103
959205600,,20.5,20.7,20.7,20.1,545184
959292000,,20.5,20.3,20.5,20.2,636483
959551200,,20.5,20.5,20.7,20.3,342318
959637600,,20.9,20.8,21,20.6,215903
959724000,,20.8,20.8,21,20.7,457090
959810400,,21.2,21.1,21.3,20.9,315283
959896800,,20.9,21.2,21.4,20.8,290865
960156000,,21.2,22.4,22.4,21.2,578681
960242400,,21.8,21.2,21.8,21.2,331468
960328800,,21.6,22,22.2,21.4,523270
960415200,,22,21.7,22.2,21.7,514534
960501600,,21.8,21.7,21.9,21.6,394360
960760800,,21.5,21.5,21.6,21.3,190877
960847200,,21.6,21.7,21.8,21.4,340930
960933600,,22.1,22.3,22.7,21.9,1404457
961020000,,22.1,22.1,22.2,22,436221
961106400,,21.9,21.7,21.9,21.6,477207
961365600,,21.5,21.7,21.8,21.4,510390
961452000,,21.9,22,22.1,21.8,412151
961538400,,21.9,21.8,21.9,21.7,233460
961711200,,21.5,21.9,21.9,21.5,374880
961970400,,21.5,21.4,21.6,21.1,491341
962056800,,21.3,21.1,21.4,21.1,470236
962143200,,21.3,21.1,21.3,21,409181
962229600,,21.2,21.1,21.6,21,1273651
962316000,,21.3,20.7,21.3,20.6,829135
962575200,,21,20.8,21,20.7,1008942
962661600,,20.8,20.8,20.9,20.7,1302176
962748000,,20.9,21,21.1,20.8,1164833
962834400,,20.8,20.7,20.8,20.6,870298
962920800,,20.7,20.7,20.8,20.5,2434910
963180000,,20.8,20.6,20.8,20.5,1451396
963266400,,20.5,20.2,20.5,20.1,1463762
963352800,,20.4,20.4,20.5,20.3,1119567
963439200,,20.5,20.8,21.1,20.5,1450327
963525600,,20.9,20.8,21,20.7,1139788
963784800,,21,21.2,21.2,20.9,1748186
963871200,,21.6,21.8,22,21.6,1500349
963957600,,22.1,21.9,22.2,21.8,788178
964044000,,21.5,21.6,21.8,21.4,946868
964130400,,21.7,21.6,21.8,21.6,418961
964389600,,21.6,21.6,21.7,21.5,434791
964476000,,21.5,21.8,21.8,21.5,871858
964562400,,21.8,21.7,21.8,21.6,682613
964648800,,21.3,21.2,21.5,21.1,785453
964735200,,21.2,21.1,21.4,21,531464
964994400,,20.9,20.8,20.9,20.5,939699
965080800,,20.5,20.3,20.6,20.2,565666
