t,p,o,c,h,l,v
1100041200,,23.2,24.5,24.6,23.2,58487430
1100214000,,24.5,24.7,25.8,24.5,20896288
1100473200,,24.5,24.6,24.7,24.1,8692523
1100559600,,24.5,24.5,24.6,24.4,3945123
1100646000,,24.5,24.5,24.6,24.3,3256633
1100732400,,24.5,24.5,24.6,24.4,1811343
1100818800,,24.6,24.3,24.6,24.3,3022424
1101078000,,24.2,24.1,24.3,23.8,3703935
1101164400,,24,24,24.1,23.8,3578150
1101250800,,24,24,24,23.8,3200500
1101337200,,24,24.7,24.7,24,2830842
1101423600,,24.6,24.7,24.7,24.4,1074683
1101682800,,24.6,24.8,24.8,24.5,2292000
1101769200,,24.8,25,25.1,24.7,5026164
1101855600,,24.7,25.2,25.2,24.6,2485123
1101942000,,25.1,25.5,25.6,25.1,2703534
1102028400,,25.5,25.6,25.6,25.3,2718748
1102287600,,25.4,25.4,25.5,25.1,1152690
1102374000,,25.3,25.9,25.9,25.3,2780162
1102460400,,25.6,25.7,25.8,25.5,1256063
1102546800,,25.5,25.4,25.6,25.3,846534
1102633200,,25.3,25.5,25.7,25.3,2383222
1102892400,,25.4,25.2,25.5,25,984140
1102978800,,25.1,25.2,25.4,25,1530919
1103065200,,25.1,25.1,25.3,25,863231
1103151600,,25.1,25.4,25.5,25,1333472
1103238000,,25.3,26,26,25.2,2493470
1103497200,,26,26.9,27,26,3043920
1103583600,,26.7,27.4,27.6,26.5,2286522
1103670000,,27.5,27.4,28.5,26.7,2532049
1103756400,,27.1,26.5,27.6,26.5,1172563
1103842800,,26.5,26.9,26.9,26.4,238224
1104102000,,26.9,26.8,26.9,26.6,445984
1104188400,,26.8,26.5,26.8,26.4,589038
1104274800,,26.5,27.2,27.4,26.5,1247539
1104361200,,27.3,27.7,28,27.3,1032426
1104447600,,27.7,27.8,28,27.7,366915
1104706800,,28,28.4,28.7,27.9,1413436
1104793200,,28.2,28.2,28.4,27.9,990664
1104879600,,28,27.4,28.2,27.4,1377956
1104966000,,27.3,27.8,28,26.8,1314356
1105052400,,27.7,28.3,28.3,27.6,1362968
1105311600,,28,27.7,28.1,27.6,1016990
