t,p,o,c,h,l,v
1383087600,,80.2,81.16,83.48,80.03,7114196
1383174000,,80.21,81.15,82.1,80.21,307387
1383519600,,81,80.85,81.75,80.61,149153
1383606000,,80.65,80.6,81,80.1,258528
1383692400,,79.86,80.26,80.26,75.01,516090
1383778800,,78.1,80,80.15,78.1,202533
1383865200,,80,80.4,80.4,80,130858
1384210800,,80,81.15,81.5,79.81,118801
1384297200,,80.79,82.34,82.54,80.6,112969
1384383600,,80.91,82,82,80.61,101732
1384470000,,81.02,83.01,84.49,81.02,135575
1384729200,,83,83.7,84.15,82.15,198323
1384815600,,82.9,83.5,84.16,82.68,109892
1384902000,,83.5,82.5,83.5,82.5,170246
1384988400,,82.34,81.77,82.6,81.5,527519
1385074800,,81.5,82.4,82.75,81.4,141455
1385334000,,82.05,84,84.37,82.05,285500
1385420400,,83.61,83.69,84,83.02,130233
1385506800,,82.81,85,85.34,82.81,459209
1385593200,,85,86.25,88,85,260416
1385679600,,86.3,86.9,87.41,86.3,84808
1385938800,,86.9,85.7,86.9,85.7,64609
1386025200,,86.38,84.52,86.59,84,59406
1386111600,,85,84.01,85.45,84.01,83183
1386198000,,84.7,83.5,84.99,83.5,35259
1386284400,,83.97,83.65,84,83.3,35017
1386543600,,84.01,86,86.4,84.01,60656
1386630000,,86.2,86,86.48,85.7,66587
1386716400,,86.2,85.45,86.25,85,107872
1386802800,,85.49,83,85.49,83,68399
1386889200,,83,83,83.78,82.88,214923
1387148400,,83.01,84,84,83.01,197102
1387234800,,84.3,81.6,84.3,81.2,252205
1387321200,,81.6,83,83.25,81.6,209500
1387407600,,83.04,82,84,81.33,119503
1387494000,,83,82.3,83.14,81.62,98572
1387753200,,82.5,82.6,83.57,81.51,132757
1388098800,,82.76,83.33,83.33,82.02,134268
1388358000,,83.5,85.97,85.97,83.5,114628
1388617200,,85.17,86.43,86.45,85,12924
1388703600,,86.43,85.6,86.43,85.53,7284
1389049200,,85.57,84.5,85.57,83.88,45156
1389135600,,83.89,85.16,85.94,83.5,20487
1389222000,,85.85,85.01,85.85,84.3,15255
1389308400,,85,84.23,85,83.2,20387
1389567600,,84.23,85.88,85.9,84.23,59664
1389654000,,85.3,85.4,86.4,85,80129
1389740400,,86,85.85,86,85.4,72288
1389826800,,85.9,86.2,86.8,85.7,54299
1389913200,,86.3,87.84,88.8,86.3,115767
1390172400,,87.84,87.95,87.99,86.63,53051
1390258800,,88.01,89.15,89.49,88,59752
1390345200,,89.4,90,90.81,88.52,97385
1390431600,,90.5,91,91.97,90.4,64471
1390518000,,90.56,90,90.6,89.11,115991
1390777200,,89.5,89.89,89.89,87.11,52524
1390863600,,89.26,90.81,90.81,89,30189
1390950000,,91,91,92.2,90.02,32358
1391036400,,90.1,91,91.48,90.1,6596
1391122800,,91,90.37,91,90.37,28871
1391382000,,90.05,91.45,91.8,90.05,15416
1391468400,,90.77,91.49,91.8,90,27248
1391554800,,91.78,91.7,92,91.18,64114
1391641200,,92,93.65,94.74,92,119006
1391727600,,94.28,93.5,94.35,93.21,13369
1391986800,,93.27,93.5,93.8,93.27,6144
1392073200,,93.5,93.3,93.99,93.3,12110
1392159600,,93.15,93.88,93.88,92.8,21429
1392246000,,93.7,93,93.88,92.5,50138
1392332400,,93.49,92.5,93.49,92.5,74307
1392591600,,92.13,92.5,93.2,90.65,27230
1392678000,,92.5,91.5,92.5,90.5,80833
1392764400,,90.9,91.5,92,90.75,46958
1392850800,,91.43,91.6,91.6,91,89654
1392937200,,91.6,92.23,92.4,91.6,29551
1393196400,,92.3,92,92.39,90.75,9539
1393282800,,91.45,92.49,92.85,91.1,68976
1393369200,,92.38,91.4,92.4,91,29919
1393455600,,90.84,91.5,92,90.75,56957
1393542000,,91,91.5,92.07,91,25634
1393801200,,88,86.2,89.87,84.8,102937
1393887600,,86.1,88.6,90.01,86.1,102982
1393974000,,90,88.8,90,88.6,25520
1394060400,,88.9,89.95,90.39,88.9,97685
1394146800,,89.94,89.5,90.6,89.5,40701
1394406000,,88.62,88.15,89.39,88,14740
1394492400,,88.1,88.85,89.29,88.1,48894
1394578800,,88.17,88.5,89.26,88.1,68224
1394665200,,88.25,88,88.55,88,64463
1394751600,,88,87.8,88,84.8,88938
1395010800,,87.8,90.65,90.65,87.1,27698
1395097200,,90.5,91.48,91.5,90.5,18395
1395183600,,91.48,91,91.5,90.25,35054
1395270000,,91.2,91.6,91.95,90.65,40153
1395356400,,91.6,91.85,91.99,90.22,54959
1395615600,,90.47,91.3,91.8,90.47,97132
1395702000,,91.5,91.5,91.5,90.8,214585
1395788400,,91,91.9,92,91,22921
1395874800,,92,90.96,92,90.57,3680
1395961200,,90.96,91.07,91.5,90,120462
1396216800,,91.28,90.5,91.3,90.5,317300
1396303200,,90.5,90.4,90.99,90.25,22477
1396389600,,91,90.82,91.51,90.55,7442
1396476000,,91,91.8,92,90.6,20172
1396562400,,92,91.4,92,91.36,8606
1396821600,,91.4,91,91.5,90.91,11852
1396908000,,91,92,92.2,90.8,58870
1396994400,,92.46,93.89,93.89,92.46,31408
1397080800,,93.79,92.5,93.79,92.05,18980
