t,p,o,c,h,l,v
1571176800,,21,21,23,18.65,174869
1571263200,,21.8,21.3,21.8,20.5,10626
1571349600,,20.8,21.3,21.31,20.8,8295
1571608800,,21.3,21.9,21.9,21,64324
1571695200,,22,24.4,24.4,21.93,36319
1571781600,,24.44,24.3,26.88,23.2,35295
1571868000,,24.3,23.25,24.3,22.42,6827
1571954400,,23.25,23.2,24.03,23,4919
1572217200,,23.96,24.145,24.23,22.705,8091
1572303600,,24.4,24.8,24.9,23.95,7021
1572390000,,24.85,25.7,26,24.85,6197
1572476400,,25.9,25.4,25.9,25,2963
1572822000,,25.95,24.6,25.95,24.5,2768
1572908400,,25.95,25.505,25.95,24,4366
1572994800,,25,25.435,25.8,24.95,29600
1573081200,,25.4,25.5,25.7,25,24626
1573167600,,25,25,25.5,24.7,10094
1573513200,,25,24.8,25.4,24.8,4742
1573599600,,25,25.2,25.3,24.85,4982
1573686000,,25.2,25.2,25.6,25.2,1646
1573772400,,25.6,24.6,25.6,24.2,3952
1574031600,,24.65,25,25.8,24.65,5457
1574118000,,25.5,24.9,25.5,24.65,2380
1574204400,,25,24.8,25,24.6,755
1574290800,,24.805,24.61,25,24.61,944
1574377200,,24.62,24.4,24.8,24.4,1018
1574636400,,24.6,23.4,24.6,22.5,11410
1574722800,,22.7,23,23.3,22.5,7673
1574809200,,23.35,22.95,23.35,22.8,294
1574895600,,23.5,22.6,23.5,22.6,695
1574982000,,22.6,22.7,23,22.5,2055
1575241200,,22.8,22,22.8,21.3,24772
1575327600,,21.9,21.85,22,21.75,3227
1575414000,,22,23.3,23.3,21.905,4382
1575500400,,23.5,23.95,24,23.4,10600
1575586800,,24.2,23.8,25,23.4,1291
1575846000,,24,23.92,24,23,1047
1575932400,,24,23.02,24,23.02,754
1576018800,,23.495,22.8,23.495,22.8,1261
1576105200,,23.49,23.4,23.49,22.1,1737
1576191600,,23.5,23,23.5,22.6,5247
1576450800,,23,23,23,22,7750
1576537200,,23,23,23.18,22,17167
1576623600,,23.5,22.6,23.5,22.5,257
1576710000,,23.2,23.2,23.2,22.4,1380
1576796400,,23.2,22.3,23.2,22.1,36543
1577055600,,22.85,23,23.09,22.25,3380
1577401200,,23.055,23,23.055,23,303
1577660400,,23,23.5,23.5,22.5,3651
1577919600,,23.6,23.5,23.6,23.15,4075
1578006000,,23.5,23,23.65,23,453
1578351600,,23.4,24.5,24.88,23.4,8911
1578438000,,24.5,24.7,25,24,78193
1578524400,,25.205,25,25.495,25,2989
1578610800,,25,24.8,25,24.3,3679
1578870000,,24.1,24.4,24.7,24,4701
1578956400,,24.5,24.3,24.8,24.005,2130
1579042800,,24.1,24.8,24.8,23.8,10027
1579129200,,24.98,25.3,25.8,24.86,29511
1579215600,,25.9,25.4,26,24.9,4712
1579474800,,24.7,27,27,24.7,15183
1579561200,,27.6,27,28,27,8143
1579647600,,28,27,28,26.89,3303
1579734000,,27,27.5,27.995,27,2229
1579820400,,27.86,27,27.86,26.51,790
1580079600,,27,26.7,27,26.5,2246
1580166000,,26.7,26.65,26.7,26.1,921
1580252400,,26.72,25.8,26.72,25.8,2574
1580338800,,25.5,26.69,26.7,25.5,4228
1580425200,,25.4,26,26.8,25.3,1168
1580684400,,25.5,26.49,26.49,25.5,9788
1580770800,,26.7,26,26.7,25.6,787
1580857200,,26.6,26,26.6,26,2185
1580943600,,26.8,26.7,26.8,26,11014
1581030000,,26.8,26.4,26.8,26.14,847
1581289200,,26.98,26.5,26.98,26,2284
1581375600,,26.69,26.4,26.69,25.985,31591
1581462000,,26.5,26.35,26.5,26,420
