t,p,o,c,h,l,v
1277848800,,5.13,5.05,5.14,5.01,89320006
1277935200,,5.01,5.05,5.07,4.96,19215635
1278021600,,5.06,5.06,5.09,5.05,5232982
1278280800,,5.06,5.05,5.08,5.05,4340255
1278367200,,5.06,5.07,5.09,5.06,3961562
1278453600,,5.06,5.05,5.07,5.04,5290180
1278540000,,5.05,5.1,5.1,5.05,8551809
1278626400,,5.1,5.13,5.13,5.1,8690559
1278885600,,5.13,5.19,5.2,5.12,23626291
1278972000,,5.2,5.12,5.22,5.12,60787036
1279058400,,5.13,5.09,5.14,5.07,7099804
1279144800,,5.09,5.08,5.09,5.07,7758059
1279231200,,5.09,5.07,5.12,5.05,8169719
1279490400,,5.06,5.07,5.08,5.04,2549961
1279576800,,5.06,5.04,5.06,5.04,2340381
1279663200,,5.04,5.06,5.07,5.03,3691162
1279749600,,5.05,5.12,5.13,5.05,18303750
1279836000,,5.12,5.13,5.13,5.1,5202725
1280095200,,5.11,5.08,5.11,5.06,2858604
1280181600,,5.1,5.12,5.12,5.08,5212025
1280268000,,5.09,5.09,5.1,5.08,2456309
1280354400,,5.08,5.12,5.12,5.08,1732190
1280440800,,5.1,5.12,5.13,5.08,2987812
1280700000,,5.1,5.12,5.13,5.09,2079053
1280786400,,5.11,5.11,5.13,5.1,2311396
1280872800,,5.1,5.11,5.11,5.08,2855323
1280959200,,5.09,5.1,5.12,5.09,4267164
1281045600,,5.08,5.11,5.12,5.08,2559237
1281304800,,5.09,5.11,5.12,5.08,5771742
1281391200,,5.08,5.11,5.12,5.08,5246269
1281477600,,5.09,5.1,5.1,5.08,1297725
1281564000,,5.08,5.13,5.13,5.07,2086033
1281650400,,5.1,5.1,5.1,5.08,1232136
1281909600,,5.08,5.15,5.15,5.07,4226618
1281996000,,5.14,5.14,5.19,5.1,6542478
1282082400,,5.12,5.15,5.15,5.1,1935074
1282168800,,5.12,5.13,5.14,5.11,1063627
1282255200,,5.12,5.14,5.15,5.12,1396058
1282514400,,5.14,5.33,5.38,5.13,20195166
1282600800,,5.34,5.32,5.38,5.29,6210052
1282687200,,5.3,5.32,5.32,5.3,2290178
1282773600,,5.31,5.29,5.32,5.23,3160332
1282860000,,5.24,5.3,5.31,5.24,2693728
1283119200,,5.3,5.36,5.37,5.3,3979216
1283205600,,5.33,5.37,5.37,5.27,3134070
