t,p,o,c,h,l,v
887583600,,0,9.8,9.8,9.8,17985
887670000,,0,10.5,10.5,10.5,38253
887756400,,0,11.3,11.3,11.3,56501
887842800,,0,11.9,11.9,11.9,95497
887929200,,0,11.5,11.5,11.5,26437
888188400,,0,10.8,10.8,10.8,25663
888274800,,0,11.2,11.2,11.2,47749
888361200,,0,10.9,10.9,10.9,13786
888447600,,0,10.5,10.5,10.5,8542
888534000,,0,10.9,10.9,10.9,27930
888793200,,0,10.9,10.9,10.9,22038
888879600,,0,11.1,11.1,11.1,27104
888966000,,0,10.7,10.7,10.7,6045
889052400,,0,10.3,10.3,10.3,10210
889138800,,0,10.3,10.3,10.3,14050
889398000,,0,10.7,10.7,10.7,9141
889484400,,0,10.7,10.7,10.7,9911
889570800,,0,10.5,10.5,10.5,13175
889657200,,0,10.2,10.2,10.2,9756
889743600,,0,10.5,10.5,10.5,11730
890002800,,0,10.7,10.7,10.7,13917
890089200,,0,10.9,10.9,10.9,17382
890175600,,0,10.6,10.6,10.6,9254
890262000,,0,10.6,10.6,10.6,17026
890348400,,0,10.8,10.8,10.8,9598
890607600,,0,11,11,11,17352
890694000,,0,11,11,11,34721
890780400,,0,11.3,11.3,11.3,35971
890866800,,0,11,11,11,16454
890953200,,0,9.9,9.9,9.9,10282
891208800,,0,10.6,10.6,10.6,40201
891295200,,0,10.5,10.5,10.5,7107
891381600,,0,10.5,10.5,10.5,2340
891468000,,0,10.1,10.1,10.1,16100
891813600,,0,10.5,10.5,10.5,2965
891900000,,0,10.6,10.6,10.6,6349
891986400,,0,10.4,10.4,10.4,15586
892072800,,0,10.4,10.4,10.4,39482
892504800,,0,10.5,10.5,10.5,2384
892591200,,0,10.7,10.7,10.7,8494
892677600,,0,10.5,10.5,10.5,2398
892764000,,0,10.3,10.3,10.3,22593
893023200,,0,10.4,10.4,10.4,8320
893109600,,0,10.4,10.4,10.4,6160
893196000,,0,10.3,10.3,10.3,19961
893282400,,0,10.2,10.2,10.2,9037
893368800,,0,10.1,10.1,10.1,12858
893628000,,0,10.3,10.3,10.3,5313
893714400,,0,9.9,9.9,9.9,10437
893800800,,0,9.9,9.9,9.9,11611
893887200,,0,9.5,9.5,9.5,10976
894232800,,0,9.5,9.5,9.5,17596
894319200,,0,9.5,9.5,9.5,14678
894405600,,0,9.3,9.3,9.3,4201
894492000,,0,9.4,9.4,9.4,6851
894578400,,0,9.3,9.3,9.3,10494
894837600,,0,9.3,9.3,9.3,7265
894924000,,0,8.9,8.9,8.9,7327
895010400,,0,9,9,9,15499
895096800,,0,9.1,9.1,9.1,6905
895183200,,0,8.9,8.9,8.9,8100
895442400,,0,8.9,8.9,8.9,9895
895528800,,0,9,9,9,20775
895615200,,0,9,9,9,7047
895701600,,0,9,9,9,32226
895788000,,0,9,9,9,3568
896047200,,0,8.25,8.25,8.25,5160
896133600,,0,8.3,8.3,8.3,11826
896220000,,0,7.5,7.5,7.5,15099
896306400,,0,7.5,7.5,7.5,21046
896392800,,0,8.25,8.25,8.25,15030
896652000,,0,7.45,7.45,7.45,1694
896738400,,0,6.75,6.75,6.75,18760
896824800,,0,6.8,6.8,6.8,3337
896911200,,0,7,7,7,7042
896997600,,0,7.2,7.2,7.2,13688
897256800,,0,7,7,7,2687
897343200,,0,6.8,6.8,6.8,8821
897429600,,0,6.3,6.3,6.3,8352
897861600,,0,5.95,5.95,5.95,5803
897948000,,0,5.4,5.4,5.4,9551
898034400,,0,5.9,5.9,5.9,6961
898120800,,0,6.45,6.45,6.45,23606
898207200,,0,6.2,6.2,6.2,39222
898466400,,0,6.35,6.35,6.35,4251
898552800,,0,6.6,6.6,6.6,23417
898639200,,0,6.8,6.8,6.8,11860
898725600,,0,7,7,7,14569
898812000,,0,7.25,7.25,7.25,25656
899071200,,0,7.45,7.45,7.45,21620
899157600,,0,7.4,7.4,7.4,28915
899244000,,0,7.55,7.55,7.55,27859
899330400,,0,7.55,7.55,7.55,28590
899416800,,0,7.55,7.55,7.55,14661
899676000,,0,7.25,7.25,7.25,9895
899762400,,0,7.35,7.35,7.35,19630
899848800,,0,7,7,7,18488
899935200,,0,7.6,7.6,7.6,17600
900021600,,0,7.3,7.3,7.3,16948
900280800,,0,6.65,6.65,6.65,20568
900367200,,0,7,7,7,15954
900453600,,0,7.2,7.2,7.2,13029
900540000,,0,7,7,7,23153
900626400,,0,7.2,7.2,7.2,5956
900885600,,0,7.65,7.65,7.65,10922
900972000,,0,7.65,7.65,7.65,18974
901058400,,0,7.65,7.65,7.65,17505
901144800,,0,7.6,7.6,7.6,24124
901231200,,0,7.7,7.7,7.7,15788
901490400,,0,7.8,7.8,7.8,20217
901576800,,0,7.9,7.9,7.9,12780
901663200,,0,7.8,7.8,7.8,10001
901749600,,0,7.9,7.9,7.9,19016
901836000,,0,8,8,8,10898
902095200,,0,7.8,7.8,7.8,5388
902181600,,0,7.9,7.9,7.9,14282
902268000,,0,7.7,7.7,7.7,12950
902354400,,0,7.65,7.65,7.65,15500
902440800,,0,7.65,7.65,7.65,12177
902700000,,0,7.7,7.7,7.7,3000
902786400,,0,7.65,7.65,7.65,7239
902872800,,0,7,7,7,9340
902959200,,0,6.3,6.3,6.3,15751
903045600,,0,5.75,5.75,5.75,29495
903304800,,0,5.85,5.85,5.85,11014
903391200,,0,6,6,6,9871
903477600,,0,6.55,6.55,6.55,19029
903564000,,0,6.5,6.5,6.5,15229
903650400,,0,6.2,6.2,6.2,6587
903909600,,0,6,6,6,8600
903996000,,0,6.2,6.2,6.2,6400
904082400,,0,6.3,6.3,6.3,10580
904168800,,0,6.3,6.3,6.3,9981
904255200,,0,5.7,5.7,5.7,6615
904514400,,0,5.5,5.5,5.5,9371
904600800,,0,4.95,4.95,4.95,5834
904687200,,0,4.8,4.8,4.8,25249
904773600,,0,4.6,4.6,4.6,6636
904860000,,0,4.15,4.15,4.15,4089
905119200,,0,4.5,4.5,4.5,14198
905205600,,0,4.25,4.25,4.25,7982
905292000,,0,4.6,4.6,4.6,14300
905378400,,0,4.7,4.7,4.7,7640
905464800,,0,4.3,4.3,4.3,21126
905724000,,0,4.6,4.6,4.6,12107
905810400,,0,4.7,4.7,4.7,8497
905896800,,0,4.7,4.7,4.7,7138
905983200,,0,4.55,4.55,4.55,5930
906069600,,0,4.3,4.3,4.3,19527
906328800,,0,4.15,4.15,4.15,9911
906415200,,0,4.45,4.45,4.45,4554
906501600,,0,4.4,4.4,4.4,2786
906588000,,0,4.6,4.6,4.6,15067
906674400,,0,4.45,4.45,4.45,1175
906933600,,0,4.45,4.45,4.45,3600
907020000,,0,4.4,4.4,4.4,2905
907106400,,0,4.25,4.25,4.25,2885
907192800,,0,3.9,3.9,3.9,8487
907279200,,0,3.6,3.6,3.6,20890
907538400,,0,3.55,3.55,3.55,2555
907624800,,0,3.55,3.55,3.55,3089
907711200,,0,3.7,3.7,3.7,5494
907797600,,0,3.4,3.4,3.4,10761
907884000,,0,3.3,3.3,3.3,11000
908143200,,0,3.6,3.6,3.6,12920
908229600,,0,3.95,3.95,3.95,18363
908316000,,0,4.2,4.2,4.2,17476
908402400,,0,4.2,4.2,4.2,9029
908488800,,0,4.1,4.1,4.1,14331
908748000,,0,4.45,4.45,4.45,4899
908834400,,0,4.3,4.3,4.3,11316
908920800,,0,4.35,4.35,4.35,6112
909007200,,0,4.2,4.2,4.2,5440
909093600,,0,4.3,4.3,4.3,12297
909356400,,0,4.4,4.4,4.4,11728
909442800,,0,4.3,4.3,4.3,17591
909529200,,0,4.15,4.15,4.15,16280
909615600,,0,4.1,4.1,4.1,16278
909702000,,0,4.2,4.2,4.2,7246
909961200,,0,4.5,4.5,4.5,27644
910047600,,0,4.6,4.6,4.6,15786
910134000,,0,4.5,4.5,4.5,8444
910220400,,0,4.4,4.4,4.4,27320
910306800,,0,4.3,4.3,4.3,15100
910566000,,0,4.35,4.35,4.35,4156
910652400,,0,4.5,4.5,4.5,6638
910825200,,0,4.6,4.6,4.6,18974
910911600,,0,4.85,4.85,4.85,18073
911170800,,0,5.3,5.3,5.3,11138
911257200,,0,5.3,5.3,5.3,9710
911343600,,0,5,5,5,14596
911430000,,0,4.8,4.8,4.8,16317
911516400,,0,5.1,5.1,5.1,13970
911775600,,0,5.5,5.5,5.5,24021
911862000,,0,5.3,5.3,5.3,13383
911948400,,0,4.95,4.95,4.95,15402
912034800,,0,4.95,4.95,4.95,14107
912121200,,0,5,5,5,17736
912380400,,0,4.75,4.75,4.75,6213
912466800,,0,4.4,4.4,4.4,8325
912553200,,0,4.3,4.3,4.3,10038
912639600,,0,4.4,4.4,4.4,13937
912726000,,0,4.5,4.5,4.5,13757
912985200,,0,4.75,4.75,4.75,8002
913071600,,0,4.75,4.75,4.75,18730
913158000,,0,4.7,4.7,4.7,3082
913244400,,0,4.75,4.75,4.75,11025
913330800,,0,4.65,4.65,4.65,16841
913590000,,0,4.65,4.65,4.65,10219
913676400,,0,4.65,4.65,4.65,1575
913762800,,0,4.75,4.75,4.75,3337
913849200,,0,4.8,4.8,4.8,7048
913935600,,0,4.9,4.9,4.9,8889
914194800,,0,5,5,5,14605
914281200,,0,5.2,5.2,5.2,14790
914367600,,0,5.4,5.4,5.4,10930
914799600,,0,5.75,5.75,5.75,18971
914886000,,0,5.75,5.75,5.75,27242
914972400,,0,5.75,5.75,5.75,38101
915058800,,0,5.75,5.75,5.75,27064
915404400,,0,5.75,5.75,5.75,3933
915490800,,0,5.25,5.25,5.25,2544
915577200,,0,5.5,5.5,5.5,7813
915663600,,0,5.3,5.3,5.3,3204
915750000,,0,5.05,5.05,5.05,5763
916009200,,0,5.2,5.2,5.2,5933
916095600,,0,5.05,5.05,5.05,2050
916182000,,0,4.95,4.95,4.95,7756
916268400,,0,4.5,4.5,4.5,14971
916354800,,0,4.3,4.3,4.3,6834
916614000,,0,4.55,4.55,4.55,1748
916700400,,0,4.8,4.8,4.8,10469
916786800,,0,4.95,4.95,4.95,17812
916873200,,0,5,5,5,7823
916959600,,0,4.95,4.95,4.95,28731
917218800,,0,4.5,4.5,4.5,19363
917305200,,0,4.5,4.5,4.5,6900
917391600,,0,4.65,4.65,4.65,10175
917478000,,0,4.55,4.55,4.55,5866
917564400,,0,4.5,4.5,4.5,17834
917823600,,0,4.5,4.5,4.5,5645
917910000,,0,4.45,4.45,4.45,7020
917996400,,0,4.3,4.3,4.3,10986
918082800,,0,4.5,4.5,4.5,12332
918169200,,0,4.65,4.65,4.65,17227
918428400,,0,4.6,4.6,4.6,5592
918514800,,0,4.55,4.55,4.55,6766
918601200,,0,4.5,4.5,4.5,6841
918687600,,0,4.6,4.6,4.6,9950
918774000,,0,4.6,4.6,4.6,8912
919033200,,0,4.6,4.6,4.6,5913
919119600,,0,4.6,4.6,4.6,9277
919206000,,0,4.65,4.65,4.65,8017
919292400,,0,4.7,4.7,4.7,8210
919378800,,0,4.7,4.7,4.7,4931
919638000,,0,4.75,4.75,4.75,6193
919724400,,0,4.8,4.8,4.8,8711
919810800,,0,4.75,4.75,4.75,6022
919897200,,0,4.7,4.7,4.7,8075
919983600,,0,4.55,4.55,4.55,1092
920242800,,0,4.7,4.7,4.7,3753
920329200,,0,4.6,4.6,4.6,1900
920415600,,0,4.6,4.6,4.6,1800
920502000,,0,4.6,4.6,4.6,1650
920588400,,0,4.6,4.6,4.6,3627
920847600,,0,4.7,4.7,4.7,2700
920934000,,0,4.7,4.7,4.7,1254
921020400,,0,4.7,4.7,4.7,1480
921106800,,0,4.7,4.7,4.7,1870
921193200,,0,4.7,4.7,4.7,4565
921452400,,0,4.8,4.8,4.8,2990
921538800,,0,4.8,4.8,4.8,2100
921625200,,0,4.7,4.7,4.7,1330
921711600,,0,4.7,4.7,4.7,1950
921798000,,0,4.8,4.8,4.8,4432
922057200,,0,4.75,4.75,4.75,1956
922143600,,0,4.8,4.8,4.8,4618
922230000,,0,4.55,4.55,4.55,2000
922316400,,0,4.6,4.6,4.6,9850
922402800,,0,4.65,4.65,4.65,3907
922658400,,0,4.7,4.7,4.7,9500
922744800,,0,4.65,4.65,4.65,1150
922831200,,0,4.65,4.65,4.65,2175
922917600,,0,4.6,4.6,4.6,1763
923349600,,0,4.65,4.65,4.65,1600
923436000,,0,4.7,4.7,4.7,1490
923522400,,0,4.75,4.75,4.75,5670
923608800,,0,4.8,4.8,4.8,5805
923868000,,0,4.9,4.9,4.9,4914
923954400,,0,4.85,4.85,4.85,2431
924040800,,0,4.9,4.9,4.9,1917
924127200,,0,4.95,4.95,4.95,5117
924213600,,0,5.1,5.1,5.1,7350
924472800,,0,5,5,5,6851
924559200,,0,5,5,5,3472
924645600,,0,4.9,4.9,4.9,2088
924732000,,0,4.9,4.9,4.9,3044
924818400,,0,5,5,5,6033
925077600,,0,5,5,5,3630
925164000,,0,5,5,5,5236
925250400,,0,5.05,5.05,5.05,1700
925336800,,0,4.95,4.95,4.95,4398
925423200,,0,5,5,5,4104
925768800,,0,5,5,5,200
925855200,,0,5,5,5,6263
925941600,,0,5,5,5,2886
926028000,,0,5.05,5.05,5.05,1000
926287200,,0,5.05,5.05,5.05,4217
926373600,,0,5,5,5,4580
926460000,,0,5.1,5.1,5.1,4853
926546400,,0,5.2,5.2,5.2,8165
926632800,,0,5.35,5.35,5.35,11045
926892000,,0,5.4,5.4,5.4,8371
926978400,,0,5.6,5.6,5.6,5802
927064800,,0,5.5,5.5,5.5,10684
927151200,,0,5.5,5.5,5.5,9702
927237600,,0,5.05,5.05,5.05,6050
927496800,,0,5.1,5.1,5.1,5450
927583200,,0,5.1,5.1,5.1,7400
927669600,,0,5.1,5.1,5.1,4580
927756000,,0,4.9,4.9,4.9,5351
927842400,,0,5,5,5,1900
928101600,,0,5.1,5.1,5.1,2210
928188000,,0,5.1,5.1,5.1,2400
928274400,,0,5.2,5.2,5.2,4861
928706400,,0,5.2,5.2,5.2,4047
928792800,,0,5.25,5.25,5.25,1944
928879200,,0,5.15,5.15,5.15,1700
928965600,,0,5.15,5.15,5.15,1396
929052000,,0,5.2,5.2,5.2,2497
929311200,,0,5.3,5.3,5.3,3174
929397600,,0,5.4,5.4,5.4,5862
929484000,,0,5.25,5.25,5.25,771
929570400,,0,5.3,5.3,5.3,2970
929656800,,0,5.3,5.3,5.3,3734
929916000,,0,5.25,5.25,5.25,3960
930002400,,0,5.2,5.2,5.2,4146
930088800,,0,5.15,5.15,5.15,2576
930175200,,0,5.15,5.15,5.15,2927
930261600,,0,5.15,5.15,5.15,1913
930520800,,0,5.2,5.2,5.2,1699
930607200,,0,5.2,5.2,5.2,1843
930693600,,0,5.05,5.05,5.05,300
930780000,,0,5.05,5.05,5.05,2276
930866400,,0,5.15,5.15,5.15,3730
931125600,,0,5.05,5.05,5.05,528
931212000,,0,5.1,5.1,5.1,350
931298400,,0,5.1,5.1,5.1,1666
931384800,,0,5.1,5.1,5.1,500
931471200,,0,5.1,5.1,5.1,2050
931730400,,0,5,5,5,1446
931816800,,0,5.05,5.05,5.05,2625
931903200,,0,5.15,5.15,5.15,2127
931989600,,0,5.1,5.1,5.1,2294
932076000,,0,5.05,5.05,5.05,625
932335200,,0,5.05,5.05,5.05,1235
932421600,,0,5,5,5,708
932508000,,0,4.6,4.6,4.6,6520
932594400,,0,4.6,4.6,4.6,4450
932680800,,0,4.6,4.6,4.6,6865
932940000,,0,4.7,4.7,4.7,2228
933026400,,0,4.8,4.8,4.8,1332
933112800,,0,4.8,4.8,4.8,1300
933199200,,0,4.8,4.8,4.8,803
933285600,,0,4.65,4.65,4.65,330
933544800,,0,4.5,4.5,4.5,1000
933631200,,0,4.6,4.6,4.6,987
933717600,,0,4.7,4.7,4.7,2700
