t,p,o,c,h,l,v
766620000,,1050,1050.5,1050,1050,0
766706400,,1124,1124.9,1124,1124,0
766879200,,1304,1304.8,1304,1304,0
767224800,,1350,1350.1,1350,1350,0
767311200,,1216,1216.2,1216,1216,0
767484000,,1096,1096.7,1096,1096,0
768088800,,1138,1138.1,1138,1138,0
768175200,,1077,1077.6,1077,1077,0
768434400,,1035,1035.6,1035,1035,0
768520800,,1036,1036.3,1036,1036,0
768693600,,1062,1062.1,1062,1062,0
769039200,,1155,1155.6,1155,1155,0
769125600,,1140,1140,1140,1140,0
769298400,,1178,1178,1178,1178,0
769644000,,1220,1220,1220,1220,0
769730400,,1245,1245.4,1245,1245,0
769903200,,1229,1229.9,1229,1229,0
770248800,,1224,1224.7,1224,1224,0
770335200,,1207,1207.4,1207,1207,0
770421600,,1122,1122,1122,1122,0
770853600,,1067,1067.6,1067,1067,0
770940000,,1031,1031,1031,1031,0
771112800,,978,978.8,978,978,0
771458400,,882,882.5,882,882,0
771544800,,800,800,800,800,0
771717600,,846,846.3,846,846,0
772063200,,795,795.2,795,795,0
772149600,,745,745.5,745,745,0
772322400,,725,725.5,725,725,0
772668000,,775,775.2,775,775,0
772754400,,797,797.2,797,797,0
772927200,,781,781.1,781,781,0
773272800,,803,803.6,803,803,0
773359200,,848,848.6,848,848,0
773445600,,884,884.7,884,884,0
773532000,,914,914.7,914,914,0
773877600,,957,957.7,957,957,0
773964000,,1023,1023.5,1023,1023,0
774050400,,1103,1103.1,1103,1103,0
774136800,,1032,1032.4,1032,1032,0
774482400,,1094,1094.4,1094,1094,0
774568800,,1153,1153.4,1153,1153,0
774655200,,1048,1048.2,1048,1048,0
774741600,,1086,1086.8,1086,1086,0
775087200,,1037,1037.7,1037,1037,0
775173600,,1027,1027.2,1027,1027,0
775260000,,1057,1057.2,1057,1057,0
775346400,,1059,1059,1059,1059,0
775692000,,1067,1067.7,1067,1067,0
775778400,,1082,1082.4,1082,1082,0
775864800,,1120,1120.8,1120,1120,0
775951200,,1161,1161,1161,1161,0
776296800,,1176,1176.3,1176,1176,0
776383200,,1159,1159.5,1159,1159,0
776469600,,1141,1141.9,1141,1141,0
776556000,,1146,1146.7,1146,1146,0
776988000,,1173,1173.8,1173,1173,0
777074400,,1190,1190.6,1190,1190,0
777160800,,1220,1220.8,1220,1220,0
777506400,,1219,1219.6,1219,1219,0
777592800,,1229,1229.2,1229,1229,0
777679200,,1175,1175.3,1175,1175,0
777765600,,1127,1127.4,1127,1127,0
778111200,,1130,1130.3,1130,1130,0
778197600,,1144,1144.4,1144,1144,0
778284000,,1101,1101.3,1101,1101,0
778370400,,1049,1049.3,1049,1049,0
778716000,,1026,1026.6,1026,1026,0
778802400,,942,942.3,942,942,0
778888800,,917,917,917,917,0
778975200,,991,991.7,991,991,0
779320800,,1041,1041,1041,1041,0
779407200,,964,964.3,964,964,0
779493600,,937,937.7,937,937,0
779580000,,950,950.9,950,950,0
779925600,,947,947.4,947,947,0
780012000,,916,916.1,916,916,0
780098400,,897,897.5,897,897,0
780184800,,899,899.9,899,899,0
780534000,,894,894.8,894,894,0
780620400,,856,856.5,856,856,0
780706800,,868,868.4,868,868,0
780793200,,903,903.7,903,903,0
781138800,,927,927.4,927,927,0
781225200,,939,939.3,939,939,0
781311600,,972,972.4,972,972,0
781398000,,972,972.4,972,972,0
781484400,,974,974.1,974,974,0
781743600,,943,943.7,943,943,0
781830000,,916,916.7,916,916,0
781916400,,914,914.6,914,914,0
782002800,,892,892.6,892,892,0
782089200,,899,899.3,899,899,0
782348400,,905,905.8,905,905,0
782434800,,926,926.9,926,926,0
782521200,,911,911.2,911,911,0
782607600,,904,904,904,904,0
782694000,,881,881.9,881,881,0
782953200,,847,847.1,847,847,0
783039600,,832,832,832,832,0
783126000,,812,812.3,812,812,0
783212400,,789,789.2,789,789,0
783298800,,764,764,764,764,0
783730800,,790,790.3,790,790,0
783817200,,812,812.1,812,812,0
783903600,,783,783.8,783,783,0
784162800,,767,767.1,767,767,0
784249200,,760,760.3,760,760,0
784335600,,737,737.4,737,737,0
784422000,,717,717.8,717,717,0
784767600,,695,695.2,695,695,0
784854000,,662,662.4,662,662,0
784940400,,649,649.2,649,649,0
785026800,,691,691.7,691,691,0
785113200,,696,696.5,696,696,0
785372400,,663,663.9,663,663,0
785458800,,654,654,654,654,0
785545200,,668,668.8,668,668,0
785631600,,669,669.2,669,669,0
785718000,,673,673.3,673,673,0
785977200,,691,691.3,691,691,0
786063600,,730,730.7,730,730,0
786150000,,776,776.1,776,776,0
786236400,,793,793.5,793,793,0
786322800,,781,781.6,781,781,0
786582000,,789,789.3,789,789,0
786668400,,780,780.5,780,780,0
786754800,,744,744.9,744,744,0
786841200,,702,702.6,702,702,0
786927600,,680,680.6,680,680,0
787186800,,720,720,720,720,0
787273200,,720,720,720,720,0
787359600,,702,702.5,702,702,0
787446000,,700,700.7,700,700,0
787532400,,713,713.5,713,713,0
787791600,,735,735.9,735,735,0
787878000,,713,713.3,713,713,0
787964400,,717,717.2,717,717,0
788050800,,713,713,713,713,0
788137200,,716,716.3,716,716,0
788482800,,713,713.6,713,713,0
788569200,,705,705,705,705,0
788655600,,732,732,732,732,0
789001200,,749,749.7,749,749,0
789087600,,775,775.9,775,775,0
789174000,,760,760.8,760,760,0
789260400,,766,766.3,766,766,0
789346800,,735,735.3,735,735,0
789606000,,743,743.8,743,743,0
789692400,,721,721.9,721,721,0
789778800,,732,732.6,732,732,0
789865200,,726,726.5,726,726,0
789951600,,739,739.4,739,739,0
790210800,,740,740.6,740,740,0
790297200,,737,737.9,737,737,0
790383600,,733,733.4,733,733,0
790470000,,729,729.4,729,729,0
790556400,,718,718.5,718,718,0
790815600,,696,696,696,696,0
790902000,,679,679.1,679,679,0
790988400,,679,679.1,679,679,0
791074800,,662,662.2,662,662,0
791161200,,641,641.6,641,641,0
791420400,,632,632.8,632,632,0
791506800,,605,605.9,605,605,0
791593200,,618,618.5,618,618,0
791679600,,597,597.8,597,597,0
791766000,,586,586.7,586,586,0
792025200,,620,620.2,620,620,0
792111600,,663,663.3,663,663,0
792198000,,653,653.1,653,653,0
792284400,,658,658.9,658,658,0
792370800,,648,648.7,648,648,0
792630000,,632,632,632,632,0
792716400,,646,646.2,646,646,0
792802800,,649,649.5,649,649,0
792889200,,657,657.4,657,657,0
792975600,,659,659.6,659,659,0
793234800,,648,648.7,648,648,0
793321200,,618,618,618,618,0
793407600,,615,615,615,615,0
793494000,,629,629.8,629,629,0
793580400,,678,678.9,678,678,0
793839600,,645,645.9,645,645,0
793926000,,632,632.3,632,632,0
794012400,,633,633.8,633,633,0
794098800,,641,641.3,641,641,0
794185200,,657,657.4,657,657,0
794444400,,660,660.9,660,660,0
794530800,,654,654.7,654,654,0
794617200,,653,653.3,653,653,0
794703600,,650,650.8,650,650,0
794790000,,638,638.9,638,638,0
795049200,,635,635,635,635,0
795135600,,618,618.8,618,618,0
795222000,,619,619.3,619,619,0
795308400,,612,612,612,612,0
795394800,,606,606,606,606,0
795654000,,600,600.1,600,600,0
795740400,,593,593.3,593,593,0
795826800,,584,584.5,584,584,0
795913200,,578,578.1,578,578,0
795999600,,581,581.3,581,581,0
796255200,,593,593,593,593,0
796341600,,577,577.9,577,577,0
796428000,,583,583.5,583,583,0
796514400,,594,594.5,594,594,0
796600800,,606,606.6,606,606,0
796860000,,605,605.3,605,605,0
796946400,,625,625.2,625,625,0
797032800,,643,643.5,643,643,0
797119200,,669,669.4,669,669,0
797205600,,689,689.9,689,689,0
797464800,,729,729.9,729,729,0
797551200,,741,741.3,741,741,0
797637600,,742,742,742,742,0
797724000,,709,709.9,709,709,0
797810400,,731,731,731,731,0
798156000,,764,764.7,764,764,0
798242400,,816,816.8,816,816,0
798328800,,849,849.5,849,849,0
798415200,,830,830.8,830,830,0
798674400,,882,882.3,882,882,0
798760800,,900,900.8,900,900,0
798847200,,840,840.3,840,840,0
798933600,,869,869.4,869,869,0
799020000,,853,853.3,853,853,0
799538400,,848,848.5,848,848,0
799624800,,834,834.2,834,834,0
799970400,,839,839,839,839,0
800056800,,864,864,864,864,0
800143200,,894,894.9,894,894,0
800229600,,915,915.2,915,915,0
800488800,,901,901.7,901,901,0
800575200,,864,864.8,864,864,0
800661600,,828,828.5,828,828,0
800748000,,817,817.9,817,817,0
800834400,,802,802.4,802,802,0
801093600,,761,761.8,761,761,0
801180000,,724,724.4,724,724,0
801266400,,776,776.8,776,776,0
801352800,,826,826.1,826,826,0
801439200,,782,782.2,782,782,0
801698400,,818,818.9,818,818,0
801784800,,768,768.7,768,768,0
801871200,,777,777.9,777,777,0
801957600,,742,742.1,742,742,0
802044000,,746,746.6,746,746,0
802303200,,785,785.3,785,785,0
802389600,,797,797.9,797,797,0
802476000,,799,799.9,799,799,0
802562400,,803,803.7,803,803,0
802648800,,796,796.8,796,796,0
802908000,,791,791.4,791,791,0
802994400,,788,788.8,788,788,0
803080800,,787,787.2,787,787,0
803253600,,762,762.9,762,762,0
803512800,,758,758.9,758,758,0
803599200,,781,781,781,781,0
803685600,,792,792.4,792,792,0
803772000,,790,790.1,790,790,0
803858400,,794,794.8,794,794,0
804117600,,822,822.3,822,822,0
804204000,,833,833.1,833,833,0
804290400,,820,820.1,820,820,0
804376800,,840,840.1,840,840,0
804463200,,850,850,850,850,0
804722400,,852,852.2,852,852,0
804808800,,846,846,846,846,0
804895200,,824,824.2,824,824,0
804981600,,827,827.6,827,827,0
805068000,,830,830,830,830,0
805327200,,829,829.2,829,829,0
805413600,,820,820.5,820,820,0
805500000,,803,803.7,803,803,0
805586400,,817,817.4,817,817,0
805672800,,821,821,821,821,0
805932000,,845,845.9,845,845,0
806018400,,871,871.8,871,871,0
806104800,,860,860,860,860,0
806191200,,857,857.8,857,857,0
806277600,,843,843.1,843,843,0
806536800,,824,824.5,824,824,0
806623200,,812,812.4,812,812,0
806709600,,816,816.6,816,816,0
806796000,,838,838.3,838,838,0
806882400,,831,831.6,831,831,0
807141600,,814,814.7,814,814,0
807228000,,811,811.8,811,811,0
807314400,,820,820.4,820,820,0
807400800,,816,816.3,816,816,0
807487200,,812,812.2,812,812,0
807746400,,819,819.2,819,819,0
807832800,,813,813.1,813,813,0
807919200,,813,813.5,813,813,0
808005600,,826,826.2,826,826,0
808092000,,841,841.1,841,841,0
808524000,,842,842.7,842,842,0
808610400,,838,838,838,838,0
808696800,,837,837.3,837,837,0
808956000,,839,839.9,839,839,0
809042400,,835,835.1,835,835,0
809128800,,835,835.2,835,835,0
809215200,,839,839.1,839,839,0
809301600,,841,841.2,841,841,0
809560800,,838,838.3,838,838,0
809647200,,835,835.4,835,835,0
809733600,,828,828.1,828,828,0
809820000,,824,824.7,824,824,0
809906400,,831,831.7,831,831,0
810165600,,844,844.8,844,844,0
810252000,,860,860.8,860,860,0
810338400,,863,863.1,863,863,0
810424800,,863,863.8,863,863,0
810511200,,883,883.6,883,883,0
810770400,,909,909,909,909,0
810856800,,925,925.4,925,925,0
810943200,,911,911.8,911,911,0
811029600,,929,929.1,929,929,0
811116000,,906,906.1,906,906,0
811375200,,882,882.9,882,882,0
811461600,,874,874.7,874,874,0
811548000,,885,885.7,885,885,0
811634400,,885,885.5,885,885,0
811720800,,885,885.4,885,885,0
811983600,,880,880.3,880,880,0
812070000,,878,878.4,878,878,0
812156400,,890,890.1,890,890,0
812242800,,882,882,882,882,0
812329200,,884,884.8,884,884,0
812588400,,879,879.6,879,879,0
812674800,,869,869.8,869,869,0
812761200,,845,845.3,845,845,0
812847600,,838,838.7,838,838,0
812934000,,846,846.5,846,846,0
813193200,,827,827.2,827,827,0
813279600,,805,805.7,805,805,0
813366000,,805,805.7,805,805,0
813452400,,810,810.1,810,810,0
813538800,,798,798.6,798,798,0
813798000,,812,812.7,812,812,0
813884400,,825,825.4,825,825,0
813970800,,825,825.5,825,825,0
814057200,,814,814.3,814,814,0
