t,p,o,c,h,l,v
1462485600,,11.55,12.05,12.06,11.52,1438491
1462744800,,12.05,12,12.07,11.83,309574
1462831200,,11.97,11.94,12,11.82,31580
1462917600,,11.88,12.05,12.05,11.7,172942
1463004000,,12.05,12.15,12.29,12,318552
1463090400,,12.21,12.4,12.4,12.11,142157
1463349600,,12.4,13,13.2,12.3,132453
1463436000,,13.14,13,13.14,12.95,405542
1463522400,,13.11,13.58,13.7,13.11,123426
1463608800,,13.3,13.9,13.9,13.2,53700
1463695200,,13.9,14.3,14.3,13.65,55208
1463954400,,14.25,14,14.25,13.6,36942
1464040800,,13.85,14.2,14.48,12.85,96938
1464127200,,14.2,15,15,13.85,32081
1464300000,,15,14.9,15,14.5,4771
1464559200,,14.7,14.89,15.4,14.51,66309
1464645600,,14.98,14.69,14.98,14.42,42708
1464732000,,14.69,14.4,14.7,13.9,18165
1464818400,,14.35,13.92,14.35,13.92,5752
1464904800,,13.8,14,14,13.33,8517
1465164000,,14.35,14,14.35,13.65,2451
1465250400,,13.82,14,14,13.63,52283
1465336800,,14,13.65,14,13.65,1519
1465423200,,13.52,13.7,13.72,13.52,4895
1465509600,,13.6,13.8,13.8,13.48,14588
1465768800,,13.8,13.7,13.8,13.5,11137
1465855200,,13.5,13.7,13.7,13.36,16902
1465941600,,13.47,13.59,13.59,13.47,56793
1466028000,,13.4,13.49,13.5,13.36,22189
1466114400,,13.36,13.7,13.7,13.36,21710
1466373600,,13.51,13.75,13.75,13.5,17102
1466460000,,13.8,13.85,13.9,13.51,20887
1466546400,,13.85,14,14.19,13.85,25444
1466632800,,14,14.2,14.2,13.81,8253
1466719200,,13.5,14.39,14.5,13.33,110309
1466978400,,14.39,15,15,14,69422
1467064800,,14.61,14.89,15.47,14.61,33227
1467151200,,14.89,14.82,14.89,14.75,32167
1467237600,,14.98,15.1,15.1,14.51,92098
1467324000,,14.91,14.94,14.95,14.86,984
1467583200,,14.89,15,15,14.51,8078
1467669600,,14.78,14.69,14.8,14.68,31578
1467756000,,14.64,14.5,14.64,14.25,108337
1467842400,,14.36,14.57,14.58,14.36,1305
1467928800,,14.41,14.7,14.7,14.41,710
1468188000,,14.98,14.84,14.98,14.51,2507
1468274400,,14.7,14.84,14.84,14.5,21775
1468360800,,14.7,14.69,14.97,14.01,35946
1468447200,,14.75,14.72,14.75,14.55,19204
1468533600,,14.84,14.69,14.84,14.32,10831
1468792800,,14.68,14.68,14.68,14.41,62334
1468879200,,14.67,14.19,14.68,14.08,297258
1468965600,,14.29,14.1,14.29,14.1,8773
1469052000,,14.1,14.48,14.48,14.05,36976
1469138400,,14.5,14.36,14.5,14.15,2239
1469397600,,14.36,14.26,14.36,14.11,1919
1469484000,,14.28,14.55,14.55,14.02,15663
1469570400,,14.53,14,14.53,13.85,147230
1469656800,,13.99,14.19,14.19,13.66,126494
1469743200,,14.1,13.99,14.1,13.87,17872
1470002400,,14.39,13.97,14.39,13.67,5930
1470088800,,13.97,13.89,13.97,13.65,5731
1470175200,,13.85,13.74,13.85,13.56,75633
1470261600,,13.95,13.78,13.95,13.62,67628
1470348000,,13.79,13.55,13.79,13.41,5178
1470607200,,14.09,13.38,14.09,13.21,8159
1470693600,,13.25,13.5,13.97,13.25,56626
1470780000,,13.56,13.5,13.56,13.29,6354
1470866400,,13.5,13.43,13.69,13.28,10607
1470952800,,13.69,13.41,13.69,13.28,4739
1471298400,,13.29,13.34,13.5,13.21,11990
1471384800,,12.05,11.32,12.05,10.91,472149
1471471200,,11.5,11.09,11.5,10.95,58063
1471557600,,11.09,11.2,11.3,10.89,6875
1471816800,,11.35,11.42,11.46,11,22823
1471903200,,11.42,11.2,11.42,11.01,21496
1471989600,,11.03,11.4,11.4,11.03,3937
1472076000,,11.5,11.65,11.73,11.23,7712
1472162400,,11.5,11.59,11.6,11.36,26355
1472421600,,11.58,11.35,11.58,11.22,9555
1472508000,,11.34,11.39,11.39,11.2,6172
