t,p,o,c,h,l,v
883522800,,1000,1000,1000,1000,0
883954800,,1019.3,1019.3,1019.3,1019.3,0
884041200,,1011.8,1011.8,1011.8,1011.8,0
884127600,,979.9,979.9,979.9,979.9,0
884214000,,980.9,980.9,980.9,980.9,0
884300400,,964.7,964.7,964.7,964.7,0
884559600,,910,910,910,910,0
884646000,,918.9,918.9,918.9,918.9,0
884732400,,925.6,925.6,925.6,925.6,0
884818800,,908.6,908.6,908.6,908.6,0
884905200,,915,915,915,915,0
885164400,,940.9,940.9,940.9,940.9,0
885250800,,927.9,927.9,927.9,927.9,0
885337200,,929,929,929,929,0
885423600,,912.8,912.8,912.8,912.8,0
885510000,,917,917,917,917,0
885769200,,923.8,923.8,923.8,923.8,0
885855600,,919.6,919.6,919.6,919.6,0
885942000,,936.9,936.9,936.9,936.9,0
886028400,,954.9,954.9,954.9,954.9,0
886114800,,966.5,966.5,966.5,966.5,0
886374000,,987.3,987.3,987.3,987.3,0
886460400,,1011.5,1011.5,1011.5,1011.5,0
886546800,,1007.9,1007.9,1007.9,1007.9,0
886633200,,1017.2,1017.2,1017.2,1017.2,0
886719600,,1051.3,1051.3,1051.3,1051.3,0
886978800,,1077.2,1077.2,1077.2,1077.2,0
887065200,,1080,1080,1080,1080,0
887151600,,1084.8,1084.8,1084.8,1084.8,0
887238000,,1079.1,1079.1,1079.1,1079.1,0
887324400,,1061.2,1061.2,1061.2,1061.2,0
887583600,,1053.5,1053.5,1053.5,1053.5,0
887670000,,1055.7,1055.7,1055.7,1055.7,0
887756400,,1072.2,1072.2,1072.2,1072.2,0
887842800,,1118.8,1118.8,1118.8,1118.8,0
887929200,,1112.9,1112.9,1112.9,1112.9,0
888188400,,1123.6,1123.6,1123.6,1123.6,0
888274800,,1125,1125,1125,1125,0
888361200,,1111.3,1111.3,1111.3,1111.3,0
888447600,,1137.2,1137.2,1137.2,1137.2,0
888534000,,1147.3,1147.3,1147.3,1147.3,0
888793200,,1149.9,1149.9,1149.9,1149.9,0
888879600,,1163,1163,1163,1163,0
888966000,,1135.7,1135.7,1135.7,1135.7,0
889052400,,1096.4,1096.4,1096.4,1096.4,0
889138800,,1105.7,1105.7,1105.7,1105.7,0
889398000,,1133.2,1133.2,1133.2,1133.2,0
889484400,,1166,1166,1166,1166,0
889570800,,1195.3,1195.3,1195.3,1195.3,0
889657200,,1172.8,1172.8,1172.8,1172.8,0
889743600,,1194,1194,1194,1194,0
890002800,,1179.4,1179.4,1179.4,1179.4,0
890089200,,1174.4,1174.4,1174.4,1174.4,0
890175600,,1159.7,1159.7,1159.7,1159.7,0
890262000,,1166.1,1166.1,1166.1,1166.1,0
890348400,,1156.7,1156.7,1156.7,1156.7,0
890607600,,1153.9,1153.9,1153.9,1153.9,0
890694000,,1138.6,1138.6,1138.6,1138.6,0
890780400,,1131.4,1131.4,1131.4,1131.4,0
890866800,,1138.2,1138.2,1138.2,1138.2,0
890953200,,1118.4,1118.4,1118.4,1118.4,0
891208800,,1116.8,1116.8,1116.8,1116.8,0
891295200,,1105.1,1105.1,1105.1,1105.1,0
891381600,,1109,1109,1109,1109,0
891468000,,1102,1102,1102,1102,0
891813600,,1105.3,1105.3,1105.3,1105.3,0
891900000,,1131.2,1131.2,1131.2,1131.2,0
891986400,,1128.3,1128.3,1128.3,1128.3,0
892072800,,1105.8,1105.8,1105.8,1105.8,0
892504800,,1115.6,1115.6,1115.6,1115.6,0
892591200,,1123.1,1123.1,1123.1,1123.1,0
892677600,,1122.6,1122.6,1122.6,1122.6,0
892764000,,1111.6,1111.6,1111.6,1111.6,0
893023200,,1103.7,1103.7,1103.7,1103.7,0
893109600,,1089.9,1089.9,1089.9,1089.9,0
893196000,,1100.4,1100.4,1100.4,1100.4,0
893282400,,1107,1107,1107,1107,0
893368800,,1125.6,1125.6,1125.6,1125.6,0
893628000,,1140.6,1140.6,1140.6,1140.6,0
893714400,,1109.9,1109.9,1109.9,1109.9,0
893800800,,1108,1108,1108,1108,0
893887200,,1127.4,1127.4,1127.4,1127.4,0
894232800,,1140.3,1140.3,1140.3,1140.3,0
894319200,,1137.5,1137.5,1137.5,1137.5,0
894405600,,1124.8,1124.8,1124.8,1124.8,0
894492000,,1115.5,1115.5,1115.5,1115.5,0
894578400,,1104.3,1104.3,1104.3,1104.3,0
894837600,,1110.8,1110.8,1110.8,1110.8,0
894924000,,1088.3,1088.3,1088.3,1088.3,0
895010400,,1066.6,1066.6,1066.6,1066.6,0
895096800,,1063.9,1063.9,1063.9,1063.9,0
895183200,,1047.3,1047.3,1047.3,1047.3,0
895442400,,1048,1048,1048,1048,0
895528800,,1013.4,1013.4,1013.4,1013.4,0
895615200,,1009.3,1009.3,1009.3,1009.3,0
895701600,,1049.9,1049.9,1049.9,1049.9,0
895788000,,1044.7,1044.7,1044.7,1044.7,0
896047200,,1021.1,1021.1,1021.1,1021.1,0
896133600,,1000.5,1000.5,1000.5,1000.5,0
896220000,,957.6,957.6,957.6,957.6,0
896306400,,930.3,930.3,930.3,930.3,0
896392800,,939.7,939.7,939.7,939.7,0
896652000,,894,894,894,894,0
896738400,,863.8,863.8,863.8,863.8,0
896824800,,885.6,885.6,885.6,885.6,0
896911200,,913,913,913,913,0
896997600,,929.3,929.3,929.3,929.3,0
897256800,,951.8,951.8,951.8,951.8,0
897343200,,931.8,931.8,931.8,931.8,0
897429600,,897.7,897.7,897.7,897.7,0
897861600,,854.1,854.1,854.1,854.1,0
897948000,,847.8,847.8,847.8,847.8,0
