stock1, stock2, p_value
PLAPATR00018, PLINCLT00015, 0.0
PLAPATR00018, PLINTSP00038, 0.0
PLECHPS00019, PLOPNPL00013, 0.0
PLESTHN00018, PLGRODN00015, 0.0
PLESTHN00018, PLPANVA00013, 0.0
PLESTHN00018, PLPWRMD00011, 0.0
PLESTHN00018, PLZBMZC00019, 0.0
PLFAMUR00012, PLKRINK00014, 0.0
PLIDMSA00044, PLZRWZW00012, 0.0
PLMSTSD00019, PLSTPRK00019, 0.0
PLMSTSD00019, PLZSTAL00012, 0.0
PLPEPES00018, PLSTPRK00019, 0.0
PLRELPL00014, PLZSTAL00012, 0.0
PLESTHN00018, PLINSTK00013, 2.0759783166373676e-30
PLESTHN00018, PLPLSEP00013, 2.1753467289632317e-30
PLESTHN00018, PLPRCHM00014, 2.341775652825754e-30
PLMNNCP00011, PLSTIGR00012, 2.6188749414438618e-30
PLESTHN00018, PLFERRO00016, 2.7917171098902378e-30
PLAPATR00018, PLPMPOL00031, 2.8891974356324978e-30
PLESTHN00018, PLMRBUD00015, 3.215658638163766e-30
PLESTHN00018, PLNVITA00018, 3.363162784082668e-30
PLESTHN00018, PLNFI1200018, 3.363979439678047e-30
PLESTHN00018, PLINTCS00010, 3.553495270383262e-30
PLESTHN00018, PLLZPSK00019, 3.559900117971256e-30
PLESTHN00018, PLLCCRP00017, 4.036187988176682e-30
PLESTHN00018, PLTRFRM00018, 4.2133267067021205e-30
PLESTHN00018, PLTELL000023, 4.532426140124415e-30
PLESTHN00018, PLNTSYS00013, 4.542047805983153e-30
PLESTHN00018, PLIZCJR00017, 4.644446775613999e-30
PLESTHN00018, PLVOTUM00016, 4.690511892920308e-30
PLESTHN00018, PLTRKPL00014, 5.110814847649538e-30
PLESTHN00018, PLROPCE00017, 5.181347765518492e-30
PLESTHN00018, PLMKRNP00015, 5.189263434471419e-30
PLESTHN00018, PLKRK0000010, 5.665874089555543e-30
PLESTHN00018, PLODLPL00013, 5.782666090800333e-30
PLECHPS00019, PLWRWCK00013, 6.313122355275556e-30
PLESTHN00018, PLTHP0000011, 6.346615470036709e-30
PLESTHN00018, PLPEPES00018, 6.365894447835352e-30
PLESTHN00018, PLKGNRC00015, 6.689618179014054e-30
PLESTHN00018, PLMRVPL00016, 6.703834153624607e-30
