stock1, stock2, p_value, crossings
EE3100099391, PLMLPGR00017, 6.506009264307242e-07, 0.2448377581120944
PLGRPRC00015, PLWDM0000029, 6.188411029191075e-06, 0.21505376344086022
EE3100099391, PLANSWR00019, 3.756116716612155e-09, 0.20353982300884957
EE3100099391, PLRNKPR00014, 7.337128865197844e-08, 0.20353982300884957
EE3100099391, PLCOMPR00010, 1.8395862389786828e-10, 0.17404129793510326
PLURTST00010, PLZTKMA00017, 8.684595451592389e-08, 0.1680161943319838
EE3100099391, HU0000089198, 1.064037213796339e-09, 0.15634218289085547
EE3100099391, PLMNRTR00012, 4.4468657917823824e-08, 0.15634218289085547
EE3100099391, PLGSPR000014, 2.434620001789449e-05, 0.15634218289085547
EE3100099391, PLADDRG00015, 2.9128622846962065e-06, 0.15339233038348082
EE3100099391, PLECMNG00019, 3.062820947009778e-10, 0.14454277286135694
PLCAMMD00032, PLONDE000018, 1.379530799463285e-05, 0.1254416961130742
PLPKPCR00011, US44853H1086, 1.3403684992964774e-05, 0.12425149700598802
PLADVPL00029, PLGRPRC00015, 1.954584285068464e-05, 0.12258064516129032
PLONDE000018, PLTRNSU00013, 1.8633006634103373e-07, 0.1166077738515901
PLGLBLC00011, PLSHPR000021, 4.181224106028309e-06, 0.11538461538461539
PLAPSEN00011, PLVRCM000016, 6.3685400784055865e-06, 0.11021069692058347
LU0611262873, PLPSSUS00018, 2.4299859328540443e-08, 0.1080669710806697
PLCVTNH00040, PLULTGM00013, 5.244908014324199e-06, 0.10746812386156648
PLRAFAK00018, PLVRCM000016, 2.607064988728531e-06, 0.10696920583468396
PLCAMMD00032, PLPLTRG00038, 8.80126016692322e-06, 0.1069182389937107
PLCVTNH00040, PLPILAB00012, 4.357487117138348e-06, 0.10564663023679417
PLGTC0000037, PLSPRSF00011, 2.4590540681624925e-07, 0.10186199342825848
PLLENAL00015, PLPSSUS00018, 1.9117621720133984e-06, 0.09512937595129375
PLCRTCH00017, PLLCCRP00017, 1.6757495401268198e-05, 0.09504950495049505
PLCVTNH00040, PLPRBLG00010, 8.037118142178797e-07, 0.0947176684881603
PLFSING00010, PLMLPGR00017, 2.522306768830881e-07, 0.09397590361445783
PLBIOPL00013, PLSHPR000021, 9.693575104396052e-09, 0.09090909090909091
NL0011882741, PLSHPR000021, 1.0347276757045332e-05, 0.09090909090909091
PLKLSTN00017, PLPLTRG00038, 1.7904550205523517e-05, 0.09014675052410902
AT0000A21KS2, EE3100100835, 2.861934049221404e-08, 0.08282208588957055
NL0011882741, PLKLSTN00017, 5.14820051588762e-10, 0.0800438596491228
NL0011882741, PLIZBLK00010, 5.6735738596983476e-08, 0.07839912280701754
PLMRVDV00011, PLPONAR00012, 4.905587955195234e-07, 0.07835051546391752
PLCVTNH00040, PLXTRDM00011, 2.424233004293556e-05, 0.07832422586520947
PLGNMTC00017, PLINTMS00019, 1.3909324413538044e-05, 0.07692307692307693
PLFSING00010, PLPKPCR00011, 7.792942536905952e-08, 0.0767684887459807
PLGMNGF00017, PLKRKGL00012, 1.4516862805355826e-09, 0.07626076260762607
PLFERUM00014, PLPKBEX00072, 2.2714985164409733e-05, 0.07480694980694981
ES0113900J37, PLFSING00010, 2.39106692872538e-05, 0.07397383852052324
PLFERUM00014, PLWRTPL00027, 3.6947555512333305e-07, 0.07328605200945626
PLBMDLB00018, US44853H1086, 2.489247209546251e-06, 0.0718562874251497
PLGMNGF00017, PLHDRTR00013, 1.5118550281691937e-07, 0.07134071340713408
PLFSING00010, PLPLAYW00015, 1.5025878353821675e-05, 0.07093821510297482
LU2237380790, PLONCTH00011, 2.3388193991234727e-10, 0.0701058201058201
PLSLRCP00021, PLSLVCR00029, 6.240757120244379e-07, 0.06986027944111776
PLCAMMD00032, PLCVTNH00040, 1.659799126646204e-05, 0.0692167577413479
PLKLSTN00017, PLMRVDV00011, 9.681821770351544e-06, 0.06804123711340206
LU0611262873, PLURTST00010, 2.261566217680969e-06, 0.06680161943319839
PLINTBD00014, PLR220000018, 1.4870153570832365e-06, 0.06556245686680469
PLKLSTN00017, PLNNGRP00011, 1.1654975964593088e-05, 0.0653819683413627
PLADDRG00015, PLSHPR000021, 4.041345738140615e-06, 0.06468531468531469
PLCELPD00013, PLFEERM00018, 2.28938537656001e-05, 0.06396917148362236
PLGMNGF00017, PLLWBGD00016, 8.473356190967235e-08, 0.06396063960639606
PLGMNGF00017, PLPROJP00018, 4.362785809340511e-07, 0.06273062730627306
PLCAMMD00032, PLSMFBC00016, 2.865447253793379e-08, 0.062076749435665914
PLGMNGF00017, PLSLVCR00029, 1.755806606153501e-07, 0.06150061500615006
PLGMNGF00017, PLPLAYW00015, 1.2244712040886749e-06, 0.06150061500615006
LU0646112838, PLCRTCH00017, 1.2487086955165003e-05, 0.061386138613861385
PLEDINV00014, PLMOJ0000015, 3.4789638036240665e-06, 0.06053042121684867
PLBOWM000019, PLKLNR000017, 5.00966285905908e-06, 0.06043018094912939
NL0009508712, PLFERUM00014, 9.852810354482105e-08, 0.060342146189735615
PLGMNGF00017, PLPRCHM00014, 2.2430339186804264e-05, 0.06027060270602706
PLLENTX00010, PLPRBLG00010, 9.044524444585512e-06, 0.06023102310231023
PLKLSTN00017, PLR220000018, 2.5933572412578637e-05, 0.060041407867494824
PLHDRTR00013, PLRNBWT00031, 1.2595871376164163e-09, 0.05960764587525151
DE000A2E3772, PLREDAN00019, 3.457733654262932e-06, 0.0595903165735568
IT0005239360, PLBNFTS00018, 9.473171975218404e-08, 0.0594883997620464
PLKLSTN00017, PLTWRNV00013, 2.4512037115962103e-05, 0.0594059405940594
PLAPSEN00011, PLR220000018, 8.867252379786002e-06, 0.05935127674258109
PLCMP0000017, PLTRNSU00013, 2.6051170975330763e-06, 0.059011504047720494
PLDGA0000019, PLFEERM00018, 1.4958559066889584e-05, 0.058959537572254334
IT0005239360, PLWRWCK00013, 3.3404317217593247e-09, 0.05889351576442594
LT0000131872, PLGNMTC00017, 1.2660988709795577e-05, 0.05846153846153846
