stock1, stock2, p_value
PLFAMUR00012, PLMSTSD00019, 2.4758046913562223e-20
PLBSK0000017, PLSELVT00013, 6.021671829229587e-09
PLBSK0000017, PLJSW0000015, 4.3577072405578185e-07
PLBMDLB00018, US44853H1086, 2.489247209546251e-06
PLPKPCR00011, US44853H1086, 1.3403684992964774e-05
PLBSK0000017, PLKRK0000010, 1.590427656766347e-05
PLINTCS00010, PLLCCRP00017, 2.818414090205666e-05
PLTLKPL00017, PLWRTPL00027, 4.161505219671633e-05
PLLCCRP00017, PLLPP0000011, 0.00011594227245038694
LU2237380790, PLCCC0000016, 0.0001613927891805412
PLFAMUR00012, PLSOFTB00016, 0.00019537064168336654
PLGPW0000017, PLJSW0000015, 0.0002579033527564581
PLENEA000013, PLPGER000010, 0.00028202618449203634
PLGPW0000017, PLSELVT00013, 0.0003396169981037008
PLLCCRP00017, PLTRFRM00018, 0.000347804049714028
PLGPW0000017, PLKRK0000010, 0.00040092673675003307
PLGPW0000017, PLINTCS00010, 0.00044635283216364475
PLGPW0000017, PLLCCRP00017, 0.0004608338101358491
PLGPW0000017, PLLPP0000011, 0.00047881124956894965
PLGPW0000017, PLTRFRM00018, 0.0005062822233794925
PLGPW0000017, PLGRPRC00015, 0.0005431174263387734
PLDMDVL00012, PLLCCRP00017, 0.0005686614972402077
PLGPW0000017, PLPGER000010, 0.0006073465101341614
PLBIG0000016, PLBSK0000017, 0.0007230019516825265
PLGPW0000017, PLTAURN00011, 0.0007424606497305601
PLGPW0000017, PLKGHM000017, 0.0007769306565940953
PLGPW0000017, PLTSQGM00016, 0.0008153442080577406
PLFAMUR00012, PLPKO0000016, 0.0009261418367056658
PLENEA000013, PLPKPCR00011, 0.0009642975103937026
PLSOFTB00016, PLTLKPL00017, 0.0010875762553325724
PLSOFTB00016, PLTIM0000016, 0.0012586580971017827
PLGPW0000017, PLPKN0000018, 0.0014783402221895277
PLPZU0000011, PLWRTPL00027, 0.0015175234858262026
PLGPW0000017, PLTIM0000016, 0.0016241825441123783
PLBIG0000016, PLBRE0000012, 0.0017467275636391141
ES0105375002, PLTSQGM00016, 0.0018329232143826282
PLGPW0000017, PLZATRM00012, 0.001853050175611186
PLGPW0000017, PLOPTTC00011, 0.001865663767163724
PLGPW0000017, PLKETY000011, 0.0018845798011110483
PLGPW0000017, PLSOFTB00016, 0.001888017462016741
PLGPW0000017, PLMOBRK00013, 0.0018993372399379433
PLENEA000013, PLTLKPL00017, 0.0019121413463144435
PLGPW0000017, PLPZU0000011, 0.0019385331409102558
PLCCC0000016, PLGRPRC00015, 0.0020367352550035535
PLGPW0000017, PLLWBGD00016, 0.002052184156580219
PLBIG0000016, PLPKN0000018, 0.0021357449566510407
PLGPW0000017, PLMSTSD00019, 0.002153172128197564
CY1000031710, PLTIM0000016, 0.002180862077905047
PLGPW0000017, PLPEKAO00016, 0.002645881216679106
PLGPW0000017, PLTLKPL00017, 0.0027116888787103964
PLFAMUR00012, PLLPP0000011, 0.0029102562717630517
PLFAMUR00012, PLKGHM000017, 0.002933894628371535
PLFAMUR00012, PLPKN0000018, 0.002941498892525244
PLFAMUR00012, PLOPTTC00011, 0.002983094268973594
PLFAMUR00012, PLKETY000011, 0.0030073169056130038
PLFAMUR00012, PLTRFRM00018, 0.0030109682843169035
PLKETY000011, PLLCCRP00017, 0.00302615394964846
PLKETY000011, PLLVTSF00010, 0.0030748830051188247
PLFAMUR00012, PLINTCS00010, 0.0032813018116761767
PLFAMUR00012, PLPEKAO00016, 0.0036142400586773554
AU0000198939, PLBH00000012, 0.0037934895076825333
PLENEA000013, PLKETY000011, 0.0038373426405205234
PLTLKPL00017, PLZEPAK00012, 0.003887250788368673
PLGPW0000017, PLPKO0000016, 0.003929252803270473
PLFAMUR00012, PLTIM0000016, 0.004017468950073366
PLGPW0000017, PLZEPAK00012, 0.004187641682708549
PLMSTSD00019, PLSOFTB00016, 0.004441958122017806
AU0000198939, CY1000031710, 0.0045350564093304185
LU2237380790, PLZEPAK00012, 0.005583533304307956
PLMSTSD00019, PLPZU0000011, 0.005771076659596877
PLBMDLB00018, PLKGHM000017, 0.00580849020247031
PLPEKAO00016, PLPGER000010, 0.005870152058916633
PLKETY000011, PLTRFRM00018, 0.006144805379511834
PLPGER000010, PLWRTPL00027, 0.006167823227488352
PLGRPRC00015, PLWRTPL00027, 0.0066334557518597445
PLGPW0000017, PLWRTPL00027, 0.00716782872754986
PLCOMAR00012, PLLWBGD00016, 0.007249912396750524
PLCOMAR00012, PLPKN0000018, 0.007333748515219079
PLGPW0000017, PLPKPCR00011, 0.007385956867211412
PLBH00000012, PLKETY000011, 0.007968280459491465
PLFAMUR00012, PLTLKPL00017, 0.00808089895792955
PLBH00000012, PLBRE0000012, 0.008100321428676987
LU2237380790, PLKGHM000017, 0.008339547651788558
PLBH00000012, PLBUDMX00013, 0.008563503093875519
PLCOMAR00012, PLKETY000011, 0.008820431887783038
PLLWBGD00016, PLPGER000010, 0.009242893569116244
PLPGER000010, PLSELVT00013, 0.00930927124513188
PLLVTSF00010, PLTRFRM00018, 0.009601746129908639
PLBSK0000017, PLGPW0000017, 0.009608248997824734
PLBH00000012, PLKGHM000017, 0.009661845447311553
