stock1, stock2, p_value, crossings
PLGPW0000017, PLGRPRC00015, 0.0005431174263387, 0.13333333333333333
PLPKPCR00011, US44853H1086, 1.3403684992964774e-05, 0.12425149700598802
AU0000198939, PLBH00000012, 0.0037934895076825, 0.10893246187363835
PLGRPRC00015, PLWRTPL00027, 0.0066334557518597, 0.10752688172043011
AU0000198939, CY1000031710, 0.0045350564093304, 0.08061002178649238
PLCCC0000016, PLGRPRC00015, 0.0020367352550035, 0.07956989247311828
PLENEA000013, PLPGER000010, 0.000282026184492, 0.07196531791907515
PLBMDLB00018, US44853H1086, 2.489247209546251e-06, 0.0718562874251497
PLGPW0000017, PLTSQGM00016, 0.0008153442080577, 0.07058823529411765
LU2237380790, PLKGHM000017, 0.0083395476517885, 0.06481481481481481
PLLVTSF00010, PLTRFRM00018, 0.0096017461299086, 0.05086170659941152
PLENEA000013, PLPKPCR00011, 0.0009642975103937, 0.045418006430868164
PLDMDVL00012, PLLCCRP00017, 0.0005686614972402, 0.04364884747425209
PLTLKPL00017, PLWRTPL00027, 4.161505219671633e-05, 0.043498817966903074
PLPEKAO00016, PLPGER000010, 0.0058701520589166, 0.04017341040462428
PLKETY000011, PLLVTSF00010, 0.0030748830051188, 0.03909205548549811
LU2237380790, PLZEPAK00012, 0.0055835333043079, 0.03835978835978836
PLGPW0000017, PLKGHM000017, 0.000776930656594, 0.03804515929477266
PLGPW0000017, PLTRFRM00018, 0.0005062822233794, 0.03742653881843489
PLCOMAR00012, PLLWBGD00016, 0.0072499123967505, 0.03704743193937693
PLGPW0000017, PLSELVT00013, 0.0003396169981037, 0.036891936010447275
PLGPW0000017, PLJSW0000015, 0.0002579033527564, 0.0368198110133594
PLGPW0000017, PLTLKPL00017, 0.0027116888787103, 0.03680791834209712
LU2237380790, PLCCC0000016, 0.0001613927891805, 0.03571428571428571
PLGPW0000017, PLTIM0000016, 0.0016241825441123, 0.03557067738942159
PLGPW0000017, PLZEPAK00012, 0.0041876416827085, 0.03508771929824561
PLGPW0000017, PLSOFTB00016, 0.0018880174620167, 0.034952056913083826
PLGPW0000017, PLLCCRP00017, 0.0004608338101358, 0.03371481596040829
PLGPW0000017, PLKETY000011, 0.001884579801111, 0.03371481596040829
PLGPW0000017, PLMOBRK00013, 0.0018993372399379, 0.03371481596040829
PLGPW0000017, PLPZU0000011, 0.0019385331409102, 0.03371481596040829
PLGPW0000017, PLLWBGD00016, 0.0020521841565802, 0.03371481596040829
PLGPW0000017, PLWRTPL00027, 0.0071678287275498, 0.033569739952718676
PLGPW0000017, PLKRK0000010, 0.00040092673675, 0.03312962367320682
PLGPW0000017, PLINTCS00010, 0.0004463528321636, 0.03309619548407052
PLBH00000012, PLKGHM000017, 0.0096618454473115, 0.03299376615478181
PLLCCRP00017, PLLPP0000011, 0.0001159422724503, 0.03285924472780775
PLGPW0000017, PLPKO0000016, 0.0039292528032704, 0.03185895453139499
PLPGER000010, PLSELVT00013, 0.0093092712451318, 0.031341821743388835
PLGPW0000017, PLOPTTC00011, 0.0018656637671637, 0.03124033405505722
PLBSK0000017, PLGPW0000017, 0.0096082489978247, 0.03093102381688834
PLBH00000012, PLBUDMX00013, 0.0085635030938755, 0.030528554070473876
PLBH00000012, PLBRE0000012, 0.0081003214286769, 0.02976913730255164
PLGPW0000017, PLLPP0000011, 0.0004788112495689, 0.029384472626043923
PLGPW0000017, PLPGER000010, 0.0006073465101341, 0.029384472626043923
PLGPW0000017, PLZATRM00012, 0.0018530501756111, 0.029384472626043923
PLGPW0000017, PLPKN0000018, 0.0014783402221895, 0.028765852149706155
PLGPW0000017, PLPEKAO00016, 0.0026458812166791, 0.028765852149706155
PLBSK0000017, PLKRK0000010, 1.590427656766347e-05, 0.0276616275329688
PLLWBGD00016, PLPGER000010, 0.0092428935691162, 0.02745664739884393
CY1000031710, PLTIM0000016, 0.002180862077905, 0.027304609218436873
PLBMDLB00018, PLKGHM000017, 0.0058084902024703, 0.027195281782437745
PLENEA000013, PLTLKPL00017, 0.0019121413463144, 0.027159152634437807
PLGPW0000017, PLTAURN00011, 0.0007424606497305, 0.026909990720692854
PLBH00000012, PLKETY000011, 0.0079682804594914, 0.02657958687727825
PLKETY000011, PLTRFRM00018, 0.0061448053795118, 0.026199028100570464
PLGPW0000017, PLMSTSD00019, 0.0021531721281975, 0.02443550881534179
PLBIG0000016, PLBRE0000012, 0.0017467275636391, 0.023255813953488372
PLGPW0000017, PLPKPCR00011, 0.0073859568672114, 0.022909967845659164
PLFAMUR00012, PLSOFTB00016, 0.0001953706416833, 0.021148036253776436
PLBSK0000017, PLSELVT00013, 6.021671829229587e-09, 0.02089454782892589
PLBSK0000017, PLJSW0000015, 4.3577072405578185e-07, 0.020853698273053112
PLKETY000011, PLLCCRP00017, 0.0030261539496484, 0.020598332515939184
PLLCCRP00017, PLTRFRM00018, 0.000347804049714, 0.020107896027464444
PLENEA000013, PLKETY000011, 0.0038373426405205, 0.019826181423139598
PLFAMUR00012, PLPKO0000016, 0.0009261418367056, 0.01928886823146642
PLFAMUR00012, PLLPP0000011, 0.002910256271763, 0.01905647222867767
PLPZU0000011, PLWRTPL00027, 0.0015175234858262, 0.018912529550827423
PLINTCS00010, PLLCCRP00017, 2.818414090205666e-05, 0.0179009318293281
PLPGER000010, PLWRTPL00027, 0.0061678232274883, 0.017494089834515367
PLTLKPL00017, PLZEPAK00012, 0.0038872507883686, 0.014985380116959063
PLMSTSD00019, PLPZU0000011, 0.0057710766595968, 0.01488095238095238
PLBIG0000016, PLPKN0000018, 0.002135744956651, 0.014378866410299281
