t,o,c,h,l,v
1170025200,59,56,59,52.95,669562
1170111600,55.75,54.1,55.9,54,166911
1170198000,54.3,55,55.4,54.25,70792
1170284400,55.5,54.9,55.5,54.85,39745
1170370800,55.2,53.95,55.2,53.85,33787
1170630000,55,51.5,55,51.3,85702
1170716400,51.4,51.3,52,50.55,107432
1170802800,51.35,51.1,51.45,51.1,66171
1170889200,51.3,49.8,51.3,49.5,101072
1170975600,49.71,50.35,51,49.71,17407
1171234800,50.4,50.6,51.25,50.4,27848
1171321200,51,51,51,50.05,7683
1171407600,51.2,51.3,51.3,50.8,23924
1171494000,51.95,51.55,51.95,51.05,10543
1171580400,51.7,51.35,51.7,51,33037
1171839600,51.3,50.95,51.3,50.1,39827
1171926000,51,50.6,51,50.05,152209
1172012400,50.6,50.35,50.6,50,100460
1172098800,50.4,50.2,50.4,50.05,19239
1172185200,50.1,49.7,50.1,49.5,16543
1172444400,48.21,50,50.45,48.21,24596
1172530800,50,48.9,50.5,48.45,102398
1172617200,45,47.5,47.9,45,17331
1172703600,47.5,46.11,48.79,46,13196
1172790000,46.06,46.5,46.8,45.7,7631
1173049200,45.69,45.25,45.69,45,13420
1173135600,45.22,46,46.2,44.8,21349
1173222000,46.1,46.6,46.88,46,4433
1173308400,47.02,47.47,47.5,47.02,23805
1173394800,48,47.2,48,47,6442
1173654000,47.48,46.7,47.5,46.7,50555
1173740400,46.5,46,46.5,45.8,19496
1173826800,45.5,44.75,45.5,44.6,49974
1173913200,44.77,45.24,45.39,44.75,5092
1173999600,45.1,45.5,45.9,44.83,34186
1174258800,45.55,45.1,46.2,44.95,23598
1174345200,45.3,45.1,45.5,45,30098
1174431600,45.1,45.5,45.9,45.1,37381
1174518000,45.99,45.5,45.99,45.2,15375
1174604400,45.8,45.49,45.8,45,6116
1174860000,47.21,48.5,49.3,45.5,147925
1174946400,49.5,49.5,52.25,49.5,89869
1175032800,50.45,47.74,50.45,47.74,53381
1175119200,48,48.1,49,47.5,12926
1175205600,48.89,48.48,48.89,47.25,78455
1175464800,48.69,47.11,48.69,46.5,25785
1175551200,47.19,47.4,47.5,46.71,11566
1175637600,47.97,47.5,47.97,46.9,21926
1175724000,47.75,47.02,47.75,46.9,5186
1176156000,47.08,46.3,47.08,46.12,60327
1176242400,46.5,46,46.5,45.88,23835
1176328800,46,45.58,46.1,45.1,10440
1176415200,45.18,45.54,45.95,44.88,14996
1176674400,45.49,45.12,45.6,45,12904
1176760800,46.37,46.5,46.6,45.55,73400
1176847200,46.98,48.49,52,46,293809
1176933600,48.49,50,51.5,47.9,59356
1177020000,50.95,50.45,51.75,50,60040
1177279200,50.95,48.8,51.3,48.2,35996
1177365600,49.5,48.26,49.5,48.1,11451
1177452000,48.26,48.36,48.36,47.5,12647
1177538400,48.95,47.51,49,47.51,7381
1177624800,48,47.44,48,47.1,8640
1177884000,47.44,47.25,47.9,47.2,5711
1178056800,47.25,46.7,47.25,46.55,5249
1178229600,46.3,45.7,46.46,44.9,45890
1178488800,45.7,46,46.5,45.7,17808
1178575200,45.9,45.41,46,45.39,7803
1178661600,45.2,44.69,45.28,44.1,15348
1178748000,44.06,43.5,44.06,43.41,17549
1178834400,43,42.74,43,41.8,25099
1179093600,42.77,44,44.5,42.77,12034
1179180000,44.1,43.2,44.1,43,12902
1179266400,43.2,42.15,43.79,42.09,12328
1179352800,42.75,42.62,43.1,42.15,4125
1179439200,42.5,42.5,42.8,42.15,7063
1179698400,42.2,43.99,43.99,41.8,10194
1179784800,44.1,42.4,44.1,42,11106
1179871200,42.7,42.2,43.51,42.04,8496
1179957600,42.03,42,42.25,41.9,10399
1180044000,42,41.89,42,41.11,13646
1180303200,42.5,42.31,42.5,41.92,5843
1180389600,42.5,42,42.5,41.7,12078
1180476000,42,43.13,44.3,41.71,39709
1180562400,44.35,43.56,44.38,43.5,28090
1180648800,43.99,43.12,43.99,43,9474
1180908000,43,43.19,43.6,42.02,15510
1180994400,43.2,42.4,43.2,42.15,6202
1181080800,42.15,42.49,42.6,41.7,98411
1181253600,41.99,41.9,41.99,41.4,11059
1181512800,42.49,43.15,43.15,40.7,22408
1181599200,42.8,41.99,42.8,41.6,7095
1181685600,41.9,41.83,42.05,41.2,25288
1181772000,42.1,41.27,42.3,41.2,16726
1181858400,41.49,40.98,41.89,40.9,30750
1182117600,40.5,40.7,41.2,40.5,21249
1182204000,41.06,40.8,41.48,40.45,9355
1182290400,40.82,40.3,40.82,40.15,9920
1182376800,40.3,39.95,40.5,39.5,8324
1182463200,39.8,39.37,39.85,39.1,20127
1182722400,39.29,40.22,40.27,38.22,42830
1182808800,40.5,40.56,41,39.5,24320
1182895200,40,40.14,40.6,39.8,4278
1182981600,40,39.5,40,39.21,12200
1183068000,39.88,39.84,40,39.12,9079
1183327200,39.5,39.9,40.5,39.5,10062
1183413600,40.2,39.15,40.25,39.01,10392
1183500000,39.2,40.89,41.65,39.1,13116
1183586400,41.5,40.7,41.55,40,53204
1183672800,40.75,40.64,41.46,40.64,11676
1183932000,40.8,40.5,41.37,40.35,64906
1184018400,40.95,39.9,40.95,39.9,40567
1184104800,39.81,39.91,40.25,39.8,10652
1184191200,40,39.51,40.5,39.51,2760
1184277600,39.54,40.34,40.46,39.5,7099
1184536800,40.39,39.48,40.39,39.2,4642
1184623200,39.23,39.5,39.8,39.15,4484
1184709600,39,39.49,39.88,38.53,37214
1184796000,39.55,39.4,39.74,38.8,4331
1184882400,39.4,39.4,39.4,39,1781
1185141600,38.85,39.4,39.4,38.8,5680
1185228000,39.1,39.19,39.3,38.8,3781
1185314400,39.15,39,39.25,38.8,7607
1185400800,39.25,37.32,39.25,37.3,7217
1185487200,36.5,38.5,38.5,36.02,8479
1185746400,38.1,36.9,38.1,36.73,3647
1185832800,37.4,39,39,37,17067
1185919200,37.4,37.5,38.3,37.4,8748
1186005600,38.1,37.9,38.1,37.41,2171
1186092000,38.2,37.5,38.2,37,2954
1186351200,37.01,36.86,37.1,36.13,6082
1186437600,36.86,37,37.37,36.86,2967
1186524000,37.2,37,37.5,36.8,4855
1186610400,37,36.5,37,36.2,5790
1186696800,36,35,36,34.55,14059
1186956000,34.61,35.2,35.6,34.51,6231
1187042400,35,34.9,35.25,34.5,1609
1187215200,34,31.5,34,29.21,20546
1187301600,30.7,31.89,32.25,30.1,9416
1187560800,32.5,31.7,32.5,31.6,3035
1187647200,31.7,31.1,32,30.55,6418
1187733600,31.97,33,33.85,31.94,7537
1187820000,33.6,34,34.44,33.6,8061
1187906400,33.6,34.6,34.99,32.99,13158
1188165600,34.99,35.6,36,34.99,4488
1188252000,35.57,37.5,37.5,35,13828
1188338400,35.05,36.55,36.7,35.05,7042
1188424800,36.61,37,37.4,36.3,6500
1188511200,37.5,36.7,37.5,35.33,17613
1188770400,36.9,36.5,37,36,8233
1188856800,36.5,36.49,36.5,36,1011
1188943200,36.1,34.5,36.1,34.43,10920
1189029600,34.5,34.45,34.53,34,1545
1189116000,34.01,33.6,34.49,33.15,3179
1189375200,33.15,32.19,33.15,31.51,5678
1189461600,32.1,32.86,33.8,32.1,6016
1189548000,32.5,33,33.01,32.5,4325
1189634400,33.4,33.25,33.4,32.5,1958
1189720800,33.33,33,33.5,32.17,1478
1189980000,33.5,33.4,33.5,32.51,1196
1190066400,33.1,35.5,35.5,32,7459
1190152800,35.78,34.9,35.97,34.5,3786
1190239200,34.5,35,35,34.2,6789
1190325600,34.55,34.4,34.55,34.01,1214
1190584800,34.25,34,34.4,33.4,6108
1190671200,33.5,33.51,34.24,33.31,4002
1190757600,33.5,33.99,34,33.49,3845
1190844000,34.2,34.49,34.89,33.95,7314
1190930400,34.07,33.22,34.66,33.2,4865
