t,o,c,h,l,v
1530136800,80,85,85,80,21
1530223200,87,88,88,87,61
1530482400,88.35,90,90,88.35,21
1530568800,0,90,90,90,0
1530655200,90,92.6,92.6,90,23
1530741600,0,92.6,92.6,92.6,0
1530828000,0,92.6,92.6,92.6,0
1531087200,0,92.6,92.6,92.6,0
1531173600,92.6,91.75,92.6,91.75,11
1531260000,93,93,93,93,1
1531346400,0,93,93,93,0
1531432800,0,93,93,93,0
1531692000,96.5,98.35,98.35,96.4,34
1531778400,97.9,97.75,97.9,97.75,7
1531864800,100,100,100,100,51
1531951200,0,100,100,100,0
1532037600,0,100,100,100,0
1532296800,96.25,96.25,96.25,96.25,2
1532383200,0,96.25,96.25,96.25,0
1532469600,95.35,95.35,95.35,95.35,550
1532556000,94.65,94.65,94.65,94.65,50
1532642400,100,100,100,100,25
1532901600,93.5,94.45,94.45,93.5,6
1532988000,94.45,94.45,94.45,94.45,9
1533074400,0,94.45,94.45,94.45,0
1533160800,94.8,95.2,95.2,94.8,25
1533247200,0,95.2,95.2,95.2,0
1533506400,0,95.2,95.2,95.2,0
1533592800,96,96,96,96,4
1533679200,94.5,94.5,94.5,94.5,8
1533765600,94.65,94.55,94.65,94.55,226
1533852000,95.65,95.7,95.7,95.65,92
1534111200,0,95.7,95.7,95.7,0
1534197600,0,95.7,95.7,95.7,0
1534370400,0,95.7,95.7,95.7,0
1534456800,0,95.7,95.7,95.7,0
1534716000,0,95.7,95.7,95.7,0
1534802400,94,94,94,94,54
1534888800,0,94,94,94,0
1534975200,93.45,93.45,93.45,93.45,1
1535061600,0,93.45,93.45,93.45,0
1535320800,95,95,95,95,3
1535407200,0,95,95,95,0
1535493600,0,95,95,95,0
1535580000,96.9,96.9,96.9,96.9,159
1535666400,95.45,96,96,95.45,1885
1535925600,98,98,98,98,5000
1536012000,99.15,99.35,99.35,99.15,207
1536098400,100,100.1,101.3,100,12066
1536184800,99.85,99.75,99.85,99.75,16
1536271200,99.85,99.85,99.85,99.85,6
1536530400,97.8,97.8,97.8,97.8,244
1536616800,97.5,97.5,97.5,97.5,122
1536703200,97.5,97.5,97.5,97.5,48
1536789600,0,97.5,97.5,97.5,0
