t,o,c,h,l,v
1639695600,0.63,0.605,0.63,0.581,248719
1639954800,0.6,0.605,0.61,0.591,436822
1640041200,0.607,0.601,0.608,0.597,571680
1640127600,0.598,0.596,0.604,0.584,665142
1640214000,0.59,0.594,0.6,0.583,724147
1640559600,0.588,0.587,0.59,0.575,1573198
1640646000,0.58,0.586,0.589,0.578,592708
1640732400,0.588,0.685,0.688,0.588,1255823
1640818800,0.681,0.67,0.685,0.646,258253
1641164400,0.669,0.71,0.716,0.65,443671
1641250800,0.718,0.759,0.764,0.718,1046416
1641337200,0.757,0.761,0.763,0.73,388764
1641510000,0.741,0.758,0.762,0.733,312709
1641769200,0.745,0.75,0.764,0.74,145063
1641855600,0.75,0.756,0.757,0.73,191744
1641942000,0.74,0.74,0.754,0.727,125118
1642028400,0.76,0.775,0.783,0.75,683866
1642114800,0.775,0.75,0.778,0.741,419509
1642374000,0.75,0.749,0.756,0.73,79125
1642460400,0.749,0.736,0.75,0.73,39067
1642546800,0.736,0.739,0.744,0.726,193564
1642633200,0.798,0.74,0.82,0.732,1526854
1642719600,0.738,0.695,0.74,0.68,575090
1642978800,0.671,0.655,0.698,0.641,460066
1643065200,0.654,0.65,0.669,0.64,218938
1643151600,0.66,0.659,0.667,0.637,123190
1643238000,0.643,0.66,0.664,0.643,49327
1643324400,0.659,0.658,0.685,0.645,98470
1643583600,0.665,0.677,0.684,0.658,126133
1643670000,0.679,0.665,0.685,0.645,474591
1643756400,0.662,0.655,0.678,0.647,217582
1643842800,0.669,0.65,0.669,0.645,264620
1643929200,0.646,0.63,0.66,0.608,447154
1644188400,0.645,0.627,0.645,0.617,240650
1644274800,0.638,0.618,0.639,0.6,299851
1644361200,0.609,0.604,0.627,0.598,470101
1644447600,0.598,0.595,0.602,0.586,822296
1644534000,0.603,0.598,0.603,0.589,70954
1644793200,0.585,0.59,0.59,0.58,130709
1644879600,0.579,0.584,0.589,0.579,249018
1644966000,0.587,0.584,0.592,0.584,306464
1645052400,0.587,0.585,0.59,0.577,171101
1645138800,0.581,0.58,0.588,0.577,169921
1645398000,0.598,0.59,0.598,0.578,795569
1645484400,0.58,0.59,0.59,0.577,189041
1645570800,0.59,0.595,0.628,0.585,1600925
1645657200,0.57,0.56,0.589,0.462,2174135
1645743600,0.56,0.567,0.57,0.551,474639
1646002800,0.559,0.578,0.58,0.553,420826
1646089200,0.58,0.594,0.614,0.57,837361
1646175600,0.603,0.68,0.686,0.59,3139184
1646262000,0.692,0.661,0.71,0.63,2789646
1646348400,0.672,0.65,0.672,0.632,770946
1646607600,0.67,0.649,0.672,0.63,801949
1646694000,0.664,0.646,0.664,0.63,659411
1646780400,0.646,0.63,0.65,0.618,560167
1646866800,0.62,0.638,0.646,0.618,232589
1646953200,0.638,0.635,0.655,0.622,807279
1647212400,0.621,0.626,0.649,0.621,265786
1647298800,0.624,0.618,0.64,0.612,168011
1647385200,0.638,0.631,0.649,0.613,282871
1647471600,0.632,0.622,0.634,0.621,166389
1647558000,0.625,0.63,0.63,0.614,78378
1647817200,0.63,0.64,0.64,0.617,480098
1647903600,0.644,0.637,0.648,0.626,278660
1647990000,0.638,0.635,0.647,0.625,124220
1648076400,0.624,0.638,0.64,0.624,526621
1648162800,0.63,0.637,0.641,0.623,93993
1648418400,0.637,0.636,0.64,0.63,142564
1648504800,0.631,0.63,0.639,0.626,88302
1648591200,0.624,0.63,0.634,0.617,116974
1648677600,0.624,0.629,0.63,0.615,117299
1648764000,0.62,0.622,0.629,0.61,505347
1649023200,0.613,0.61,0.63,0.603,183396
1649109600,0.618,0.625,0.625,0.604,97493
1649196000,0.615,0.615,0.619,0.591,203065
1649282400,0.61,0.629,0.629,0.61,131784
1649368800,0.63,0.63,0.63,0.613,85351
1649628000,0.639,0.635,0.639,0.63,79416
1649714400,0.634,0.63,0.634,0.625,47648
1649800800,0.638,0.627,0.638,0.623,109520
1649887200,0.637,0.633,0.637,0.622,32296
1650319200,0.62,0.625,0.63,0.619,72577
1650405600,0.628,0.619,0.63,0.619,150132
