t,o,c,h,l,v
1322434800,8,7.5,8,7.5,5782
1322521200,7.1,7.2,7.2,7.05,1577
1322607600,0,7.2,7.2,7.2,0
1322694000,7,7,7,7,100
1322780400,7,7,7,7,500
1323039600,7.2,7.2,7.2,7.2,33
1323126000,7.5,7.15,7.5,7.15,350
1323212400,7.5,7.5,7.5,7.5,100
1323298800,0,7.5,7.5,7.5,0
1323385200,0,7.5,7.5,7.5,0
1323644400,7.25,7.1,7.25,7.1,1000
1323730800,0,7.1,7.1,7.1,0
1323817200,0,7.1,7.1,7.1,0
1323903600,0,7.1,7.1,7.1,0
1323990000,0,7.1,7.1,7.1,0
1324249200,0,7.1,7.1,7.1,0
1324335600,0,7.1,7.1,7.1,0
1324422000,0,7.1,7.1,7.1,0
1324508400,0,7.1,7.1,7.1,0
1324594800,6.7,6.5,6.7,6.5,1013
1324940400,6.01,6.01,6.01,6.01,100
1325026800,0,6.01,6.01,6.01,0
1325113200,6,6.5,6.5,6,400
1325199600,0,6.5,6.5,6.5,0
1325458800,0,6.5,6.5,6.5,0
1325545200,0,6.5,6.5,6.5,0
1325631600,0,6.5,6.5,6.5,0
1325718000,0,6.5,6.5,6.5,0
1326063600,0,6.5,6.5,6.5,0
1326150000,0,6.5,6.5,6.5,0
1326236400,0,6.5,6.5,6.5,0
1326322800,0,6.5,6.5,6.5,0
1326409200,6.5,6.5,6.5,6.5,200
1326668400,0,6.5,6.5,6.5,0
1326754800,0,6.5,6.5,6.5,0
1326841200,0,6.5,6.5,6.5,0
1326927600,0,6.5,6.5,6.5,0
1327014000,7.77,7.75,7.77,7.75,70
1327273200,0,7.75,7.75,7.75,0
1327359600,7.7,7.7,7.7,7.7,100
1327446000,6.8,6.8,6.82,6.8,5775
1327532400,6.9,6.77,6.9,6.77,3208
1327618800,0,6.77,6.77,6.77,0
1327878000,0,6.77,6.77,6.77,0
1327964400,6.5,6.58,6.58,6.5,1475
1328050800,0,6.58,6.58,6.58,0
1328137200,0,6.58,6.58,6.58,0
1328223600,0,6.58,6.58,6.58,0
1328482800,6.5,6.1,6.5,6.1,306
1328569200,0,6.1,6.1,6.1,0
1328655600,6.26,6.26,6.26,6.12,3350
1328742000,6.5,6.1,6.5,6.1,1400
1328828400,0,6.1,6.1,6.1,0
1329087600,0,6.1,6.1,6.1,0
1329174000,6.02,6.02,6.02,6.02,100
1329260400,0,6.02,6.02,6.02,0
1329346800,6.02,5.9,6.02,5.9,895
1329433200,0,5.9,5.9,5.9,0
1329692400,0,5.9,5.9,5.9,0
1329778800,0,5.9,5.9,5.9,0
1329865200,0,5.9,5.9,5.9,0
1329951600,5.44,5.44,5.44,5.44,1020
1330038000,0,5.44,5.44,5.44,0
1330297200,5.78,5.78,5.78,5.78,1164
1330383600,0,5.78,5.78,5.78,0
1330470000,0,5.78,5.78,5.78,0
1330556400,0,5.78,5.78,5.78,0
1330642800,0,5.78,5.78,5.78,0
1330902000,0,5.78,5.78,5.78,0
1330988400,0,5.78,5.78,5.78,0
1331074800,0,5.78,5.78,5.78,0
1331161200,0,5.78,5.78,5.78,0
1331247600,0,5.78,5.78,5.78,0
1331506800,0,5.78,5.78,5.78,0
1331593200,0,5.78,5.78,5.78,0
1331679600,0,5.78,5.78,5.78,0
1331766000,6,6,6,6,4
1331852400,0,6,6,6,0
1332111600,6.4,6.4,6.4,6.4,5
1332198000,0,6.4,6.4,6.4,0
1332284400,0,6.4,6.4,6.4,0
1332370800,0,6.4,6.4,6.4,0
1332457200,0,6.4,6.4,6.4,0
1332712800,0,6.4,6.4,6.4,0
1332799200,5.76,5.76,5.76,5.76,100
1332885600,5.79,5.25,5.79,5.25,200
1332972000,0,5.25,5.25,5.25,0
1333058400,0,5.25,5.25,5.25,0
1333317600,0,5.25,5.25,5.25,0
1333404000,0,5.25,5.25,5.25,0
1333490400,0,5.25,5.25,5.25,0
1333576800,0,5.25,5.25,5.25,0
1334008800,0,5.25,5.25,5.25,0
1334095200,0,5.25,5.25,5.25,0
1334181600,0,5.25,5.25,5.25,0
1334268000,0,5.25,5.25,5.25,0
1334527200,0,5.25,5.25,5.25,0
1334613600,0,5.25,5.25,5.25,0
1334700000,0,5.25,5.25,5.25,0
1334786400,0,5.25,5.25,5.25,0
1334872800,0,5.25,5.25,5.25,0
1335132000,0,5.25,5.25,5.25,0
1335218400,0,5.25,5.25,5.25,0
1335304800,0,5.25,5.25,5.25,0
1335391200,0,5.25,5.25,5.25,0
1335477600,0,5.25,5.25,5.25,0
1335736800,0,5.25,5.25,5.25,0
1335909600,0,5.25,5.25,5.25,0
1336082400,0,5.25,5.25,5.25,0
1336341600,5,5,5,5,10
1336428000,4.82,4.82,4.82,4.82,10
1336514400,0,4.82,4.82,4.82,0
1336600800,0,4.82,4.82,4.82,0
