t,o,c,h,l,v
1289170800,29.1,28.84,29.3,28,413709
1289257200,29.1,30.5,31,29,244198
1289343600,30.65,30.2,30.65,30,94995
1289516400,30.02,31.19,31.5,30,98668
1289775600,31.75,30.93,31.84,30.93,106486
1289862000,30.93,30.5,30.93,30,120907
1289948400,30.33,29.7,30.33,29.05,137842
1290034800,30.1,30.6,30.7,29.9,447870
1290121200,30.4,30.6,30.65,30.4,113011
1290380400,30.6,30,30.9,30,62683
1290466800,30,29.4,30,29.22,4080
1290553200,30.3,30.12,30.3,29.55,218358
1290639600,30.11,30.35,30.38,30.1,177057
1290726000,30.3,30.3,30.5,30.12,144914
1290985200,30.05,30.19,30.3,30,91811
1291071600,30.25,30,30.25,29.65,62553
1291158000,30,30.7,30.75,29.75,63948
1291244400,30.85,31,31.31,30.5,111267
1291330800,31.1,32,32,30.91,132723
1291590000,31.99,32.1,32.1,31.8,71462
1291676400,32,31.6,32.1,31.45,100306
1291762800,31.47,31.34,31.47,31.3,76589
1291849200,31.49,31.37,31.49,31,228276
1291935600,31.37,31.29,31.37,31,71306
1292194800,31.29,31.17,31.29,31.01,53969
1292281200,31.15,31,31.19,30.65,49748
1292367600,31.09,30.46,31.09,29.5,70100
1292454000,30.45,30.5,30.98,29.9,93034
1292540400,30.5,30.9,31,30.2,36310
1292799600,30.4,30.88,30.98,30.1,44977
1292886000,30.9,31.1,31.1,30.8,140967
1292972400,31.15,31.72,31.9,31,17267
1293058800,31.7,31.72,31.97,31.4,13482
1293404400,31.9,33.85,33.9,31.7,39652
1293490800,34,34.89,34.89,33.36,59192
1293577200,35,35.5,36.49,34.61,34171
1293663600,35,35.2,35.55,34.65,13954
1293750000,35.5,34.86,35.5,34.8,4064
1294009200,34.87,36.75,36.99,34.3,18014
1294095600,36.79,36,36.79,35.51,82567
1294182000,35.61,35.69,36,35,20917
1294354800,35.99,36.5,36.5,35.69,5857
1294614000,36.53,37.7,38.6,36.5,25575
1294700400,38.5,38.3,38.6,37.7,8601
1294786800,38.2,37.6,38.2,35.6,48446
1294873200,37.36,37.9,37.9,35.81,137787
1294959600,37.9,37.8,38.6,37.5,50064
1295218800,38.2,38.21,38.21,37.45,205578
1295305200,38.61,41.68,41.9,38.61,111754
1295391600,43.28,42.49,43.35,42,44735
1295478000,42.5,42.01,42.55,42.01,12196
1295564400,42,41.53,42.15,40.5,184588
1295823600,41.7,42.35,42.5,41.45,26718
1295910000,42.4,42.75,43.35,41.8,26780
1295996400,43,43.8,44.78,43,59273
1296082800,44.37,42.95,44.37,42.71,38991
1296169200,43.2,42,43.4,41.8,51278
1296428400,41.6,41.39,41.7,40.06,19699
1296514800,41.4,41.41,42.4,41,22783
1296601200,41.5,41.3,41.65,40.85,17663
1296687600,42,41.2,42,40.81,55867
1296774000,41,41.28,42,41,92530
1297033200,41.75,41.05,41.75,40.86,14653
1297119600,41.4,41,41.4,40.5,24614
1297206000,40.5,40.9,41.29,40.4,33291
1297292400,40.79,39.6,40.79,39.2,41264
1297378800,39.02,40,40.13,38.1,55889
1297638000,40,40,40.3,38.5,26101
1297724400,39.98,39.75,39.98,38.62,54641
1297810800,39.26,38.5,39.4,38.5,20743
1297897200,38.77,38.85,39,38.5,16276
1297983600,38.2,38.6,38.6,37.66,12399
1298242800,38.2,38.97,39.8,38.2,20501
1298329200,39.01,38.8,39.01,38.2,10660
1298415600,39.79,38,39.79,37.72,18738
1298502000,37.5,36.72,37.51,36.5,48343
1298588400,36.5,37,37.4,36.5,16090
1298847600,37.21,37.2,37.21,36.6,20335
1298934000,37.4,37.3,37.4,37,2086
1299020400,37,36.54,37.1,36.12,1999
1299106800,36.9,36.5,36.9,35.2,9981
1299193200,37,36.8,37.3,36.25,15446
1299452400,37.4,36.7,37.4,36.12,13008
1299538800,37,37.07,37.25,36.2,10387
1299625200,37.15,36.98,38.4,36.85,15466
1299711600,36.9,36.3,36.9,36.01,12407
1299798000,36.49,35.16,36.49,35.16,6111
1300057200,35.1,35.34,35.34,35,5272
1300143600,34.9,34.2,34.9,33.32,18923
1300230000,33.8,34.48,34.48,33,13993
1300316400,34.48,35,35,34.3,6204
1300402800,34.89,35,35.33,34.89,4268
1300662000,35.48,36,36,35.45,5156
1300748400,36.32,36,36.32,35.8,8058
1300834800,36.3,36.35,36.39,35.91,1844
1300921200,36.39,36.35,36.5,35.91,14677
1301007600,35.56,36.98,36.98,35.33,1895
1301263200,36.98,37.5,37.5,36.51,3888
1301349600,37.5,37.75,38,37.35,10546
1301436000,37.98,37.79,37.98,37.12,4786
1301522400,37.65,36.9,37.65,36.57,41316
1301608800,37.5,36.99,37.5,36.35,2303
1301868000,37.35,36.85,37.35,36.6,1665
1301954400,36.41,36.2,36.55,35.7,9463
1302040800,35.95,36.18,36.18,35.31,6469
1302127200,35.6,34.64,35.8,34.64,11276
1302213600,34.84,34.2,34.95,33.65,16905
1302472800,34.33,34.35,34.38,34,3972
1302559200,34.38,35.3,35.31,34.02,3973
1302645600,35.31,35.85,36,35.31,7308
1302732000,35.9,35.3,35.9,34.4,68006
1302818400,35.4,35.3,36,35.3,7386
1303077600,35.3,34.99,35.3,33.9,4501
1303164000,35,35.35,35.35,34.21,1398
1303250400,35.2,34.83,35.2,34.28,10756
1303336800,34.84,33.7,34.84,33.7,5800
1303768800,33.72,33.49,34,33.01,4957
1303855200,33.49,31.12,33.49,30.95,43936
1303941600,31,31.49,31.89,31,11503
1304028000,31.61,31.6,31.7,31.44,1145
1304287200,31.99,32.3,32.3,31.5,2860
1304460000,32.4,32,32.4,31.5,2726
1304546400,32.3,31,32.3,30.55,23876
1304632800,30.26,31.5,31.5,30.26,4050
1304892000,31.5,30.83,31.5,30.83,717
1304978400,30.8,30.4,30.8,30,13147
1305064800,30.8,30.43,30.8,30.4,24383
1305151200,30.8,30.51,30.8,29.3,134577
1305237600,30.82,30.82,30.82,30.45,5736
1305496800,30.79,30.9,30.9,30.4,2122
1305583200,30.86,31.15,31.15,30.1,4480
1305669600,31.4,31.4,31.4,31.01,7448
1305756000,31.4,31.8,31.9,30.77,6927
1305842400,31.95,31.98,32.18,31.92,3984
1306101600,31.7,31.5,31.98,31.5,3647
1306188000,31.5,31.7,31.75,31.4,2714
1306274400,31.75,31.75,31.75,31.5,1632
1306360800,31.75,32,32,31.5,5213
1306447200,32.2,33.7,34.2,32.2,10881
1306706400,35,35.15,35.3,34.6,35523
