t,o,c,h,l,v
1494367200,5.55,5.75,6.05,5.55,2180
1494453600,5.74,6,6,5.57,737
1494540000,6,6,6,5.86,3
1494799200,5.66,6.1,6.1,5.66,1820
1494885600,6.1,6.4,6.4,6.1,521
1494972000,6.4,6.5,6.55,6.4,909
1495058400,6.55,6.55,6.55,6.37,1307
1495144800,6.55,6.9,6.9,6.55,869
1495404000,6.9,7.15,7.15,6.7,1106
1495490400,7.15,7,7.15,7,2
1495576800,7,7,7,7,2
1495663200,7,7,7,7,2
1495749600,7,7,7,7,2
1496008800,7,7,7,7,2
1496095200,6.99,6.75,6.99,6.66,201
1496181600,7,7,7,7,2
1496268000,7.15,7.1,7.15,6.7,302
1496354400,7.15,7.15,7.15,6.66,999
1496613600,7.15,6.85,7.15,6.85,2
1496700000,7.15,7.15,7.15,7.15,2
1496786400,7.15,7.15,7.15,7.15,2
1496872800,7.15,6.16,7.15,6.16,206
1496959200,0,6.16,6.16,6.16,0
1497218400,6.47,6.47,6.47,6.47,3
1497304800,6.74,7.15,7.15,6.48,1446
1497391200,7,6.95,7,6.67,317
1497564000,7,7,7,6.98,1587
1497823200,7.15,7.15,7.15,7.15,2
1497909600,7.15,7.13,7.15,6.83,668
1497996000,7.15,7.15,7.15,7.15,2
1498082400,7.15,7.13,7.15,6.84,802
1498168800,7.13,7.13,7.13,7.13,2
1498428000,7.13,7.13,7.13,6.83,860
1498514400,7.13,7.13,7.13,7.13,2
1498600800,7.13,7.1,7.13,6.85,145
1498687200,7.13,7.15,7.15,7.1,2681
1498773600,7.15,7.27,7.27,7.14,2266
1499032800,7.27,7.27,7.27,7.27,2
1499119200,7.27,7.27,7.27,7.27,2
1499205600,7.27,7.35,7.35,7.27,1802
1499292000,7.35,7.75,7.75,7.35,5090
1499378400,7.95,7.93,7.95,7.57,1291
1499637600,7.93,7.94,7.94,7.93,1149
1499724000,7.95,8.38,8.38,7.9,2970
1499810400,8.87,8.2,8.87,8.1,651
1499896800,8.2,8.16,8.2,8.16,2
1499983200,8.16,8.16,8.16,8.16,2
1500242400,8.16,8.16,8.16,7.84,231
1500328800,8.2,8.15,8.2,8.15,268
1500415200,8.2,8.19,8.2,7.82,121
1500501600,8.1,8.45,8.45,8.1,1943
1500588000,8.45,8.8,8.8,8.45,1256
1500847200,8.87,8.85,8.87,8.48,110
1500933600,8.85,8.84,8.85,8.84,248
1501020000,8.85,8.84,8.85,8.47,568
1501106400,8.84,8.84,8.84,8.84,2
1501192800,8.85,8.69,8.85,8.69,2
1501452000,8.69,8.69,8.69,8.69,2
1501538400,8.69,8.67,8.69,8.67,2
1501624800,8.67,8.66,8.67,8.66,2
1501711200,8.66,8.66,8.66,8.66,2
1501797600,8.66,8.5,8.66,8.16,337
1502056800,8.67,8.5,8.67,8.5,2
1502143200,8.67,8.67,8.67,8.67,2
1502229600,8.67,8.6,8.67,8.6,2
1502316000,8.67,8.67,8.67,8.67,2
1502402400,8.67,8.6,8.67,8.22,251
1502661600,8.67,8.1,8.67,8.09,3620
1502834400,8.4,8.4,8.4,7.76,985
1502920800,8.35,8.35,8.35,8.35,2
1503007200,8.35,8.35,8.35,8.35,2
1503266400,8.35,8.3,8.35,8.09,952
1503352800,8.29,8.2,8.29,8.2,2
1503439200,8.27,8.2,8.27,8.2,2
1503525600,8.2,8.2,8.2,8.2,2
1503612000,8.15,7.95,8.15,7.9,221
1503871200,7.95,7.95,7.95,7.9,1493
1503957600,7.85,7.95,7.95,7.85,1307
1504044000,7.95,7.95,7.95,7.69,856
1504130400,7.95,8.2,8.2,7.95,1275
1504216800,8.2,8.2,8.2,8.2,2
1504476000,8.2,8.2,8.2,8.2,2
1504562400,8.2,8.2,8.2,8.2,2
1504648800,8.2,8.2,8.2,7.89,952
1504735200,8.2,8,8.2,7.9,1002
1504821600,8.2,8,8.2,7.89,27
1505080800,8,8.2,8.2,7.89,6695
1505167200,8.2,8.2,8.2,7.8,77
1505253600,8.2,8.2,8.2,8.2,1
1505340000,8.18,8.45,8.45,8.05,14586
1505426400,8.45,7.94,8.45,7.94,1052
1505685600,8.2,8.2,8.2,7.94,698
1505772000,8.2,8.2,8.2,7.95,577
1505858400,8.2,8,8.2,8,2
1505944800,8,8.2,8.2,8,118
1506031200,8.2,8.2,8.2,7.79,2818
1506290400,8.2,8.2,8.2,8.2,2
1506376800,8.2,8.15,8.2,8.15,2
1506463200,8.2,8.1,8.2,7.81,902
1506549600,8.2,8.1,8.2,8.1,2
1506636000,8.2,8.19,8.2,8.19,2
1506895200,7.8,8.15,8.15,7.8,43
1506981600,8.15,8,8.15,7.84,302
1507068000,8.15,8.15,8.15,7.85,2642
1507154400,8.15,8.15,8.15,8.15,2
1507240800,8.15,8.1,8.15,8.1,2
1507500000,8.15,8.15,8.15,8.15,2
1507586400,8.15,8.15,8.15,8.15,2
1507672800,8.15,8.13,8.15,7.85,902
1507759200,8.14,7.58,8.14,7.58,1877
1507845600,8.13,7.56,8.13,7.56,2
1508104800,8.13,7.21,8.13,7.21,1938
1508191200,7.3,6.95,7.3,6.82,228
1508277600,6.95,6.95,6.95,6.5,2154
1508364000,6.95,6.95,6.95,6.3,515
1508450400,6.95,6.95,6.95,6.95,35
1508709600,0,6.95,6.95,6.95,0
1508796000,0,6.95,6.95,6.95,0
1508882400,6.9,6.9,6.9,6.9,68
1508968800,6.89,6.3,6.89,6.18,548
1509055200,6.85,6.26,6.85,6.26,3
1509318000,6.26,6.26,6.26,6.26,2
1509404400,6.6,6.6,6.6,6.6,1
1509577200,6.3,6.3,6.3,6.3,2
1509663600,6.3,6.26,6.3,6.26,2
1509922800,6.26,6.2,6.26,6.2,2
1510009200,6.19,6.19,6.19,6.19,2
1510095600,6.19,6.19,6.19,6,169
1510182000,6.19,6.19,6.19,5.8,206
1510268400,6.19,6.19,6.19,6.19,1
1510527600,6.18,6.18,6.18,6.18,2
1510614000,6.18,6.18,6.18,5.8,1003
1510700400,6.18,6.18,6.18,5.8,35
1510786800,6.18,6.18,6.18,6.18,2
1510873200,6.18,6.18,6.18,6.18,2
1511132400,6.18,6.18,6.18,6.18,2
1511218800,6.18,6.3,6.3,6.05,3052
1511305200,6.3,6.3,6.3,6.3,1
1511391600,6.3,6.3,6.3,6.3,1
1511478000,6.24,6.24,6.24,6.24,2
1511737200,6.24,6.23,6.24,6,42
1511823600,6.23,6.3,6.3,6.01,2123
1511910000,6.3,6.3,6.3,6.3,2
1511996400,6.3,6.85,6.85,6.3,2975
1512082800,6.85,6.85,6.85,6.85,2
1512342000,6.85,6.62,6.85,6.62,2
1512428400,6.85,6.72,6.85,6.5,1302
1512514800,6.85,6.72,6.85,6.72,2
1512601200,6.85,6.85,6.85,6.85,2
1512687600,6.85,6.85,6.85,6.85,2
1512946800,6.85,6.7,6.85,6.7,2
1513033200,6.7,6.7,6.7,6.7,2
1513119600,6.7,6.7,6.7,6.41,528
1513206000,6.7,6.7,6.7,6.43,41
1513292400,6.7,6.85,6.85,6.7,2327
1513551600,6.7,6.97,6.97,6.7,877
1513638000,6.97,6.8,6.97,6.8,2
1513724400,6.97,6.5,6.97,6.5,747
1513810800,7,6.81,7,6.81,2
1513897200,6.81,6.81,6.81,6.51,287
1514329200,7,6.81,7,6.51,1235
1514415600,7,6.51,7,6.51,67
1514502000,7,6.81,7,6.81,2
1514934000,7,6.8,7,6.5,1003
1515020400,7,6.5,7,6.4,1200
1515106800,6.5,6.5,6.5,6.2,1002
1515366000,7,7,7,7,2
1515452400,7,7,7,7,2
1515538800,7,7,7,7,2
1515625200,7,6.25,7,6.25,1001
1515711600,6.2,6.25,6.25,6.2,1173
1515970800,0,6.25,6.25,6.25,0
1516057200,6.45,6.25,6.45,6.25,1000
1516143600,6.45,6.25,6.45,6.25,150
1516230000,6.25,6.45,6.45,6.2,1001
1516316400,7,6.2,7,6.2,1074
1516575600,6.2,6.2,6.2,6.2,2
1516662000,6.25,6.2,6.25,6,1602
1516748400,6.45,6.45,6.45,6.45,16
1516834800,6.45,6.45,6.45,6.45,2
1516921200,6.45,6.45,6.45,6.45,1
1517180400,6.45,6.45,6.45,6.45,1
1517266800,6.45,6.45,6.45,5.9,502
1517353200,6.45,6,6.45,6,2
1517439600,6.45,5.85,6.45,5.85,486
1517526000,5.9,5.9,5.9,5.9,101
1517785200,5.85,5.9,5.9,5.75,223
1517871600,5.9,5.35,5.9,5.35,2855
1517958000,5.75,5.2,5.75,5.2,542
1518044400,5.35,5.15,5.35,5.15,1662
1518130800,5.05,5.25,5.25,5,2004
1518390000,0,5.25,5.25,5.25,0
1518476400,5.75,5.75,5.75,5.75,1
1518562800,5.75,5.75,5.75,5.75,2
1518649200,5.5,5.75,5.75,5.5,3
1518735600,5.75,5.75,5.75,5.75,1
1518994800,5.75,5.75,5.75,5.75,2
1519081200,5.65,5.65,5.65,5.65,1
1519167600,5.55,5.15,5.55,5.05,3999
1519254000,5.05,5.05,5.05,5.05,100
1519340400,0,5.05,5.05,5.05,0
1519599600,5.2,5,5.2,5,55
1519686000,0,5,5,5,0
1519772400,0,5,5,5,0
1519858800,0,5,5,5,0
1519945200,5.05,5.05,5.05,5.05,250
1520204400,0,5.05,5.05,5.05,0
1520290800,4.88,4.88,4.88,4.88,141
1520377200,0,4.88,4.88,4.88,0
1520463600,0,4.88,4.88,4.88,0
1520550000,0,4.88,4.88,4.88,0
1520809200,0,4.88,4.88,4.88,0
1520895600,5,5,5,5,1
1520982000,5,5,5,5,604
1521068400,5,5,5,5,208
1521154800,5,5,5,5,1
1521414000,5,5,5,5,2
1521500400,5,5,5,4.86,102
1521586800,5,5,5,5,2
1521673200,5,5,5,5,2
1521759600,5,5,5,5,2
1522015200,5,5,5,4.66,86
1522101600,5,5,5,5,2
1522188000,5,5,5,5,2
1522274400,5,5,5,5,1
1522706400,4.76,4.76,4.76,4.76,300
1522792800,4.7,4.7,4.7,4.7,98
1522879200,0,4.7,4.7,4.7,0
1522965600,0,4.7,4.7,4.7,0
1523224800,0,4.7,4.7,4.7,0
1523311200,4.6,4.78,4.78,4.6,216
1523397600,4.8,4.8,4.8,4.8,2
1523484000,0,4.8,4.8,4.8,0
1523570400,4.6,4.6,4.6,4.6,27
1523829600,0,4.6,4.6,4.6,0
1523916000,0,4.6,4.6,4.6,0
1524002400,0,4.6,4.6,4.6,0
1524088800,0,4.6,4.6,4.6,0
1524175200,0,4.6,4.6,4.6,0
1524434400,0,4.6,4.6,4.6,0
1524520800,4.72,4.72,4.72,4.72,300
1524607200,4.72,4.72,4.72,4.72,333
1524693600,0,4.72,4.72,4.72,0
1524780000,0,4.72,4.72,4.72,0
1525039200,0,4.72,4.72,4.72,0
1525212000,4.76,5.2,5.2,4.76,4305
1525384800,5.7,5.3,5.7,5.1,1410
1525644000,5.65,5.65,5.65,5.65,2
1525730400,5.7,5.7,5.7,5.7,1
1525816800,5.65,5.1,5.65,5.1,601
1525903200,0,5.1,5.1,5.1,0
1525989600,0,5.1,5.1,5.1,0
1526248800,0,5.1,5.1,5.1,0
1526335200,0,5.1,5.1,5.1,0
1526421600,0,5.1,5.1,5.1,0
1526508000,0,5.1,5.1,5.1,0
1526594400,5.1,4.92,5.1,4.92,953
1526853600,0,4.92,4.92,4.92,0
1526940000,0,4.92,4.92,4.92,0
1527026400,0,4.92,4.92,4.92,0
1527112800,4.92,4.76,4.92,4.76,1690
1527199200,0,4.76,4.76,4.76,0
1527458400,0,4.76,4.76,4.76,0
1527544800,4.74,4.74,4.74,4.74,40
1527631200,0,4.74,4.74,4.74,0
1527804000,0,4.74,4.74,4.74,0
1528063200,4.94,4.94,4.94,4.94,1
1528149600,0,4.94,4.94,4.94,0
1528236000,4.94,4.94,4.94,4.94,200
1528322400,0,4.94,4.94,4.94,0
1528408800,0,4.94,4.94,4.94,0
1528668000,4.74,4.74,4.74,4.74,395
1528754400,4.94,4.78,4.94,4.74,423
1528840800,0,4.78,4.78,4.78,0
1528927200,0,4.78,4.78,4.78,0
1529013600,0,4.78,4.78,4.78,0
1529272800,0,4.78,4.78,4.78,0
1529359200,0,4.78,4.78,4.78,0
1529445600,0,4.78,4.78,4.78,0
1529532000,0,4.78,4.78,4.78,0
1529618400,0,4.78,4.78,4.78,0
1529877600,4.8,4.8,4.8,4.8,50
1529964000,0,4.8,4.8,4.8,0
1530050400,0,4.8,4.8,4.8,0
1530136800,4.8,4.8,4.8,4.8,601
1530223200,4.6,4.6,4.64,4.6,761
1530482400,0,4.6,4.6,4.6,0
1530568800,0,4.6,4.6,4.6,0
1530655200,0,4.6,4.6,4.6,0
1530741600,0,4.6,4.6,4.6,0
1530828000,4.6,4.6,4.6,4.6,41
1531087200,0,4.6,4.6,4.6,0
1531173600,0,4.6,4.6,4.6,0
1531260000,4.8,4.8,4.8,4.8,2000
1531346400,4.8,4.8,4.8,4.8,902
1531432800,0,4.8,4.8,4.8,0
1531692000,0,4.8,4.8,4.8,0
1531778400,0,4.8,4.8,4.8,0
1531864800,0,4.8,4.8,4.8,0
1531951200,0,4.8,4.8,4.8,0
1532037600,0,4.8,4.8,4.8,0
1532296800,0,4.8,4.8,4.8,0
1532383200,0,4.8,4.8,4.8,0
1532469600,0,4.8,4.8,4.8,0
1532556000,0,4.8,4.8,4.8,0
1532642400,0,4.8,4.8,4.8,0
1532901600,0,4.8,4.8,4.8,0
1532988000,0,4.8,4.8,4.8,0
1533074400,0,4.8,4.8,4.8,0
1533160800,0,4.8,4.8,4.8,0
1533247200,0,4.8,4.8,4.8,0
1533506400,0,4.8,4.8,4.8,0
1533592800,0,4.8,4.8,4.8,0
1533679200,4.26,4.26,4.26,4.26,133
1533765600,0,4.26,4.26,4.26,0
1533852000,0,4.26,4.26,4.26,0
1534111200,0,4.26,4.26,4.26,0
1534197600,0,4.26,4.26,4.26,0
1534370400,4.26,4.26,4.26,4.26,765
1534456800,4.16,4.16,4.16,4.16,25
1534716000,0,4.16,4.16,4.16,0
1534802400,0,4.16,4.16,4.16,0
1534888800,0,4.16,4.16,4.16,0
1534975200,3.84,3.84,3.84,3.82,1430
1535061600,3.84,3.84,3.84,3.84,66
1535320800,3.82,3.94,3.94,3.82,1101
1535407200,3.94,3.94,3.94,3.94,1099
1535493600,0,3.94,3.94,3.94,0
1535580000,3.98,3.98,3.98,3.98,1378
1535666400,4.12,4.36,4.36,4.12,2101
1535925600,4.36,4.36,4.36,4.36,601
