t,o,c,h,l,v
1208124000,1.4,1.4,1.4,1.4,2501
1208210400,1.29,1.7,1.7,1.29,15940
1208296800,1.43,1.58,1.58,1.43,340
1208383200,1.47,1.55,1.55,1.43,7448
1208469600,1.51,1.46,1.57,1.46,4136
1208728800,1.46,1.41,1.53,1.41,4237
1208815200,1.54,1.45,1.54,1.33,4555
1208901600,1.39,1.39,1.39,1.39,3
1208988000,1.45,1.34,1.45,1.34,817
1209074400,1.43,1.4,1.43,1.34,2428
1209333600,1.34,1.34,1.39,1.34,2021
1209420000,1.34,1.39,1.39,1.34,33
1209506400,1.38,1.38,1.38,1.25,1235
1209938400,1.4,1.38,1.4,1.3,2301
1210024800,1.35,1.41,1.42,1.23,7689
1210111200,1.27,1.34,1.35,1.27,11833
1210197600,1.31,1.26,1.36,1.26,825
1210284000,1.27,1.36,1.36,1.26,1781
1210543200,1.26,1.26,1.34,1.24,4042
1210629600,1.32,1.29,1.38,1.2,28591
1210716000,1.22,1.22,1.3,1.08,5058
1210802400,1.2,1.19,1.28,1.13,6343
1210888800,1.19,1.25,1.25,1.11,25231
1211148000,1.14,1.17,1.24,1.11,5363
1211234400,1.23,1.2,1.23,1.15,1260
1211320800,1.14,1.14,1.14,1.12,1975
1211493600,0,1.14,1.14,1.14,0
1211752800,1.1,1.01,1.1,1.01,870
1211839200,1.18,1.15,1.18,1.01,63
1211925600,1.17,1.07,1.17,1.05,2881
1212012000,1.13,1.2,1.25,1.12,16853
1212098400,1.25,1.28,1.28,1.17,6255
1212357600,1.31,1.26,1.31,1.17,3382
1212444000,1.17,1.17,1.18,1.11,4080
1212530400,0,1.17,1.17,1.17,0
1212616800,1.1,1.13,1.17,1.08,6392
1212703200,1.1,1.07,1.13,1.07,3650
1212962400,1.07,1.15,1.15,1.07,3456
1213048800,1.11,1.11,1.11,1.11,1230
1213135200,1.08,1.11,1.11,1.02,6381
1213221600,1.13,1.13,1.13,1.13,200
1213308000,0,1.13,1.13,1.13,0
1213567200,1.13,1.13,1.13,1.13,800
1213653600,1.13,1.14,1.14,1.13,661
1213740000,0,1.14,1.14,1.14,0
1213826400,1.1,1.1,1.1,1.1,800
1213912800,1.01,1.14,1.14,1.01,401
1214172000,1.14,1.14,1.14,1.14,92
1214258400,1.14,1.14,1.14,1.14,12
1214344800,0,1.14,1.14,1.14,0
1214431200,1.03,1.03,1.12,1.03,2401
1214517600,1.04,1.11,1.11,1.01,6301
1214776800,1.11,1.03,1.11,1.03,6484
1214863200,0.95,0.95,0.96,0.95,4800
1214949600,0.86,0.85,0.86,0.85,121
1215036000,0.85,0.93,0.93,0.85,10992
1215122400,1,0.95,1,0.8,3102
1215381600,0.81,0.89,0.89,0.81,1887
1215468000,0.89,0.89,0.89,0.89,2
1215554400,0.81,0.91,0.91,0.81,11883
1215640800,0,0.91,0.91,0.91,0
1215727200,0.91,0.99,0.99,0.91,3000
1215986400,0.86,0.96,0.96,0.86,1995
1216072800,0,0.96,0.96,0.96,0
1216159200,0.96,0.96,0.96,0.96,180
1216245600,0.87,0.98,0.99,0.87,10450
1216332000,0.9,0.99,0.99,0.89,27645
1216591200,1.01,0.99,1.01,0.99,2450
1216677600,1.01,0.99,1.01,0.99,2915
1216764000,0.99,1.05,1.06,0.99,1564
1216850400,1.08,1.07,1.08,0.97,221
1216936800,0,1.07,1.07,1.07,0
1217196000,1.02,1.02,1.02,1.02,600
1217282400,0.97,0.94,0.97,0.94,900
1217368800,0.91,1.05,1.05,0.91,4296
1217455200,1.05,0.93,1.05,0.93,101
1217541600,0.95,1.04,1.04,0.95,1160
1217800800,0,1.04,1.04,1.04,0
1217887200,0.95,1.06,1.07,0.95,2088
1217973600,1.06,1.07,1.07,1,2472
1218060000,0.98,1.07,1.07,0.98,1099
1218146400,0.97,1.04,1.07,0.96,18505
1218405600,1.04,1,1.04,0.99,7889
1218492000,1.07,1.07,1.07,1.07,111
1218578400,1.07,1.08,1.08,1.01,4494
1218664800,1.08,1.11,1.17,1.03,6120
1219010400,1.11,1.09,1.11,1.05,1201
1219096800,0.99,1.02,1.1,0.99,9376
1219183200,0,1.02,1.02,1.02,0
1219269600,1.05,1.05,1.05,1.05,1070
1219356000,1.03,1.07,1.09,0.99,1101
1219615200,1.07,1.07,1.07,1.07,2000
1219701600,0.99,0.99,0.99,0.99,1000
1219788000,1.01,1.01,1.01,1.01,600
1219874400,1.01,1.11,1.11,1.01,1063
1219960800,1.01,1.09,1.09,1.01,3818
1220220000,0,1.09,1.09,1.09,0
1220306400,1.01,1.1,1.1,1.01,3512
1220392800,0,1.1,1.1,1.1,0
1220479200,1.04,1.08,1.08,1,3900
1220565600,0,1.08,1.08,1.08,0
1220824800,0,1.08,1.08,1.08,0
1220911200,0,1.08,1.08,1.08,0
1220997600,1.06,1.05,1.06,0.99,1907
1221084000,1.05,1.05,1.05,1.05,350
1221170400,0,1.05,1.05,1.05,0
1221429600,1,1.04,1.04,0.99,4900
1221516000,0.95,1.04,1.04,0.95,228
1221602400,0.98,1.04,1.04,0.97,1204
1221688800,1.04,1.04,1.04,1.04,650
1221775200,1.05,1,1.05,0.95,1194
1222034400,0,1,1,1,0
1222120800,0,1,1,1,0
1222207200,0,1,1,1,0
1222293600,0,1,1,1,0
1222380000,0.99,1.05,1.05,0.94,8652
1222639200,0.95,1.03,1.03,0.95,12
1222725600,1,1,1,1,1502
1222812000,0.92,1,1,0.92,1627
1222898400,1.02,1.02,1.02,1.02,500
1222984800,0.92,1.02,1.02,0.92,118
1223244000,0,1.02,1.02,1.02,0
1223330400,0,1.02,1.02,1.02,0
1223416800,0.86,0.9,0.9,0.86,758
1223503200,0.91,0.95,0.95,0.91,543
1223589600,0,0.95,0.95,0.95,0
1223848800,0.98,0.95,0.98,0.95,45
1223935200,0.88,0.94,0.94,0.88,1400
1224021600,0.92,0.89,0.92,0.89,9635
1224108000,0.92,0.92,0.92,0.92,100
1224194400,0.98,0.98,0.98,0.98,555
1224453600,0,0.98,0.98,0.98,0
1224540000,0,0.98,0.98,0.98,0
1224626400,0,0.98,0.98,0.98,0
1224712800,0,0.98,0.98,0.98,0
1224799200,0,0.98,0.98,0.98,0
1225062000,0,0.98,0.98,0.98,0
1225148400,0.98,0.98,0.98,0.98,1879
1225234800,0.91,0.88,0.91,0.88,2601
1225321200,0.88,0.88,0.88,0.88,300
1225407600,0.88,0.88,0.88,0.88,3410
1225666800,0.9,0.9,0.9,0.9,200
1225753200,0.88,0.9,0.9,0.88,600
1225839600,0.95,0.95,0.95,0.95,100
1225926000,0,0.95,0.95,0.95,0
1226012400,0.92,0.92,0.92,0.92,1000
1226271600,0.89,0.89,0.89,0.89,4750
1226444400,0.89,0.89,0.89,0.89,1070
1226530800,0.89,0.89,0.89,0.89,1000
1226617200,0.83,0.83,0.83,0.83,16464
1226876400,0.83,0.83,0.83,0.83,1351
