t,o,c,h,l,v
1114552800,24.5,24,24.5,23.1,433984
1114639200,23.5,24.1,24.1,23.5,52916
1114725600,24,24.1,24.1,23.9,61667
1114984800,24.1,24,24.1,24,20324
1115157600,24,24.3,24.4,24,94576
1115244000,24.3,24.3,24.4,24,83407
1115330400,24.3,24.3,24.3,24,24051
1115589600,24,24.6,24.6,24,147604
1115676000,24.6,24.6,24.6,24.4,20376
1115762400,24.5,24.6,24.6,24.2,117934
1115848800,24.5,24.7,25,24.5,159597
1115935200,24.7,24.8,24.8,24.7,16215
1116194400,24.7,24.6,24.8,24.6,25174
1116280800,24.3,24.5,24.7,24.3,23878
1116367200,24.4,24.6,24.6,24.4,23019
1116453600,24.6,24.9,24.9,24.3,41591
1116540000,24.8,25.2,25.4,24.8,47020
1116799200,25.2,25.3,25.4,25.2,27669
1116885600,25.3,25.2,25.4,24.9,30886
1116972000,25,25,25.1,24.8,17476
1117144800,25,24.7,25,24.7,12225
1117404000,24.6,24.9,24.9,24.3,998
1117490400,24.9,25,25.1,24.6,54491
1117576800,25,25.2,25.3,25,75724
1117663200,25.3,25.8,25.8,25.3,44772
1117749600,25.8,26.1,26.1,25.5,66915
1118008800,26,26.1,26.1,26,30562
1118095200,26.1,26.1,26.1,25.8,42145
1118181600,25.9,26,26,25.9,3351
1118268000,25.9,25.9,25.9,25.7,47307
1118354400,26,26.1,26.1,25.9,52958
1118613600,26.1,26.1,26.1,25.6,6827
1118700000,26,25.9,26,25.4,754
1118786400,26,25.9,26,25.4,296
1118872800,25.9,25.9,25.9,25.9,610
1118959200,25.9,25.9,25.9,25.6,8117
1119218400,25.9,25.5,25.9,25.2,6820
1119304800,25.5,25.5,25.5,25.2,284
1119391200,25.3,25.2,25.3,24.5,16204
1119477600,25.2,25.3,25.3,25,6793
1119564000,25.3,25,25.3,25,7030
1119823200,24.9,25,25.1,24.9,19703
1119909600,24.9,25,25,24.4,30298
1119996000,25,25.5,25.7,25,49208
1120082400,25.8,25.7,25.8,25.1,51377
1120168800,25.7,26,26,25.7,46303
1120428000,26.3,26,26.5,25.7,165217
1120514400,25.9,26,26,25.3,20882
1120600800,26,26,26,25.5,3349
1120687200,25.5,26,26,25.1,12006
1120773600,25.6,26.5,26.5,25.3,21959
1121032800,26.4,26,26.4,25.9,13414
1121119200,26.3,26,26.3,26,10305
1121205600,25.6,25.5,26,25.5,7413
1121292000,25.3,25.9,25.9,25.3,447
1121378400,25.6,25.5,25.8,25.5,2486
1121637600,25.1,26,26,25.1,125412
1121724000,25.7,25.5,25.7,25.5,14195
1121810400,25.3,25.2,25.5,25.2,43400
1121896800,25.3,25.5,25.5,25.2,2787
