t,o,c,h,l,v
1417561200,30.57,31.05,31.8,30.57,199964
1417647600,31.28,31.16,31.3,30.97,22685
1417734000,31.25,30.68,31.25,30.3,3567
1417993200,30.6,30.6,31,30.6,2382
1418079600,30.7,29.73,30.78,29.65,5864
1418166000,29.8,29.31,29.8,29.3,3492
1418252400,29.35,29.31,29.4,29.31,624
1418338800,28.8,28.75,28.8,28.6,454
1418598000,28.06,28.2,28.5,28.06,709
1418684400,28,27.15,28,27.05,845
1418770800,28.6,28.77,28.77,28,1093
1418857200,29.2,29.99,30.04,28.62,5458
1418943600,30.33,30.32,30.33,29.8,1205
1419202800,30.55,30.29,30.55,29.81,856
1419289200,30.3,30.47,30.47,30.3,5182
1419807600,30.93,30.4,30.93,29.41,2717
1419894000,0,30.4,30.4,30.4,0
1420153200,29.9,30.6,30.6,29.9,3064
1420412400,29.11,30.39,30.49,29.11,283
1420585200,28.7,28.75,29,28.42,996
1420671600,29.25,28.5,29.99,28.5,677
1420758000,27,25,28.3,25,6813
1421017200,25.82,25.45,26,24.05,6186
1421103600,26.44,25.5,26.44,25.1,1864
1421190000,24.61,24.82,25.95,24.61,24113
1421276400,25.5,25.03,25.65,25.03,415
1421362800,25.99,26,26.34,25.99,151
1421622000,26.38,25.61,26.38,25.61,2483
1421708400,26.38,26.37,26.39,26.37,1284
1421794800,26.37,25.35,26.37,25.3,352
1421881200,25.53,26.95,26.95,25.53,101
1421967600,26.95,26.95,26.95,26.95,25
1422226800,27,25.97,27,25.97,9147
1422313200,26.5,26,26.5,26,552
1422399600,26.1,25.99,26.1,25.99,135
1422486000,25.3,25.98,25.98,25.22,584
1422572400,25.62,25.2,25.62,25.2,351
1422831600,25.06,24.65,25.06,24.3,12741
1422918000,25.5,25.85,25.85,25.21,3684
1423004400,25.9,25.9,25.9,25.01,69
1423090800,26.05,25.5,26.05,24.93,87
1423177200,25.5,25.5,25.5,25.5,120
1423436400,24.91,25.39,25.39,24.91,81
1423522800,25.11,25,25.5,25,4457
1423609200,25,25,25,25,148
1423695600,25.01,25.78,25.78,25.01,2022
1423782000,26,26.35,26.35,26,12680
1424041200,26.4,26.15,26.4,25.36,331
1424127600,26.2,26.2,26.2,26.2,2000
1424214000,26.5,26.8,26.85,26.5,8240
1424300400,26.88,27.88,27.88,26.82,21068
1424386800,0,27.88,27.88,27.88,0
1424646000,27.03,26.17,27.03,26.17,151
1424732400,25.51,27,27,25.51,951
1424818800,26.01,26.88,26.88,25.81,164
1424905200,26.95,26.95,26.95,26.95,10
1424991600,27,27,27,27,71
1425250800,26.95,27.01,27.01,26.95,183
1425337200,27,26.6,27,26.6,1182
1425423600,27,26.95,27.05,26.9,7915
1425510000,26.98,26.99,27,26.98,6981
1425596400,26.98,26.98,26.98,26.98,133
1425855600,26.83,26.57,26.83,26.57,57
1425942000,26.2,26.33,26.55,26.2,340
1426028400,26.3,26.37,26.49,26.3,12135
1426114800,26.45,26.7,26.7,26.45,9117
1426201200,26.21,26.75,26.75,26.21,1391
1426460400,26.9,26.9,26.9,26.9,350
1426546800,26.9,26.9,26.9,26.9,40
1426633200,26.55,26.8,26.8,26.06,1681
1426719600,26.8,26.8,26.8,26.8,50
1426806000,26.95,27.82,27.85,26.95,35238
1427065200,28.15,27.61,28.3,27.61,5137
1427151600,28.05,28.36,28.36,28.05,10231
1427238000,28.4,28,28.42,28,5370
1427324400,27.85,28,28,27.85,5010
1427410800,28.25,28.4,28.4,28.04,3243
1427666400,28.4,28.5,28.5,28.4,5846
1427752800,28.65,28.4,28.65,28.4,5114
1427839200,28.5,28.74,28.75,28.5,7977
1427925600,27.64,29,29.05,27.64,338
1428357600,27.72,28.52,28.8,27.72,3208
1428444000,28.7,28.7,28.7,28.7,2000
1428530400,28.7,28.06,28.7,28.06,62
1428616800,28.2,28,28.2,28,14
1428876000,28.2,27.75,28.2,27.75,5
1428962400,27.84,27.84,27.84,27.66,235
1429048800,27.84,28.5,28.5,27.84,70
1429135200,27.74,28.5,28.5,27.5,286
1429221600,26.99,26.49,27.35,26.49,2510
1429480800,26.55,26.99,27.05,26.4,1024
1429567200,26.4,26.4,26.4,26.4,100
1429653600,26.31,26.14,26.34,26.14,1386
1429740000,26.15,26.15,26.15,26.15,10
1429826400,0,26.15,26.15,26.15,0
1430085600,26.75,26.85,26.85,26.75,277
1430172000,27.2,27.32,27.35,27.2,2456
1430258400,27.3,27.32,27.44,27.3,2026
1430344800,26.9,27.3,27.78,26.01,17333
1430690400,27,27.35,27.35,27,8500
1430776800,27.1,27.1,27.1,27.1,2000
1430863200,26.4,26.64,26.7,26.4,10000
1430949600,26.6,26.6,26.6,26.45,2618
1431036000,26.8,27.3,27.3,26.8,14030
1431295200,27.33,27.33,27.6,27.33,3000
1431381600,27.19,27.5,27.5,27.18,8510
1431468000,27.05,27.5,27.5,27.05,4307
1431554400,27.3,27.42,27.42,27.3,5000
1431640800,0,27.42,27.42,27.42,0
1431900000,27.05,26.99,27.05,26.4,453
1431986400,27.05,27.18,27.18,27.05,5765
1432072800,27.25,27.5,27.5,27.25,5309
1432159200,27.98,27.98,27.98,27.98,8
1432245600,27.41,27.75,27.75,27.41,4643
1432504800,0,27.75,27.75,27.75,0
