t,o,c,h,l,v
1208728800,484.9,421,484.9,421,76
1208815200,399,400,400,390,17
1208901600,0,400,400,400,0
1208988000,0,400,400,400,0
1209074400,0,400,400,400,0
1209333600,0,400,400,400,0
1209420000,360,361,362,360,122
1209506400,350,345,350,340,195
1209938400,324,324,325,324,36
1210024800,300,295,303,281,102
1210111200,295,306,314,295,143
1210197600,299.9,299.9,299.9,299.9,1
1210284000,298,298,298,298,1
1210543200,275.1,276.1,276.1,275.1,41
1210629600,275.1,289,289.9,275,23
1210716000,290,290,290,290,4
1210802400,291,291.9,291.9,280,27
1210888800,294.8,299,299,294,71
1211148000,300,300,300,300,49
1211234400,315,315,315,315,1
1211320800,314.9,315,315,314.9,11
1211493600,309,309,309,309,1
1211752800,0,309,309,309,0
1211839200,310,310,310,310,1
1211925600,309,309,309,309,1
1212012000,309,309,309,309,1
1212098400,309,309,309,309,4
1212357600,309,300.2,309,300.2,4
1212444000,305,305,305,305,4
1212530400,0,305,305,305,0
1212616800,0,305,305,305,0
1212703200,310,310,310,310,96
1212962400,311,311,311,311,1
1213048800,305,305,305,305,20
1213135200,0,305,305,305,0
1213221600,0,305,305,305,0
1213308000,309,309,309,309,1
1213567200,290.1,290.1,290.1,290.1,1
1213653600,300,300,300,300,10
1213740000,0,300,300,300,0
1213826400,280,283,283,280,140
1213912800,276.1,200,276.1,200,766
1214172000,0,200,200,200,0
1214258400,0,200,200,200,0
1214344800,0,200,200,200,0
1214431200,0,200,200,200,0
1214517600,0,200,200,200,0
1214776800,0,200,200,200,0
1214863200,0,200,200,200,0
1214949600,0,200,200,200,0
1215036000,0,200,200,200,0
1215122400,0,200,200,200,0
1215381600,0,200,200,200,0
1215468000,0,200,200,200,0
1215554400,0,200,200,200,0
1215640800,0,200,200,200,0
1215727200,0,200,200,200,0
1215986400,0,200,200,200,0
1216072800,0,200,200,200,0
1216159200,0,200,200,200,0
1216245600,0,200,200,200,0
1216332000,0,200,200,200,0
1216591200,0,200,200,200,0
1216677600,0,200,200,200,0
1216764000,0,200,200,200,0
1216850400,0,200,200,200,0
1216936800,0,200,200,200,0
1217196000,0,200,200,200,0
1217282400,0,200,200,200,0
1217368800,0,200,200,200,0
1217455200,103,147,149,103,1523
1217541600,149.3,159.8,159.8,142,490
1217800800,190.3,204.2,225,190.3,959
1217887200,219.8,198.9,219.8,198.9,263
1217973600,211,230,230,185,468
1218060000,235,240,240,227,186
1218146400,250,272,277.8,250,130
1218405600,270,270,272,270,121
1218492000,240,240,252,240,95
1218578400,240,215,240,215,124
1218664800,210,201,210,201,63
1219010400,201,202.6,210,201,170
1219096800,200.2,210,210.1,200.2,171
1219183200,215,230,236,215,134
1219269600,235,236,238,230,166
1219356000,236,236,236,236,1
1219615200,236,244,244,236,102
