t,o,c,h,l,v
1506636000,0,41.75,41.75,41.75,0
1506895200,40,40,40,40,3
1506981600,40,42.7,42.85,40,601
1507068000,41.5,41.55,41.55,41.5,641
1507154400,41.5,41.55,41.55,41.5,339
1507240800,41.19,41.19,41.19,41.19,54
1507500000,41.24,41,41.25,41,17676
1507586400,41.1,41.3,41.3,41.1,8037
1507672800,41.5,42.6,42.62,41.25,10671
1507759200,41.4,42.49,42.9,41.3,4160
1507845600,43.81,43.55,44,43.15,7920
1508104800,41.25,42.13,43,40.8,3473
1508191200,43,43.21,44.54,43,3017
1508277600,0,43.21,43.21,43.21,0
1508364000,0,43.21,43.21,43.21,0
1508450400,43.21,43,43.21,43,100
1508709600,43.05,43.05,43.05,43.05,425
1508796000,43,44.1,44.1,43,176
1508882400,0,44.1,44.1,44.1,0
1508968800,44.09,44.25,44.25,44.09,437
1509055200,43.91,44.5,45.81,43.91,9646
1509318000,44.7,44.26,45.43,44.26,107676
1509404400,43.9,43.91,43.91,43.02,250039
1509577200,0,43.91,43.91,43.91,0
1509663600,43.9,43.25,44.11,43.25,45732
1509922800,43.25,44.71,44.71,43.25,14483
1510009200,44.83,44.71,44.83,44.71,160
1510095600,44.71,44.45,44.71,44.45,12568
1510182000,0,44.45,44.45,44.45,0
1510268400,44.3,44.3,44.3,44.3,100000
1510527600,44.9,44.9,44.9,44.9,2
1510614000,44.9,43.81,44.9,43.81,260
1510700400,43.81,43.81,43.81,43.81,1
1510786800,43.4,42.05,43.8,42.05,176
1510873200,0,42.05,42.05,42.05,0
1511132400,41.8,41.8,41.8,41.8,24
1511218800,0,41.8,41.8,41.8,0
1511305200,43.1,43.2,43.2,43.1,106
1511391600,0,43.2,43.2,43.2,0
1511478000,44,44,44,44,3
1511737200,43.73,43.74,43.74,41.99,544
1511823600,44,44,44,44,100
1511910000,42.68,42,42.68,42,111
1511996400,41.72,41.95,41.95,41.72,1650
1512082800,41.1,41.1,41.1,41.1,50
1512342000,40.12,40.12,40.12,40.12,2
1512428400,0,40.12,40.12,40.12,0
1512514800,40.12,40.48,40.48,40,78
1512601200,40,40.98,40.98,38.7,9205
1512687600,39.74,39.74,39.74,39.74,88
1512946800,40.98,39.3,40.98,39.3,984
1513033200,39.3,39.33,39.45,39,107113
1513119600,39,40.39,40.49,39,193480
1513206000,40.25,40.55,40.55,40.25,160704
1513292400,40.65,40.53,41,40.4,150104
1513551600,40.75,40.29,41.67,40,42108
1513638000,40,40.16,40.16,39.01,50100
1513724400,40,40.03,40.11,40,80690
1513810800,39.04,39.04,39.04,39.04,40
1513897200,0,39.04,39.04,39.04,0
1514329200,40.49,40.49,40.49,40.49,17
1514415600,40.11,40.03,40.22,40,100123
1514502000,39.3,39.36,40.25,39.3,225
