t,o,c,h,l,v
1652997600,7.2,7.5,7.95,7.15,93612
1653256800,7.4,6.9,7.4,6.85,53881
1653343200,6.75,6.4,7,6.3,82407
1653429600,6.5,6.35,6.6,6.1,34077
1653516000,6.45,6.8,7,6.4,59633
1653602400,6.85,6.9,7.1,6.8,36279
1653861600,7.05,7.1,7.3,6.9,34518
1653948000,7.1,7,7.2,6.85,22328
1654034400,6.85,6.95,7,6.7,13116
1654120800,6.9,7,7,6.8,6331
1654207200,6.95,6.85,6.95,6.75,10948
1654466400,7,6.7,7,6.65,15163
1654552800,6.7,6.7,6.7,6.6,4942
1654639200,6.7,6.75,7,6.7,20730
1654725600,6.85,6.65,6.85,6.6,4605
1654812000,6.8,6.7,6.85,6.6,7120
1655071200,6.7,6.4,6.7,6.2,22792
1655157600,6.5,6.6,6.8,6.5,18280
1655244000,6.6,6.65,6.8,6.6,2780
1655416800,6.65,6.6,6.65,6.5,3091
1655676000,6.7,6.9,7,6.6,30500
1655762400,7,6.8,7,6.8,7366
1655848800,6.8,6.75,6.85,6.75,4339
1655935200,6.8,6.65,6.8,6.6,6758
1656021600,6.65,6.65,6.75,6.6,4436
1656280800,6.65,6.7,6.75,6.35,30525
1656367200,6.7,6.55,6.7,6.55,9486
1656453600,6.6,6.6,6.6,6.4,13893
1656540000,6.5,6.3,6.65,6.1,27098
1656626400,6.35,6.25,6.6,6.25,19928
1656885600,6.4,6.15,6.4,6,18163
1656972000,6.15,6,6.15,5.8,14392
1657058400,6,5.85,6,5.7,34303
1657144800,5.75,6.1,6.2,5.75,14154
1657231200,6.1,6.1,6.2,5.9,11162
1657490400,6.1,6.25,6.5,5.9,32711
1657576800,6.45,6.3,6.5,6.25,9276
1657663200,6.4,6.15,6.4,6.1,19747
1657749600,6.2,6.15,6.4,6.1,5618
1657836000,6.3,6.2,6.3,6.05,14068
1658095200,6.1,6.15,6.25,5.95,24559
1658181600,6.2,6.05,6.2,6.05,5958
1658268000,6.1,6.45,6.45,6.05,25933
1658354400,6.45,6.35,6.65,6.25,23132
1658440800,6.45,6.3,6.45,6.2,8990
1658700000,6.3,6.2,6.4,6.15,10495
1658786400,6.35,6.2,6.35,6.05,24331
1658872800,6.25,6.15,6.3,6.15,6864
1658959200,6.3,6.9,7.25,6.25,137669
1659045600,6.9,6.7,7.2,6.7,60645
1659304800,6.8,7.3,7.7,6.8,111230
1659391200,7.4,8,8.45,7.3,111719
1659477600,8.2,8.15,8.35,7.9,43377
1659564000,8.3,7.75,8.6,7.55,82419
1659650400,7.7,7.35,7.75,7.25,26679
1659909600,7.5,7.4,7.55,7.25,13959
