t,o,c,h,l,v
1521586800,44.13,45.95,46.49,42,15426
1521673200,45.95,45.11,47.24,45.11,6032
1521759600,45.15,43.6,45.15,41.15,1263
1522015200,43.5,44.41,45.5,43.5,1696
1522101600,45.19,44.99,45.19,44.6,8
1522188000,44.99,44.6,44.99,43.7,275
1522274400,43.95,43.95,43.95,43.94,251
1522706400,43.9,44.01,44.01,43.9,2074
1522792800,44.06,44.74,44.74,44.06,5244
1522879200,44.16,44.33,44.89,44.16,202
1522965600,44.32,43.9,44.8,43.9,2475
1523224800,43.5,43.2,44.3,43.2,266
1523311200,43.3,44.58,44.58,43.3,295
1523397600,44.59,44.65,44.65,44.59,132
1523484000,44.73,44.5,44.74,44.5,688
1523570400,44.3,44.3,44.31,44.3,2403
1523829600,44.99,44.8,45.05,44.8,4974
1523916000,0,44.8,44.8,44.8,0
1524002400,44.58,45.39,45.39,44.57,168
1524088800,0,45.39,45.39,45.39,0
1524175200,45,45.06,45.06,45,954
1524434400,0,45.06,45.06,45.06,0
1524520800,45.02,45,45.12,45,1524
1524607200,0,45,45,45,0
1524693600,44.32,44.38,44.38,43.9,9820
1524780000,44,44,44,44,1
1525039200,43.52,44.67,44.67,43.52,61
1525212000,0,44.67,44.67,44.67,0
1525384800,44.43,44.43,44.43,44.43,700
1525644000,44.43,44.43,44.43,44.43,1145
1525730400,44.43,43.7,44.43,43.7,11516
1525816800,44.9,45,45.5,44.5,3626
1525903200,44.5,44,44.5,44,3322
1525989600,45,44.21,45,44,27016
1526248800,44.21,44,44.37,44,8198
1526335200,42.6,45,45,42.6,22440
1526421600,44.41,46.85,47.13,44.41,18735
1526508000,45.1,45.06,45.1,45.06,1005
1526594400,45.08,46.48,46.48,45.08,7
1526853600,45.11,46.19,46.19,45.11,239
1526940000,45.2,45.06,45.97,45,3005
1527026400,45.06,45.07,45.07,45.06,16
1527112800,45.5,46,46.2,45.5,1079
1527199200,46,46.85,46.85,46,302
1527458400,46.85,46.55,47.2,46.55,1821
1527544800,46.55,46.05,46.55,46.05,32
1527631200,46.06,46.06,46.06,46.06,18
1527804000,46.05,45.7,46.05,45.7,740
1528063200,45.71,47,47,45.5,2089
1528149600,46.5,45.5,46.5,45.25,5416
1528236000,45.64,45.64,45.64,45.64,40
1528322400,46,46.55,46.55,46,280
1528408800,0,46.55,46.55,46.55,0
1528668000,46,46.54,46.54,46,336
1528754400,0,46.54,46.54,46.54,0
1528840800,46.1,46.1,46.1,46.1,41
1528927200,46.1,46.1,46.1,46.1,170
1529013600,46.1,46.54,46.54,45.6,543
1529272800,0,46.54,46.54,46.54,0
1529359200,46,45.71,46,45.71,340
1529445600,0,45.71,45.71,45.71,0
1529532000,0,45.71,45.71,45.71,0
1529618400,0,45.71,45.71,45.71,0
1529877600,0,45.71,45.71,45.71,0
