t,o,c,h,l,v
1304546400,22.85,22.12,22.85,21.8,96327
1304632800,22.1,22.12,22.14,22.04,6045
1304892000,22.15,22.1,22.26,22.01,6861
1304978400,22.11,21.45,22.15,21,94438
1305064800,21.55,20.9,21.66,20.81,17329
1305151200,20.45,21.4,21.5,20.01,14932
1305237600,21.35,21.3,21.4,20.8,20319
1305496800,21.4,21.4,21.49,21,6300
1305583200,21.4,21.35,21.4,20.85,2104
1305669600,21,21.88,21.89,21,3923
1305756000,21.88,21.7,21.88,21.7,1324
1305842400,21.89,22.45,22.45,21.87,22949
1306101600,22.02,22.83,22.83,22.02,19179
1306188000,22.82,22.92,23.3,22.35,31117
1306274400,23,23.08,23.2,22.5,23255
1306360800,23.07,23.07,23.1,23,6402
1306447200,25.1,25.4,25.88,25,202704
1306706400,25.99,26.1,26.4,25.91,125178
1306792800,26.7,27.8,28.35,26.7,120142
1306879200,28.97,27.95,28.97,27.82,231577
1306965600,28,27.4,28,26.5,41718
1307052000,27.95,26.8,28.18,26.6,17179
1307311200,27,26.3,27,26.1,9110
1307397600,26.3,26.19,26.6,25.41,11606
1307484000,26.43,25.99,26.43,25.6,4474
1307570400,25.98,25.4,25.98,25.11,9478
1307656800,25.5,25.85,25.92,25.5,3826
1307916000,26,25.85,26.5,25.66,12709
1308002400,25.9,25.13,25.9,25.11,8187
1308088800,25.09,23.95,25.09,23.55,29998
1308175200,23.46,22.95,23.8,22.61,28790
1308261600,22.9,23.86,24.8,22.9,26282
1308520800,23.93,23.62,24.09,23.6,42784
1308607200,23.6,23.58,23.6,23.05,8717
1308693600,23.09,23.17,23.57,22.53,2974
1308866400,23.17,22.55,23.17,22.3,6473
1309125600,22.35,21.48,22.35,21.4,11605
1309212000,21.5,21.9,21.98,21.5,2734
1309298400,21.7,22.3,22.4,21.7,4421
1309384800,22.3,22.3,22.4,21.9,4693
1309471200,22.25,22.1,22.49,21.95,1981
1309730400,22.99,22,22.99,22,4899
1309816800,21.86,21.8,21.97,21.75,1086
1309903200,22,21.5,22,21.5,3721
1309989600,21.5,23,23,21.48,41970
1310076000,22.99,22.5,23,22.25,4889
1310335200,22.3,21.75,22.42,21.75,1375
1310421600,21.13,21.2,21.4,20.5,8265
1310508000,21.5,21.77,21.8,21.2,1591
1310594400,21.9,22.15,22.49,21.8,23518
1310680800,22.16,22.05,22.25,22.05,31259
1310940000,22.2,21.6,22.2,21.5,2278
1311026400,21.5,21.65,21.75,21.4,58453
1311112800,22,21.9,22,21.8,285
1311199200,22,21.79,22,20.8,4327
1311285600,21.99,22.1,22.1,21.8,1470
1311544800,22,22,22.2,21.9,883
1311631200,22.1,21.9,22.1,21.6,1296
1311717600,22.1,22,22.1,21.4,37773
1311804000,21.79,22.15,22.15,21.77,1439
1311890400,22.15,22.05,22.2,22,2171
1312149600,22.26,21.6,22.26,21.6,1225
1312236000,21.6,22,22,21.6,2066
1312322400,21.7,21,21.7,20,19605
1312408800,20,20.12,21.08,20,106029
1312495200,19.01,19.9,20.5,18.61,117126
1312754400,18,18.85,19,17.6,35855
1312840800,17.81,18.5,18.9,17.1,80207
1312927200,18.69,17.7,19.1,17.1,13077
1313013600,16.12,17.5,17.5,16.12,39529
1313100000,17.69,18.2,18.2,16.5,15676
1313445600,20,20,20,18.22,6381
1313532000,20.3,20.05,20.3,19.12,16689
1313618400,19.6,19.62,19.62,18.28,3887
1313704800,19,19.6,19.6,19,8335
1313964000,19.5,20.3,20.3,19.45,25199
1314050400,20.59,20.7,20.97,20.5,1066
1314136800,20.96,20.5,20.96,20.5,391
1314223200,20.5,20.79,20.79,20.5,1614
1314309600,20.78,20.98,20.98,20.5,2516
1314568800,20.5,21.85,21.85,20.5,33539
1314655200,22.26,23.2,23.4,22.26,197193
1314741600,23.21,23.4,23.68,23.21,11302
1314828000,23.75,22.5,23.75,22.32,31326
1314914400,21.1,22,22.4,21.1,40623
1315173600,22.02,22.2,22.5,20.8,11401
1315260000,22.21,23,23,21.6,24938
1315346400,23.35,23.5,23.58,22.71,5194
1315432800,23.6,23.5,23.6,23.04,14208
1315519200,24.1,22.9,24.1,22.9,24375
1315778400,21.9,22.7,22.7,21.5,45512
1315864800,22.2,23.29,23.29,22.2,77419
1315951200,23.25,23.8,23.9,23.25,39842
1316037600,24,24.66,24.7,23.98,11593
1316124000,24.7,25,25.8,24.7,13122
1316383200,25,23.98,25.5,23.71,19117
1316469600,24,24,24.77,23.22,26601
1316556000,24.4,23.69,24.4,23.69,211
1316642400,23.4,22.7,23.4,22.5,2136
1316728800,21.5,23,23,21,7525
1316988000,24,22.81,24,22.81,10004
1317074400,23.5,23.75,23.87,23,221725
1317160800,24,24,24.5,23.85,7710
1317247200,24.28,24,24.28,23.72,4635
1317333600,24.29,23.95,24.29,22.98,70797
1317592800,23.11,23,23.14,23,16594
1317679200,23.2,22.39,23.2,21.98,22484
1317765600,23.4,23,23.5,23,79434
1317852000,23.39,23.35,23.39,22.49,429
1317938400,23.29,23.35,23.35,22.51,692
1318197600,23.34,23.19,23.34,22.6,3531
1318284000,23,22.89,23.19,22.85,521
1318370400,22.89,22.6,23,21.85,24571
1318456800,22.6,22.59,22.6,22,1918
1318543200,22.59,22.53,22.59,22.01,2642
1318802400,22.54,22,22.54,22,5114
1318888800,21.8,21.7,21.99,21.32,13189
1318975200,21.72,21.69,21.72,21.3,3622
1319061600,21.89,20.94,21.89,20.94,823
1319148000,20.9,20.61,20.9,20.6,11546
1319407200,20.61,21,21.49,20.61,2728
1319493600,20.98,21.6,21.6,20.76,1241
1319580000,21.58,21.06,21.58,21.01,861
1319666400,21.1,21.6,21.89,21.1,2113
1319752800,21.6,21,21.6,21,202
1320015600,21.19,20.85,21.19,20,22949
1320188400,20,20.5,20.5,19.96,3976
1320274800,20.85,20.4,20.85,20.4,101
1320361200,20,20.14,20.2,20,3728
1320620400,20.14,20.5,20.99,19.8,9134
1320706800,20.5,20.15,20.5,20.15,376
1320793200,21,20.4,21,20.15,145
1320879600,20.39,19.65,20.39,19.62,1444
1321225200,19.7,19.8,20.3,19.6,2006
1321311600,19.8,18.88,19.8,18.88,3968
1321398000,18.7,18,18.7,18,3257
1321484400,18,17.3,18,17.3,5538
1321570800,17.23,17.5,19,17.22,11667
1321830000,18,17,18,16.5,5152
1321916400,16.8,16.9,17.45,16.8,15074
1322002800,16.33,17.1,17.5,16.33,4104
1322089200,17.55,17.76,17.79,17.55,2123
1322175600,17.5,18.51,18.55,17.5,1415
1322434800,18.85,19.16,19.3,18.85,3616
1322521200,19.3,19.28,19.3,19,3312
1322607600,19.25,18.99,19.3,18.5,26459
1322694000,19.3,18.6,19.3,18.6,504
1322780400,19,19.09,19.1,18.7,326
1323039600,19.74,19.5,19.74,18.96,21424
1323126000,19.6,19.2,19.6,19.08,1617
1323212400,19.2,18.9,19.3,18.5,3599
1323298800,19.3,18.99,19.3,18.55,3227
1323385200,18.95,19.05,19.05,18.5,2798
1323644400,19.45,18.45,19.45,18.45,836
1323730800,18.42,19,19,18.42,2012
1323817200,19.03,19,19.03,18.6,491
1323903600,19.04,18.4,19.04,18.3,1553
1323990000,18.5,18.2,18.5,18.07,759
1324249200,18.39,17.5,18.39,16.95,5852
1324335600,17.5,18,18,17.1,107551
