t,o,c,h,l,v
1291590000,34.68,36.01,36.7,33.78,104951
1291676400,36,36.5,36.7,35.5,18450
1291762800,36.99,36.76,36.99,36.06,45736
1291849200,36.95,38.49,38.49,36.95,25490
1291935600,38.49,38.94,38.99,38.49,16578
1292194800,38.95,38.63,39,38,8707
1292281200,38.63,38.65,38.9,38.63,3005
1292367600,38.7,38.1,38.7,38,40620
1292454000,38.38,38.56,38.65,38.38,26080
1292540400,38.5,39.4,39.5,38.5,18803
1292799600,39.4,41,41.01,39.4,18124
1292886000,40.52,43.5,44.44,40.52,7191
1292972400,44.1,45.55,46.6,44.1,13814
1293058800,46.71,46.99,48,46.71,13820
1293404400,48.8,49,50,48.5,16637
1293490800,50,48.48,50,45,4543
1293577200,47.1,46.01,47.1,43.4,21329
1293663600,45.9,45.76,45.9,45,9402
1293750000,44.7,44.84,45.6,44.15,7474
1294009200,44.9,44.49,45,44,2759
1294095600,44.2,46.77,46.77,44.2,9706
1294182000,45.85,45.15,45.85,44.51,2895
1294354800,45,44.8,45.6,43.2,7401
1294614000,45.19,44,45.19,43.51,8009
1294700400,44,45.5,47.5,44,4843
1294786800,46.5,43.7,46.95,43.55,21469
1294873200,44.45,43.8,45,43.5,13446
1294959600,44,44.45,44.69,43.8,14799
1295218800,44.05,43.88,44.15,42.3,5694
1295305200,44.3,45.05,45.65,43.88,10808
1295391600,45.05,45.45,45.5,44.55,1501
1295478000,45.01,43.25,45.45,43.2,4356
1295564400,43.99,44.1,44.9,42.3,3526
1295823600,42.66,42.1,43.1,41.7,15477
1295910000,41.8,41.87,42.2,41.1,2747
1295996400,41.98,41.5,41.98,40,3452
1296082800,41.89,42.5,42.7,41.89,30270
1296169200,42.09,42,42.09,41.55,1234
1296428400,41,40.66,41,40.5,627
1296514800,40.05,40.04,40.05,38.4,18970
1296601200,39.31,41.7,41.7,38.26,8234
1296687600,41.7,41.68,41.7,41.68,200
1296774000,40.52,40.35,40.75,40.1,9600
1297033200,40.4,41,41,40.4,1304
1297119600,41.1,41,41.49,40.45,47858
1297206000,41.18,41,41.5,40.7,24852
1297292400,41,40.5,41,40.5,2108
1297378800,40.36,40.5,40.5,40.36,209
1297638000,39.5,40.4,40.5,38.5,5605
1297724400,40.99,40.5,40.99,40.05,196225
1297810800,40.02,40.2,40.5,40.02,6397
1297897200,39.5,39.5,40.4,39.5,14772
1297983600,39.11,40,40.3,39.11,577
1298242800,40,43.5,43.98,39.2,24743
