t,o,c,h,l,v
1621980000,42,45,45,42,18658866
1622066400,45,44,45,43.9,6020955
1622152800,44.58,44.645,44.845,43.62,2839908
1622412000,44.645,44,44.645,43.625,918066
1622498400,43.99,44,44.29,43.7,907803
1622584800,44,43.735,44.095,43.375,232464
1622757600,43.75,43.845,43.995,43.55,579256
1623016800,43.835,43.9,44.245,43.705,716148
1623103200,44,43.9,44.235,43.9,953271
1623189600,43.9,43.905,44.185,43.82,631780
1623276000,44,43.695,44.09,43.5,733523
1623362400,43.6,43.6,43.88,43.47,292112
1623621600,43.55,43.2,43.835,42.5,1229749
1623708000,43.4,42.85,43.4,42.51,591073
1623794400,43,43.495,43.495,42.2,444096
1623880800,43.3,43.79,43.88,42.555,763200
1623967200,43.72,43.995,44.05,43.1,301265
1624226400,43.98,44.04,44.29,43.32,176956
1624312800,44,45.55,45.795,43.9,681223
1624399200,45.62,46.95,47,45.12,435717
1624485600,46.95,49.57,51.64,46.5,566884
1624572000,48.7,50.5,51.25,48.7,1222954
1624831200,50.58,51.3,51.94,50.27,1070803
1624917600,51.3,51,51.94,50.51,601294
1625004000,50.61,49,51,48.52,1291293
1625090400,49,50.31,50.5,48.3,710072
1625176800,50.5,51.4,51.89,50.17,1499573
1625436000,51.8,51.88,52.77,51.4,171680
1625522400,52,51.62,52.84,51.6,256893
1625608800,51.71,52.5,52.9,51.58,1279492
1625695200,52.8,52,52.8,51.5,272447
1625781600,52.2,51.79,52.2,51.45,160583
1626040800,51.99,52.23,52.35,51.75,32320
1626127200,52.24,53.13,53.42,52.24,159335
1626213600,53.25,52,53.83,51.67,504761
1626300000,52.99,52,52.99,51.6,1090623
1626386400,52,52.9,53.42,52,71797
1626645600,52.9,53,53,50.54,248958
1626732000,52.6,53.04,53.74,52.1,366339
1626818400,53.04,53.75,54.05,53.04,305376
1626904800,53.5,54.56,54.97,53,375462
1626991200,54.98,54.33,54.98,54.01,313940
1627250400,54.43,54.22,54.98,53.5,280202
1627336800,54.4,54.74,55.3,54.25,264062
1627423200,54.95,54.5,55.46,54.31,253840
1627509600,55.06,54.1,55.06,52.6,194062
1627596000,54.1,53.5,54.78,53,175038
1627855200,53.99,54.87,55.84,53.64,565993
1627941600,55.01,54.58,55.49,54.21,656170
1628028000,54.58,55.61,55.61,54.35,560337
1628114400,55.61,56,56.4,54.51,737903
1628200800,56.33,55.75,56.33,55.44,79076
1628460000,55.75,55,56.16,54.56,176389
1628546400,55.01,55.1,56.1,55.01,621299
1628632800,55.2,55.1,55.9,55.01,1025887
1628719200,55,55,56.19,54.73,187603
1628805600,55.16,56.11,57.44,54.98,372085
1629064800,57.29,56,57.29,55.01,192043
1629151200,56,55.94,56.98,55.5,114563
1629237600,56,56.22,56.49,55.52,531332
1629324000,56.22,55.67,56.88,54.5,388038
1629410400,55.67,55.5,56.5,54.62,774818
1629669600,55.71,55.31,56,55.06,30456
1629756000,55.24,55.5,55.58,54.97,38206
1629842400,55.37,55.3,55.52,55,59453
1629928800,55,55,55.46,53.58,171343
1630015200,54.86,54.22,55.09,54.22,72719
1630274400,54.25,55,55.44,54.01,184990
1630360800,55.13,53.8,55.13,53.14,265479
1630447200,53.8,52.7,54.09,52.22,501440
1630533600,52.6,52,52.7,50.51,238223
1630620000,52,51.6,52,50.93,342198
1630879200,51.7,52,52.49,51.51,267391
1630965600,52,52.43,53.21,51.81,368893
1631052000,52.52,51.19,53.02,50.2,305229
1631138400,51.01,50.79,51.4,50.11,409031
1631224800,51.1,50.36,51.79,50.13,150916
1631484000,50.5,50.05,51.78,49.7,264360
1631570400,50.11,50,50.49,49.605,153846
1631656800,50,49.995,50.43,48.52,388352
1631743200,49.9,48.14,50.3,48.13,213006
1631829600,48.14,47.9,48.98,47.51,250874
1632088800,47.7,47.545,48,46.805,177473
1632175200,47.785,49.25,49.95,47.71,318160
1632261600,50.35,50.1,50.35,49.5,160158
1632348000,50.5,52.35,52.55,49.755,819229
1632434400,52.45,51.2,52.46,50.12,549328
1632693600,51.21,51.19,51.72,49.615,372467
1632780000,50.7,50.5,51.69,49.96,564877
1632866400,50,50.32,51.12,50,116394
1632952800,50.83,51,51.07,50.02,123817
1633039200,50.94,52.88,53.39,50.12,208037
1633298400,52.86,50.88,52.86,50.34,579314
1633384800,50.88,51.5,51.64,50.45,555347
1633471200,51.5,49.995,52.29,49.995,1086992
1633557600,50,48.3,50.48,47.84,721641
1633644000,48.2,47.27,48.655,47,485394
1633903200,47.48,47.95,48.5,47.305,535941
1633989600,47.6,47.8,48.29,47.35,128363
1634076000,47.65,48.12,49.4,47.65,145818
1634162400,49.21,48.5,49.8,48.195,475295
1634248800,48.98,47.5,49.11,47.025,447601
1634508000,47.985,47.175,48.205,46.505,348898
1634594400,47,46,47.485,46,404125
1634680800,45.31,47,47.455,45.22,217730
1634767200,46.4,47.2,47.9,46.4,122359
1634853600,47.3,46.38,47.705,46.205,85520
1635112800,47,48.18,48.18,46.525,227548
1635199200,48.1,47.1,48.105,46.6,80801
1635285600,46.99,47.2,47.48,46.46,257568
1635372000,47.41,47.09,47.53,46.8,179122
1635458400,47.3,47.2,48.245,46.51,197158
1635807600,47.5,48.1,49,46.67,402032
1635894000,48.6,47.525,48.6,47.525,186535
1635980400,48,47.5,48.44,47.205,170521
1636066800,48,47.25,48.2,46.945,325329
1636326000,47.49,47.6,47.725,47.21,43918
1636412400,47.5,47.9,48.495,47.25,394485
1636498800,47.9,47.62,48.385,47.385,96115
1636671600,47.74,47.585,47.74,47,111446
1636930800,47.33,48,48.345,46.975,213571
1637017200,48,47.31,48,46.005,177842
1637103600,47.56,48,48.595,46.75,241368
