t,o,c,h,l,v
1638831600,32,34.5,34.8,31.5,49337
1638918000,34.5,33.99,34.5,33.3,25441
1639004400,33.12,33.95,34,31.12,19272
1639090800,33.2,33.7,34,32.7,5863
1639350000,32.32,33.75,33.75,31.64,5732
1639436400,33.75,33.4,33.75,31.95,5459
1639522800,32.45,33.4,33.4,32.02,4882
1639609200,32.22,33.4,33.4,32.22,2240
1639695600,33.295,33.9,33.9,32.24,3361
1639954800,32.55,33.545,33.55,32.5,3125
1640041200,32.56,34,34,32.55,4362
1640127600,33.98,33.895,34,33.2,1356
1640214000,33.5,33.5,33.5,32.8,5009
1640559600,33,33.74,33.74,32.84,3607
1640646000,33.2,33.895,33.895,32.96,4635
1640732400,33.38,35.3,35.3,33.13,5753
1640818800,35,35.98,35.98,34.335,8106
1641164400,35.98,36.2,36.5,35.58,8837
1641250800,36.21,39.6,39.77,36.21,13482
1641337200,39.65,40.35,41.5,39.005,10636
1641510000,40.495,39.58,40.495,39.33,4329
1641769200,40,39.65,40.39,39.4,1665
1641855600,39.8,39.1,40,38.54,1917
1641942000,39.5,39.5,39.7,38.9,4323
1642028400,39.5,39,39.5,38.5,1940
1642114800,38.5,39.4,39.4,38,4648
1642374000,39.5,41.5,41.7,39.5,12709
1642460400,41.5,40.3,41.85,40.2,4636
1642546800,40.3,39,40.3,38.3,2904
1642633200,39.9,40.88,41.865,39,11311
1642719600,40.95,39.9,40.95,39.1,4251
1642978800,39,37.895,39,36.12,8283
1643065200,36.6,36.8,37.56,36.55,2594
1643151600,36.85,37.595,37.595,36,4034
1643238000,36.255,38.28,38.28,36.255,1653
1643324400,38,38.6,38.6,36.9,1786
1643583600,38.6,38.5,38.6,37.36,1717
1643670000,38.1,38.5,38.5,37.7,2134
1643756400,38.5,38.4,38.5,37.62,2269
1643842800,38.4,38.45,38.5,38,1344
1643929200,38.45,38,38.45,37.8,729
1644188400,38.2,37.8,38.2,37.54,271
1644274800,37.8,37.795,37.8,36.855,2567
1644361200,37.3,38.3,38.985,37.3,2187
1644447600,38.205,38.105,38.6,38,3474
1644534000,38.2,38.5,38.5,38,1477
1644793200,38.495,37.43,38.495,36.1,1206
1644879600,37,38.27,38.3,37,1372
1644966000,38,38.695,38.7,37.155,447
1645052400,38.55,37.9,38.55,37.005,1555
1645138800,37.6,37.57,37.6,37,735
1645398000,36.18,35.3,37.4,35.3,1307
1645484400,34.11,36,37.4,34.11,2683
1645570800,35.75,35.98,36.5,35,805
1645657200,32.4,32.6,34.98,30.43,1878
1645743600,31.3,35.345,35.495,31.3,3690
1646002800,32.6,34.5,35.395,32.6,2765
1646089200,34.5,33.645,34.5,33.035,3427
1646175600,33.1,32.995,33.9,31,4933
1646262000,33,33,33,32,1269
1646348400,31.5,32.89,32.89,31.5,1939
1646607600,31.5,34.4,34.4,31,3186
1646694000,32.12,33.005,34.7,32.12,1470
1646780400,32.01,34,34.3,32.01,555
1646866800,33,34.87,34.98,33,699
1646953200,33,35,35,32.5,2508
1647212400,35.45,35.5,35.5,35,496
1647298800,34.1,35.3,35.3,33.9,548
1647385200,35.3,35.65,35.795,34.105,1451
1647471600,35.9,36.2,36.2,35.5,2274
1647558000,36,36.58,36.62,35.4,678
1647817200,36.6,35.12,36.6,35,1124
1647903600,35.2,36.495,36.495,35.2,151
1647990000,36.5,36.5,36.5,35.5,757
1648076400,35.6,36.49,36.49,35.6,862
1648162800,35.8,36.4,36.5,35.39,485
1648418400,36,36,36,35.5,510
1648504800,35.67,36.995,36.995,35.31,1555
1648591200,36.94,36.99,36.99,36.005,805
1648677600,36.005,36.49,36.49,35.6,277
1648764000,35.605,36.38,36.38,35.605,2413
1649023200,35.605,36.25,36.25,35.605,1300
1649109600,35.735,37.59,37.59,35.735,1603
1649196000,36.5,36.9,37,36.5,160
1649282400,37.5,38,38,36.9,2498
1649368800,40,40.99,41,39,9672
1649628000,40,40.78,40.99,39.05,3605
1649714400,39.9,40.6,41.28,39.3,2888
1649800800,41,41,41,40,1935
1649887200,41,40.49,41,40.06,260
1650319200,40.09,40.005,40.485,39.505,1583
1650405600,40.48,40.6,40.81,39.635,875
1650492000,40.605,40.005,40.815,40.005,1289
1650578400,40,38,40,37.5,2375
1650837600,38.9,38,38.9,38,213
1650924000,38.85,39.965,40,37.65,1088
1651010400,38.8,39.5,39.5,37.51,1623
1651096800,39.485,39.39,39.495,38.8,96
1651183200,38.8,39.3,39.4,38.8,197
1651442400,39.3,40.97,40.97,38,2680
1651615200,40.92,40.95,40.95,40,2647
1651701600,40.9,39.3,40.9,39.07,2446
1651788000,39,39.88,39.9,38.105,1058
1652047200,39.88,39.7,40.295,39.7,106
1652133600,39.995,39.4,39.995,38.465,1003
1652220000,39.36,39.34,39.4,38.4,601
1652306400,38.4,38.54,39.325,37.6,359
1652392800,38,38.22,38.465,37.305,363
1652652000,38.22,39.89,39.98,38.22,813
1652738400,39.81,38.6,39.81,38.22,471
1652824800,38.6,39.49,39.69,38.6,380
1652911200,39.44,39.45,39.45,39.44,167
1652997600,39.1,39.49,39.49,39.1,498
1653256800,39.135,39.95,40,39,2164
1653343200,39.9,39.5,39.9,39.1,1073
1653429600,39.1,39.5,39.5,39.1,111
1653516000,39.2,39.75,39.95,39.2,414
1653602400,39.4,40.2,40.5,39.4,3932
1653861600,40.2,40.4,40.45,40,2294
1653948000,40.35,40.405,40.49,40.2,1350
1654034400,40.405,40.46,40.5,40,3276
1654120800,40.25,40.49,40.49,40.005,383
1654207200,40.3,40.01,40.49,40,1436
1654466400,40.49,40.49,40.49,40.005,555
1654552800,40.49,40.87,40.87,40.49,486
1654639200,40.87,40.94,40.99,40.51,595
1654725600,40.86,40.8,40.99,40.6,253
1654812000,40.6,40.8,40.9,40.51,377
1655071200,40.8,38.2,40.8,38.2,3135
1655157600,39.78,39.3,39.94,38.3,176
1655244000,39.395,39.295,39.395,38.2,1279
1655416800,38.2,39,39.3,38.2,60
1655676000,38.6,39,39,38.6,164
1655762400,39,38.6,39,38.6,336
