t,o,c,h,l,v
1195426800,11.05,11.32,12,11.05,68433
1195513200,11.33,11.5,11.5,11.2,7945
1195599600,11.6,11.5,11.6,11.41,14736
1195686000,11.5,11,11.5,11,1026
1195772400,11.1,11.6,11.6,11.1,2406
1196031600,12,11.8,12,11.6,6679
1196118000,0,11.8,11.8,11.8,0
1196204400,11.85,12,12,11.85,1017
1196290800,12.1,12.1,12.1,12.1,10
1196377200,0,12.1,12.1,12.1,0
1196636400,11.33,12,12,11.11,200
1196722800,0,12,12,12,0
1196809200,12.9,12.9,12.9,12.9,4
1196895600,12.1,12.1,12.1,12.1,711
1196982000,12.2,11.9,12.2,11.9,575
1197241200,12,12.1,12.1,12,1128
1197327600,11.67,12.1,12.1,11.67,569
1197414000,11.99,12.3,12.3,11.9,6407
1197500400,12.35,12.35,12.35,12.35,2
1197586800,12.35,12.35,12.35,12.35,10
1197846000,12.5,12.4,12.5,12.2,1163
1197932400,0,12.4,12.4,12.4,0
1198018800,12.5,12.5,12.5,12.2,130
1198105200,12,12,12.5,12,300
1198191600,12.45,12.45,12.45,12,10501
1198710000,12.12,12.1,12.12,12.1,501
1198796400,11.6,12.5,12.7,11.6,4500
1199228400,12.5,12.5,12.5,12.5,1560
1199314800,12.5,12.11,12.5,12.11,511
1199401200,12.11,12.11,12.11,12.11,500
1199660400,12,12.4,12.4,12,71
1199746800,12.4,12.51,12.55,12.2,159072
1199833200,12.01,12,12.01,12,5503
1199919600,12.39,12.39,12.39,12.39,26
1200006000,0,12.39,12.39,12.39,0
1200265200,12.07,12.4,12.4,11.8,25691
1200351600,0,12.4,12.4,12.4,0
1200438000,11.8,11.5,11.8,11.5,44131
1200524400,11.99,11.9,11.99,11.9,30350
1200610800,0,11.9,11.9,11.9,0
1200870000,12.4,12.4,12.4,12.4,14
1200956400,12,11.81,12,11,55098
1201042800,11.85,12,12.2,11.85,31542
1201129200,0,12,12,12,0
1201215600,12,12.1,12.1,12,398
1201474800,11.5,12.3,12.3,11.5,1089
1201561200,12.4,12.5,12.5,12.4,800
1201647600,0,12.5,12.5,12.5,0
1201734000,0,12.5,12.5,12.5,0
1201820400,12.45,12.5,12.5,12.45,2387
1202079600,12.3,12.5,12.9,12.3,6100
1202166000,12.76,12.9,12.9,12.76,2
1202252400,12.5,12.5,12.5,12.5,484
1202338800,12.9,12.5,13,12.5,1609
1202425200,12.99,13,13,12.5,1600
1202684400,0,13,13,13,0
1202770800,0,13,13,13,0
1202857200,13,13,13,13,15
1202943600,13,13,13,13,225
1203030000,13,13,13,13,1500
1203289200,0,13,13,13,0
1203375600,13,13,13,13,40
1203462000,13,13.25,13.25,13,110314
1203548400,13.25,13.5,13.5,13.25,2480
1203634800,13.5,13.5,14,13.5,545
1203894000,13.05,13.49,13.49,13.02,860
1203980400,13.25,13.25,13.4,13.25,725
1204066800,13.49,13.15,13.75,13.15,8080
1204153200,13.7,13.75,13.75,13.05,1080
1204239600,13.75,13.7,13.95,13.7,1312
1204498800,13.8,13.7,13.95,13.5,487
1204585200,13.85,13.15,13.85,13.15,618
1204671600,13,13,13,13,308
1204758000,12.8,13.45,13.79,12.8,397
1204844400,12.81,12.4,13,12.4,698
1205103600,13.5,13.5,13.5,13.5,1
1205190000,0,13.5,13.5,13.5,0
1205276400,12.9,13.6,13.6,12.9,1423
1205362800,13.5,13.3,13.5,13.3,137
1205449200,0,13.3,13.3,13.3,0
1205708400,13,13,13,13,239
1205794800,0,13,13,13,0
1205881200,0,13,13,13,0
1205967600,12.14,12.12,12.14,12.12,370
1206399600,12.12,12.12,12.12,12.12,300
1206486000,12.12,12.12,12.12,12.12,50
1206572400,12.12,12.45,12.57,12.12,1238
1206658800,12.67,12.67,12.67,12.67,300
1206914400,12.32,12.66,12.66,12.32,1110
1207000800,12.16,12.58,12.58,12.15,300
1207087200,12.73,12.74,12.74,12.73,200
1207173600,12.16,12.15,12.16,12.15,160
1207260000,12.3,12.5,12.54,12.3,400
1207519200,0,12.5,12.5,12.5,0
1207605600,12.66,12.66,12.66,12.66,48
1207692000,12.4,12.6,12.6,12.4,335
1207778400,12.4,12.55,12.55,12.4,500
1207864800,12.11,12.55,12.55,12.11,450
1208124000,0,12.55,12.55,12.55,0
1208210400,12.2,12.6,12.6,12.2,900
1208296800,12.2,12.6,12.6,12.2,800
1208383200,12.2,12.3,12.6,12.1,1211
1208469600,12.23,12.5,12.5,12.1,50300
1208728800,12.1,12.44,12.44,12.1,532
1208815200,12.4,12.4,12.4,12.4,1000
1208901600,0,12.4,12.4,12.4,0
1208988000,12.38,11.98,12.38,11.9,850
1209074400,0,11.98,11.98,11.98,0
1209333600,11.98,12.18,12.55,11.71,20251
1209420000,12.18,12.18,12.18,12.18,100
1209506400,0,12.18,12.18,12.18,0
1209938400,12.13,12.13,12.13,12,10850
1210024800,12,12,12,12,178
1210111200,12.6,12,12.6,12,8
1210197600,12.1,12.1,12.1,12.1,300
1210284000,12.1,12.5,12.6,12.1,145603
1210543200,12.5,13,13,12.5,3603
1210629600,12.99,13.1,13.1,12.99,5123
1210716000,13.2,13,13.2,13,186
