t,o,c,h,l,v
1313013600,16.18,19.9,20,16.18,34017
1313100000,19.89,19.9,19.9,19.15,6369
1313445600,19.41,19.9,19.9,19.41,1020
1313532000,19.35,19.8,19.8,19.35,1657
1313618400,19.41,19.77,19.77,19.35,2096
1313704800,19.36,19.7,19.7,19.36,3082
1313964000,19.5,19.5,19.5,19.5,1600
1314050400,19.5,19.49,19.5,19.45,2500
1314136800,19.45,19.61,19.61,19.45,7660
1314223200,19.5,19.61,19.69,19.5,854
1314309600,19.47,19.65,19.65,19.47,939
1314568800,19.71,20.5,20.5,19.64,5638
1314655200,19.9,20.5,20.5,19.9,1389
1314741600,20.05,21.2,21.2,20.05,2530
1314828000,19.75,21.7,21.7,19.75,2274
1314914400,21.7,21.7,21.7,21.7,30
1315173600,21.6,21.6,21.6,21.6,5
1315260000,20.2,21.7,21.7,20,4232
1315346400,0,21.7,21.7,21.7,0
1315432800,0,21.7,21.7,21.7,0
1315519200,21,21.6,21.6,20.41,609
1315778400,21,21.69,21.69,20.26,1070
1315864800,21,21.55,21.55,20.41,837
1315951200,20.41,21.55,21.55,20.41,450
1316037600,20.43,21.55,21.55,20.43,1481
1316124000,0,21.55,21.55,21.55,0
1316383200,21,21.55,21.55,21,596
1316469600,21.55,21.9,21.9,21.55,736
1316556000,21.01,21.7,21.7,21.01,581
1316642400,20.81,20.75,20.81,20.75,1990
1316728800,20.5,20.16,20.5,20.15,10010
1316988000,20.01,20.3,20.8,20,6808
1317074400,20,20,20.25,20,44386
1317160800,20.9,20.75,20.9,20,20503
1317247200,20.01,20.5,20.59,20.01,1722
1317333600,20,19.95,20,19.95,43000
1317592800,19.99,19.9,19.99,19.9,200
1317679200,19.91,19.91,19.91,19.91,40
1317765600,19.98,19.99,19.99,19.98,201
1317852000,19.99,19.99,19.99,19.99,11
1317938400,21,21,21,19.92,516
1318197600,0,21,21,21,0
1318284000,20.6,20.99,20.99,20.6,2400
1318370400,20.03,20.95,20.95,20.03,1430
1318456800,20.75,20.75,20.75,20.75,100
1318543200,20.2,20.8,20.8,20.2,20035
1318802400,20.2,20.85,20.85,20.2,12020
1318888800,20.85,20.85,20.85,20.85,10
1318975200,20.9,20.9,20.9,20.9,15
1319061600,20.2,20.6,20.6,20.2,960
1319148000,20.22,21,21,20.22,980
1319407200,20.79,20.79,20.79,20.79,470
1319493600,20.4,21,21,20.4,334
1319580000,20.79,21,21,20.79,450
1319666400,20.79,21.69,21.69,20.79,2089
1319752800,21.01,21.49,21.5,21,2400
1320015600,21.48,21.95,21.95,21.48,1789
1320188400,21,20.9,21.2,20.9,2753
1320274800,21.9,21.06,21.9,21.01,130799
1320361200,21.21,21.45,21.45,21.1,510
1320620400,21.6,21.8,21.8,21.02,1541
1320706800,21.8,21.8,21.8,21.8,14
1320793200,21.06,21.49,21.49,21.05,1314
1320879600,0,21.49,21.49,21.49,0
1321225200,21.15,21.48,21.48,21.15,200
1321311600,21.2,21.5,21.5,21.2,300
1321398000,21.05,21.47,21.47,21.05,40250
1321484400,0,21.47,21.47,21.47,0
1321570800,21.01,21.5,21.5,21,810
1321830000,21.49,21.5,21.5,21.49,200
1321916400,21,21.64,21.64,21,109
1322002800,0,21.64,21.64,21.64,0
1322089200,0,21.64,21.64,21.64,0
1322175600,21.59,21.59,21.59,21.59,180
1322434800,0,21.59,21.59,21.59,0
1322521200,0,21.59,21.59,21.59,0
1322607600,21.39,21.8,22,21.11,2958
1322694000,21.9,21.9,21.9,21.9,10
1322780400,0,21.9,21.9,21.9,0
1323039600,21.11,21.79,21.79,21.11,1350
1323126000,0,21.79,21.79,21.79,0
1323212400,0,21.79,21.79,21.79,0
1323298800,21.5,21.1,21.5,21.1,698
1323385200,21.1,21.43,21.43,21,777
1323644400,0,21.43,21.43,21.43,0
1323730800,0,21.43,21.43,21.43,0
1323817200,21.6,21.6,21.6,21.6,2
1323903600,21.6,21.48,22,21,22910
1323990000,21.01,21.48,21.48,20.81,10815
1324249200,20.81,20.8,20.81,20.45,2245
1324335600,20.4,20.5,20.5,20.4,3357
1324422000,20.49,20.4,20.49,20.39,4534
1324508400,20.4,20.4,20.4,20.4,225
1324594800,20.74,22.2,22.2,20.74,180
1324940400,22.19,20.4,22.19,20.4,2383
1325026800,20.4,20.2,20.4,19.8,3372
1325113200,19.8,20,20,19.8,487
1325199600,20.3,20,20.3,20,503
1325458800,22,22,22,21.49,505
1325545200,21,21,21,21,180
1325631600,20.5,21.46,21.46,20.5,311
1325718000,0,21.46,21.46,21.46,0
1326063600,0,21.46,21.46,21.46,0
1326150000,0,21.46,21.46,21.46,0
1326236400,0,21.46,21.46,21.46,0
1326322800,0,21.46,21.46,21.46,0
1326409200,20.51,21.46,21.46,20.21,1437
1326668400,20.25,21.46,21.46,20.25,346
1326754800,21.4,22,22,21.4,175
