t,o,c,h,l,v
1432677600,19.2,19.35,20,18.4,62411
1432764000,19.66,19.8,19.8,18.75,1895
1432850400,19.79,20,21,18.45,4663
1433109600,20.89,20.8,20.89,20.4,2698
1433196000,20.9,20,20.9,20,929
1433282400,20.9,20.9,20.9,20.9,200
1433455200,20.9,20.4,20.9,20.4,125
1433714400,20.4,20.02,20.4,20.02,180
1433800800,0,20.02,20.02,20.02,0
1433887200,19.2,20.1,20.1,19,120
1433973600,0,20.1,20.1,20.1,0
1434060000,20,20,20,20,183
1434319200,0,20,20,20,0
1434405600,19.84,19.84,19.84,19.84,50
1434492000,19.78,19.77,19.79,19,707
1434578400,0,19.77,19.77,19.77,0
1434664800,19.4,19.4,19.4,19.4,73
1434924000,19.02,19,19.02,19,708
1435010400,19,19.22,19.22,19,265
1435096800,18.01,19.23,19.23,18.01,92
1435183200,19.4,19.3,19.5,19.3,90
1435269600,19.58,19.58,19.58,19.58,200
1435528800,19.49,19.49,19.49,19.49,69
1435615200,18.66,19.98,19.98,15,2641
1435701600,19.98,19.98,19.98,19.98,50
1435788000,19.01,19.93,19.93,18.52,286
1435874400,19.91,19.2,19.91,19.2,15
1436133600,18.62,18.62,18.82,18.62,272
1436220000,0,18.62,18.62,18.62,0
1436306400,0,18.62,18.62,18.62,0
1436392800,17.53,17.52,17.53,17.52,223
1436479200,17.8,17.8,17.8,17.8,173
1436738400,17.78,18.2,18.2,17.78,73
1436824800,0,18.2,18.2,18.2,0
1436911200,18.4,18.4,18.4,18.4,5
1436997600,18.4,19.22,19.22,18.4,251
1437084000,19.19,19.19,19.19,19.19,2
1437343200,0,19.19,19.19,19.19,0
1437429600,0,19.19,19.19,19.19,0
1437516000,19.09,19.09,19.09,19.09,2
1437602400,19.09,19.09,19.09,19.09,62
1437688800,19.22,19.22,19.22,19.22,2
1437948000,18.3,19.2,19.2,18.1,3156
1438034400,19.21,19.21,19.21,17.92,44
1438120800,19.2,19.2,19.2,19.2,1
1438207200,19.2,19.2,19.21,19.2,226
1438293600,19.2,19.2,19.2,19.2,79
1438552800,19.22,19.22,19.22,19.22,53
1438639200,19.22,19.22,19.22,19.22,1
1438725600,19.22,19.22,19.22,19.22,1
1438812000,18.5,18.5,18.5,18.5,150
1438898400,18.5,19.17,19.17,18.5,393
1439157600,19.22,19.22,19.22,19.22,1
1439244000,19.22,20.72,20.72,19.22,252
1439330400,0,20.72,20.72,20.72,0
1439416800,0,20.72,20.72,20.72,0
1439503200,20.5,20.5,20.5,20.5,15
1439762400,20.49,20.49,20.49,20.49,6
1439848800,0,20.49,20.49,20.49,0
1439935200,0,20.49,20.49,20.49,0
1440021600,19.5,19.89,19.89,18.5,237
1440108000,19.89,19.89,19.89,19.89,1
1440367200,19.7,19.69,19.7,19.4,58
1440453600,19.68,19.78,19.78,19.68,41
1440540000,19.71,18.84,19.71,18.54,237
1440626400,19.2,19.2,19.2,19.2,371
1440712800,19.3,19.2,19.3,19.2,1051
1440972000,19.3,19.2,19.4,19.2,812
1441058400,19.59,19.66,19.66,19.59,27
1441144800,19.66,19.66,19.66,19.66,2
1441231200,19.66,19.66,19.66,19.66,2
1441317600,19.66,19.51,19.66,19.5,1007
1441576800,19.77,19,19.77,19,195
1441663200,19,19.4,19.4,19,293
1441749600,19.42,19.5,20,19.42,5100
1441836000,19.5,19.9,19.9,19.5,245
1441922400,19.9,20.3,20.3,19.9,291
1442181600,20.52,22.71,22.72,20.52,849
1442268000,22.72,22.72,22.72,21.5,263
1442354400,22.72,21.99,23.48,21.4,2721
1442440800,21.99,21.99,21.99,21.52,30004
1442527200,21.99,21.38,21.99,21.01,24678
1442786400,21.38,21.58,21.59,21.05,1893
1442872800,21.58,20.5,21.58,20.4,4351
1442959200,20.95,20.75,20.95,20.6,4003
1443045600,21,20.85,21.29,20.5,14166
1443132000,20.85,22,22,20.5,42603
1443391200,22.29,22,22.29,22,67118
1443477600,22.29,23.5,23.66,22.2,13393
1443564000,23.66,24.45,24.45,23.1,6617
1443650400,24.36,24.36,24.36,24.36,2
1443736800,24.5,24.3,25,24.3,6094
1443996000,24.3,24.3,24.3,24.3,211
1444082400,24.2,24.15,24.2,24.15,3579
1444168800,24.2,24.2,24.2,24.2,2
1444255200,24,23.99,24,23.7,10414
1444341600,24.2,24.15,24.2,24.14,913
1444600800,23.8,24.39,24.39,23.8,33686
1444687200,24.45,24.45,24.45,24.45,2
1444773600,24.43,24.38,24.43,24,1791
1444860000,24.29,25.8,25.8,24.29,17139
1444946400,26.02,26,27.7,25.8,3838
1445205600,26,26,26,26,152
1445292000,26,25.8,26,25.8,185
1445378400,25.8,26.2,26.2,25.53,313
1445464800,26.2,26,26.2,26,388
1445551200,26.04,27.35,27.35,26.04,9859
1445814000,27.35,28,28,26.2,1410
1445900400,28.3,29,29.56,28.3,2445
1445986800,29.45,29.5,30.44,29.45,7259
1446073200,29.5,29.95,29.95,29,1139
1446159600,30.3,29.94,30.33,29.94,1269
1446418800,30,30,30,30,1
1446505200,29.95,29.92,29.95,29.92,357
1446591600,29.92,31.5,31.5,29.92,1052
1446678000,31.85,30,32.55,30,1088
1446764400,30,30,30.8,29.99,2678
1447023600,29.99,29.69,29.99,28.57,134
1447110000,29.69,29.69,29.69,29.5,102
1447282800,29.5,29.5,29.5,29.49,57
1447369200,29.5,29.4,29.5,28.11,6
1447628400,29.41,29.51,29.51,29.41,33
1447714800,29.5,29.5,29.71,29.5,221
1447801200,29.52,29.92,29.92,29.52,2
1447887600,29.99,29.9,29.99,29.9,3748
1447974000,29.5,28.92,29.5,28.5,54
1448233200,28.92,27.49,28.92,26.1,4268
1448319600,27.49,28.66,28.66,26.15,5571
1448406000,28.6,28.6,28.6,28.6,200
1448492400,28.49,28.49,28.49,28.49,6
1448578800,28.49,27.4,28.49,27.4,2677
1448838000,27.4,27.4,27.4,27.4,107
1448924400,27.4,26.78,27.4,26.78,223
1449010800,26.79,26.7,26.8,25.48,1282
1449097200,25,24.89,25.2,22.63,14530
1449183600,25,24.8,25,24,547
1449442800,24.89,24.85,24.89,24.85,3
1449529200,24.83,23,24.83,21.62,17810
1449615600,23,24.17,24.17,22.25,1630
1449702000,24.77,23.99,24.77,23.4,138
1449788400,24,23.5,24,22.41,3805
1450047600,23.51,24.5,24.5,22.2,5551
1450134000,24.5,23.34,24.5,22.67,4980
1450220400,23.4,23,23.4,21.65,13256
1450306800,22.05,24.1,24.1,22.05,1848
1450393200,24,24,25,24,1647
1450652400,0,24,24,24,0
1450738800,24.2,25.1,25.1,23.15,20608
1450825200,25.1,25.1,25.1,24.31,201145
1451257200,25.1,25.35,25.39,25,5635
1451343600,25.35,25.28,25.35,24.76,5051
1451430000,25.27,25.25,25.3,24.31,5502
1451862000,25,25,25,24.72,219
1451948400,25.3,25,25.3,25,12
1452121200,24.98,24.9,24.98,23.81,10
1452207600,24.9,24.9,24.9,23.8,1112
1452466800,24.9,24.9,24.9,24.9,2
1452553200,24.9,24.9,24.9,24.9,9
1452639600,24.1,24.59,24.59,24.1,767
1452726000,24.59,25.2,25.2,23.6,1569
1452812400,25.2,23.59,25.2,22.71,5968
1453071600,23.59,23.66,23.66,22.86,105
1453158000,23.66,22.86,23.66,22.86,116
1453244400,23.9,23.4,23.9,22.86,1332
1453330800,23.4,23.8,23.8,22.9,256
1453417200,23.8,23.8,23.8,22.91,231
1453676400,23.8,23.7,23.8,23.3,6
1453762800,23.7,23.49,23.7,22.7,12
1453849200,23.8,23.3,23.8,22.3,181
1453935600,23.2,23.2,23.2,22.2,7
1454022000,23.25,23,23.25,22.26,5309
1454281200,23.2,23.2,23.2,23.2,102
1454367600,23.3,23.15,23.3,22.2,12
1454454000,23,23,23,23,2
1454540400,23,23,23,22.05,500
1454626800,22.99,22.98,22.99,22.16,636
1454886000,23,24.5,24.5,22.99,1750
1454972400,24.3,24,24.3,23.61,1105
1455058800,24.3,24.3,24.3,24.3,173
1455145200,24.4,23.5,24.4,23.5,519
1455231600,23.41,24.5,24.5,23.41,403
1455490800,24.5,24.4,24.5,24.4,8
1455577200,24.4,24.4,24.4,23.95,180
1455663600,24.4,26,26,24.4,581
1455750000,26,25.22,26,24.52,1120
1455836400,25.2,24.98,25.2,24.3,1786
1456095600,24.98,24.97,24.98,24.64,128
1456182000,24.97,24.5,24.97,24.02,2172
1456268400,24.7,24.64,24.7,24,10052
1456354800,24.64,24.6,24.64,24.6,6
1456441200,24.59,24.78,24.78,24.59,201
1456700400,24.78,24.78,24.78,24.78,7
1456786800,24.78,24.78,24.78,24.78,2
1456873200,24.78,24.79,24.79,24.78,406
1456959600,24.79,24.8,24.8,24.79,2
1457046000,24.79,24.79,24.89,24.79,284
1457305200,24.79,24.78,24.79,24.77,4
1457391600,24.78,24.7,24.78,24.7,4
1457478000,24.7,24.7,24.7,24.7,2
1457564400,24.7,24.05,24.7,24.05,244
1457650800,24.05,24.05,24.05,24.05,104
1457910000,24.65,23.62,24.65,23.62,319
1457996400,24.65,23.49,24.65,22.45,233
1458082800,23.49,23.49,23.49,22.51,121
1458169200,23.49,23.49,23.49,23.49,2
1458255600,23.01,23.5,23.5,23.01,3598
1458514800,24.46,24.2,24.46,23.3,155
1458601200,23.25,24.69,24.69,22.56,2577
1458687600,24.69,24.8,24.8,24,97
1458774000,24.8,24,24.8,23.51,19947
1459202400,23.99,23,23.99,22.84,12832
1459288800,23.7,23.6,23.7,23.6,51
1459375200,23.9,23.9,24,23,2349
1459461600,23.5,25.8,25.8,23,275397
1459720800,25.8,26,26.4,25.78,27615
1459807200,26.1,25.69,26.1,25,561
1459893600,25.5,24.99,25.5,24.96,376
1459980000,24.99,24.99,24.99,24.98,261
1460066400,24.99,24.99,24.99,24.99,102
1460325600,24.99,24.99,24.99,24.99,2
1460412000,24.99,24.98,24.99,24.98,2
1460498400,24.98,24.98,24.99,24.98,402
1460584800,25,25.15,25.15,24.43,613
1460671200,25.15,25.18,25.18,25.15,102
1460930400,25.18,25.15,25.18,24.5,1722
1461016800,25.15,24.99,25.15,24.55,1243
1461103200,24.99,24.9,24.99,24.5,260
1461189600,24.89,23.61,24.89,23.61,6279
1461276000,24,24,24,23.12,3381
1461535200,24.39,24.39,24.39,24.39,2
1461621600,24.39,24,24.39,24,535
1461708000,24.36,24.36,24.36,24.36,664
1461794400,24.36,23.99,24.36,23.36,1434
1461880800,24.1,23.98,24.1,23.98,6
1462140000,24.12,24.12,24.12,24.12,2
1462312800,24.12,24.13,24.13,23.5,1305
1462399200,24.12,24.45,24.45,23.1,2223
1462485600,24.45,24.37,24.45,23.4,284
1462744800,24.35,24.35,24.35,24.35,52
1462831200,24.34,24.32,24.34,24.32,2
1462917600,24.3,24.3,24.3,24.3,132
1463004000,24.29,24.29,24.29,24.29,2
1463090400,24.3,24.3,24.3,24.3,2
1463349600,24.24,24.23,24.24,24.23,112
1463436000,24.24,24.56,24.56,23.5,7053
1463522400,24.6,26.7,26.7,24.6,4484
1463608800,26.4,24.5,26.4,24.1,4188
1463695200,24.88,24.98,24.99,24.88,431
1463954400,25.35,24.5,25.35,24.04,929
1464040800,24.5,24.5,24.5,24.5,1
1464127200,24.5,24.5,24.5,24.5,2
1464300000,24.5,24.5,24.5,24.5,52
1464559200,24.5,24.5,24.5,24.5,301
1464645600,24.5,24.5,24.5,24,851
1464732000,24.5,24.5,24.5,24,801
1464818400,24.5,24.5,24.5,24.5,2
1464904800,24.5,24.5,24.5,24.5,2
1465164000,24.49,24.49,24.49,24.49,2
1465250400,24.49,24.49,24.49,24.49,2
1465336800,24.49,24.5,24.5,24.49,71
1465423200,24.5,24.5,24.5,24.5,81
1465509600,24.5,24.5,24.5,24.15,1002
1465768800,24.5,24.5,24.5,24.5,172
1465855200,24.49,24.49,24.49,24.49,2
1465941600,24.49,24.49,24.49,24.49,2
1466028000,24.2,24.2,24.2,24.2,2
1466114400,24.2,24.2,24.2,24.2,51
1466373600,24.2,24.15,24.2,24.15,2
1466460000,24.2,24.2,24.2,23.6,2164
1466546400,24.2,24.1,24.2,23.7,51
1466632800,24.2,23.7,24.2,23.7,6
1466719200,24.2,24.5,24.5,23,1264
