t,o,c,h,l,v
1201215600,4.09,3.51,4.47,3.51,4174
1201474800,3.6,3.6,3.6,3.3,2324
1201561200,3.79,3.79,3.79,3.79,125
1201647600,3.79,3.79,3.79,3.79,100
1201734000,3.68,3.68,3.68,3.68,100
1201820400,3.68,3.68,3.68,3.68,50
1202079600,3.68,3.68,3.68,3.68,74
1202166000,3.68,3.8,3.8,3.68,3250
1202252400,3.9,3.9,3.9,3.9,100
1202338800,0,3.9,3.9,3.9,0
1202425200,3.51,3.51,3.51,3.51,774
1202684400,3.7,3.7,3.7,3.7,50
1202770800,3.7,3.69,3.7,3.69,130
1202857200,3.69,3.69,3.69,3.69,300
1202943600,3.84,3.84,3.84,3.84,50
1203030000,0,3.84,3.84,3.84,0
1203289200,3.84,3.84,3.84,3.84,50
1203375600,3.84,3.84,3.84,3.84,584
1203462000,3.4,3.84,3.84,3.4,15327
1203548400,3.8,3.94,3.94,3.8,1052
1203634800,3.94,3.42,3.94,3.42,26
1203894000,3.42,3.8,3.89,3.42,1124
1203980400,3.62,3.62,3.62,3.62,45
1204066800,3.7,3.7,3.7,3.7,215
1204153200,3.65,3.65,3.65,3.65,265
1204239600,3.77,3.77,3.77,3.77,150
1204498800,3.84,3.6,3.84,3.6,210
1204585200,0,3.6,3.6,3.6,0
1204671600,3.52,3.52,3.52,3.52,200
1204758000,0,3.52,3.52,3.52,0
1204844400,3.68,3.68,3.68,3.68,100
1205103600,3.68,3.68,3.68,3.68,2241
1205190000,3.68,3.68,3.68,3.68,250
1205276400,3.68,3.68,3.68,3.68,309
1205362800,3.6,3.58,3.6,3.58,180
1205449200,3.5,3.5,3.5,3.5,500
1205708400,3.54,3.11,3.55,3.11,4164
1205794800,3.48,3.48,3.48,3.48,100
1205881200,3.2,3.2,3.2,3.2,500
1205967600,0,3.2,3.2,3.2,0
1206399600,3.56,3.56,3.56,3.56,100
1206486000,3.22,3.48,3.48,3.2,551
1206572400,3.28,3.28,3.28,3.28,100
1206658800,3.32,3.28,3.32,3.28,202
1206914400,3.35,3.35,3.35,3.35,100
1207000800,3.3,3.3,3.3,3.3,100
1207087200,3.28,3,3.28,2.72,489
1207173600,3,3.52,3.52,3,901
1207260000,0,3.52,3.52,3.52,0
1207519200,3.38,3.3,3.99,3.3,1103
1207605600,3.95,3.7,3.95,3.2,948
1207692000,3.79,3.79,3.79,3.79,3
1207778400,3.52,3.78,3.78,3.25,1932
1207864800,3.3,3.08,3.3,3.08,1219
1208124000,3.11,3.62,3.62,3.11,882
1208210400,3.72,3.72,3.72,3.72,10
1208296800,0,3.72,3.72,3.72,0
1208383200,0,3.72,3.72,3.72,0
1208469600,0,3.72,3.72,3.72,0
1208728800,3.3,3.57,3.57,3.3,123
1208815200,0,3.57,3.57,3.57,0
1208901600,0,3.57,3.57,3.57,0
1208988000,3.3,3.3,3.3,3.3,100
1209074400,0,3.3,3.3,3.3,0
1209333600,3.2,3.2,3.2,3.2,358
1209420000,3.2,3.2,3.2,3.2,100
1209506400,3.2,3.2,3.2,3.2,466
