t,o,c,h,l,v
1418770800,1.4,1.22,1.4,1.06,573958
1418857200,1.29,1.14,1.4,1.1,141088
1418943600,1.09,1.01,1.12,0.99,39430
1419202800,1.07,1.07,1.08,1,19042
1419289200,1.14,1.11,1.14,1.03,3578
1419807600,1.01,1.09,1.09,1,9313
1419894000,1,1.12,1.12,1,6790
1420153200,1.13,1.13,1.2,1.12,74190
1420412400,1.16,1.15,1.18,1.14,5375
1420585200,1.17,1.2,1.26,1.15,140047
1420671600,1.2,1.25,1.29,1.2,66512
1420758000,1.23,1.28,1.28,1.2,54921
1421017200,1.28,1.75,1.83,1.28,144873
1421103600,1.67,1.66,1.89,1.56,179007
1421190000,1.69,1.56,1.77,1.45,74197
1421276400,1.6,1.67,1.67,1.43,29351
1421362800,1.67,1.65,1.69,1.51,62938
1421622000,1.55,1.63,1.68,1.41,30218
1421708400,1.62,1.58,1.62,1.46,20189
1421794800,1.46,1.54,1.56,1.46,22492
1421881200,1.51,1.49,1.54,1.49,11165
1421967600,1.49,1.46,1.5,1.45,22388
1422226800,1.47,1.31,1.49,1.18,45597
1422313200,1.43,1.3,1.43,1.3,35834
1422399600,1.38,1.34,1.42,1.29,23594
1422486000,1.34,1.35,1.41,1.29,22575
1422572400,1.35,1.28,1.35,1.23,53416
1422831600,1.33,1.41,1.45,1.32,31026
1422918000,1.44,1.31,1.44,1.31,8013
1423004400,1.3,1.4,1.41,1.3,29589
1423090800,1.4,1.42,1.42,1.35,13194
1423177200,1.42,1.48,1.49,1.4,76421
1423436400,1.46,1.47,1.48,1.43,19790
1423522800,1.47,1.46,1.48,1.44,19200
1423609200,1.46,1.4,1.46,1.32,50603
1423695600,1.35,1.35,1.38,1.28,35700
1423782000,1.28,1.34,1.34,1.26,29888
1424041200,1.32,1.33,1.33,1.32,3080
1424127600,1.3,1.35,1.37,1.29,9161
1424214000,1.34,1.35,1.37,1.28,18663
1424300400,1.34,1.34,1.34,1.29,2500
1424386800,1.34,1.34,1.34,1.29,2931
