t,o,c,h,l,v
1122588000,9.65,9.6,9.65,9.6,269
1122847200,9.65,9.55,9.65,9.45,1891
1122933600,9.5,9.6,9.6,9.5,557
1123020000,9.6,9.65,9.65,9.45,1328
1123106400,9.45,9.6,9.6,9.45,429
1123192800,9.55,9.65,9.65,9.55,10609
1123452000,9.65,9.65,9.65,9.55,1195
1123538400,9.55,9.55,9.55,9.55,852
1123624800,9.55,9.55,9.55,9.55,900
1123711200,9.55,9.55,9.55,9.55,4240
1123797600,9.55,9.55,9.55,9.55,33663
1124143200,9.55,9.6,9.6,9.55,4119
1124229600,9.6,9.85,9.85,9.6,74752
1124316000,9.9,10,10.35,9.9,50113
1124402400,10.2,10.25,10.3,10.05,7106
1124661600,10.25,11.2,11.2,10.25,72663
1124748000,11.2,10.75,11.2,10.7,17394
1124834400,10.6,10.6,10.75,10.55,12086
1124920800,10.55,10.65,10.75,10.5,5599
1125007200,10.5,10.55,10.7,10.5,3861
1125266400,10.1,10.5,10.6,10.1,16006
1125352800,10.55,10.6,10.65,10.5,9702
1125439200,10.6,10.5,10.65,10.5,33724
1125525600,10.5,10.55,10.55,10.15,46496
1125612000,10.35,10.3,10.55,10.3,12060
1125871200,10.3,10.6,10.7,10.3,60515
1125957600,10.6,10.25,10.6,10.25,35991
1126044000,10.5,10.55,10.6,10.15,23632
1126130400,10.6,10.5,10.7,10.5,14558
1126216800,10.5,10.45,10.6,10.45,3218
1126476000,10.5,10.6,10.7,10.35,2978
1126562400,10.6,10.55,10.6,10.5,5456
1126648800,10.5,10.6,10.6,10.5,1738
1126735200,10.35,10.6,10.6,10.35,7711
1126821600,10.6,10.6,10.6,10.55,2234
1127080800,10.5,10.8,10.8,10.5,51106
1127167200,10.75,10.7,10.75,10.7,1425
1127253600,10.5,10.65,10.65,10.5,2139
1127340000,10.5,10.6,10.6,10.5,2090
1127426400,10.5,10.5,10.6,10.3,137187
1127685600,10.4,10.6,10.6,10.4,47976
1127772000,10.5,10.25,10.5,10.15,65687
1127858400,10.3,10.2,10.3,10.2,20828
1127944800,10.2,10.1,10.2,10.1,718
1128031200,10.1,10.15,10.15,10.05,1621
1128290400,10.1,10.1,10.1,9.8,105832
1128376800,10,10,10.05,9.9,8651
1128463200,9.95,10,10,9.95,5714
1128549600,9.9,9.9,9.9,9.9,725
1128636000,9.8,9.8,9.85,9.8,11911
1128895200,9.8,9.9,9.9,9.8,11214
1128981600,9.75,9.9,9.9,9.75,2613
1129068000,9.9,9.7,9.9,9.7,269
1129154400,9.75,9.75,9.75,9.75,368
1129240800,9.7,9.8,9.8,9.7,611
1129500000,9.4,9.85,9.85,9.4,505
1129586400,0,9.85,9.85,9.85,0
1129672800,9.15,9.85,9.85,9.15,2300
1129759200,9.55,9.85,9.85,9.55,1575
1129845600,9.5,9.85,9.85,9.5,1550
1130104800,9.8,9.85,9.85,9.8,2000
1130191200,9.75,9.9,9.9,9.75,5038
1130277600,9.8,9.95,9.95,9.75,8706
1130364000,0,9.95,9.95,9.95,0
1130450400,9.7,10,10,9.7,1561
1130713200,10,10.05,10.5,10,6461
1130886000,10,10.05,10.05,10,433
1130972400,10.1,10.1,10.1,10.1,1031
1131058800,10.1,10.1,10.1,9.85,884
1131318000,9.8,10,10,9.8,851
1131404400,10,10,10,9.7,411
1131490800,10,10.1,10.1,10,577
1131577200,10,10.1,10.1,9.9,711
1131922800,10,10.1,10.1,10,6166
1132009200,10,10,10,10,310
1132095600,10.1,10,10.2,10,13450
1132182000,10,10.45,10.45,10,8815
1132268400,10.4,10.4,10.5,10.3,49216
1132527600,10.35,10.35,10.35,10.35,468
1132614000,10.05,10.35,10.5,10.05,11422
1132700400,10.35,10.45,10.45,10.35,1832
1132786800,10.5,10.4,10.6,10.35,4149
1132873200,10.35,10.2,10.35,10.15,3304
1133132400,10.25,10.4,10.45,10.05,1252
1133218800,10.4,10.55,10.55,10.15,15828
1133305200,10.55,10.5,10.55,10.5,175
1133391600,10.25,10.55,10.55,10.25,32851
1133478000,10.55,10.5,10.55,10.45,1590
