t,o,c,h,l,v
873669600,0,64,64,64,129110
873756000,0,66,66,66,77818
873842400,0,68,68,68,38000
873928800,0,66.5,66.5,66.5,52457
874015200,0,65.5,65.5,65.5,33492
874274400,0,65.5,65.5,65.5,126447
874360800,0,68.5,68.5,68.5,31889
874447200,0,68.5,68.5,68.5,44151
874533600,0,69,69,69,44833
874620000,0,69,69,69,142408
874879200,0,70,70,70,35507
874965600,0,70,70,70,13465
875052000,0,68,68,68,11256
875138400,0,68,68,68,36983
875224800,0,68.5,68.5,68.5,83319
875484000,0,68,68,68,7632
875570400,0,69,69,69,28387
875656800,0,69,69,69,19506
875743200,0,70,70,70,9594
875829600,0,66.5,66.5,66.5,5242
876088800,0,67,67,67,26573
876175200,0,68,68,68,27440
876261600,0,69.5,69.5,69.5,23883
876348000,0,70,70,70,46504
876434400,0,70.5,70.5,70.5,50205
876693600,0,70.5,70.5,70.5,0
876780000,0,76,76,76,30261
876866400,0,77,77,77,26518
876952800,0,77,77,77,61623
877039200,0,75.5,75.5,75.5,20091
877298400,0,76,76,76,63843
877384800,0,76,76,76,50583
877471200,0,77,77,77,23617
877557600,0,76,76,76,8532
877644000,0,73,73,73,11763
877906800,0,69.5,69.5,69.5,12615
877993200,0,63,63,63,0
878079600,0,69,69,69,47187
878166000,0,67,67,67,43707
878252400,0,65.5,65.5,65.5,10795
878511600,0,67.5,67.5,67.5,4970
878598000,0,69,69,69,16940
878684400,0,70,70,70,9640
878770800,0,68.5,68.5,68.5,7803
878857200,0,69,69,69,22395
879289200,0,68,68,68,68009
879375600,0,67,67,67,19324
879462000,0,66,66,66,15596
879721200,0,67.5,67.5,67.5,18592
879807600,0,68.5,68.5,68.5,24370
879894000,0,68,68,68,51731
879980400,0,68,68,68,24277
880066800,0,67.5,67.5,67.5,23472
880326000,0,66,66,66,8771
880412400,0,64,64,64,13336
880498800,0,64.5,64.5,64.5,5645
880585200,0,63,63,63,5215
880671600,0,62,62,62,4400
880930800,0,63.5,63.5,63.5,2270
881017200,0,63.5,63.5,63.5,36491
881103600,0,63.5,63.5,63.5,9239
881190000,0,61.5,61.5,61.5,21730
881276400,0,63,63,63,16774
881535600,0,62.5,62.5,62.5,18920
881622000,0,62,62,62,16575
881708400,0,61.5,61.5,61.5,3314
881794800,0,60.5,60.5,60.5,25507
881881200,0,60.5,60.5,60.5,10307
882140400,0,62,62,62,14257
882226800,0,62.5,62.5,62.5,21716
882313200,0,61.5,61.5,61.5,29974
882399600,0,61.5,61.5,61.5,35500
882486000,0,59.5,59.5,59.5,26291
882745200,0,57,57,57,6000
882831600,0,57,57,57,8302
883350000,0,56,56,56,2576
883436400,0,57.5,57.5,57.5,25734
883522800,0,60,60,60,2925
883954800,0,63,63,63,7891
884041200,0,63,63,63,20873
884127600,0,63,63,63,25905
884214000,0,62.5,62.5,62.5,26664
884300400,0,61,61,61,1700
884559600,0,56.5,56.5,56.5,8278
884646000,0,59,59,59,5672
884732400,0,0,0,0,12218
884818800,0,0,0,0,2304
884905200,58.5,58,58.5,57,12547
885164400,57,57.5,57,57,4872
885250800,57,58.5,57,57,10411
885337200,0,57,57,57,2276
885423600,56.5,56,56.5,56,2907
885510000,55,55,57,55,8763
885769200,55.5,57.5,55.5,55.5,2249
885855600,0,57.5,57.5,57.5,3258
885942000,58,58,60,58,9224
886028400,57,57.5,59,57,6795
886114800,0,58.5,58.5,58.5,9727
886374000,61.5,60,62.5,61.5,5384
886460400,62,63,62,62,18403
886546800,62,63,62,62,11577
886633200,64.5,62,64.5,64.5,2398
886719600,67,64.5,67,66,29798
886978800,67,66.5,67,67,5562
887065200,67,66.5,67,66.5,15337
887151600,67.5,67,67.5,66.5,8028
887238000,64,67,64,64,4668
887324400,64.5,64.5,64.5,64.5,6581
887583600,65,65,65,64.5,2969
887670000,0,65,65,65,6785
887756400,65,64.5,65,65,7720
887842800,0,66.5,66.5,66.5,12892
