t,o,c,h,l,v
1610060400,29.9,32.46,37.995,29,541406
1610319600,33.5,32.5,34.08,32,82546
1610406000,32.6,32.5,33,32.02,23713
1610492400,32.6,32.4,32.795,31.7,14875
1610578800,31.5,31.005,31.98,30.5,25737
1610665200,31.38,31.15,31.9,31.15,3964
1610924400,31,29.805,31,29.5,14024
1611010800,29.8,28.85,29.8,28.4,26561
1611097200,28.5,28.5,28.99,28.2,5100
1611183600,28.59,29.26,29.99,28.59,8002
1611270000,29.7,29.73,29.9,28.9,2493
1611529200,29.99,29.19,30.3,29.005,9803
1611615600,29.98,29.51,29.98,29.015,4780
1611702000,29.99,28.6,30.9,28.035,10607
1611788400,30.2,29.42,30.2,28.4,9089
1611874800,29.42,28.6,29.84,28,10264
1612134000,28.5,28.6,28.85,28.285,1668
1612220400,29,28.6,29,28.5,1996
1612306800,28.6,28.51,28.9,28.495,2146
1612393200,28.51,29.25,30.2,28.51,14316
1612479600,29.9,29.89,29.9,29.245,3041
1612738800,29.9,30.305,30.305,29.2,9871
1612825200,31.46,33.3,33.3,31.33,52229
1612911600,34.4,35.9,35.96,33.5,59007
1612998000,36.1,37.7,39.03,35.4,84960
1613084400,37.7,37,39.1,36.66,35619
1613343600,38.795,37.4,38.795,36.9,20413
1613430000,37.4,36.6,37.4,36.6,20057
1613516400,37,36.2,37,36.2,33112
1613602800,36.6,35.51,36.6,35.4,17072
1613689200,36.3,36.2,36.55,35.5,11224
1613948400,37.3,36.85,37.3,36.3,8797
1614034800,37,36.8,37,36.3,14080
1614121200,36.805,34.98,36.805,34,20931
1614207600,35,34.445,35,34,10840
1614294000,33.4,33.375,33.495,32.1,21444
1614553200,34,33.7,34.565,33.03,12195
1614639600,34.28,34.2,34.44,33.7,19083
1614726000,34.5,34.76,35.5,34.5,28856
1614812400,34.85,35.07,35.2,34.75,32671
1614898800,35.07,35,35.07,34.72,11827
1615158000,35.1,34.5,35.1,34.4,6709
1615244400,34.5,33.1,34.505,33,36984
1615330800,33.3,33.045,33.695,32.13,10247
1615417200,33.05,32.85,33.05,32.655,7269
1615503600,32.8,32.8,33.25,32.7,14127
1615762800,33,33.2,33.74,33,14627
1615849200,33.24,33,33.24,32.7,8764
1615935600,33,32.8,33.25,32.1,9778
1616022000,32.85,32.7,33.005,32.455,2571
1616108400,33,34,34.105,33,24459
1616367600,34,34.37,34.58,34,15504
1616454000,34.49,34.3,34.495,33.5,8971
1616540400,34.4,33.3,34.45,32.7,8006
1616626800,33.305,33.11,33.945,33.11,3567
1616713200,33.1,33.6,33.605,33.1,4045
1616968800,33.225,33.6,34,33.1,3986
1617055200,33.6,33.8,34.155,33.15,6883
1617141600,34,33.8,34,33.12,4734
1617228000,33.8,33.785,33.8,33.2,3103
1617660000,34,34,34,33.5,16034
1617746400,35.15,35.05,36.295,34.8,60861
1617832800,35.4,35.535,36,35.395,25403
1617919200,35.5,35.1,35.53,34.8,18564
1618178400,35.6,36,36.3,35.125,33674
1618264800,35.55,35.4,36.1,34.1,26657
1618351200,35.5,35.05,35.825,35,8742
1618437600,35,35.4,35.5,35,5488
1618524000,35.17,35.04,35.2,34.6,19963
1618783200,35.18,34.66,35.24,33.2,15694
1618869600,34.49,34.15,34.5,34.005,14752
1618956000,34.1,34.09,34.1,33.3,8384
1619042400,33.6,34.5,35.05,33.6,13347
1619128800,34,35.1,35.3,34,8542
1619388000,35.4,35.005,35.5,34.3,6094
1619474400,35.145,34.99,35.39,34.5,5233
1619560800,35,34.65,35.005,34.15,53918
1619647200,35,34.4,35,34.15,7130
1619733600,34.3,34.4,34.5,34.3,1993
1620079200,34.35,34.2,34.4,33.805,15485
1620165600,34.2,34.15,34.3,34,9604
1620252000,33.7,32.01,34,31.5,66963
1620338400,32.015,32.5,32.59,32.015,9909
1620597600,32.6,32.355,32.745,31.6,14098
1620684000,32.345,32.5,32.5,32.1,3593
1620770400,32.25,31.8,32.3,31.6,10127
1620856800,32,31.5,32,31.23,25413
1620943200,31.2,31.3,31.8,31.2,2875
1621202400,30.665,31.3,31.4,30.665,7199
1621288800,31.3,31.3,31.5,31.205,6216
1621375200,31.5,31,31.575,30.4,24144
1621461600,31,31.59,31.94,31,2496
1621548000,31.795,32,32,31.7,8411
1621807200,32,32.4,32.4,32,3474
1621893600,32.5,32.7,32.82,32.055,3614
1621980000,32.7,32,32.82,31.05,16880
1622066400,32.955,32.54,33.09,32,24805
1622152800,32.51,32.5,33,32.5,10150
1622412000,32.9,32.665,33.2,32.05,7168
