t,o,c,h,l,v
861832800,0,37,37,37,84601
861919200,0,36,36,36,39750
862178400,0,32,32,32,19123
862264800,0,30,30,30,78940
862351200,0,31,31,31,33492
862783200,0,31,31,31,65112
862869600,0,33,33,33,79252
862956000,0,33,33,33,39393
863042400,0,34,34,34,35030
863128800,0,36,36,36,34104
863388000,0,37,37,37,47182
863474400,0,37,37,37,32062
863560800,0,35,35,35,16754
863647200,0,36,36,36,15424
863733600,0,36,36,36,12614
863992800,0,36,36,36,10316
864079200,0,36,36,36,6226
864165600,0,35,35,35,18105
864252000,0,35,35,35,20027
864338400,0,31,31,31,17122
864597600,0,31,31,31,14734
864684000,0,31,31,31,17785
864770400,0,31,31,31,14233
864943200,0,32,32,32,10621
865202400,0,31.5,31.5,31.5,5671
865288800,0,32,32,32,11854
865375200,0,31.5,31.5,31.5,16534
865461600,0,31.1,31.1,31.1,10590
865548000,0,31.7,31.7,31.7,4630
865807200,0,32.4,32.4,32.4,6051
865893600,0,31.6,31.6,31.6,13454
865980000,0,31.2,31.2,31.2,6415
866066400,0,33.7,33.7,33.7,19254
866152800,0,34.5,34.5,34.5,20442
866412000,0,34,34,34,7019
866498400,0,33.5,33.5,33.5,6287
866584800,0,33.5,33.5,33.5,23825
866671200,0,34,34,34,40599
866757600,0,35,35,35,18654
867016800,0,34,34,34,11781
867103200,0,34,34,34,22567
867189600,0,35.5,35.5,35.5,22425
867276000,0,35,35,35,47149
867362400,0,35.5,35.5,35.5,18716
867621600,0,35.5,35.5,35.5,13180
867708000,0,34.9,34.9,34.9,9330
867794400,0,34.9,34.9,34.9,7194
867880800,0,35.2,35.2,35.2,9890
867967200,0,36.5,36.5,36.5,14388
868226400,0,36.5,36.5,36.5,11215
868312800,0,36.7,36.7,36.7,3632
868399200,0,38.1,38.1,38.1,10202
868485600,0,38.1,38.1,38.1,42221
868572000,0,38,38,38,35352
868831200,0,36.5,36.5,36.5,9529
868917600,0,33.7,33.7,33.7,11588
869004000,0,34.8,34.8,34.8,12154
869090400,0,35,35,35,8457
869176800,0,36,36,36,18419
869436000,0,35.4,35.4,35.4,9322
869522400,0,35.5,35.5,35.5,3522
869608800,0,35.6,35.6,35.6,7304
869695200,0,35.6,35.6,35.6,9598
869781600,0,35.6,35.6,35.6,11250
870040800,0,34.8,34.8,34.8,5656
870127200,0,34,34,34,22429
870213600,0,35,35,35,6079
870300000,0,36.1,36.1,36.1,14081
870386400,0,36,36,36,15211
870645600,0,37,37,37,4566
870732000,0,38,38,38,7788
870818400,0,38.7,38.7,38.7,15634
870904800,0,38.5,38.5,38.5,12327
870991200,0,39.6,39.6,39.6,13648
871250400,0,43.5,43.5,43.5,46979
871336800,0,43,43,43,5882
871423200,0,42.2,42.2,42.2,5140
871509600,0,42,42,42,12765
871855200,0,42.2,42.2,42.2,7871
871941600,0,41,41,41,10230
872028000,0,40.6,40.6,40.6,3222
872114400,0,39,39,39,7389
872200800,0,38,38,38,14928
872460000,0,37.9,37.9,37.9,8570
872546400,0,37.5,37.5,37.5,10897
872632800,0,38.5,38.5,38.5,8522
872719200,0,39.6,39.6,39.6,13144
872805600,0,39.2,39.2,39.2,18839
873064800,0,38,38,38,2087
873151200,0,38.8,38.8,38.8,3091
873237600,0,40.5,40.5,40.5,9393
873324000,0,41,41,41,4412
873410400,0,40,40,40,6493
873669600,0,41.5,41.5,41.5,6423
873756000,0,42,42,42,13729
873842400,0,41.5,41.5,41.5,7630
873928800,0,40,40,40,6051
874015200,0,39.8,39.8,39.8,11304
874274400,0,40.2,40.2,40.2,3530
874360800,0,39.2,39.2,39.2,2774
874447200,0,39.8,39.8,39.8,4968
874533600,0,38.5,38.5,38.5,2393
874620000,0,39.5,39.5,39.5,1869
874879200,0,40.9,40.9,40.9,5002
874965600,0,36.9,36.9,36.9,21048
875052000,0,38.7,38.7,38.7,13171
875138400,0,38,38,38,3760
875224800,0,37,37,37,2051
875484000,0,37.4,37.4,37.4,2195
875570400,0,37.5,37.5,37.5,4185
875656800,0,38,38,38,7022
875743200,0,38,38,38,1466
875829600,0,38,38,38,5897
876088800,0,38,38,38,5313
876175200,0,37.8,37.8,37.8,2390
876261600,0,38.1,38.1,38.1,6144
876348000,0,39,39,39,4357
876434400,0,39.9,39.9,39.9,5748
876693600,0,39.9,39.9,39.9,0
876780000,0,41,41,41,8310
876866400,0,41.8,41.8,41.8,10916
876952800,0,41.3,41.3,41.3,2513
877039200,0,41,41,41,4425
877298400,0,40.9,40.9,40.9,2822
877384800,0,41.9,41.9,41.9,2478
877471200,0,42,42,42,5047
877557600,0,40.9,40.9,40.9,3146
877644000,0,40.4,40.4,40.4,8964
877906800,0,38.5,38.5,38.5,6904
877993200,0,34.7,34.7,34.7,0
878079600,0,38.1,38.1,38.1,12292
878166000,0,37.5,37.5,37.5,5952
878252400,0,37.6,37.6,37.6,5015
878511600,0,37.9,37.9,37.9,10660
878598000,0,38,38,38,6781
878684400,0,38.4,38.4,38.4,1991
878770800,0,35.8,35.8,35.8,4560
878857200,0,35.8,35.8,35.8,4392
879289200,0,35,35,35,6154
879375600,0,34.8,34.8,34.8,7827
879462000,0,35.1,35.1,35.1,23180
879721200,0,35.4,35.4,35.4,15172
879807600,0,35,35,35,5228
879894000,0,34.6,34.6,34.6,4222
879980400,0,34.5,34.5,34.5,3705
880066800,0,34.7,34.7,34.7,9244
880326000,0,34.4,34.4,34.4,4853
880412400,0,34,34,34,3228
880498800,0,34.4,34.4,34.4,5297
880585200,0,31.3,31.3,31.3,3100
880671600,0,32.6,32.6,32.6,11295
880930800,0,33.4,33.4,33.4,10543
881017200,0,34.1,34.1,34.1,11415
881103600,0,34.1,34.1,34.1,4952
