t,o,c,h,l,v
1375912800,3.48,3.5,3.6,3.4,5130
1375999200,3.48,3.21,3.48,3.21,662
1376258400,0,3.21,3.21,3.21,0
1376344800,3.28,3.21,3.28,3.21,1358
1376431200,3.11,3.1,3.11,2.8,1324
1376604000,3,3.2,3.2,2.81,1440
1376863200,3.11,2.9,3.11,2.9,1729
1376949600,2.95,2.95,3.2,2.9,4629
1377036000,2.96,2.98,2.98,2.9,2213
1377122400,3.17,3.27,3.27,3.17,1777
1377208800,3.27,3.27,3.27,3.27,100
1377468000,3.27,3.1,3.27,3.1,1884
1377554400,3.1,3.1,3.1,3.1,100
1377640800,2.92,3.1,3.1,2.92,100
1377727200,0,3.1,3.1,3.1,0
1377813600,0,3.1,3.1,3.1,0
1378072800,3.05,2.9,3.05,2.9,3343
1378159200,2.92,2.92,2.92,2.92,18700
1378245600,0,2.92,2.92,2.92,0
1378332000,0,2.92,2.92,2.92,0
1378418400,3.05,3.05,3.05,3.05,1216
1378677600,3.06,3.06,3.06,3.06,491
1378764000,0,3.06,3.06,3.06,0
1378850400,3.01,3.01,3.01,3.01,200
1378936800,0,3.01,3.01,3.01,0
1379023200,0,3.01,3.01,3.01,0
1379282400,0,3.01,3.01,3.01,0
1379368800,0,3.01,3.01,3.01,0
1379455200,0,3.01,3.01,3.01,0
1379541600,3.1,3.1,3.1,3.1,875
1379628000,0,3.1,3.1,3.1,0
1379887200,3.1,3.1,3.1,3.1,200
1379973600,0,3.1,3.1,3.1,0
1380060000,0,3.1,3.1,3.1,0
1380146400,3.1,3.1,3.1,3.1,320
1380232800,0,3.1,3.1,3.1,0
1380492000,0,3.1,3.1,3.1,0
1380578400,2.93,2.93,2.93,2.93,290
1380664800,0,2.93,2.93,2.93,0
1380751200,0,2.93,2.93,2.93,0
1380837600,0,2.93,2.93,2.93,0
1381096800,0,2.93,2.93,2.93,0
1381183200,0,2.93,2.93,2.93,0
1381269600,3.09,3.09,3.09,3.09,150
1381356000,3.1,3.1,3.1,2.95,300
1381442400,0,3.1,3.1,3.1,0
1381701600,0,3.1,3.1,3.1,0
1381788000,0,3.1,3.1,3.1,0
1381874400,0,3.1,3.1,3.1,0
1381960800,0,3.1,3.1,3.1,0
1382047200,0,3.1,3.1,3.1,0
1382306400,0,3.1,3.1,3.1,0
1382392800,3.05,3,3.05,3,180
1382479200,2.95,2.95,2.95,2.95,100
1382565600,0,2.95,2.95,2.95,0
1382652000,2.95,2.93,2.95,2.93,727
1382914800,0,2.93,2.93,2.93,0
1383001200,0,2.93,2.93,2.93,0
1383087600,2.93,2.93,2.93,2.93,50
1383174000,3.1,3.1,3.1,3.1,60
1383519600,3.1,3.1,3.1,3.1,50
1383606000,3,3,3,3,500
1383692400,0,3,3,3,0
1383778800,3.04,3.04,3.04,3.04,100
1383865200,3,3,3,3,150
1384210800,0,3,3,3,0
1384297200,3.04,3.04,3.04,3.04,50
1384383600,0,3.04,3.04,3.04,0
1384470000,3.04,3.04,3.04,3.04,1900
1384729200,2.95,2.95,2.95,2.95,186
1384815600,3.04,3.1,3.1,3.04,3521
1384902000,3.1,3.1,3.1,3.01,4451
1384988400,3.1,3.1,3.1,3.1,1060
1385074800,3.05,2.93,3.05,2.93,5404
1385334000,3.02,3.1,3.1,3.02,21940
1385420400,3.1,3.05,3.1,3.05,4090
1385506800,3.09,3.09,3.09,3.09,4027
1385593200,0,3.09,3.09,3.09,0
1385679600,3.09,3.1,3.1,3.09,1200
1385938800,3.1,3.1,3.1,3.1,2030
1386025200,3.1,3.1,3.1,3.1,15205
1386111600,0,3.1,3.1,3.1,0
1386198000,3.06,3.06,3.06,3.06,700
1386284400,3.06,3.06,3.06,3.06,299
1386543600,3.06,3.06,3.06,3,4850
1386630000,3.05,3.08,3.1,3.05,7779
1386716400,3.05,3.05,3.05,3.05,200
1386802800,3.1,3.1,3.1,3.1,10000
1386889200,3.05,3,3.05,3,6870
1387148400,3.01,3.01,3.01,3.01,3130
1387234800,0,3.01,3.01,3.01,0
1387321200,0,3.01,3.01,3.01,0
1387407600,3.06,3,3.06,3,5600
1387494000,3.08,3.02,3.1,3.02,11467
1387753200,3.1,3.1,3.1,3.1,1105
1388098800,0,3.1,3.1,3.1,0
1388358000,3.1,3.1,3.1,3.1,200
1388617200,0,3.1,3.1,3.1,0
1388703600,3.21,3.1,3.23,3.1,19350
1389049200,3.1,3.1,3.1,3.1,1600
1389135600,3.1,3.1,3.1,3.1,3330
1389222000,3.1,3.1,3.1,3.1,12945
1389308400,0,3.1,3.1,3.1,0
1389567600,3.25,3.49,3.5,3.25,1643
1389654000,3.49,3.88,3.88,3.49,1187
1389740400,3.8,3.85,3.85,3.75,6200
1389826800,3.72,3.85,3.85,3.7,6083
1389913200,3.8,3.8,3.8,3.8,1000
1390172400,3.8,3.8,3.8,3.8,300
1390258800,3.8,3.95,3.95,3.8,13400
1390345200,3.8,3.8,3.8,3.8,600
1390431600,0,3.8,3.8,3.8,0
1390518000,3.8,3.8,3.85,3.75,1510
1390777200,3.8,3.88,3.88,3.8,1105
1390863600,3.8,3.8,3.8,3.8,1000
1390950000,3.8,3.8,3.8,3.8,400
1391036400,0,3.8,3.8,3.8,0
1391122800,3.8,3.8,3.8,3.8,1500
1391382000,3.75,3.9,3.9,3.75,5500
1391468400,3.9,3.9,3.9,3.9,10
1391554800,3.95,3.95,3.95,3.95,160
1391641200,3.94,3.98,4,3.9,4358
1391727600,3.9,3.97,3.97,3.9,1719
1391986800,3.97,4,4.1,3.97,21767
1392073200,4.01,4.05,4.05,4,30292
1392159600,4.05,4.05,4.05,4.04,15573
1392246000,4.05,4.05,4.05,4.05,4691
1392332400,4.04,4.01,4.04,4.01,7759
1392591600,4.01,4.15,4.15,4,176351
1392678000,4.3,4.25,4.34,4.25,13006
1392764400,4.12,4.13,4.25,4.01,10260
1392850800,4.1,4.24,4.24,4,147255
1392937200,4.19,4.2,4.2,4.19,5944
1393196400,4.18,4.34,4.34,4.18,51983
1393282800,4.2,4.25,4.33,4.08,14828
1393369200,4.07,4.25,4.25,4.07,1519
1393455600,4.22,4.19,4.22,4.08,7620
1393542000,4.19,4.2,4.21,4.07,7680
1393801200,4.07,3.95,4.07,3.79,15451
1393887600,3.96,3.97,3.98,3.71,13002
1393974000,3.9,3.95,4,3.85,12585
1394060400,3.85,3.95,3.95,3.7,44054
1394146800,3.8,3.9,3.9,3.71,34038
1394406000,3.9,3.87,3.95,3.7,29287
1394492400,3.7,3.7,3.87,3.5,22922
1394578800,3.52,3.35,3.52,3.19,22111
1394665200,3.25,3.25,3.4,3.2,90264
1394751600,3.18,2.97,3.18,2.7,60171
1395010800,3.03,3.55,3.55,2.92,47798
1395097200,3.2,3.2,3.2,3.2,3235
1395183600,3.2,3.2,3.2,3.2,3366
1395270000,0,3.2,3.2,3.2,0
1395356400,3.2,3.2,3.2,3.2,200
1395615600,3.24,3.44,3.52,3.2,8026
1395702000,3.2,3.2,3.2,3.2,4970
1395788400,3.03,3.12,3.2,3.03,3513
1395874800,3.1,3.1,3.1,3.1,2481
1395961200,3.1,3.2,3.2,3,11130
1396216800,3.2,3.2,3.2,3.2,21616
1396303200,3.22,3.3,3.46,3.2,22012
1396389600,3.3,3.35,3.35,3.2,37072
1396476000,3.3,3.33,3.33,3.25,2700
1396562400,3.28,3.28,3.28,3.28,19030
1396821600,3.28,3.27,3.28,3.15,10464
1396908000,3.24,3.23,3.24,3.19,9223
1396994400,3.2,3.2,3.2,3.2,1460
1397080800,3.2,3.2,3.2,3.2,2000
1397167200,3.2,3.32,3.32,3.2,33527
1397426400,3.4,3.35,3.4,3.35,7672
1397512800,3.35,3.35,3.35,3.2,17288
1397599200,0,3.35,3.35,3.35,0
1397685600,3.35,3.35,3.35,3.35,549
1398117600,0,3.35,3.35,3.35,0
1398204000,3.2,3.33,3.35,3.2,2707
1398290400,3.2,3.35,3.35,3.2,10187
1398376800,3.2,3.25,3.25,3.2,950
1398636000,3.25,3.26,3.26,3.2,1000
1398722400,0,3.26,3.26,3.26,0
1398808800,3.2,3.27,3.27,3.2,4045
1398981600,0,3.27,3.27,3.27,0
1399240800,3.25,3.27,3.27,3.25,798
1399327200,3.2,3.27,3.28,3.06,390
1399413600,3.07,3.22,3.28,3.05,18030
1399500000,0,3.22,3.22,3.22,0
1399586400,3.22,3.24,3.26,3.16,1130
1399845600,0,3.24,3.24,3.24,0
1399932000,3.17,3.28,3.28,3.17,10134
1400018400,3.15,3.13,3.25,3,2455
1400104800,3.13,3.23,3.25,2.9,2551
1400191200,3.13,3.26,3.28,3.12,7860
1400450400,3.22,3.28,3.28,3.22,4100
1400536800,3.17,3.27,3.27,3.17,1974
1400623200,0,3.27,3.27,3.27,0
1400709600,3.25,3.4,3.4,3.25,8762
1400796000,3.29,3.85,3.85,3.29,11328
1401055200,3.8,3.7,3.8,3.7,795
1401141600,3.64,3.6,3.75,3.6,2791
1401228000,3.6,3.74,3.74,3.6,2650
1401314400,0,3.74,3.74,3.74,0
1401400800,3.72,3.9,3.9,3.72,7252
1401660000,0,3.9,3.9,3.9,0
1401746400,3.48,3.63,3.63,3.38,3207
1401832800,0,3.63,3.63,3.63,0
1401919200,3.51,3.61,3.61,3.51,3054
1402005600,3.61,3.8,3.8,3.6,2628
1402264800,3.7,3.7,3.7,3.55,1555
1402351200,3.75,3.75,3.75,3.75,75
1402437600,3.74,3.97,3.97,3.74,2125
1402524000,3.97,3.89,3.97,3.75,805
1402610400,3.75,3.75,3.75,3.75,25399
1402869600,3.89,3.89,3.89,3.62,918
1402956000,0,3.89,3.89,3.89,0
1403042400,0,3.89,3.89,3.89,0
1403215200,3.76,3.84,3.89,3.7,26835
1403474400,3.7,3.7,3.7,3.7,4400
1403560800,3.75,3.75,3.85,3.75,6399
1403647200,3.65,3.85,3.85,3.65,2411
1403733600,0,3.85,3.85,3.85,0
1403820000,3.85,3.97,3.97,3.85,4000
1404079200,3.96,3.97,3.97,3.7,8052
1404165600,3.99,3.99,3.99,3.99,1100
1404252000,3.81,3.96,3.96,3.8,1100
1404338400,0,3.96,3.96,3.96,0
1404424800,3.8,3.95,3.96,3.8,1280
1404684000,3.96,3.96,3.96,3.96,1750
1404770400,3.85,3.93,3.93,3.4,2500
1404856800,0,3.93,3.93,3.93,0
1404943200,3.81,3.95,3.95,3.8,1600
1405029600,3.6,3.94,3.94,3.6,2699
1405288800,0,3.94,3.94,3.94,0
1405375200,3.94,3.94,3.94,3.85,5047
1405461600,3.95,3.95,3.95,3.7,1510
1405548000,0,3.95,3.95,3.95,0
1405634400,3.7,3.94,3.94,3.7,900
1405893600,0,3.94,3.94,3.94,0
1405980000,3.66,3.9,3.9,3.5,3800
1406066400,0,3.9,3.9,3.9,0
1406152800,0,3.9,3.9,3.9,0
1406239200,3.63,3.85,3.85,3.62,1000
1406498400,3.62,3.87,3.87,3.6,1795
1406584800,3.66,3.84,3.84,3.45,2909
