t,o,c,h,l,v
1363561200,2.13,2,2.13,1.81,1513
1363647600,1.7,1.58,1.7,1.58,1208
1363734000,1.25,1.25,1.25,1.25,216
1363820400,1.58,1.58,1.58,1.58,76
1363906800,0,1.58,1.58,1.58,0
1364166000,0,1.58,1.58,1.58,0
1364252400,1.09,1.09,1.09,1.09,441
1364338800,1.09,1.09,1.09,1.09,200
1364425200,1,0.99,1,0.99,231
1364853600,0,0.99,0.99,0.99,0
1364940000,0,0.99,0.99,0.99,0
1365026400,0,0.99,0.99,0.99,0
1365112800,0,0.99,0.99,0.99,0
1365372000,0.99,0.99,0.99,0.99,1482
1365458400,0,0.99,0.99,0.99,0
1365544800,0,0.99,0.99,0.99,0
1365631200,0,0.99,0.99,0.99,0
1365717600,0,0.99,0.99,0.99,0
1365976800,0,0.99,0.99,0.99,0
1366149600,0,0.99,0.99,0.99,0
1366236000,0,0.99,0.99,0.99,0
1366322400,0,0.99,0.99,0.99,0
1366581600,0,0.99,0.99,0.99,0
1366668000,0,0.99,0.99,0.99,0
1366754400,0,0.99,0.99,0.99,0
1366840800,0,0.99,0.99,0.99,0
1366927200,0,0.99,0.99,0.99,0
1367186400,0,0.99,0.99,0.99,0
1367272800,0,0.99,0.99,0.99,0
1367445600,0,0.99,0.99,0.99,0
1367791200,0,0.99,0.99,0.99,0
1367877600,0,0.99,0.99,0.99,0
1367964000,0,0.99,0.99,0.99,0
1368050400,0,0.99,0.99,0.99,0
1368136800,0,0.99,0.99,0.99,0
1368396000,0,0.99,0.99,0.99,0
1368482400,0,0.99,0.99,0.99,0
1368568800,0,0.99,0.99,0.99,0
1368655200,0,0.99,0.99,0.99,0
1368741600,0,0.99,0.99,0.99,0
1369000800,0,0.99,0.99,0.99,0
1369087200,0,0.99,0.99,0.99,0
1369173600,0,0.99,0.99,0.99,0
1369260000,0,0.99,0.99,0.99,0
1369346400,0,0.99,0.99,0.99,0
1369605600,0,0.99,0.99,0.99,0
1369692000,0,0.99,0.99,0.99,0
1369778400,0,0.99,0.99,0.99,0
1369951200,0,0.99,0.99,0.99,0
1370210400,0,0.99,0.99,0.99,0
1370296800,0,0.99,0.99,0.99,0
1370383200,0,0.99,0.99,0.99,0
1370469600,0.9,1.07,1.07,0.9,3000
1370556000,0,1.07,1.07,1.07,0
1370815200,0,1.07,1.07,1.07,0
1370901600,1.15,1.15,1.15,1.15,501
1370988000,0,1.15,1.15,1.15,0
1371074400,0,1.15,1.15,1.15,0
1371160800,0,1.15,1.15,1.15,0
1371420000,0,1.15,1.15,1.15,0
1371506400,0,1.15,1.15,1.15,0
1371592800,1.17,1.17,1.17,1.17,101
1371679200,0,1.17,1.17,1.17,0
1371765600,0,1.17,1.17,1.17,0
1372024800,0,1.17,1.17,1.17,0
1372111200,0,1.17,1.17,1.17,0
1372197600,0,1.17,1.17,1.17,0
1372284000,0,1.17,1.17,1.17,0
1372370400,0,1.17,1.17,1.17,0
1372629600,0,1.17,1.17,1.17,0
1372716000,0,1.17,1.17,1.17,0
1372802400,0,1.17,1.17,1.17,0
1372888800,0,1.17,1.17,1.17,0
1372975200,0,1.17,1.17,1.17,0
1373234400,0,1.17,1.17,1.17,0
1373320800,0,1.17,1.17,1.17,0
1373407200,1.3,1.3,1.3,1.3,10
1373493600,0,1.3,1.3,1.3,0
1373580000,0,1.3,1.3,1.3,0
1373839200,0,1.3,1.3,1.3,0
1373925600,0,1.3,1.3,1.3,0
1374012000,0,1.3,1.3,1.3,0
1374098400,0,1.3,1.3,1.3,0
1374184800,0,1.3,1.3,1.3,0
1374444000,0,1.3,1.3,1.3,0
1374530400,0,1.3,1.3,1.3,0
1374616800,0,1.3,1.3,1.3,0
1374703200,0,1.3,1.3,1.3,0
1374789600,0,1.3,1.3,1.3,0
1375048800,0,1.3,1.3,1.3,0
1375135200,0,1.3,1.3,1.3,0
1375221600,0,1.3,1.3,1.3,0
1375308000,0,1.3,1.3,1.3,0
1375394400,0,1.3,1.3,1.3,0
1375653600,0,1.3,1.3,1.3,0
1375740000,0,1.3,1.3,1.3,0
1375826400,0,1.3,1.3,1.3,0
1375912800,0,1.3,1.3,1.3,0
1375999200,0,1.3,1.3,1.3,0
1376258400,0,1.3,1.3,1.3,0
1376344800,0,1.3,1.3,1.3,0
1376431200,0,1.3,1.3,1.3,0
1376604000,0,1.3,1.3,1.3,0
1376863200,1.3,1.3,1.3,1.3,1
1376949600,0,1.3,1.3,1.3,0
1377036000,0,1.3,1.3,1.3,0
1377122400,0,1.3,1.3,1.3,0
1377208800,0,1.3,1.3,1.3,0
1377468000,0,1.3,1.3,1.3,0
1377554400,0,1.3,1.3,1.3,0
1377640800,0,1.3,1.3,1.3,0
1377727200,0,1.3,1.3,1.3,0
1377813600,0,1.3,1.3,1.3,0
1378072800,1.2,1.2,1.2,1.2,609
1378159200,0,1.2,1.2,1.2,0
1378245600,0,1.2,1.2,1.2,0
1378332000,0,1.2,1.2,1.2,0
1378418400,0,1.2,1.2,1.2,0
1378677600,0,1.2,1.2,1.2,0
1378764000,0,1.2,1.2,1.2,0
1378850400,0,1.2,1.2,1.2,0
1378936800,0,1.2,1.2,1.2,0
1379023200,0,1.2,1.2,1.2,0
1379282400,0,1.2,1.2,1.2,0
1379368800,1.3,1.3,1.3,1.3,1159
1379455200,1.6,1.6,1.6,1.6,950
1379541600,2.13,2.13,2.13,2.13,1001
1379628000,2.13,2.13,2.13,2.13,300
1379887200,0,2.13,2.13,2.13,0
1379973600,0,2.13,2.13,2.13,0
1380060000,2,2,2,2,300
1380146400,0,2,2,2,0
1380232800,0,2,2,2,0
1380492000,0,2,2,2,0
1380578400,0,2,2,2,0
1380664800,0,2,2,2,0
1380751200,0,2,2,2,0
1380837600,0,2,2,2,0
1381096800,0,2,2,2,0
1381183200,0,2,2,2,0
1381269600,0,2,2,2,0
1381356000,0,2,2,2,0
1381442400,0,2,2,2,0
1381701600,2.07,2.07,2.07,2.07,1450
1381788000,0,2.07,2.07,2.07,0
1381874400,0,2.07,2.07,2.07,0
1381960800,0,2.07,2.07,2.07,0
1382047200,0,2.07,2.07,2.07,0
1382306400,0,2.07,2.07,2.07,0
1382392800,0,2.07,2.07,2.07,0
1382479200,0,2.07,2.07,2.07,0
1382565600,0,2.07,2.07,2.07,0
1382652000,0,2.07,2.07,2.07,0
1382914800,0,2.07,2.07,2.07,0
1383001200,0,2.07,2.07,2.07,0
1383087600,0,2.07,2.07,2.07,0
1383174000,0,2.07,2.07,2.07,0
1383519600,0,2.07,2.07,2.07,0
1383606000,0,2.07,2.07,2.07,0
1383692400,0,2.07,2.07,2.07,0
1383778800,0,2.07,2.07,2.07,0
1383865200,0,2.07,2.07,2.07,0
1384210800,0,2.07,2.07,2.07,0
1384297200,0,2.07,2.07,2.07,0
1384383600,0,2.07,2.07,2.07,0
1384470000,0,2.07,2.07,2.07,0
1384729200,0,2.07,2.07,2.07,0
1384815600,0,2.07,2.07,2.07,0
1384902000,0,2.07,2.07,2.07,0
1384988400,0,2.07,2.07,2.07,0
1385074800,0,2.07,2.07,2.07,0
1385334000,0,2.07,2.07,2.07,0
1385420400,0,2.07,2.07,2.07,0
1385506800,0,2.07,2.07,2.07,0
1385593200,0,2.07,2.07,2.07,0
1385679600,0,2.07,2.07,2.07,0
