t,o,c,h,l,v
1256684400,16.1,17.2,19.37,16.1,6824
1256770800,17,17.35,19,17,5571
1256857200,18.5,17.59,18.5,17.5,6893
1257116400,17.63,17.19,17.7,16.99,1995
1257202800,16.99,16.99,17.2,16.45,938
1257289200,16.45,17.5,17.5,16.45,89
1257375600,17.5,17.5,17.5,17.5,121
1257462000,17.5,17.5,19,17.5,1836
1257721200,17.5,17.5,17.9,17.5,1110
1257807600,17.5,17.5,17.7,17.5,465
1257980400,17.5,17.4,17.5,17.4,224
1258066800,0,17.4,17.4,17.4,0
1258326000,17.4,17.4,17.4,17.4,321
1258412400,0,17.4,17.4,17.4,0
1258498800,17.3,17.3,17.4,17.3,34
1258585200,17.22,17.01,17.22,17.01,130
1258671600,0,17.01,17.01,17.01,0
1258930800,17.5,17.5,17.5,17.5,200
1259017200,17.5,17.5,17.5,17.5,100
1259103600,17.5,17.45,17.5,17.45,4
1259190000,15.71,17.3,17.3,15.71,7321
1259276400,0,17.3,17.3,17.3,0
1259535600,0,17.3,17.3,17.3,0
1259622000,0,17.3,17.3,17.3,0
1259708400,0,17.3,17.3,17.3,0
1259794800,15.6,16.99,16.99,15.6,2300
1259881200,15.92,16.99,16.99,15.92,192
1260140400,0,16.99,16.99,16.99,0
1260226800,0,16.99,16.99,16.99,0
1260313200,0,16.99,16.99,16.99,0
1260399600,0,16.99,16.99,16.99,0
1260486000,0,16.99,16.99,16.99,0
1260745200,0,16.99,16.99,16.99,0
1260831600,0,16.99,16.99,16.99,0
1260918000,0,16.99,16.99,16.99,0
1261004400,16.6,17,17,16.6,190
1261090800,15.65,17,17,15.65,958
1261350000,17,17,17,17,434
1261436400,0,17,17,17,0
1261522800,0,17,17,17,0
1261954800,17,17,17,17,442
1262041200,17,17,17,17,31
1262127600,0,17,17,17,0
1262214000,17,17,17,17,1332
1262559600,15.51,16.99,16.99,15.51,78
1262646000,16.01,16.2,16.2,16,940
1262732400,16.2,16.2,16.2,16.2,250
1262818800,16.5,16.49,16.5,16.2,225
1262905200,16,16.15,16.15,16,300
1263164400,0,16.15,16.15,16.15,0
1263250800,15.51,15.97,15.99,15.5,10473
1263337200,16.19,16.18,16.19,16.18,65
1263423600,15.5,16.17,16.17,15.5,10030
1263510000,16,16,16,16,98
1263769200,0,16,16,16,0
1263855600,0,16,16,16,0
1263942000,0,16,16,16,0
1264028400,0,16,16,16,0
1264114800,14.96,16,16,14.96,122
1264374000,0,16,16,16,0
1264460400,15.99,15.99,15.99,15.99,49
1264546800,0,15.99,15.99,15.99,0
1264633200,0,15.99,15.99,15.99,0
1264719600,0,15.99,15.99,15.99,0
1264978800,0,15.99,15.99,15.99,0
1265065200,14.81,15.98,15.98,14.81,150
1265151600,0,15.98,15.98,15.98,0
1265238000,0,15.98,15.98,15.98,0
1265324400,14.84,14.83,14.84,14.83,254
1265583600,0,14.83,14.83,14.83,0
1265670000,0,14.83,14.83,14.83,0
1265756400,0,14.83,14.83,14.83,0
1265842800,0,14.83,14.83,14.83,0
1265929200,0,14.83,14.83,14.83,0
1266188400,0,14.83,14.83,14.83,0
1266274800,14.81,14.81,14.81,14.81,82
1266361200,0,14.81,14.81,14.81,0
1266447600,0,14.81,14.81,14.81,0
1266534000,0,14.81,14.81,14.81,0
1266793200,14,14.3,14.3,14,149
1266879600,0,14.3,14.3,14.3,0
1266966000,0,14.3,14.3,14.3,0
1267052400,0,14.3,14.3,14.3,0
1267138800,14.8,14.82,14.82,14.8,197
1267398000,0,14.82,14.82,14.82,0
1267484400,14.9,14.9,14.9,14.9,70
1267570800,0,14.9,14.9,14.9,0
1267657200,15,15,15,15,40
1267743600,0,15,15,15,0
1268002800,0,15,15,15,0
1268089200,0,15,15,15,0
1268175600,15,15,15,15,860
1268262000,14.5,14.5,14.5,14.5,40
1268348400,15,15.89,15.89,15,4240
