t,o,c,h,l,v
1437602400,21.97,22,22,21.97,2911
1437688800,21.5,22.28,22.28,21.5,175
1437948000,22.11,22,22.11,22,287
1438034400,22,22,22,22,10
1438120800,21.98,21.98,21.98,21.98,10
1438207200,21.6,21.98,21.98,21.6,70
1438293600,21.97,21.97,21.97,21.97,10
1438552800,21.65,21.41,21.65,20.2,1861
1438639200,21.3,21.3,21.3,21.1,1820
1438725600,21.4,21.86,21.86,21.4,1651
1438812000,21.86,21.86,21.86,21.86,228
1438898400,21.7,21.78,21.85,21.7,161
1439157600,21.86,21.78,21.86,21.78,19
1439244000,21.7,21.8,21.86,21.7,526
1439330400,21.8,21.79,21.8,21.2,405
1439416800,21.79,21.5,21.79,21.5,105
1439503200,21.5,21.8,21.8,21.5,5319
1439762400,21.86,21.86,21.86,21.86,5
1439848800,21.83,21.76,21.83,20.26,3587
1439935200,20.74,21.73,21.75,20.74,540
1440021600,21.72,21.55,21.72,21.55,524
1440108000,21.72,21.72,21.72,21.72,100
1440367200,21.72,21.66,21.72,20.5,5944
1440453600,21.39,21.59,21.6,21.39,3000
1440540000,0,21.59,21.59,21.59,0
1440626400,21.3,21.49,21.49,21,742
1440712800,21.3,21.49,21.49,20.42,4183
1440972000,20.4,21.59,21.59,20.4,3605
1441058400,21.61,21.59,21.61,20.5,7276
1441144800,21.58,21.69,21.69,21,10778
1441231200,21.69,21.95,21.95,21.1,191561
1441317600,0,21.95,21.95,21.95,0
1441576800,21.93,21.93,21.93,21.93,60
1441663200,21.5,21.77,21.77,21.5,137
1441749600,21.79,21.78,21.79,21.78,1205
1441836000,21.4,21.9,21.9,21.4,2147
1441922400,21.87,21.85,21.87,21.85,910
1442181600,21.84,21.82,21.84,21.8,288
1442268000,21.79,20.7,21.79,20.55,1389
1442354400,21.21,20.8,21.21,20.8,831
1442440800,21,21,21,21,100
1442527200,21.2,21,21.2,21,9
1442786400,21,21.2,21.2,21,17258
1442872800,21.2,21.49,21.53,21.2,40764
1442959200,21.48,21.48,21.48,21.48,50
1443045600,21.43,21.43,21.43,21.43,10
1443132000,0,21.43,21.43,21.43,0
1443391200,20.6,21.2,21.29,20.6,2306
1443477600,21.2,21.2,21.2,21.2,396
1443564000,20.4,21.76,21.76,20.4,7603
1443650400,21.76,21.76,21.76,21.76,706
1443736800,21.5,21.5,21.5,21.5,110
1443996000,21.5,21.5,21.5,21,2847
1444082400,21.7,21.69,21.7,21.69,781
1444168800,21.69,21.69,21.69,21,34458
1444255200,21.69,21.3,21.69,21.06,14452
1444341600,21.69,21.5,21.69,21.5,555
1444600800,21.5,21.5,21.5,21.01,20095
1444687200,21.59,21.59,21.59,21.59,205
1444773600,21.01,21.6,21.6,21.01,340
1444860000,21.6,21.7,21.7,21.6,9017
1444946400,21.6,21.73,21.73,21.6,300
1445205600,21.76,21.76,21.76,21.76,5
1445292000,21.76,21.76,21.76,21.76,82
1445378400,21.75,21.75,21.75,21.75,411
1445464800,21.75,21.7,21.75,21,6065
1445551200,21.7,21.7,21.7,21.7,469
1445814000,21.71,21.75,21.75,21.6,1912
1445900400,21.7,21.8,21.8,21.6,5965
1445986800,21.85,21.85,21.85,21.85,199
1446073200,21.65,21.97,21.97,21.5,3493
1446159600,21.8,22.5,22.5,21.8,5673
1446418800,22.5,22.5,22.5,22.5,54
1446505200,22.45,22.47,22.49,22,796
1446591600,22.46,22,22.46,22,512
1446678000,22,21.61,22,21.52,1966
1446764400,21.89,21.35,21.89,21.2,1538
1447023600,0,21.35,21.35,21.35,0
1447110000,21.36,21.3,21.36,21.3,7542
1447282800,21.3,21.3,21.3,21.3,230
1447369200,21.3,21.36,21.36,21.3,1060
1447628400,21.2,21.5,21.5,19.2,10079
1447714800,21.45,21.5,21.5,21.45,1080
1447801200,21.86,21.86,21.86,21.86,23
1447887600,21.5,21.5,21.5,21.49,482
1447974000,21.5,21.5,21.5,20.8,5730
1448233200,21.62,21.86,21.86,21.62,882
1448319600,21.8,21.97,21.97,21,6352
1448406000,21.98,21.95,22,21.43,351
1448492400,22,22,22,21.7,8134
1448578800,22,22.1,22.1,21.8,18348
1448838000,22.09,22.1,22.1,21.75,10109
1448924400,22.1,22.1,22.1,22.1,15010
1449010800,22.09,22.09,22.09,22.09,200
1449097200,21.3,21.99,21.99,21.3,2986
1449183600,21.99,21.97,21.99,21.3,5760
1449442800,21.97,21.97,21.97,21.97,10
1449529200,21.97,21.94,21.97,21.53,839
1449615600,21.9,21.8,21.9,21.65,26487
1449702000,21.8,21.8,21.8,21.3,1028
1449788400,21.35,21.08,21.4,21,10769
1450047600,20.8,21.49,21.49,20.8,550
1450134000,21.7,21.1,21.74,20.5,8555
1450220400,21.17,21.8,21.8,20.1,9976
1450306800,20.87,21.37,21.5,20.8,12169
1450393200,21.3,21.5,21.5,20.95,3201
1450652400,20.95,20.98,21.5,20.95,12522
1450738800,20.97,20.98,20.98,20.7,4132
1450825200,21.2,21.79,21.79,21.2,3000
1451257200,21.79,21.79,21.79,20.76,25261
1451343600,21.03,21.6,21.77,21,18103
1451430000,21.59,21.59,21.59,21.59,60
1451862000,21.59,20.9,21.59,20.9,14718
1451948400,20.9,20.9,20.9,20.9,400
1452121200,20.94,20.75,21,20.66,33320
1452207600,20.75,20.69,21,20.37,9684
1452466800,20.56,20.5,20.56,20.3,4491
1452553200,20.7,20.15,20.7,19.6,6036
1452639600,20.6,20,20.6,20,1584
1452726000,20.38,19.8,20.38,19.6,2719
1452812400,19.97,19.95,19.98,19.95,271
1453071600,19.2,19.7,19.8,19,11176
1453158000,19.25,19.7,19.7,19.25,948
1453244400,19.5,19.5,19.69,19.31,4501
1453330800,19.5,19.31,19.5,19.2,3888
1453417200,19.07,19.31,19.31,19,2894
1453676400,19.69,19.2,19.69,18.5,2604
1453762800,19.21,20,20,18.35,48128
1453849200,19.95,20.5,20.5,19.95,13519
1453935600,21.16,21.2,21.28,20.35,4073
1454022000,21.45,20.52,21.45,20.52,13201
1454281200,21.15,20.85,21.15,20.85,2021
1454367600,21.05,20.8,21.05,20.8,126
1454454000,20.79,19.88,20.79,19.88,5544
1454540400,19.87,20.48,20.48,19.85,2240
1454626800,20.5,20.4,20.5,20.2,1183
1454886000,20.4,19.39,20.66,19.39,4506
1454972400,19.88,18.99,19.88,18.99,4891
1455058800,19.3,19.02,19.3,19,153355
1455145200,19.28,19.14,19.28,18.63,274
1455231600,19.27,19.42,19.42,19.24,346
1455490800,19.43,19.79,19.79,19.26,2055
1455577200,19.87,19.37,19.99,19.12,6900
1455663600,19.37,20,20.04,19.37,3097
1455750000,20.51,20.5,20.57,20.45,3010
1455836400,20.89,20.4,20.89,20,4042
1456095600,20.98,20.5,20.98,20.3,4145
1456182000,20.97,20.5,20.97,20.5,3358
1456268400,20.96,20.7,20.97,20.69,3010
1456354800,20.97,20.68,20.97,20.11,4905
1456441200,20.87,20.39,20.99,20.12,6870
1456700400,20.86,21,21,20.25,7645
1456786800,21,21.18,21.5,20.55,5926
1456873200,21.41,21.5,21.68,21.41,6147
1456959600,21.79,21.49,21.79,21.11,960
1457046000,21.74,21.74,21.74,21.74,10
1457305200,21.75,21.49,21.75,21,1075
1457391600,21.47,21,21.47,21,1877
1457478000,20.97,21,21,20.82,20060
1457564400,20.99,20.99,21,20.99,19
1457650800,20.99,20.99,20.99,20.25,261
1457910000,20.99,21.19,21.2,20.99,240
1457996400,21.16,21.16,21.16,21.16,5
1458082800,21.15,21.05,21.15,21.05,160
1458169200,21.14,21.14,21.14,21.14,5
1458255600,21.04,21.05,21.05,20.77,1311
1458514800,21.16,21.16,21.16,21.16,10
1458601200,21.15,21.16,21.16,21.01,371
1458687600,21.16,21.16,21.16,21.16,10
1458774000,21.15,21.15,21.15,21.15,65
1459202400,21.12,21.37,21.37,20.45,1076
1459288800,21.28,21.51,21.51,20.52,2116
1459375200,21.55,21.1,21.55,20.14,46126
