t,o,c,h,l,v
1105311600,12.6,12.2,13.3,12.05,241942
1105398000,12.1,12.1,12.4,11.7,57678
1105484400,11.7,12,12.15,11.45,41392
1105570800,12,12.4,12.45,12,38251
1105657200,12.4,12.6,12.6,12.05,19631
1105916400,12.5,12.55,12.6,12.4,30286
1106002800,12.55,12.8,13,12.5,36257
1106089200,12.8,12.8,12.9,12.8,30673
1106175600,12.8,12.8,12.8,12.8,21895
1106262000,0,12.8,12.8,12.8,0
1106521200,12.8,12.6,12.8,12.4,8873
1106607600,12.1,12.6,12.6,12.1,864
1106694000,12.4,12.5,12.5,12.4,11877
1106780400,12.2,12.6,12.6,12.15,5393
1106866800,12.3,12.6,12.6,12.3,15389
1107126000,12.5,12.65,12.65,12.5,1207
1107212400,12.4,12.8,12.8,12.4,5205
1107298800,12.6,12.8,12.8,12.6,14165
1107385200,12.65,12.8,12.8,12.65,14230
1107471600,12.55,12.8,12.8,12.55,5379
1107730800,12.8,12.8,12.8,12.75,10410
1107817200,12.8,12.8,12.8,12.8,3000
1107903600,12.8,12.8,12.8,12.8,34573
1107990000,12.8,12.8,12.8,12.8,2603
1108076400,12.85,12.85,12.85,12.85,5453
1108335600,12.7,12.7,12.7,12.7,1546
1108422000,12.75,12.8,12.8,12.75,255
1108508400,12.8,13,13,12.8,16600
1108594800,13.2,12.9,13.2,12.7,2630
1108681200,12.65,13,13,12.6,800
1108940400,12.7,12.7,12.7,12.7,127
1109026800,12.7,12.7,12.7,12.7,2000
1109113200,12.85,12.85,12.85,12.85,2000
1109199600,12.6,12.9,12.9,12.35,6303
1109286000,13,13,13,12.95,5000
1109545200,12.7,13,13,12.5,7030
1109631600,12.7,13,13,12.4,35779
1109718000,13.05,13,13.05,13,4667
1109804400,12.7,13,13,12.7,1709
1109890800,12.85,13.1,13.1,12.85,153
1110150000,13,13,13,13,10000
1110236400,0,13,13,13,0
1110322800,12.7,12.9,12.9,12.7,800
1110409200,0,12.9,12.9,12.9,0
1110495600,0,12.9,12.9,12.9,0
1110754800,12.6,12.9,12.9,12.6,1250
1110841200,0,12.9,12.9,12.9,0
1110927600,12.65,12.7,12.7,12,3450
1111014000,12.4,12.1,12.65,12.1,2844
1111100400,0,12.1,12.1,12.1,0
1111359600,12.2,12.2,12.2,12.2,1500
1111446000,12.2,12.2,12.2,12.2,55
