t,o,c,h,l,v
1075935600,44.2,42.9,44.2,42.5,3587
1076022000,42.5,42.5,43,42.4,1510
1076281200,43.9,43.8,44,43,3653
1076367600,43.8,44.2,44.2,43.7,4139
1076454000,43.5,44,44.1,43.5,3091
1076540400,44.2,43.9,44.2,43.6,437
1076626800,44,43.8,44.5,43.5,2851
1076886000,43.1,43.8,43.8,43.1,232
1076972400,44,45,45,44,3008
1077058800,45,45.6,45.6,45,5108
1077145200,45,45,45.3,44.6,3639
1077231600,44.1,46,46,44.1,3379
1077490800,45.5,46.1,46.7,45.5,2301
1077577200,46.2,46.5,46.6,45.7,9713
1077663600,46.5,48.4,48.4,46.5,4704
1077750000,48.2,51.9,52.7,48.2,14821
1077836400,52.5,52.5,52.5,50.2,10168
1078095600,53.3,53,53.7,50,12647
1078182000,53,52.8,53,52,10863
1078268400,52.5,52,52.6,52,2502
1078354800,51.5,51.1,51.5,50.8,4769
1078441200,50.5,51,51.1,50.4,6799
1078700400,51,51.4,51.4,49,10785
1078786800,50.5,50.1,50.9,50,709
1078873200,49.1,49.6,50,49,4280
1078959600,49.5,49.5,49.5,49.4,3495
1079046000,48.8,50,50,48.8,886
1079305200,50,48.1,50,46.2,2102
1079391600,46.8,48.9,49.3,46.8,401
1079478000,49.3,50,50,49.3,1628
1079564400,50.5,49.5,50.5,49.5,356
1079650800,49.5,48.5,49.5,48,1314
1079910000,49,48.5,49.3,48.5,1346
1079996400,48.3,48.5,48.5,48.3,2895
1080082800,48.5,48,48.5,47.4,519
1080169200,47.4,49,49,47.4,523
1080255600,49.5,49.5,49.5,47.6,595
1080511200,49.5,49,49.5,48,2312
1080597600,48,48.5,49,48,853
1080684000,48.5,48,48.5,47.6,1534
1080770400,48,48.4,48.4,48,245
1080856800,48.5,48.9,48.9,48.5,605
1081116000,48.1,48,48.5,48,1947
1081202400,48.1,48.8,48.8,48.1,1497
1081288800,48,48.5,48.5,48,43
1081375200,48.7,48.5,48.8,48,3051
1081807200,49.5,48.6,49.5,48,2839
1081893600,49,49.2,49.3,49,156
1081980000,49.2,49.2,49.2,48,514
1082066400,49,48.8,49.2,48.5,937
1082325600,49,48.9,49,48,1122
1082412000,48.9,48.7,48.9,48,1371
