t,o,c,h,l,v
1338156000,2.65,2.17,2.65,2.07,97125
1338242400,2.17,2,2.25,1.76,16760
1338328800,1.9,1.94,1.94,1.85,107938
1338415200,1.86,1.75,1.9,1.6,273826
1338501600,1.79,1.71,1.79,1.71,49205
1338760800,1.69,1.66,1.69,1.54,187369
1338847200,1.6,1.52,1.7,1.5,59130
1338933600,1.49,1.55,1.6,1.49,27386
1339106400,1.51,1.4,1.51,1.4,24300
1339365600,1.41,1.4,1.41,1.35,319416
1339452000,1.4,1.4,1.42,1.35,348790
1339538400,1.42,1.39,1.42,1.36,52300
1339624800,1.4,1.36,1.4,1.36,108300
1339711200,1.4,1.42,1.42,1.37,94427
1339970400,1.45,1.44,1.48,1.43,222443
1340056800,1.47,1.46,1.47,1.46,23700
1340143200,1.5,1.5,1.55,1.5,10283
1340229600,1.55,1.57,1.59,1.55,129041
1340316000,1.6,1.59,1.6,1.5,319386
1340575200,1.64,1.51,1.64,1.51,93108
1340661600,1.49,1.5,1.62,1.49,47536
1340748000,1.48,1.44,1.5,1.44,186599
1340834400,1.5,1.54,1.54,1.45,9504
1340920800,1.58,1.58,1.58,1.58,36521
1341180000,0,1.58,1.58,1.58,0
1341266400,1.49,1.5,1.59,1.49,2250
1341352800,1.5,1.55,1.55,1.5,70621
1341439200,1.44,1.5,1.53,1.41,365890
1341525600,1.49,1.48,1.5,1.48,22843
1341784800,1.5,1.5,1.5,1.49,2885
1341871200,1.49,1.4,1.49,1.4,2082
1341957600,1.41,1.44,1.45,1.4,6898
1342044000,1.44,1.41,1.44,1.41,1202
1342130400,1.41,1.41,1.41,1.41,2198
1342389600,1.41,1.41,1.41,1.41,900
1342476000,1.41,1.34,1.41,1.34,315536
1342562400,1.36,1.36,1.36,1.36,1600
1342648800,1.32,1.32,1.32,1.32,1
1342735200,1.35,1.33,1.35,1.33,26039
1342994400,1.32,1.32,1.32,1.32,5770
1343080800,1.3,1.37,1.37,1.3,145417
1343167200,1.32,1.35,1.35,1.32,200002
1343253600,1.38,1.35,1.38,1.3,8371
1343340000,1.36,1.38,1.38,1.36,6200
1343599200,1.38,1.38,1.38,1.38,16330
1343685600,1.35,1.4,1.4,1.35,9155
1343772000,1.36,1.42,1.42,1.36,194660
1343858400,1.43,1.56,1.56,1.43,78364
1343944800,1.59,1.57,1.59,1.55,1200
1344204000,0,1.57,1.57,1.57,0
1344290400,0,1.57,1.57,1.57,0
1344376800,1.54,1.5,1.54,1.45,23683
1344463200,1.56,1.5,1.56,1.5,110
1344549600,1.49,1.49,1.49,1.49,1
1344808800,1.39,1.39,1.39,1.39,220
1344895200,1.38,1.49,1.49,1.38,401
1345068000,1.38,1.48,1.48,1.38,5688
1345154400,1.4,1.47,1.47,1.4,450
1345413600,1.38,1.33,1.38,1.33,5800
1345500000,1.33,1.45,1.45,1.33,72
1345586400,1.43,1.42,1.43,1.42,10
1345672800,1.44,1.44,1.44,1.44,50
1345759200,1.44,1.44,1.44,1.4,5119
1346018400,1.44,1.45,1.45,1.44,100
1346104800,1.35,1.45,1.45,1.35,523
1346191200,1.35,1.44,1.45,1.35,3448
1346277600,0,1.44,1.44,1.44,0
1346364000,1.4,1.4,1.4,1.4,50
1346623200,1.35,1.39,1.39,1.35,8050
1346709600,1.35,1.35,1.35,1.31,21550
1346796000,1.31,1.35,1.35,1.31,13849
1346882400,0,1.35,1.35,1.35,0
1346968800,1.3,1.34,1.35,1.25,12100
1347228000,1.39,1.4,1.4,1.39,1000
1347314400,1.25,1.33,1.38,1.25,17400
1347400800,1.26,1.3,1.3,1.25,7645
1347487200,1.3,1.3,1.3,1.21,17300
1347573600,1.28,1.35,1.35,1.28,23060
1347832800,1.22,1.33,1.35,1.22,25717
1347919200,1.24,1.3,1.3,1.22,2940
1348005600,1.25,1.3,1.3,1.25,5591
1348092000,1.27,1.29,1.29,1.27,2200
1348178400,1.27,1.33,1.33,1.27,444
1348437600,1.3,1.25,1.3,1.25,10073
1348524000,1.25,1.29,1.29,1.25,5937
1348610400,0,1.29,1.29,1.29,0
1348696800,1.25,1.28,1.29,1.25,2756
1348783200,1.25,1.28,1.28,1.22,7015
1349042400,1.2,1.24,1.25,1.2,46355
1349128800,1.24,1.17,1.24,1.15,70447
1349215200,1.15,1.15,1.16,1.13,27037
1349301600,1.18,1.18,1.18,1.18,500
1349388000,1.16,1.16,1.17,1.14,82000
1349647200,1.15,1.16,1.16,1.15,33216
1349733600,1.16,1.16,1.16,1.14,117540
1349820000,0,1.16,1.16,1.16,0
1349906400,1.15,1.16,1.16,1.15,70100
1349992800,1.15,1.16,1.17,1.14,52022
1350252000,1.15,1.17,1.17,1.15,11614
1350338400,1.17,1.17,1.19,1.17,42948
1350424800,1.19,1.19,1.19,1.19,2250
1350511200,1.19,1.19,1.2,1.19,109388
1350597600,1.17,1.19,1.2,1.16,23383
1350856800,1.16,1.19,1.19,1.16,3194
1350943200,1.16,1.16,1.16,1.16,2115
1351029600,1.16,1.14,1.16,1.14,5786
1351116000,1.14,1.16,1.16,1.14,3356
1351202400,1.17,1.17,1.17,1.16,1446
1351465200,1.17,1.16,1.18,1.07,21990
1351551600,0,1.16,1.16,1.16,0
1351638000,0,1.16,1.16,1.16,0
1351810800,0,1.16,1.16,1.16,0
1352070000,1.07,1.08,1.09,1.07,2452
1352156400,1.08,1.13,1.13,1.08,353
1352242800,1.13,1.14,1.14,1.13,1709
1352329200,0,1.14,1.14,1.14,0
1352415600,1.07,1.13,1.14,1.07,1178
1352674800,1.07,1.07,1.12,1.07,1731
1352761200,1.12,1.13,1.13,1.12,1605
1352847600,1.1,1.1,1.1,1.07,5340
1352934000,1.07,1.09,1.09,1.04,34262
1353020400,0,1.09,1.09,1.09,0
1353279600,1.06,1.08,1.08,1.06,1009
1353366000,1.06,1.08,1.08,1.05,15500
1353452400,1.06,1.08,1.08,1.06,8260
1353538800,1.08,1.1,1.1,1.07,9867
1353625200,1.1,1.16,1.16,1.04,19176
1353884400,0,1.16,1.16,1.16,0
1353970800,1.1,1.1,1.14,1.1,2000
1354057200,1.15,1.15,1.15,1.1,2007
1354143600,1.15,1.17,1.17,1.15,7000
1354230000,1.17,1.18,1.18,1.16,49903
1354489200,1.2,1.25,1.25,1.18,3815
1354575600,1.13,1.2,1.2,1.13,3170
1354662000,0,1.2,1.2,1.2,0
1354748400,0,1.2,1.2,1.2,0
1354834800,1.1,1.15,1.15,1.1,11000
1355094000,1.11,1.15,1.15,1.11,2086
1355180400,1.11,1.15,1.15,1.1,1050
1355266800,0,1.15,1.15,1.15,0
1355353200,1.1,1.13,1.13,1.1,19528
1355439600,1.09,1.13,1.13,1.09,26850
1355698800,1.08,1.15,1.15,1.08,19795
1355785200,1.1,1.18,1.18,1.1,5722
1355871600,1.15,1.11,1.23,1.11,25134
1355958000,1.11,1.13,1.17,1.11,25288
1356044400,1.2,1.2,1.2,1.15,4305
1356562800,1.19,1.23,1.23,1.19,16318
1356649200,1.15,1.23,1.23,1.15,310
1357081200,1.2,1.25,1.25,1.2,26045
1357167600,1.25,1.27,1.27,1.25,8600
1357254000,1.27,1.25,1.27,1.2,32597
1357513200,1.25,1.34,1.35,1.25,40421
1357599600,1.32,1.35,1.35,1.29,35860
1357686000,1.35,1.39,1.39,1.35,15047
1357772400,1.39,1.44,1.44,1.38,19227
1357858800,1.44,1.49,1.49,1.37,43410
1358118000,1.49,1.63,1.63,1.49,45867
1358204400,1.63,1.62,1.63,1.53,10385
1358290800,1.54,1.61,1.62,1.53,7885
1358377200,1.54,1.6,1.6,1.5,18813
1358463600,1.6,1.6,1.6,1.46,2299
1358722800,1.6,1.6,1.6,1.52,12600
1358809200,1.59,1.58,1.6,1.51,7370
1358895600,1.52,1.55,1.55,1.48,13400
1358982000,1.55,1.53,1.61,1.51,37100
1359068400,1.55,1.59,1.6,1.53,15116
1359327600,1.52,1.6,1.61,1.52,5050
1359414000,1.59,1.6,1.61,1.59,34450
1359500400,1.6,1.6,1.6,1.59,11940
1359586800,1.55,1.6,1.6,1.54,6059
1359673200,1.6,1.59,1.6,1.55,58723
1359932400,1.59,1.59,1.59,1.59,700
1360018800,1.57,1.68,1.7,1.57,24207
1360105200,1.68,1.57,1.68,1.57,14863
1360191600,1.55,1.64,1.64,1.5,4299
1360278000,1.6,1.64,1.64,1.6,380
1360537200,1.56,1.6,1.6,1.56,1850
1360623600,1.56,1.56,1.56,1.53,50956
1360710000,1.56,1.52,1.56,1.52,31969
1360796400,1.52,1.55,1.55,1.52,7915
1360882800,1.55,1.56,1.56,1.55,67553
1361142000,0,1.56,1.56,1.56,0
1361228400,1.46,1.46,1.46,1.46,200
1361314800,1.47,1.51,1.51,1.46,12110
1361401200,1.46,1.46,1.46,1.45,6400
1361487600,1.46,1.51,1.51,1.46,828
1361746800,1.42,1.51,1.51,1.42,100
1361833200,1.42,1.49,1.49,1.42,3030
1361919600,1.49,1.56,1.56,1.48,20577
1362006000,0,1.56,1.56,1.56,0
1362092400,1.62,1.65,1.69,1.62,72766
1362351600,1.64,1.65,1.65,1.63,9893
1362438000,1.65,1.74,1.75,1.65,208976
1362524400,1.78,1.72,1.78,1.65,392260
1362610800,1.73,1.75,1.78,1.68,48643
1362697200,1.76,1.89,1.89,1.76,97678
1362956400,1.94,1.88,1.94,1.84,29275
1363042800,1.89,1.76,1.89,1.76,32389
1363129200,1.66,1.81,1.86,1.66,184157
1363215600,1.81,1.81,1.81,1.81,4507
1363302000,1.85,1.86,1.9,1.8,18956
1363561200,1.75,1.85,1.92,1.75,1650
1363647600,1.75,1.79,1.79,1.75,18000
1363734000,1.7,1.65,1.75,1.65,349685
1363820400,1.66,1.65,1.66,1.63,6553
1363906800,1.6,1.59,1.6,1.58,72089
1364166000,1.57,1.56,1.57,1.5,14177
1364252400,1.48,1.56,1.56,1.45,32000
1364338800,1.54,1.43,1.54,1.43,112854
1364425200,1.42,1.5,1.5,1.42,106540
1364853600,1.5,1.5,1.5,1.41,99455
1364940000,1.5,1.43,1.5,1.42,20687
1365026400,1.42,1.49,1.49,1.42,24700
1365112800,1.43,1.43,1.43,1.42,10250
1365372000,1.38,1.39,1.48,1.38,11558
1365458400,1.4,1.45,1.45,1.4,51700
1365544800,1.4,1.45,1.45,1.4,32610
1365631200,1.5,1.6,1.6,1.5,18271
1365717600,1.6,1.59,1.6,1.52,94940
1365976800,1.58,1.55,1.58,1.45,151491
1366149600,1.5,1.57,1.57,1.48,80963
1366236000,1.52,1.55,1.55,1.48,5800
1366322400,0,1.55,1.55,1.55,0
1366581600,1.46,1.32,1.55,1.32,69844
1366668000,1.32,1.32,1.32,1.23,75664
1366754400,1.35,1.35,1.35,1.35,20
1366840800,1.3,1.35,1.35,1.3,4400
1366927200,1.35,1.3,1.42,1.3,49031
1367186400,1.35,1.3,1.4,1.3,9831
1367272800,1.42,1.45,1.45,1.42,1280
1367445600,0,1.45,1.45,1.45,0
1367791200,1.31,1.42,1.42,1.31,29500
1367877600,1.34,1.45,1.45,1.32,12851
1367964000,1.5,1.5,1.5,1.5,3000
1368050400,1.42,1.45,1.45,1.42,5817
1368136800,1.45,1.48,1.48,1.4,3462
1368396000,1.4,1.49,1.49,1.4,4000
1368482400,1.49,1.49,1.49,1.49,1500
1368568800,1.48,1.48,1.48,1.48,20000
1368655200,1.4,1.44,1.44,1.32,117440
1368741600,1.36,1.48,1.49,1.36,78209
1369000800,1.45,1.5,1.5,1.45,100077
1369087200,1.41,1.5,1.5,1.41,7700
1369173600,1.49,1.49,1.49,1.49,1000
1369260000,0,1.49,1.49,1.49,0
1369346400,1.49,1.55,1.55,1.49,93935
1369605600,1.56,1.51,1.56,1.51,1645
1369692000,1.51,1.56,1.56,1.5,127125
1369778400,1.53,1.56,1.57,1.53,78564
1369951200,1.5,1.58,1.58,1.5,300
1370210400,1.55,1.55,1.55,1.55,14442
